0	"A series of 3-amino-substituted rutacecarpine derivatives "	"identify"	"novel multitarget-directed ligands "
0	"to identify novel multitarget-directed ligands for the treatment of Alzheimer's disease. "	"synthesized"	"A series of 3-amino-substituted rutacecarpine derivatives "
1	"most of synthesized compounds "	"inhibited"	"butyrylcholinesterase. "
1	"Biological evaluation "	"showed"	"that most of synthesized compounds inhibited butyrylcholinesterase. "
2	"most of synthesized compounds "	"exerted"	"antioxidant effects. "
2	"Biological evaluation "	"showed"	"that most of synthesized compounds exerted antioxidant effects. "
3	"to further biological evaluation. "	"subjected"	"Among synthesized compounds, 6n "
4	"Lineweaver-Burk plotting "	"illustrated"	"that 6n bound simultaneously to catalytic sites of butyrylcholinesterase. "
4	"6n "	"bound"	"to catalytic sites of butyrylcholinesterase. "
5	"Lineweaver-Burk plotting "	"illustrated"	"that 6n bound simultaneously to peripheral anionic site of butyrylcholinesterase. "
5	"Lineweaver-Burk "	"plotting"	"illustrated that 6n bound simultaneously to peripheral anionic site of butyrylcholinesterase. "
5	"6n "	"bound"	"to peripheral anionic site of butyrylcholinesterase. "
6	"molecular modeling "	"illustrated"	"that 6n bound simultaneously to peripheral anionic site of butyrylcholinesterase. "
6	"6n "	"bound"	"to peripheral anionic site of butyrylcholinesterase. "
7	"molecular modeling "	"illustrated"	"that 6n bound simultaneously to catalytic site of butyrylcholinesterase. "
7	"6n "	"bound"	"to catalytic site of butyrylcholinesterase. "
8	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"showed"	"remarkable neuroprotective activity. "
9	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"presented"	"good metabolism property. "
10	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"showed"	"remarkable neuroprotective activity. "
11	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"presented"	"good absorption property. "
12	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"showed"	"remarkable neuroprotective activity. "
13	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"presented"	"good excretion property. "
14	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"showed"	"remarkable neuroprotective activity. "
15	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"presented"	"good distribution property. "
16	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"presented"	"toxicity property. "
17	"Furthermore, 6n modulated amyloid-beta aggregation; chelated biometals; "	"showed"	"remarkable neuroprotective activity. "
18	"Previous research "	"shown"	"that optimized compound 6n has considerable potential for development as an novel multitarget-directed ligand for the treatment of Alzheimer's disease. "
18	"optimized compound 6n "	"has"	"considerable potential for development "
