0	"The defining features of Alzheimer disease "	"include"	"conspicuous changes in brain behavior. "
1	"The defining features of Alzheimer disease "	"include"	"conspicuous changes in brain histology. "
2	"highly insoluble, densely packed filaments. "	"comprise"	"abnormal structures, extracellular amyloid plaques and intraneuronal neurofibrillary tangles, "
2	"densely "	"packed"	"filaments. "
2	"presence "	"combined"	"of 2 classes of abnormal structures, extracellular amyloid plaques and intraneuronal neurofibrillary tangles, both of which comprise highly insoluble, densely packed filaments. "
2	"by the combined presence of 2 classes of abnormal structures, extracellular amyloid plaques and intraneuronal neurofibrillary tangles, both of which comprise highly insoluble, densely packed filaments. "	"characterized"	"The defining features of Alzheimer disease brain "
10	"that "	"mediate"	"memory and cognition. "
10	"The behavioral symptoms Alzheimer disease "	"correlate"	"with the accumulation of plaques and tangles, and Amyloid-Beta peptides "
11	"by the failure of live neurons "	"caused"	"Synapse loss "
12	"hallmark toxic properties of both Amyloid-Beta "	"require"	"tau. "
12	"into the diseased state "	"drive"	"healthy neurons "
12	"soluble forms of both tau work together, independently of soluble forms of tau work together to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "	"accumulation"	"into tangles, "
12	"years, a steadily accumulating body of evidence "	"indicated"	"that soluble forms of both tau work together, independently of soluble forms of tau work together accumulation into tangles, to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
12	"steadily "	"accumulating"	"body "
13	"hallmark toxic properties of both Amyloid-Beta "	"require"	"tau. "
13	"into the diseased state "	"drive"	"healthy neurons "
13	"soluble forms of both tau work together, independently of soluble forms of tau work together to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "	"accumulation"	"into plaques, "
13	"years, a steadily accumulating body of evidence "	"indicated"	"that soluble forms of both tau work together, independently of soluble forms of tau work together accumulation into plaques, to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
13	"steadily "	"accumulating"	"body "
14	"hallmark toxic properties of both Amyloid-Beta "	"require"	"tau. "
14	"into the diseased state "	"drive"	"healthy neurons "
14	"soluble forms of both tau work together, independently of soluble forms of Amyloid-Beta work together to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "	"accumulation"	"into tangles, "
14	"years, a steadily accumulating body of evidence "	"indicated"	"that soluble forms of both tau work together, independently of soluble forms of Amyloid-Beta work together accumulation into tangles, to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
14	"steadily "	"accumulating"	"body "
15	"hallmark toxic properties of both Amyloid-Beta "	"require"	"tau. "
15	"into the diseased state "	"drive"	"healthy neurons "
15	"soluble forms of both tau work together, independently of soluble forms of Amyloid-Beta work together to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "	"accumulation"	"into plaques, "
15	"years, a steadily accumulating body of evidence "	"indicated"	"that soluble forms of both tau work together, independently of soluble forms of Amyloid-Beta work together accumulation into plaques, to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
15	"steadily "	"accumulating"	"body "
16	"hallmark toxic properties of both Amyloid-Beta "	"require"	"tau. "
16	"into the diseased state "	"drive"	"healthy neurons "
16	"soluble forms of both Amyloid-Beta work together, independently of soluble forms of Amyloid-Beta work together "	"accumulation"	"to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
16	"years, a steadily accumulating body of evidence "	"indicated"	"that soluble forms of both Amyloid-Beta work together, independently of soluble forms of Amyloid-Beta work together accumulation into plaques, to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
