0	"with increased risk for sporadic, late-onset Alzheimer's disease. "	"associated"	"Variants in expressed on myeloid cells 2 "
0	"on myeloid cells "	"expressed"	"Variants 2 "
1	"germline knockout of TREM2 "	"facilitates"	"the seeding and spreading of neuritic plaque tau aggregates. "
1	"germline knockout of TREM2 "	"spreading"	"of neuritic plaque tau aggregates. "
1	"we "	"show"	"that germline knockout of TREM2 facilitates the seeding and spreading of neuritic plaque tau aggregates. "
2	"germline knockout of TREM2 "	"reduces"	"microgliosis "
2	"we "	"show"	"that germline knockout of TREM2 reduces microgliosis around amyloid-beta plaques. "
3	"germline knockout of the TREM2R47H variant "	"facilitates"	"the seeding and spreading of neuritic plaque tau aggregates. "
3	"germline knockout of the TREM2R47H variant "	"spreading"	"of neuritic plaque tau aggregates. "
3	"we "	"show"	"that germline knockout of the TREM2R47H variant facilitates the seeding and spreading of neuritic plaque tau aggregates. "
4	"germline knockout of the TREM2R47H variant "	"reduces"	"microgliosis "
4	"we "	"show"	"that germline knockout of the TREM2R47H variant reduces microgliosis around amyloid-beta plaques. "
5	"These findings "	"demonstrate"	"a key role for microglia in limiting the development of peri-plaque tau pathologies. "
6	"These findings "	"demonstrate"	"a key role for TREM2 in limiting the development of peri-plaque tau pathologies. "
