s26.1	"monitoring"
s26.1	"monitoring"	rdf:predicate	"monitor"
s26	"increased risk"
s26	"increased risk"	rdf:subject	"risk"
s26	"increased risk"	rdf:predicate	"increase"
s25	"increased risk"
s25	"increased risk"	rdf:subject	"risk"
s25	"increased risk"	rdf:predicate	"increase"
s24.2	"coronavirus disease 2019 infection"
s24.2	"coronavirus disease 2019 infection"	rdf:subject	"disease 2019 infection"
s24.2	"disease 2019 infection"	rdfs:member	"infection"
s24.2	"disease 2019 infection"	rdfs:member	"disease"
s24.2	"2019 infection"	rdfs:subClassOf	"infection"
s24.2	"disease 2019 infection"	rdfs:subClassOf	"2019 infection"
s24.2	"coronavirus disease 2019 infection"	rdf:predicate	"coronavirus"
s24.1	"increased susceptibility"
s24.1	"increased susceptibility"	rdf:subject	"susceptibility"
s24.1	"increased susceptibility"	rdf:predicate	"increase"
s24	"the presence of epilepsy not associated with increased susceptibility to coronavirus disease 2019 infection"
s24	"the presence of epilepsy not associated with increased susceptibility to coronavirus disease 2019 infection"	rdf:subject	"presence of epilepsy"
s24	"presence of epilepsy"	rdfs:member	"epilepsy"
s24	"presence of epilepsy"	rdfs:member	"presence"
s24	"presence of epilepsy"	rdfs:member	"presence"
s24	"presence of epilepsy"	rdfs:member	"epilepsy"
s24	"the presence of epilepsy not associated with increased susceptibility to coronavirus disease 2019 infection"	rdf:predicate	"not associate"
s24	"the presence of epilepsy not associated with increased susceptibility to coronavirus disease 2019 infection"	rdf:object	"increase susceptibility to coronavirus disease 2019 infection"
s24	"increase susceptibility to coronavirus disease 2019 infection"	rdfs:member	"disease"
s24	"increase susceptibility to coronavirus disease 2019 infection"	rdfs:member	"increase susceptibility"
s24	"increase susceptibility to coronavirus disease 2019 infection"	rdfs:member	"infection"
s24	"increase susceptibility"	rdfs:subClassOf	"susceptibility"
s24	"increase susceptibility"	rdfs:member	"increase"
s24	"2019 disease"	rdfs:subClassOf	"disease"
s24	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s24	"increase susceptibility to coronavirus 2019 disease"	rdfs:member	"increase susceptibility"
s24	"increase susceptibility to coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s23.2	"mortality related to 2019 infection"
s23.2	"mortality related to 2019 infection"	rdf:subject	"mortality"
s23.2	"mortality related to 2019 infection"	rdf:predicate	"relate"
s23.2	"mortality related to 2019 infection"	rdf:object	"2019 infection"
s23.2	"2019 infection"	rdfs:subClassOf	"infection"
s23.1	"increased susceptibility"
s23.1	"increased susceptibility"	rdf:subject	"susceptibility"
s23.1	"increased susceptibility"	rdf:predicate	"increase"
s23	"the presence of epilepsy not associated with increased susceptibility to mortality related to 2019 infection"
s23	"the presence of epilepsy not associated with increased susceptibility to mortality related to 2019 infection"	rdf:subject	"presence of epilepsy"
s23	"presence of epilepsy"	rdfs:member	"epilepsy"
s23	"presence of epilepsy"	rdfs:member	"presence"
s23	"presence of epilepsy"	rdfs:member	"presence"
s23	"presence of epilepsy"	rdfs:member	"epilepsy"
s23	"the presence of epilepsy not associated with increased susceptibility to mortality related to 2019 infection"	rdf:predicate	"not associate"
s23	"the presence of epilepsy not associated with increased susceptibility to mortality related to 2019 infection"	rdf:object	"increase susceptibility to mortality relate to 2019 infection"
s23	"increase susceptibility to mortality relate to 2019 infection"	rdfs:member	"infection"
s23	"increase susceptibility to mortality relate to 2019 infection"	rdfs:member	"mortality relate"
s23	"increase susceptibility to mortality relate to 2019 infection"	rdfs:member	"increase susceptibility"
s23	"mortality relate"	rdfs:member	"mortality"
s23	"increase susceptibility"	rdfs:subClassOf	"susceptibility"
s23	"increase susceptibility"	rdfs:member	"increase"
s23	"mortality relate"	rdfs:subClassOf	"relate"
s23	"2019 infection"	rdfs:subClassOf	"infection"
s23	"increase susceptibility to mortality"	rdfs:member	"increase susceptibility"
s23	"increase susceptibility to mortality"	rdfs:member	"mortality"
s23	"relate to 2019 infection"	rdfs:member	"relate"
s23	"relate to 2019 infection"	rdfs:member	"2019 infection"
s22	"mortality after coronavirus disease 2019 infection not differ to the presence of epilepsy history"
s22	"mortality after coronavirus disease 2019 infection not differ to the presence of epilepsy history"	rdf:subject	"mortality after coronavirus disease 2019 infection"
s22	"mortality after coronavirus disease 2019 infection"	rdfs:member	"infection"
s22	"mortality after coronavirus disease 2019 infection"	rdfs:member	"coronavirus disease"
s22	"mortality after coronavirus disease 2019 infection"	rdfs:member	"mortality"
