0	"growing"	vn.role:Location	"field"
2	"modified"	vn.role:Patient	"surface"
2	"key"	rdfs:member	"key element"
2	"key element"	rdfs:subClassOf	"element"
2	"key element of sensors"	local:of_sensors	"key element"
2	"key element of sensors"	local:keyelement_of	"sensors"
2	"catch"	vn.role:Agent	"key element of sensors"
2	"catch"	vn.role:Agent	"atr-crystals"
2	"catch"	vn.role:Theme	"biomarker"
2	"body"	rdfs:member	"body fluid"
2	"body fluid"	rdfs:subClassOf	"fluid"
2	"catch"	vn.role:Source	"body fluid"
3	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
3	"immuno-infrared"	rdfs:member	"immuno-infrared sensor"
3	"far immuno-infrared sensor"	rdfs:subClassOf	"immuno-infrared sensor"
3	"used"	vn.role:Theme	"far immuno-infrared sensor"
3	"used"	local:AM-MOD	"can"
3	"used"	local:AM-MNR	"once"
4	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
4	"immuno-infrared"	rdfs:member	"immuno-infrared sensor"
4	"far immuno-infrared sensor"	rdfs:subClassOf	"immuno-infrared sensor"
4	"require"	vn.role:Agent	"far immuno-infrared sensor"
4	"require"	local:AM-MOD	"can"
4	"sensor"	rdfs:member	"sensor cleaning"
4	"time-consuming steps"	rdfs:subClassOf	"steps"
4	"time-consuming"	rdfs:member	"time-consuming steps"
4	"sensor cleaning"	rdfs:subClassOf	"cleaning"
4	"time-consuming steps of sensor cleaning"	local:of_sensorcleaning	"time-consuming steps"
4	"time-consuming steps of sensor cleaning"	local:time-consumingsteps_of	"sensor cleaning"
4	"require"	vn.role:Patient	"time-consuming steps of sensor cleaning"
5	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
5	"immuno-infrared"	rdfs:member	"immuno-infrared sensor"
5	"far immuno-infrared sensor"	rdfs:subClassOf	"immuno-infrared sensor"
5	"require"	vn.role:Agent	"far immuno-infrared sensor"
5	"require"	local:AM-MOD	"can"
5	"time-consuming steps"	rdfs:subClassOf	"steps"
5	"novel surface"	rdfs:member	"novel surface functionalization"
5	"surface"	rdfs:member	"surface functionalization"
5	"novel surface functionalization"	rdfs:subClassOf	"functionalization"
5	"novel surface"	rdfs:subClassOf	"surface"
