2	"w3c standards"	rdfs:subClassOf	"standards"
2	"w3c"	rdfs:member	"w3c standards"
2	"two w3c standards"	rdfs:subClassOf	"w3c standards"
2	"aimed"	vn.role:Theme	"two w3c standards"
2	"machine-processable semantic"	rdfs:subClassOf	"semantic"
2	"machine-processable semantic"	rdfs:member	"machine-processable semantic data"
2	"machine-processable"	rdfs:member	"machine-processable semantic"
2	"semantic"	rdfs:member	"semantic data"
2	"machine-processable semantic data"	rdfs:subClassOf	"data"
2	"semantic data"	rdfs:subClassOf	"data"
2	"machine-processable semantic data"	rdfs:subClassOf	"semantic data"
2	"enriching with machine-processable semantic data"	local:with_machine-processablesemanticdata	"enriching"
2	"enriching with machine-processable semantic data"	local:enriching_with	"machine-processable semantic data"
2	"aimed"	vn.role:indirect_object	"enriching with machine-processable semantic data"
2	"enriching"	vn.role:Theme	"web"
2	"machine-processable semantic"	rdfs:subClassOf	"semantic"
2	"machine-processable semantic"	rdfs:member	"machine-processable semantic data"
2	"machine-processable"	rdfs:member	"machine-processable semantic"
2	"semantic"	rdfs:member	"semantic data"
2	"machine-processable semantic data"	rdfs:subClassOf	"data"
2	"semantic data"	rdfs:subClassOf	"data"
2	"machine-processable semantic data"	rdfs:subClassOf	"semantic data"
2	"enriching"	vn.role:Destination	"machine-processable semantic data"
