s7.1	"realizing the goals of the semantic web"
s7.1	"realizing the goals of the semantic web"	rdf:subject	"goals of the semantic Web"
s7.1	"goals of the semantic web"	rdfs:member	"semantic web"
s7.1	"goals of the semantic web"	rdfs:member	"goals"
s7.1	"semantic web"	rdfs:subClassOf	"web"
s7.1	"semantic web"	rdfs:member	"semantic"
s7.1	"goals of semantic web"	rdfs:member	"goals"
s7.1	"goals of semantic web"	rdfs:member	"semantic web"
s7.1	"realizing the goals of the semantic web"	rdf:predicate	"realize"
s7	"we posit that support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"
s7	"we posit that support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdf:subject	"We"
s7	"we posit that support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdf:predicate	"posit"
s7	"we posit that support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdf:object	"support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic Web"
s7	"support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdfs:member	"prerequisite"
s7	"support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdfs:member	"support"
s7	"support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdfs:member	"semantic web"
s7	"support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdfs:member	"mechanisms"
s7	"support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdfs:member	"such primitives"
s7	"support for such primitives and mechanisms is a prerequisite for realizing the goals of the semantic web"	rdfs:member	"goals"
s7	"such primitives"	rdfs:member	"such"
s7	"semantic web"	rdfs:subClassOf	"web"
s7	"such primitives"	rdfs:subClassOf	"primitives"
s7	"semantic web"	rdfs:member	"semantic"
s7	"support for such primitives"	rdfs:member	"support"
s7	"support for such primitives"	rdfs:member	"such primitives"
s7	"support for such primitives for mechanisms"	rdfs:member	"support for such primitives"
s7	"support for such primitives for mechanisms"	rdfs:member	"mechanisms"
s7	"goals of semantic web"	rdfs:member	"goals"
s7	"goals of semantic web"	rdfs:member	"semantic web"
s6.2	"representing the semantics of xml data"
s6.2	"representing the semantics of xml data"	rdf:subject	"semantics of XML data"
s6.2	"semantics of xml data"	rdfs:member	"xml data"
s6.2	"semantics of xml data"	rdfs:member	"semantics"
s6.2	"xml data"	rdfs:member	"xml"
s6.2	"xml data"	rdfs:subClassOf	"data"
s6.2	"semantics of xml data"	rdfs:member	"semantics"
s6.2	"semantics of xml data"	rdfs:member	"xml data"
s6.2	"representing the semantics of xml data"	rdf:predicate	"represent"
s6.1	"we offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"
s6.1	"we offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdf:subject	"We"
s6.1	"we offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdf:predicate	"offer"
s6.1	"we offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdf:object	"appropriate highlevel primitives and mechanisms representing the semantics of XML data"
s6.1	"appropriate highlevel primitives and mechanisms representing the semantics of xml data"	rdfs:member	"appropriate highlevel primitives"
s6.1	"appropriate highlevel primitives and mechanisms representing the semantics of xml data"	rdfs:member	"semantics"
s6.1	"appropriate highlevel primitives and mechanisms representing the semantics of xml data"	rdfs:member	"xml data"
s6.1	"appropriate highlevel primitives and mechanisms representing the semantics of xml data"	rdfs:member	"mechanisms"
s6.1	"appropriate highlevel"	rdfs:member	"appropriate"
s6.1	"xml data"	rdfs:member	"xml"
s6.1	"appropriate highlevel primitives"	rdfs:member	"appropriate highlevel"
s6.1	"appropriate highlevel"	rdfs:subClassOf	"highlevel"
s6.1	"highlevel primitives"	rdfs:subClassOf	"primitives"
s6.1	"appropriate highlevel primitives"	rdfs:subClassOf	"primitives"
s6.1	"highlevel primitives"	rdfs:member	"highlevel"
s6.1	"xml data"	rdfs:subClassOf	"data"
s6.1	"appropriate highlevel primitives"	rdfs:subClassOf	"highlevel primitives"
s6.1	"appropriate highlevel primitives representing"	rdfs:member	"appropriate highlevel primitives"
s6.1	"appropriate highlevel primitives representing"	rdfs:member	"representing"
s6.1	"semantics of xml data"	rdfs:member	"semantics"
s6.1	"semantics of xml data"	rdfs:member	"xml data"
s6	"instead we focus on the significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"
s6	"instead we focus on the significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdf:subject	"We"
s6	"instead we focus on the significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdf:predicate	"focus"
s6	"instead we focus on the significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdf:object	"significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of XML data"
s6	"significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdfs:member	"appropriate highlevel primitives"
s6	"significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdfs:member	"significance"
s6	"significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdfs:member	"mechanisms"
s6	"significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdfs:member	"xml data"
s6	"significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	rdfs:member	"semantics"
s6	"appropriate highlevel"	rdfs:member	"appropriate"
s6	"xml data"	rdfs:member	"xml"
s6	"appropriate highlevel primitives"	rdfs:member	"appropriate highlevel"
s6	"appropriate highlevel"	rdfs:subClassOf	"highlevel"
s6	"highlevel primitives"	rdfs:subClassOf	"primitives"
s6	"appropriate highlevel primitives"	rdfs:subClassOf	"primitives"
s6	"highlevel primitives"	rdfs:member	"highlevel"
s6	"xml data"	rdfs:subClassOf	"data"
s6	"appropriate highlevel primitives"	rdfs:subClassOf	"highlevel primitives"
s6	"semantics of xml data"	rdfs:member	"semantics"
s6	"semantics of xml data"	rdfs:member	"xml data"
s6	"instead we focus on the significance of offering appropriate highlevel primitives and mechanisms for representing the semantics of xml data"	local:AM-DIS	"Instead"
s4	"we propose an integration system"
s4	"we propose an integration system"	rdf:subject	"We"
s4	"we propose an integration system"	rdf:predicate	"propose"
s4	"we propose an integration system"	rdf:object	"integration system"
s4	"integration system"	rdfs:member	"integration"
s4	"integration system"	rdfs:subClassOf	"system"
s2	"this paper deals with some modeling aspects"
s2	"this paper deals with some modeling aspects"	rdf:subject	"paper"
s2	"this paper deals with some modeling aspects"	rdf:predicate	"deal"
s2	"this paper deals with some modeling aspects"	rdf:object	"modeling aspects"
s2	"modeling aspects"	rdfs:subClassOf	"aspects"
s2	"modeling aspects"	rdfs:member	"modeling"
s1.1	"some modeling aspects that have addressed in the context of the integration of autonomous xml resources"
s1.1	"some modeling aspects that have addressed in the context of the integration of autonomous xml resources"	rdf:subject	"modeling aspects"
s1.1	"modeling aspects"	rdfs:subClassOf	"aspects"
s1.1	"modeling aspects"	rdfs:member	"modeling"
s1.1	"some modeling aspects that have addressed in the context of the integration of autonomous xml resources"	rdf:predicate	"address"
s1.1	"some modeling aspects that have addressed in the context of the integration of autonomous xml resources"	local:AM-LOC	"context of the integration of autonomous XML resources"
s1.1	"context of the integration of autonomous xml resources"	rdfs:member	"integration"
s1.1	"context of the integration of autonomous xml resources"	rdfs:member	"autonomous xml resources"
s1.1	"context of the integration of autonomous xml resources"	rdfs:member	"context"
s1.1	"xml resources"	rdfs:subClassOf	"resources"
s1.1	"autonomous xml resources"	rdfs:subClassOf	"resources"
s1.1	"autonomous xml resources"	rdfs:member	"autonomous xml"
s1.1	"autonomous xml"	rdfs:member	"autonomous"
s1.1	"xml resources"	rdfs:member	"xml"
s1.1	"autonomous xml"	rdfs:subClassOf	"xml"
s1.1	"autonomous xml resources"	rdfs:subClassOf	"xml resources"
s1.1	"context of integration"	rdfs:member	"context"
s1.1	"context of integration"	rdfs:member	"integration"
s1.1	"integration of autonomous xml resources"	rdfs:member	"integration"
s1.1	"integration of autonomous xml resources"	rdfs:member	"autonomous xml resources"
s1.1	"some modeling aspects that have addressed in the context of the integration of autonomous xml resources"	local:AM-MOD	"have"
s1	"have"
s1	"have"	rdf:predicate	"have"
s0.1	"some modeling aspects that have addressed in the context of the integration of heterogeneous xml resources"
s0.1	"some modeling aspects that have addressed in the context of the integration of heterogeneous xml resources"	rdf:subject	"modeling aspects"
s0.1	"modeling aspects"	rdfs:subClassOf	"aspects"
s0.1	"modeling aspects"	rdfs:member	"modeling"
s0.1	"some modeling aspects that have addressed in the context of the integration of heterogeneous xml resources"	rdf:predicate	"address"
s0.1	"some modeling aspects that have addressed in the context of the integration of heterogeneous xml resources"	local:AM-LOC	"context of the integration of heterogeneous XML resources"
s0.1	"context of the integration of heterogeneous xml resources"	rdfs:member	"integration"
s0.1	"context of the integration of heterogeneous xml resources"	rdfs:member	"heterogeneous xml resources"
s0.1	"context of the integration of heterogeneous xml resources"	rdfs:member	"context"
s0.1	"heterogeneous xml"	rdfs:subClassOf	"xml"
s0.1	"heterogeneous xml resources"	rdfs:member	"heterogeneous xml"
s0.1	"heterogeneous xml"	rdfs:member	"heterogeneous"
s0.1	"xml resources"	rdfs:subClassOf	"resources"
s0.1	"heterogeneous xml resources"	rdfs:subClassOf	"resources"
s0.1	"xml resources"	rdfs:member	"xml"
s0.1	"heterogeneous xml resources"	rdfs:subClassOf	"xml resources"
s0.1	"context of integration"	rdfs:member	"context"
s0.1	"context of integration"	rdfs:member	"integration"
s0.1	"integration of heterogeneous xml resources"	rdfs:member	"integration"
s0.1	"integration of heterogeneous xml resources"	rdfs:member	"heterogeneous xml resources"
s0.1	"some modeling aspects that have addressed in the context of the integration of heterogeneous xml resources"	local:AM-MOD	"have"
s0	"have"
s0	"have"	rdf:predicate	"have"
