0	"rdf-annotated pages"	rdfs:subClassOf	"pages"
0	"rdf-annotated"	rdfs:member	"rdf-annotated pages"
0	"participating"	vn.role:Actor1	"rdf-annotated pages"
0	"semantic"	rdfs:member	"semantic web"
0	"semantic web"	rdfs:subClassOf	"web"
0	"participating"	vn.role:Actor2	"semantic web"
3	"critical"	rdfs:member	"critical mass"
3	"critical mass"	rdfs:subClassOf	"mass"
3	"make"	vn.role:Agent	"critical mass"
3	"make"	local:AM-MOD	"will"
3	"semantic"	rdfs:member	"semantic web"
3	"semantic web"	rdfs:subClassOf	"web"
3	"make"	vn.role:Product	"semantic web"
3	"make"	vn.role:Material	"success"
4	"potential"	rdfs:member	"potential participants"
4	"potential participants"	rdfs:subClassOf	"participants"
4	"n’t"	vn.role:subject	"potential participants"
4	"n’t"	local:AM-MOD	"ca"
4	"additional work"	rdfs:subClassOf	"work"
4	"potential"	rdfs:member	"potential participants"
4	"potential participants"	rdfs:subClassOf	"participants"
4	"critical"	rdfs:member	"critical mass"
4	"semantic"	rdfs:member	"semantic web"
4	"semantic web"	rdfs:subClassOf	"web"
4	"critical mass"	rdfs:subClassOf	"mass"
4	"additional"	rdfs:member	"additional work"
4	"yet needed"	rdfs:subClassOf	"needed"
4	"necessary work"	rdfs:subClassOf	"work"
4	"additional necessary work"	rdfs:subClassOf	"necessary work"
4	"necessary for semantic web"	local:for_semanticweb	"necessary"
4	"necessary for semantic web"	local:necessary_for	"semantic web"
4	"yet needed for semantic web"	local:for_semanticweb	"yet needed"
4	"yet needed for semantic web"	local:yetneeded_for	"semantic web"
4	"n’t"	vn.role:object	"afford"
4	"potential"	rdfs:member	"potential participants"
4	"potential participants"	rdfs:subClassOf	"participants"
4	"afford"	vn.role:Agent	"potential participants"
4	"additional work"	rdfs:subClassOf	"work"
4	"potential"	rdfs:member	"potential participants"
4	"potential participants"	rdfs:subClassOf	"participants"
4	"critical"	rdfs:member	"critical mass"
4	"semantic"	rdfs:member	"semantic web"
4	"semantic web"	rdfs:subClassOf	"web"
4	"critical mass"	rdfs:subClassOf	"mass"
4	"additional"	rdfs:member	"additional work"
4	"yet needed"	rdfs:subClassOf	"needed"
4	"necessary work"	rdfs:subClassOf	"work"
4	"additional necessary work"	rdfs:subClassOf	"necessary work"
4	"necessary for semantic web"	local:for_semanticweb	"necessary"
4	"necessary for semantic web"	local:necessary_for	"semantic web"
4	"additional necessary work yet needed"	local:_yetneeded	"additional necessary work"
4	"additional necessary work yet needed"	local:additionalnecessarywork_	"yet needed"
4	"yet needed for semantic web"	local:for_semanticweb	"yet needed"
4	"yet needed for semantic web"	local:yetneeded_for	"semantic web"
4	"afford"	vn.role:Theme	"additional necessary work yet needed"
4	"potential"	rdfs:member	"potential participants"
4	"potential participants"	rdfs:subClassOf	"participants"
4	"’re"	vn.role:subject	"potential participants"
4	"semantic"	rdfs:member	"semantic web"
4	"critical"	rdfs:member	"critical mass"
4	"semantic web"	rdfs:subClassOf	"web"
4	"critical mass"	rdfs:subClassOf	"mass"
4	"needed for semantic web"	local:for_semanticweb	"needed"
4	"needed for semantic web"	local:needed_for	"semantic web"
4	"’re"	vn.role:object	"needed for semantic web"
4	"potential"	rdfs:member	"potential participants"
4	"potential participants"	rdfs:subClassOf	"participants"
4	"participants re"	rdfs:subClassOf	"re"
4	"needed"	vn.role:Patient	"participants re"
4	"semantic"	rdfs:member	"semantic web"
4	"semantic web"	rdfs:subClassOf	"web"
4	"needed"	vn.role:other	"semantic web"
4	"critical"	rdfs:member	"critical mass"
4	"critical mass"	rdfs:subClassOf	"mass"
4	"needed"	local:AM-PNC	"reach"
4	"potential"	rdfs:member	"potential participants"
4	"potential participants"	rdfs:subClassOf	"participants"
4	"reach"	vn.role:Agent	"potential participants"
4	"semantic"	rdfs:member	"semantic web"
4	"semantic web"	rdfs:subClassOf	"web"
4	"reach"	vn.role:Agent	"semantic web"
4	"critical"	rdfs:member	"critical mass"
4	"critical mass"	rdfs:subClassOf	"mass"
4	"reach"	vn.role:Theme	"critical mass"
5	"semantic"	rdfs:member	"semantic web"
5	"semantic web"	rdfs:subClassOf	"web"
5	"discusses"	vn.role:Patient1	"semantic web"
5	"own information layer"	rdfs:member	"own information layer system"
5	"layer system"	rdfs:subClassOf	"system"
5	"own information"	rdfs:member	"own information layer"
5	"own information layer system"	rdfs:subClassOf	"system"
5	"information layer system"	rdfs:subClassOf	"system"
5	"information layer"	rdfs:subClassOf	"layer"
5	"own information"	rdfs:subClassOf	"information"
5	"own"	rdfs:member	"own information"
5	"possible way"	rdfs:subClassOf	"way"
5	"layer"	rdfs:member	"layer system"
5	"information layer"	rdfs:member	"information layer system"
5	"information"	rdfs:member	"information layer"
5	"own information layer"	rdfs:subClassOf	"layer"
5	"possible"	rdfs:member	"possible way"
5	"information layer system"	rdfs:subClassOf	"layer system"
5	"own information layer system"	rdfs:subClassOf	"information layer system"
5	"our own information layer system"	rdfs:subClassOf	"own information layer system"
5	"barrier for entry"	local:for_entry	"barrier"
5	"barrier for entry"	local:barrier_for	"entry"
5	"entry using"	local:_using	"entry"
5	"entry using"	local:entry_	"using"
5	"using like our own information layer system"	local:like_ourowninformationlayersystem	"using"
5	"using like our own information layer system"	local:using_like	"our own information layer system"
5	"discusses"	vn.role:Patient2	"possible way"
5	"semantic"	rdfs:member	"semantic web"
5	"semantic web"	rdfs:subClassOf	"web"
5	"lower"	vn.role:Patient	"semantic web"
5	"own information layer"	rdfs:member	"own information layer system"
5	"layer system"	rdfs:subClassOf	"system"
5	"own information"	rdfs:member	"own information layer"
5	"own information layer system"	rdfs:subClassOf	"system"
5	"information layer system"	rdfs:subClassOf	"system"
5	"information layer"	rdfs:subClassOf	"layer"
5	"own information"	rdfs:subClassOf	"information"
5	"own"	rdfs:member	"own information"
5	"layer"	rdfs:member	"layer system"
5	"information layer"	rdfs:member	"information layer system"
5	"information"	rdfs:member	"information layer"
5	"own information layer"	rdfs:subClassOf	"layer"
5	"information layer system"	rdfs:subClassOf	"layer system"
5	"own information layer system"	rdfs:subClassOf	"information layer system"
5	"our own information layer system"	rdfs:subClassOf	"own information layer system"
5	"barrier for entry"	local:for_entry	"barrier"
5	"barrier for entry"	local:barrier_for	"entry"
5	"entry using"	local:_using	"entry"
5	"entry using"	local:entry_	"using"
5	"using like our own information layer system"	local:like_ourowninformationlayersystem	"using"
5	"using like our own information layer system"	local:using_like	"our own information layer system"
5	"lower"	vn.role:Attribute	"barrier for entry"
5	"using"	vn.role:Theme	"tools"
5	"own information layer"	rdfs:member	"own information layer system"
5	"layer system"	rdfs:subClassOf	"system"
5	"own information"	rdfs:member	"own information layer"
5	"own information layer system"	rdfs:subClassOf	"system"
5	"information layer system"	rdfs:subClassOf	"system"
5	"information layer"	rdfs:subClassOf	"layer"
5	"own information"	rdfs:subClassOf	"information"
5	"own"	rdfs:member	"own information"
5	"layer"	rdfs:member	"layer system"
5	"information layer"	rdfs:member	"information layer system"
5	"information"	rdfs:member	"information layer"
5	"own information layer"	rdfs:subClassOf	"layer"
5	"information layer system"	rdfs:subClassOf	"layer system"
5	"own information layer system"	rdfs:subClassOf	"information layer system"
5	"our own information layer system"	rdfs:subClassOf	"own information layer system"
5	"using"	vn.role:Recipient	"our own information layer system"
6	"semantic"	rdfs:member	"semantic web"
6	"semantic web"	rdfs:subClassOf	"web"
6	"discusses"	vn.role:Patient1	"semantic web"
6	"discusses"	vn.role:Patient2	"problems"
7	"prevent"	vn.role:Agent	"problems"
7	"prevent"	local:AM-MOD	"may"
7	"content providers"	rdfs:subClassOf	"providers"
7	"content"	rdfs:member	"content providers"
7	"small content"	rdfs:member	"small content providers"
7	"small"	rdfs:member	"small content"
7	"small content"	rdfs:subClassOf	"content"
7	"small content providers"	rdfs:subClassOf	"providers"
7	"small content providers"	rdfs:subClassOf	"content providers"
7	"prevent"	vn.role:Theme	"small content providers"
7	"semantic"	rdfs:member	"semantic web"
7	"semantic web"	rdfs:subClassOf	"web"
7	"participating in semantic web"	local:in_semanticweb	"participating"
7	"participating in semantic web"	local:participating_in	"semantic web"
7	"prevent"	vn.role:indirect_object	"participating in semantic web"
7	"content providers"	rdfs:subClassOf	"providers"
7	"content"	rdfs:member	"content providers"
7	"small content"	rdfs:member	"small content providers"
7	"small"	rdfs:member	"small content"
7	"small content"	rdfs:subClassOf	"content"
7	"small content providers"	rdfs:subClassOf	"providers"
7	"small content providers"	rdfs:subClassOf	"content providers"
7	"participating"	vn.role:Actor1	"small content providers"
7	"semantic"	rdfs:member	"semantic web"
7	"semantic web"	rdfs:subClassOf	"web"
7	"participating"	vn.role:Actor2	"semantic web"
