0	"increasing"	vn.role:Attribute	"awareness"
0	"increasing awareness"	rdfs:subClassOf	"awareness"
0	"increasing awareness of benefits"	local:of_benefits	"increasing awareness"
0	"increasing awareness of benefits"	local:increasingawareness_of	"benefits"
0	"benefits of ontologies"	local:of_ontologies	"benefits"
0	"benefits of ontologies"	local:benefits_of	"ontologies"
0	"has"	vn.role:Stimulus	"increasing awareness of benefits"
0	"large ontologies"	rdfs:subClassOf	"ontologies"
0	"real-world domains"	rdfs:subClassOf	"domains"
0	"real-world"	rdfs:member	"real-world domains"
0	"large"	rdfs:member	"large ontologies"
0	"ontologies creation"	rdfs:subClassOf	"creation"
0	"a large ontologies"	rdfs:subClassOf	"large ontologies"
0	"lead to ontologies creation"	local:to_ontologiescreation	"lead"
0	"lead to ontologies creation"	local:lead_to	"ontologies creation"
0	"a large ontologies about real-world domains"	local:about_real-worlddomains	"a large ontologies"
0	"a large ontologies about real-world domains"	local:alargeontologies_about	"real-world domains"
0	"has"	vn.role:Stimulus	"lead to ontologies creation"
2	"monolithic character"	rdfs:subClassOf	"character"
2	"size monolithic character"	rdfs:subClassOf	"monolithic character"
2	"size of ontologies"	local:of_ontologies	"size"
2	"size of ontologies"	local:size_of	"ontologies"
2	"cause"	vn.role:Theme1	"size monolithic character"
2	"serious problems"	rdfs:subClassOf	"problems"
2	"serious"	rdfs:member	"serious problems"
2	"cause"	vn.role:Theme2	"serious problems"
2	"handling"	vn.role:object	"ontologies"
3	"handling"	vn.role:Theme	"ontologies"
3	"handling"	vn.role:object	"them"
3	"areas ontologies"	rdfs:subClassOf	"ontologies"
3	"tackled"	local:AM-LOC	"areas ontologies"
3	"serious problems"	rdfs:subClassOf	"problems"
3	"serious"	rdfs:member	"serious problems"
3	"tackled"	vn.role:Theme	"serious problems"
3	"monolithic entities"	rdfs:subClassOf	"entities"
3	"monolithic"	rdfs:member	"monolithic entities"
3	"tackled"	vn.role:Agent	"partitioning"
3	"meaningful"	rdfs:member	"meaningful modules"
3	"meaningful modules"	rdfs:subClassOf	"modules"
3	"sets of meaningful modules"	local:of_meaningfulmodules	"sets"
3	"sets of meaningful modules"	local:sets_of	"meaningful modules"
3	"tackled"	vn.role:Instrument	"sets of meaningful modules"
3	"monolithic entities"	rdfs:subClassOf	"entities"
3	"monolithic"	rdfs:member	"monolithic entities"
3	"partitioning"	vn.role:Patient	"monolithic entities"
3	"meaningful"	rdfs:member	"meaningful modules"
3	"meaningful modules"	rdfs:subClassOf	"modules"
3	"sets of meaningful modules"	local:of_meaningfulmodules	"sets"
3	"sets of meaningful modules"	local:sets_of	"meaningful modules"
3	"partitioning"	local:AM-MNR	"sets of meaningful modules"
4	"handling"	vn.role:object	"them"
4	"software engineering"	rdfs:subClassOf	"engineering"
4	"serious problems"	rdfs:subClassOf	"problems"
4	"serious"	rdfs:member	"serious problems"
4	"software"	rdfs:member	"software engineering"
4	"engineering serious problems"	rdfs:subClassOf	"serious problems"
4	"software engineering serious problems"	rdfs:subClassOf	"engineering serious problems"
4	"areas software engineering serious problems"	local:_softwareengineeringseriousproblems	"areas"
4	"areas software engineering serious problems"	local:areas_	"software engineering serious problems"
4	"tackled"	local:AM-LOC	"areas software engineering serious problems"
4	"tackled"	vn.role:Theme	"them"
4	"monolithic entities"	rdfs:subClassOf	"entities"
4	"monolithic"	rdfs:member	"monolithic entities"
4	"tackled"	vn.role:Agent	"partitioning"
4	"meaningful"	rdfs:member	"meaningful modules"
4	"meaningful modules"	rdfs:subClassOf	"modules"
4	"sets of meaningful modules"	local:of_meaningfulmodules	"sets"
4	"sets of meaningful modules"	local:sets_of	"meaningful modules"
4	"tackled"	vn.role:Instrument	"sets of meaningful modules"
4	"monolithic entities"	rdfs:subClassOf	"entities"
4	"monolithic"	rdfs:member	"monolithic entities"
4	"partitioning"	vn.role:Patient	"monolithic entities"
4	"meaningful"	rdfs:member	"meaningful modules"
4	"meaningful modules"	rdfs:subClassOf	"modules"
4	"sets of meaningful modules"	local:of_meaningfulmodules	"sets"
4	"sets of meaningful modules"	local:sets_of	"meaningful modules"
4	"partitioning"	local:AM-MNR	"sets of meaningful modules"
5	"cause"	local:AM-ADV	"areas"
5	"monolithic character"	rdfs:subClassOf	"character"
5	"monolithic"	rdfs:member	"monolithic character"
5	"cause"	vn.role:Theme1	"monolithic character"
5	"meaningful"	rdfs:member	"meaningful modules"
5	"monolithic entities"	rdfs:subClassOf	"entities"
5	"serious problems"	rdfs:subClassOf	"problems"
5	"monolithic"	rdfs:member	"monolithic entities"
5	"serious"	rdfs:member	"serious problems"
5	"meaningful modules"	rdfs:subClassOf	"modules"
5	"partitioning into sets"	local:into_sets	"partitioning"
5	"partitioning into sets"	local:partitioning_into	"sets"
5	"sets of meaningful modules"	local:of_meaningfulmodules	"sets"
5	"sets of meaningful modules"	local:sets_of	"meaningful modules"
5	"cause"	vn.role:Theme2	"tackled"
5	"handling"	vn.role:object	"them"
5	"monolithic character"	rdfs:subClassOf	"character"
5	"monolithic"	rdfs:member	"monolithic character"
5	"their monolithic character"	rdfs:subClassOf	"monolithic character"
5	"tackled"	local:AM-LOC	"their monolithic character"
5	"serious problems"	rdfs:subClassOf	"problems"
5	"serious"	rdfs:member	"serious problems"
5	"tackled"	vn.role:Theme	"serious problems"
5	"monolithic entities"	rdfs:subClassOf	"entities"
5	"monolithic"	rdfs:member	"monolithic entities"
5	"tackled"	vn.role:Agent	"partitioning"
5	"meaningful"	rdfs:member	"meaningful modules"
5	"meaningful modules"	rdfs:subClassOf	"modules"
5	"sets of meaningful modules"	local:of_meaningfulmodules	"sets"
5	"sets of meaningful modules"	local:sets_of	"meaningful modules"
5	"tackled"	vn.role:Instrument	"sets of meaningful modules"
5	"monolithic entities"	rdfs:subClassOf	"entities"
5	"monolithic"	rdfs:member	"monolithic entities"
5	"partitioning"	vn.role:Patient	"monolithic entities"
