0	"run-time discovery"	rdfs:subClassOf	"discovery"
0	"run-time"	rdfs:member	"run-time discovery"
0	"vision of run-time discovery"	local:of_run-timediscovery	"vision"
0	"vision of run-time discovery"	local:vision_of	"run-time discovery"
0	"achieving"	vn.role:Theme	"vision of run-time discovery"
1	"dynamic"	rdfs:member	"dynamic composition"
1	"dynamic composition"	rdfs:subClassOf	"composition"
1	"dynamic composition of services"	local:of_services	"dynamic composition"
1	"dynamic composition of services"	local:dynamiccomposition_of	"services"
1	"achieving"	vn.role:Theme	"dynamic composition of services"
2	"is,"	vn.role:subject	"service"
2	"service interacts"	rdfs:subClassOf	"interacts"
2	"other services"	rdfs:subClassOf	"services"
2	"other"	rdfs:member	"other services"
2	"service"	rdfs:member	"service interacts"
2	"interacts with other services"	local:with_otherservices	"interacts"
2	"interacts with other services"	local:interacts_with	"other services"
2	"is,"	vn.role:object	"interacts with other services"
2	"interacts"	vn.role:Actor	"service"
2	"interacts"	vn.role:Actor1	"services"
3	"is,"	vn.role:subject	"service"
3	"service interacts"	rdfs:subClassOf	"interacts"
3	"service"	rdfs:member	"service interacts"
3	"interacts with agents"	local:with_agents	"interacts"
3	"interacts with agents"	local:interacts_with	"agents"
3	"is,"	vn.role:object	"interacts with agents"
3	"interacts"	vn.role:Actor	"service"
3	"interacts"	vn.role:Actor1	"agents"
4	"use"	local:AM-LOC	"paper"
4	"use"	vn.role:Agent	"we"
4	"grid applications"	rdfs:subClassOf	"applications"
4	"real-life"	rdfs:member	"real-life grid"
4	"real-life grid"	rdfs:subClassOf	"grid"
4	"grid"	rdfs:member	"grid applications"
4	"real-life grid applications"	rdfs:subClassOf	"applications"
4	"real-life grid"	rdfs:member	"real-life grid applications"
4	"existing work"	rdfs:subClassOf	"work"
4	"real-life grid applications"	rdfs:subClassOf	"grid applications"
4	"gained through development"	local:through_development	"gained"
4	"gained through development"	local:gained_through	"development"
4	"development of real-life grid applications"	local:of_real-lifegridapplications	"development"
4	"development of real-life grid applications"	local:development_of	"real-life grid applications"
4	"set of requirements"	local:of_requirements	"set"
4	"set of requirements"	local:set_of	"requirements"
4	"requirements against offerings"	local:against_offerings	"requirements"
4	"requirements against offerings"	local:requirements_against	"offerings"
4	"offerings of existing work"	local:of_existingwork	"offerings"
4	"offerings of existing work"	local:offerings_of	"existing work"
4	"gained through development such_as irs-ii"	local:such_as_irs-ii	"gained through development"
4	"gained through development such_as irs-ii"	local:gainedthroughdevelopment_such_as	"irs-ii"
4	"use"	vn.role:Theme	"gained through development such_as irs-ii"
4	"gained"	local:AM-LOC	"paper"
4	"use experience"	rdfs:subClassOf	"experience"
4	"use"	rdfs:member	"use experience"
4	"gained"	vn.role:Attribute	"use experience"
4	"grid applications"	rdfs:subClassOf	"applications"
4	"real-life"	rdfs:member	"real-life grid"
4	"real-life grid"	rdfs:subClassOf	"grid"
4	"grid"	rdfs:member	"grid applications"
4	"real-life grid applications"	rdfs:subClassOf	"applications"
4	"real-life grid"	rdfs:member	"real-life grid applications"
4	"existing work"	rdfs:subClassOf	"work"
4	"real-life grid applications"	rdfs:subClassOf	"grid applications"
4	"development of real-life grid applications"	local:of_real-lifegridapplications	"development"
4	"development of real-life grid applications"	local:development_of	"real-life grid applications"
4	"set of requirements"	local:of_requirements	"set"
4	"set of requirements"	local:set_of	"requirements"
4	"requirements against offerings"	local:against_offerings	"requirements"
4	"requirements against offerings"	local:requirements_against	"offerings"
4	"offerings of existing work"	local:of_existingwork	"offerings"
4	"offerings of existing work"	local:offerings_of	"existing work"
4	"real-life grid applications such_as irs-ii"	local:such_as_irs-ii	"real-life grid applications"
4	"real-life grid applications such_as irs-ii"	local:real-lifegridapplications_such_as	"irs-ii"
4	"gained"	vn.role:Patient	"development of real-life grid applications"
4	"produce"	vn.role:Agent	"we"
4	"existing work"	rdfs:subClassOf	"work"
4	"set of requirements"	local:of_requirements	"set"
