s7.2	"proposed"
s7.2	"proposed"	rdf:predicate	"propose"
s7.1	"we approach to a proposed rule language extension to owl"
s7.1	"we approach to a proposed rule language extension to owl"	rdf:subject	"we"
s7.1	"we approach to a proposed rule language extension to owl"	rdf:predicate	"approach"
s7.1	"we approach to a proposed rule language extension to owl"	rdf:object	"proposed rule language extension to OWL"
s7.1	"rule language extension"	rdfs:member	"rule language"
s7.1	"rule language"	rdfs:subClassOf	"language"
s7.1	"rule language extension"	rdfs:subClassOf	"extension"
s7.1	"rule language"	rdfs:member	"rule"
s7.1	"language extension"	rdfs:member	"language"
s7.1	"language extension"	rdfs:subClassOf	"extension"
s7.1	"rule language extension"	rdfs:subClassOf	"language extension"
s7.1	"proposed rule language extension"	rdfs:subClassOf	"rule language extension"
s7.1	"proposed rule language extension to owl"	rdfs:member	"proposed rule language extension"
s7.1	"proposed rule language extension to owl"	rdfs:member	"owl"
s7	"we also extend we approach to a proposed rule language extension to owl"
s7	"we also extend we approach to a proposed rule language extension to owl"	rdf:subject	"we"
s7	"we also extend we approach to a proposed rule language extension to owl"	rdf:predicate	"extend"
s7	"we also extend we approach to a proposed rule language extension to owl"	rdf:object	"approach to a proposed rule language extension to OWL"
s7	"approach to a proposed rule language extension to owl"	rdfs:member	"rule language extension"
s7	"approach to a proposed rule language extension to owl"	rdfs:member	"approach"
s7	"rule language extension"	rdfs:member	"rule language"
s7	"rule language"	rdfs:subClassOf	"language"
s7	"rule language extension"	rdfs:subClassOf	"extension"
s7	"rule language"	rdfs:member	"rule"
s7	"language extension"	rdfs:member	"language"
s7	"language extension"	rdfs:subClassOf	"extension"
s7	"rule language extension"	rdfs:subClassOf	"language extension"
s7	"proposed rule language extension"	rdfs:subClassOf	"rule language extension"
s7	"approach to proposed rule language extension"	rdfs:member	"approach"
s7	"approach to proposed rule language extension"	rdfs:member	"proposed rule language extension"
s7	"proposed rule language extension to owl"	rdfs:member	"proposed rule language extension"
s7	"proposed rule language extension to owl"	rdfs:member	"owl"
s7	"we also extend we approach to a proposed rule language extension to owl"	local:AM-DIS	"also"
s6.1	"we approach to swrl"
s6.1	"we approach to swrl"	rdf:subject	"we"
s6.1	"we approach to swrl"	rdf:predicate	"approach"
s6.1	"we approach to swrl"	rdf:object	"SWRL"
s6	"we also extend we approach to swrl"
s6	"we also extend we approach to swrl"	rdf:subject	"we"
s6	"we also extend we approach to swrl"	rdf:predicate	"extend"
s6	"we also extend we approach to swrl"	rdf:object	"approach to SWRL"
s6	"approach to swrl"	rdfs:member	"approach"
s6	"approach to swrl"	rdfs:member	"swrl"
s6	"we also extend we approach to swrl"	local:AM-DIS	"also"
s5.3	"existing generalpurpose classical firstorder predicate logic provers"
s5.3	"existing generalpurpose classical firstorder predicate logic provers"	rdf:subject	"generalpurpose classical firstorder predicate logic provers"
s5.3	"predicate logic provers"	rdfs:subClassOf	"provers"
s5.3	"generalpurpose classical"	rdfs:member	"generalpurpose"
s5.3	"predicate logic provers"	rdfs:member	"predicate logic"
s5.3	"classical firstorder predicate logic provers"	rdfs:member	"classical firstorder predicate logic"
s5.3	"firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5.3	"classical firstorder"	rdfs:member	"classical"
s5.3	"logic provers"	rdfs:subClassOf	"provers"
s5.3	"classical firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5.3	"generalpurpose classical firstorder predicate"	rdfs:member	"generalpurpose classical firstorder"
s5.3	"firstorder predicate logic"	rdfs:member	"firstorder predicate"
s5.3	"classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s5.3	"classical firstorder predicate"	rdfs:member	"classical firstorder"
s5.3	"generalpurpose classical"	rdfs:subClassOf	"classical"
s5.3	"generalpurpose classical firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5.3	"generalpurpose classical firstorder"	rdfs:subClassOf	"firstorder"
s5.3	"generalpurpose classical firstorder predicate"	rdfs:subClassOf	"predicate"
s5.3	"classical firstorder predicate"	rdfs:subClassOf	"predicate"
s5.3	"classical firstorder"	rdfs:subClassOf	"firstorder"
s5.3	"firstorder predicate logic provers"	rdfs:member	"firstorder predicate logic"
s5.3	"generalpurpose classical firstorder predicate logic"	rdfs:member	"generalpurpose classical firstorder predicate"
s5.3	"firstorder predicate"	rdfs:subClassOf	"predicate"
s5.3	"generalpurpose classical firstorder"	rdfs:member	"generalpurpose classical"
s5.3	"firstorder predicate logic"	rdfs:subClassOf	"logic"
s5.3	"predicate logic"	rdfs:subClassOf	"logic"
