0	"purpose of paper"	local:of_paper	"purpose"
0	"purpose of paper"	local:purpose_of	"paper"
0	"provide"	vn.role:Recipient	"purpose of paper"
0	"rigorous comparison"	rdfs:subClassOf	"comparison"
0	"query languages"	rdfs:subClassOf	"languages"
0	"rigorous"	rdfs:member	"rigorous comparison"
0	"query"	rdfs:member	"query languages"
0	"six query languages"	rdfs:subClassOf	"query languages"
0	"rigorous comparison of six query languages"	local:of_sixquerylanguages	"rigorous comparison"
0	"rigorous comparison of six query languages"	local:rigorouscomparison_of	"six query languages"
0	"six query languages for rdf"	local:for_rdf	"six query languages"
0	"six query languages for rdf"	local:sixquerylanguages_for	"rdf"
0	"provide"	vn.role:Agent	"rigorous comparison of six query languages"
1	"categorize"	vn.role:Agent	"we"
1	"rdf query"	rdfs:member	"rdf query language"
1	"individual languages"	rdfs:subClassOf	"languages"
1	"individual"	rdfs:member	"individual languages"
1	"query language"	rdfs:subClassOf	"language"
1	"query"	rdfs:member	"query language"
1	"rdf query"	rdfs:subClassOf	"query"
1	"rdf"	rdfs:member	"rdf query"
1	"rdf query language"	rdfs:subClassOf	"language"
1	"should provide"	rdfs:subClassOf	"provide"
1	"rdf query language"	rdfs:subClassOf	"query language"
1	"individual languages along features"	local:along_features	"individual languages"
1	"individual languages along features"	local:individuallanguages_along	"features"
1	"categorize"	vn.role:Patient	"features"
1	"rdf query"	rdfs:member	"rdf query language"
1	"query language"	rdfs:subClassOf	"language"
1	"query"	rdfs:member	"query language"
1	"rdf query"	rdfs:subClassOf	"query"
1	"rdf"	rdfs:member	"rdf query"
1	"rdf query language"	rdfs:subClassOf	"language"
1	"rdf query language"	rdfs:subClassOf	"query language"
1	"provide"	vn.role:Recipient	"rdf query language"
1	"provide"	local:AM-MOD	"should"
1	"individual languages"	rdfs:subClassOf	"languages"
1	"individual"	rdfs:member	"individual languages"
1	"individual languages along features"	local:along_features	"individual languages"
1	"individual languages along features"	local:individuallanguages_along	"features"
1	"provide"	vn.role:Agent	"individual languages along features"
2	"outline"	vn.role:Agent	"we"
2	"rdf query"	rdfs:member	"rdf query language"
2	"individual languages"	rdfs:subClassOf	"languages"
2	"individual"	rdfs:member	"individual languages"
2	"query language"	rdfs:subClassOf	"language"
2	"query"	rdfs:member	"query language"
2	"rdf query"	rdfs:subClassOf	"query"
2	"rdf"	rdfs:member	"rdf query"
2	"rdf query language"	rdfs:subClassOf	"language"
2	"should compare"	rdfs:subClassOf	"compare"
2	"rdf query language"	rdfs:subClassOf	"query language"
2	"individual languages along features"	local:along_features	"individual languages"
2	"individual languages along features"	local:individuallanguages_along	"features"
2	"outline"	vn.role:Theme	"features"
2	"rdf query"	rdfs:member	"rdf query language"
2	"query language"	rdfs:subClassOf	"language"
2	"query"	rdfs:member	"query language"
2	"rdf query"	rdfs:subClassOf	"query"
2	"rdf"	rdfs:member	"rdf query"
2	"rdf query language"	rdfs:subClassOf	"language"
2	"rdf query language"	rdfs:subClassOf	"query language"
2	"compare"	vn.role:Agent	"rdf query language"
2	"compare"	local:AM-MOD	"should"
2	"individual languages"	rdfs:subClassOf	"languages"
2	"individual"	rdfs:member	"individual languages"
2	"compare"	vn.role:Patient2	"individual languages"
2	"compare"	vn.role:Agent	"features"
3	"categorize"	vn.role:Agent	"we"
3	"rdf query"	rdfs:member	"rdf query language"
3	"individual languages"	rdfs:subClassOf	"languages"
3	"individual"	rdfs:member	"individual languages"
3	"query language"	rdfs:subClassOf	"language"
3	"query"	rdfs:member	"query language"
3	"rdf query"	rdfs:subClassOf	"query"
3	"rdf"	rdfs:member	"rdf query"
3	"rdf query language"	rdfs:subClassOf	"language"
3	"should compare"	rdfs:subClassOf	"compare"
3	"rdf query language"	rdfs:subClassOf	"query language"
3	"individual languages along features"	local:along_features	"individual languages"
3	"individual languages along features"	local:individuallanguages_along	"features"
3	"categorize"	vn.role:Patient	"features"
3	"rdf query"	rdfs:member	"rdf query language"
