0	"visiting"	vn.role:Actor1	"museums"
1	"shown"	vn.role:Agent	"studies"
1	"museum"	rdfs:member	"museum experience"
1	"museum experience"	rdfs:subClassOf	"experience"
1	"visitors museum"	rdfs:member	"visitors museum experience"
1	"visitors"	rdfs:member	"visitors museum"
1	"visitors museum"	rdfs:subClassOf	"museum"
1	"visitors museum experience"	rdfs:subClassOf	"experience"
1	"long draw"	rdfs:subClassOf	"draw"
1	"visitors museum experience"	rdfs:subClassOf	"museum experience"
1	"can long draw"	rdfs:subClassOf	"long draw"
1	"can long draw on visitors museum experience"	local:on_visitorsmuseumexperience	"can long draw"
1	"can long draw on visitors museum experience"	local:canlongdraw_on	"visitors museum experience"
1	"shown"	vn.role:Theme	"can long draw on visitors museum experience"
1	"new"	rdfs:member	"new things"
1	"new things"	rdfs:subClassOf	"things"
1	"practical situations"	rdfs:subClassOf	"situations"
1	"practical"	rdfs:member	"practical situations"
1	"visitors visit"	rdfs:subClassOf	"visit"
1	"learn in practical situations"	local:in_practicalsituations	"learn"
1	"learn in practical situations"	local:learn_in	"practical situations"
1	"shown"	local:AM-TMP	"learn in practical situations"
1	"draw"	vn.role:Agent	"visitors"
1	"draw"	local:AM-MOD	"can"
1	"long experience"	rdfs:subClassOf	"experience"
1	"museum long experience"	rdfs:subClassOf	"long experience"
1	"visitors museum long experience"	rdfs:subClassOf	"museum long experience"
1	"draw"	local:AM-LOC	"visitors museum long experience"
1	"new"	rdfs:member	"new things"
1	"new things"	rdfs:subClassOf	"things"
1	"practical situations"	rdfs:subClassOf	"situations"
1	"practical"	rdfs:member	"practical situations"
1	"visitors visit"	rdfs:subClassOf	"visit"
1	"learn in practical situations"	local:in_practicalsituations	"learn"
1	"learn in practical situations"	local:learn_in	"practical situations"
1	"draw"	local:AM-TMP	"learn in practical situations"
1	"visit,"	vn.role:subject	"visitors"
1	"learn"	rdfs:member	"learn new"
1	"practical"	rdfs:member	"practical situations"
1	"practical situations"	rdfs:subClassOf	"situations"
1	"learn new"	rdfs:subClassOf	"new"
1	"new"	rdfs:member	"new things"
1	"learn new things"	rdfs:subClassOf	"things"
1	"learn new"	rdfs:member	"learn new things"
1	"new things"	rdfs:subClassOf	"things"
1	"learn in practical situations"	local:in_practicalsituations	"learn"
1	"learn in practical situations"	local:learn_in	"practical situations"
1	"visit,"	vn.role:object	"learn in practical situations"
1	"learn"	vn.role:Agent	"visitors"
1	"new"	rdfs:member	"new things"
1	"new things"	rdfs:subClassOf	"things"
1	"learn"	vn.role:Theme	"new things"
1	"practical"	rdfs:member	"practical situations"
1	"practical situations"	rdfs:subClassOf	"situations"
1	"learn"	local:AM-LOC	"practical situations"
2	"online resources"	rdfs:subClassOf	"resources"
2	"online"	rdfs:member	"online resources"
2	"access online resources"	rdfs:subClassOf	"online resources"
2	"tailored"	vn.role:Theme	"access online resources"
2	"visitors interests"	rdfs:subClassOf	"interests"
2	"visitors"	rdfs:member	"visitors interests"
2	"tailored"	vn.role:indirect_object	"visitors interests"
3	"viewing"	vn.role:Theme	"visit"
3	"learning event"	rdfs:subClassOf	"event"
3	"single learning event"	rdfs:subClassOf	"learning event"
3	"viewing"	local:AM-MNR	"single learning event"
3	"viewing"	vn.role:Agent	"we"
3	"viewing"	vn.role:Agent	"visitors"
3	"learning"	vn.role:Agent	"event"
3	"extending"	vn.role:Agent	"we"
3	"extending"	vn.role:Theme	"experience"
3	"allow"	rdfs:member	"allow visitors"
3	"online resources"	rdfs:subClassOf	"resources"
3	"allow visitors"	rdfs:subClassOf	"visitors"
3	"online"	rdfs:member	"online resources"
3	"extending"	local:AM-PNC	"allow"
3	"allow"	vn.role:Agent	"we"
3	"online resources"	rdfs:subClassOf	"resources"
3	"online"	rdfs:member	"online resources"
3	"visitors to access"	local:to_access	"visitors"
3	"visitors to access"	local:visitors_to	"access"
3	"allow"	vn.role:Theme	"visitors to access"
4	"have"	vn.role:Experiencer	"museums"
4	"have"	local:AM-TMP	"typically"
4	"extensive archives"	rdfs:subClassOf	"archives"
4	"have"	vn.role:Stimulus	"extensive archives"
4	"extensive"	rdfs:member	"extensive archives"
4	"extensive archives"	rdfs:subClassOf	"archives"
4	"engages"	local:AM-LOC	"extensive archives"
4	"engages"	vn.role:Agent	"challenge"
4	"engages"	vn.role:Patient1	"visitor"
5	"extensive"	rdfs:member	"extensive archives"
5	"extensive archives"	rdfs:subClassOf	"archives"
5	"made"	vn.role:Material	"extensive archives"
5	"made"	local:AM-MOD	"can"
5	"available online"	rdfs:subClassOf	"online"
5	"available"	rdfs:member	"available online"
5	"made"	vn.role:Product	"available online"
6	"have"	vn.role:Experiencer	"museums"
6	"have"	local:AM-TMP	"typically"
6	"’ s"	rdfs:member	"’ s interests"
6	"s"	rdfs:member	"s interests"
6	"’ s"	rdfs:subClassOf	"s"
6	"s interests"	rdfs:subClassOf	"interests"
6	"’ s interests"	rdfs:subClassOf	"interests"
6	"’"	rdfs:member	"’ s"
6	"visitor interests"	rdfs:subClassOf	"interests"
6	"extensive archives"	rdfs:subClassOf	"archives"
6	"match to visitor interests"	local:to_visitorinterests	"match"
6	"match to visitor interests"	local:match_to	"visitor interests"
6	"match to visitor interests to present"	local:to_present	"match to visitor interests"
