0	"describe"	local:AM-LOC	"paper"
0	"describe"	vn.role:Agent	"we"
0	"service interaction"	rdfs:subClassOf	"interaction"
0	"handle heterogeneity"	rdfs:subClassOf	"heterogeneity"
0	"web service interaction"	rdfs:subClassOf	"interaction"
0	"choreography"	rdfs:member	"choreography mechanism"
0	"web service"	rdfs:member	"web service interaction"
0	"web"	rdfs:member	"web service"
0	"handle"	rdfs:member	"handle heterogeneity"
0	"web service"	rdfs:subClassOf	"service"
0	"choreography mechanism"	rdfs:subClassOf	"mechanism"
0	"service"	rdfs:member	"service interaction"
0	"have developed"	rdfs:subClassOf	"developed"
0	"web service interaction"	rdfs:subClassOf	"service interaction"
0	"heterogeneity in web service interaction"	local:in_webserviceinteraction	"heterogeneity"
0	"heterogeneity in web service interaction"	local:heterogeneity_in	"web service interaction"
0	"handle through choreography mechanism"	local:through_choreographymechanism	"handle"
0	"handle through choreography mechanism"	local:handle_through	"choreography mechanism"
0	"have developed for irs-iii"	local:for_irs-iii	"have developed"
0	"have developed for irs-iii"	local:havedeveloped_for	"irs-iii"
0	"describe"	vn.role:Theme	"handle through choreography mechanism"
0	"handle"	vn.role:Theme	"we"
0	"service interaction"	rdfs:subClassOf	"interaction"
0	"web service interaction"	rdfs:subClassOf	"interaction"
0	"choreography"	rdfs:member	"choreography mechanism"
0	"web service"	rdfs:member	"web service interaction"
0	"web"	rdfs:member	"web service"
0	"web service"	rdfs:subClassOf	"service"
0	"choreography mechanism"	rdfs:subClassOf	"mechanism"
0	"service"	rdfs:member	"service interaction"
0	"have developed"	rdfs:subClassOf	"developed"
0	"web service interaction"	rdfs:subClassOf	"service interaction"
0	"heterogeneity in web service interaction"	local:in_webserviceinteraction	"heterogeneity"
0	"heterogeneity in web service interaction"	local:heterogeneity_in	"web service interaction"
0	"web service interaction through choreography mechanism"	local:through_choreographymechanism	"web service interaction"
0	"web service interaction through choreography mechanism"	local:webserviceinteraction_through	"choreography mechanism"
0	"have developed for irs-iii"	local:for_irs-iii	"have developed"
0	"have developed for irs-iii"	local:havedeveloped_for	"irs-iii"
0	"handle"	vn.role:object	"heterogeneity in web service interaction"
0	"choreography"	rdfs:member	"choreography mechanism"
0	"choreography mechanism"	rdfs:subClassOf	"mechanism"
0	"developed"	vn.role:Location	"choreography mechanism"
0	"developed"	vn.role:Theme	"we"
0	"developed"	local:AM-PNC	"irs-iii"
1	"semantic web"	rdfs:member	"semantic web services"
1	"web services"	rdfs:subClassOf	"services"
1	"semantic"	rdfs:member	"semantic web"
1	"semantic web services"	rdfs:subClassOf	"services"
1	"semantic web"	rdfs:subClassOf	"web"
1	"web"	rdfs:member	"web services"
1	"semantic web services"	rdfs:subClassOf	"web services"
1	"developing"	vn.role:Location	"semantic web services"
2	"semantic web"	rdfs:member	"semantic web services"
2	"web services"	rdfs:subClassOf	"services"
2	"semantic"	rdfs:member	"semantic web"
2	"semantic web services"	rdfs:subClassOf	"services"
2	"semantic web"	rdfs:subClassOf	"web"
2	"web"	rdfs:member	"web services"
2	"semantic web services"	rdfs:subClassOf	"web services"
2	"utilizes"	vn.role:Agent	"semantic web services"
2	"wsmo ontology"	rdfs:subClassOf	"ontology"
2	"wsmo"	rdfs:member	"wsmo ontology"
2	"utilizes"	vn.role:Theme	"wsmo ontology"
3	"overall"	rdfs:member	"overall design"
3	"overall design"	rdfs:subClassOf	"design"
3	"overall design of we"	local:of_we	"overall design"
3	"overall design of we"	local:overalldesign_of	"we"
3	"choreography"	vn.role:Agent	"overall design of we"
3	"based on use"	local:on_use	"based"
3	"based on use"	local:based_on	"use"
3	"use of ontologies"	local:of_ontologies	"use"
3	"use of ontologies"	local:use_of	"ontologies"
3	"choreography"	vn.role:Theme	"based on use"
3	"overall"	rdfs:member	"overall design"
3	"overall design"	rdfs:subClassOf	"design"
3	"choreography framework"	rdfs:subClassOf	"framework"
3	"overall design of choreography framework"	local:of_choreographyframework	"overall design"
3	"overall design of choreography framework"	local:overalldesign_of	"choreography framework"
3	"based"	vn.role:Cause	"overall design of choreography framework"
3	"based"	vn.role:Cause	"on"
3	"use of ontologies"	local:of_ontologies	"use"
3	"use of ontologies"	local:use_of	"ontologies"
3	"based"	vn.role:indirect_object	"use of ontologies"
5	"choreography"	vn.role:Agent	"we"
5	"choreography"	vn.role:Theme	"based"
5	"overall"	rdfs:member	"overall design"
5	"overall design"	rdfs:subClassOf	"design"
5	"choreography framework"	rdfs:subClassOf	"framework"
