3	"define"	local:AM-LOC	"paper"
3	"define"	vn.role:Agent	"we"
3	"general concepts"	rdfs:subClassOf	"concepts"
3	"general"	rdfs:member	"general concepts"
3	"general concepts for diagnosis"	local:for_diagnosis	"general concepts"
3	"general concepts for diagnosis"	local:generalconcepts_for	"diagnosis"
3	"diagnosis of ontologies"	local:of_ontologies	"diagnosis"
3	"diagnosis of ontologies"	local:diagnosis_of	"ontologies"
3	"define"	vn.role:Theme	"general concepts for diagnosis"
4	"complete algorithms"	rdfs:subClassOf	"algorithms"
4	"minimal"	rdfs:member	"minimal diagnoses"
4	"general concepts"	rdfs:subClassOf	"concepts"
4	"knowledge bases"	rdfs:subClassOf	"bases"
4	"knowledge"	rdfs:member	"knowledge bases"
4	"minimal diagnoses"	rdfs:subClassOf	"diagnoses"
4	"general"	rdfs:member	"general concepts"
4	"complete"	rdfs:member	"complete algorithms"
4	"complete algorithms for computation"	local:for_computation	"complete algorithms"
4	"complete algorithms for computation"	local:completealgorithms_for	"computation"
4	"computation of minimal diagnoses"	local:of_minimaldiagnoses	"computation"
4	"computation of minimal diagnoses"	local:computation_of	"minimal diagnoses"
4	"minimal diagnoses of knowledge bases"	local:of_knowledgebases	"minimal diagnoses"
4	"minimal diagnoses of knowledge bases"	local:minimaldiagnoses_of	"knowledge bases"
4	"based"	vn.role:indirect_object	"provide"
4	"general concepts"	rdfs:subClassOf	"concepts"
4	"general"	rdfs:member	"general concepts"
4	"provide"	local:AM-MNR	"general concepts"
4	"provide"	vn.role:Recipient	"we"
4	"complete algorithms"	rdfs:subClassOf	"algorithms"
4	"minimal"	rdfs:member	"minimal diagnoses"
4	"knowledge"	rdfs:member	"knowledge bases"
4	"knowledge bases"	rdfs:subClassOf	"bases"
4	"minimal diagnoses"	rdfs:subClassOf	"diagnoses"
4	"complete"	rdfs:member	"complete algorithms"
4	"complete algorithms for computation"	local:for_computation	"complete algorithms"
4	"complete algorithms for computation"	local:completealgorithms_for	"computation"
4	"computation of minimal diagnoses"	local:of_minimaldiagnoses	"computation"
4	"computation of minimal diagnoses"	local:computation_of	"minimal diagnoses"
4	"minimal diagnoses of knowledge bases"	local:of_knowledgebases	"minimal diagnoses"
4	"minimal diagnoses of knowledge bases"	local:minimaldiagnoses_of	"knowledge bases"
4	"provide"	vn.role:Agent	"complete algorithms for computation"
5	"correct algorithms"	rdfs:subClassOf	"algorithms"
5	"minimal"	rdfs:member	"minimal diagnoses"
5	"general concepts"	rdfs:subClassOf	"concepts"
5	"knowledge bases"	rdfs:subClassOf	"bases"
5	"knowledge"	rdfs:member	"knowledge bases"
5	"minimal diagnoses"	rdfs:subClassOf	"diagnoses"
5	"general"	rdfs:member	"general concepts"
5	"correct"	rdfs:member	"correct algorithms"
5	"correct algorithms for computation"	local:for_computation	"correct algorithms"
5	"correct algorithms for computation"	local:correctalgorithms_for	"computation"
5	"computation of minimal diagnoses"	local:of_minimaldiagnoses	"computation"
5	"computation of minimal diagnoses"	local:computation_of	"minimal diagnoses"
5	"minimal diagnoses of knowledge bases"	local:of_knowledgebases	"minimal diagnoses"
5	"minimal diagnoses of knowledge bases"	local:minimaldiagnoses_of	"knowledge bases"
5	"based"	vn.role:indirect_object	"provide"
5	"general concepts"	rdfs:subClassOf	"concepts"
5	"general"	rdfs:member	"general concepts"
5	"provide"	local:AM-MNR	"general concepts"
5	"provide"	vn.role:Recipient	"we"
5	"correct algorithms"	rdfs:subClassOf	"algorithms"
5	"minimal"	rdfs:member	"minimal diagnoses"
5	"knowledge"	rdfs:member	"knowledge bases"
5	"knowledge bases"	rdfs:subClassOf	"bases"
5	"minimal diagnoses"	rdfs:subClassOf	"diagnoses"
5	"correct"	rdfs:member	"correct algorithms"
5	"correct algorithms for computation"	local:for_computation	"correct algorithms"
5	"correct algorithms for computation"	local:correctalgorithms_for	"computation"
5	"computation of minimal diagnoses"	local:of_minimaldiagnoses	"computation"
5	"computation of minimal diagnoses"	local:computation_of	"minimal diagnoses"
5	"minimal diagnoses of knowledge bases"	local:of_knowledgebases	"minimal diagnoses"
5	"minimal diagnoses of knowledge bases"	local:minimaldiagnoses_of	"knowledge bases"
5	"provide"	vn.role:Agent	"correct algorithms for computation"
8	"practical"	rdfs:member	"practical feasibility"
8	"practical feasibility"	rdfs:subClassOf	"feasibility"
8	"our method"	rdfs:subClassOf	"method"
8	"practical feasibility of our method"	local:of_ourmethod	"practical feasibility"
8	"practical feasibility of our method"	local:practicalfeasibility_of	"our method"
8	"shown"	vn.role:Theme	"practical feasibility of our method"
8	"extensive test"	rdfs:subClassOf	"test"
8	"test evaluations"	rdfs:subClassOf	"evaluations"
8	"test"	rdfs:member	"test evaluations"
8	"extensive test"	rdfs:member	"extensive test evaluations"
8	"extensive"	rdfs:member	"extensive test"
8	"extensive test evaluations"	rdfs:subClassOf	"evaluations"
8	"extensive test evaluations"	rdfs:subClassOf	"test evaluations"
8	"shown"	vn.role:Agent	"extensive test evaluations"
