0	"major problems"	rdfs:subClassOf	"problems"
0	"major"	rdfs:member	"major problems"
0	"large scale"	rdfs:subClassOf	"scale"
0	"large"	rdfs:member	"large scale"
0	"one major problems"	rdfs:subClassOf	"major problems"
0	"one major problems of large scale"	local:of_largescale	"one major problems"
0	"one major problems of large scale"	local:onemajorproblems_of	"large scale"
0	"distributed"	vn.role:Theme	"one major problems of large scale"
1	"evolving"	vn.role:Location	"ontologies"
2	"survey"	local:AM-LOC	"paper"
2	"survey"	vn.role:Agent	"we"
2	"different approaches"	rdfs:subClassOf	"approaches"
2	"different"	rdfs:member	"different approaches"
2	"four different approaches"	rdfs:subClassOf	"different approaches"
2	"survey"	vn.role:Location	"four different approaches"
2	"ontology evolution"	rdfs:subClassOf	"evolution"
2	"ontology"	rdfs:member	"ontology evolution"
2	"consistent"	rdfs:member	"consistent ontology"
2	"consistent ontology"	rdfs:member	"consistent ontology evolution"
2	"consistent ontology evolution"	rdfs:subClassOf	"evolution"
2	"consistent ontology"	rdfs:subClassOf	"ontology"
2	"consistent ontology evolution"	rdfs:subClassOf	"ontology evolution"
2	"reasoning in presence"	local:in_presence	"reasoning"
2	"reasoning in presence"	local:reasoning_in	"presence"
2	"presence of inconsistencies"	local:of_inconsistencies	"presence"
2	"presence of inconsistencies"	local:presence_of	"inconsistencies"
2	"survey"	vn.role:Theme	"handling"
2	"handling"	vn.role:Theme	"we"
2	"ontology evolution"	rdfs:subClassOf	"evolution"
2	"ontology"	rdfs:member	"ontology evolution"
2	"consistent"	rdfs:member	"consistent ontology"
2	"consistent ontology"	rdfs:member	"consistent ontology evolution"
2	"consistent ontology evolution"	rdfs:subClassOf	"evolution"
2	"consistent ontology"	rdfs:subClassOf	"ontology"
2	"consistent ontology evolution"	rdfs:subClassOf	"ontology evolution"
2	"consistent ontology evolution repairing"	local:_repairing	"consistent ontology evolution"
2	"consistent ontology evolution repairing"	local:consistentontologyevolution_	"repairing"
2	"reasoning in presence"	local:in_presence	"reasoning"
2	"reasoning in presence"	local:reasoning_in	"presence"
2	"presence of inconsistencies"	local:of_inconsistencies	"presence"
2	"presence of inconsistencies"	local:presence_of	"inconsistencies"
2	"handling"	vn.role:object	"reasoning in presence"
2	"inconsistencies reasoning"	local:_reasoning	"inconsistencies"
2	"inconsistencies reasoning"	local:inconsistencies_	"reasoning"
2	"reasoning in presence"	local:in_presence	"reasoning"
2	"reasoning in presence"	local:reasoning_in	"presence"
2	"presence of inconsistencies"	local:of_inconsistencies	"presence"
2	"presence of inconsistencies"	local:presence_of	"inconsistencies"
2	"repairing"	vn.role:Cause	"inconsistencies reasoning"
3	"survey"	local:AM-LOC	"paper"
3	"survey"	vn.role:Agent	"we"
3	"different approaches"	rdfs:subClassOf	"approaches"
3	"different"	rdfs:member	"different approaches"
3	"four different approaches"	rdfs:subClassOf	"different approaches"
3	"survey"	vn.role:Location	"four different approaches"
3	"ontology evolution"	rdfs:subClassOf	"evolution"
3	"multi-version"	rdfs:member	"multi-version reasoning"
3	"consistent"	rdfs:member	"consistent ontology"
3	"ontology"	rdfs:member	"ontology evolution"
3	"consistent ontology"	rdfs:member	"consistent ontology evolution"
3	"consistent ontology evolution"	rdfs:subClassOf	"evolution"
3	"multi-version reasoning"	rdfs:subClassOf	"reasoning"
3	"consistent ontology"	rdfs:subClassOf	"ontology"
3	"consistent ontology evolution"	rdfs:subClassOf	"ontology evolution"
3	"reasoning of multi-version reasoning"	local:of_multi-versionreasoning	"reasoning"
3	"reasoning of multi-version reasoning"	local:reasoning_of	"multi-version reasoning"
3	"survey"	vn.role:Theme	"handling"
3	"handling"	vn.role:Theme	"we"
3	"ontology evolution"	rdfs:subClassOf	"evolution"
3	"multi-version"	rdfs:member	"multi-version reasoning"
3	"consistent"	rdfs:member	"consistent ontology"
3	"ontology"	rdfs:member	"ontology evolution"
3	"consistent ontology"	rdfs:member	"consistent ontology evolution"
3	"consistent ontology evolution"	rdfs:subClassOf	"evolution"
3	"multi-version reasoning"	rdfs:subClassOf	"reasoning"
3	"consistent ontology"	rdfs:subClassOf	"ontology"
3	"consistent ontology evolution"	rdfs:subClassOf	"ontology evolution"
3	"consistent ontology evolution repairing"	local:_repairing	"consistent ontology evolution"
3	"consistent ontology evolution repairing"	local:consistentontologyevolution_	"repairing"
