0	"propose"	local:AM-TMP	"article"
0	"propose"	vn.role:Agent	"we"
0	"new ontology evolution approach"	rdfs:subClassOf	"approach"
0	"ontology evolution"	rdfs:subClassOf	"evolution"
0	"new ontology evolution"	rdfs:subClassOf	"evolution"
0	"new"	rdfs:member	"new ontology"
0	"ontology evolution"	rdfs:member	"ontology evolution approach"
0	"new ontology evolution"	rdfs:member	"new ontology evolution approach"
0	"ontology"	rdfs:member	"ontology evolution"
0	"new ontology"	rdfs:subClassOf	"ontology"
0	"ontology evolution approach"	rdfs:subClassOf	"approach"
0	"evolution approach"	rdfs:subClassOf	"approach"
0	"new ontology"	rdfs:member	"new ontology evolution"
0	"evolution"	rdfs:member	"evolution approach"
0	"ontology evolution approach"	rdfs:subClassOf	"evolution approach"
0	"new ontology evolution approach"	rdfs:subClassOf	"ontology evolution approach"
0	"propose"	vn.role:Topic	"new ontology evolution approach"
1	"new ontology evolution approach"	rdfs:subClassOf	"approach"
1	"ontology evolution"	rdfs:subClassOf	"evolution"
1	"new ontology evolution"	rdfs:subClassOf	"evolution"
1	"new"	rdfs:member	"new ontology"
1	"ontology evolution"	rdfs:member	"ontology evolution approach"
1	"new ontology evolution"	rdfs:member	"new ontology evolution approach"
1	"ontology"	rdfs:member	"ontology evolution"
1	"new ontology"	rdfs:subClassOf	"ontology"
1	"ontology evolution approach"	rdfs:subClassOf	"approach"
1	"evolution approach"	rdfs:subClassOf	"approach"
1	"new ontology"	rdfs:member	"new ontology evolution"
1	"evolution"	rdfs:member	"evolution approach"
1	"ontology evolution approach"	rdfs:subClassOf	"evolution approach"
1	"new ontology evolution approach"	rdfs:subClassOf	"ontology evolution approach"
1	"combines"	vn.role:Agent	"new ontology evolution approach"
1	"change detection"	rdfs:member	"change detection mechanism"
1	"detection mechanism"	rdfs:member	"detection mechanism approach"
1	"automatic change detection mechanism"	rdfs:member	"automatic change detection mechanism approach"
1	"automatic change detection"	rdfs:subClassOf	"detection"
1	"automatic change detection mechanism"	rdfs:subClassOf	"mechanism"
1	"automatic change detection mechanism approach"	rdfs:subClassOf	"approach"
1	"change detection mechanism approach"	rdfs:subClassOf	"approach"
1	"automatic"	rdfs:member	"automatic change"
1	"change detection mechanism"	rdfs:subClassOf	"mechanism"
1	"change"	rdfs:member	"change detection"
1	"mechanism"	rdfs:member	"mechanism approach"
1	"detection"	rdfs:member	"detection mechanism"
1	"automatic change"	rdfs:member	"automatic change detection"
1	"detection mechanism approach"	rdfs:subClassOf	"approach"
1	"change detection mechanism"	rdfs:member	"change detection mechanism approach"
1	"automatic change"	rdfs:subClassOf	"change"
1	"detection mechanism"	rdfs:subClassOf	"mechanism"
1	"mechanism approach"	rdfs:subClassOf	"approach"
1	"automatic change detection"	rdfs:member	"automatic change detection mechanism"
1	"change detection"	rdfs:subClassOf	"detection"
1	"detection mechanism approach"	rdfs:subClassOf	"mechanism approach"
1	"change detection mechanism approach"	rdfs:subClassOf	"detection mechanism approach"
1	"automatic change detection mechanism approach"	rdfs:subClassOf	"change detection mechanism approach"
1	"combines"	vn.role:Patient	"automatic change detection mechanism approach"
2	"new ontology evolution approach"	rdfs:subClassOf	"approach"
2	"ontology evolution"	rdfs:subClassOf	"evolution"
2	"new ontology evolution"	rdfs:subClassOf	"evolution"
2	"new"	rdfs:member	"new ontology"
2	"ontology evolution"	rdfs:member	"ontology evolution approach"
2	"new ontology evolution"	rdfs:member	"new ontology evolution approach"
2	"ontology"	rdfs:member	"ontology evolution"
2	"new ontology"	rdfs:subClassOf	"ontology"
2	"ontology evolution approach"	rdfs:subClassOf	"approach"
2	"evolution approach"	rdfs:subClassOf	"approach"
2	"new ontology"	rdfs:member	"new ontology evolution"
2	"evolution"	rdfs:member	"evolution approach"
2	"ontology evolution approach"	rdfs:subClassOf	"evolution approach"
2	"new ontology evolution approach"	rdfs:subClassOf	"ontology evolution approach"
2	"combines"	vn.role:Agent	"new ontology evolution approach"
2	"combines"	vn.role:Patient	"changes"
3	"means"	vn.role:Agent	"this"
3	"change detection"	rdfs:member	"change detection mechanism"
3	"manual"	rdfs:member	"manual request"
3	"automatic change detection"	rdfs:subClassOf	"detection"
3	"automatic change detection mechanism"	rdfs:subClassOf	"mechanism"
3	"ontology engineer"	rdfs:subClassOf	"engineer"
3	"ontology"	rdfs:member	"ontology engineer"
3	"automatic"	rdfs:member	"automatic change"
3	"change detection mechanism"	rdfs:subClassOf	"mechanism"
3	"change"	rdfs:member	"change detection"
3	"automatic change"	rdfs:member	"automatic change detection"
3	"detection"	rdfs:member	"detection mechanism"
