0	"many"	rdfs:member	"many practical"
0	"many practical"	rdfs:member	"many practical applications"
0	"practical"	rdfs:member	"practical applications"
0	"many practical applications"	rdfs:subClassOf	"applications"
0	"practical applications"	rdfs:subClassOf	"applications"
0	"many practical"	rdfs:subClassOf	"practical"
0	"many practical applications"	rdfs:subClassOf	"practical applications"
0	"many practical applications ontologies"	local:_ontologies	"many practical applications"
0	"many practical applications ontologies"	local:manypracticalapplications_	"ontologies"
0	"tend"	vn.role:Location	"many practical applications ontologies"
0	"tend"	vn.role:indirect_object	"large"
1	"analyze"	vn.role:Agent	"users"
1	"analyze"	local:AM-MNR	"quickly"
1	"large-scale ontologies"	rdfs:subClassOf	"ontologies"
1	"large-scale"	rdfs:member	"large-scale ontologies"
1	"analyze"	vn.role:Theme	"large-scale ontologies"
1	"analyze"	local:AM-LOC	"paper"
1	"analyze"	vn.role:Agent	"we"
1	"propose"	vn.role:Agent	"we"
1	"novel ontology"	rdfs:member	"novel ontology visualization"
1	"ontology visualization"	rdfs:subClassOf	"visualization"
1	"novel ontology visualization approach"	rdfs:subClassOf	"approach"
1	"novel ontology"	rdfs:subClassOf	"ontology"
1	"novel ontology visualization"	rdfs:subClassOf	"visualization"
1	"novel ontology visualization"	rdfs:member	"novel ontology visualization approach"
1	"novel"	rdfs:member	"novel ontology"
1	"visualization approach"	rdfs:subClassOf	"approach"
1	"visualization"	rdfs:member	"visualization approach"
1	"ontology visualization approach"	rdfs:subClassOf	"approach"
1	"ontology visualization"	rdfs:member	"ontology visualization approach"
1	"ontology"	rdfs:member	"ontology visualization"
1	"ontology visualization approach"	rdfs:subClassOf	"visualization approach"
1	"novel ontology visualization approach"	rdfs:subClassOf	"ontology visualization approach"
1	"propose"	vn.role:Topic	"novel ontology visualization approach"
2	"understand"	vn.role:Agent	"users"
2	"understand"	local:AM-MNR	"quickly"
2	"large-scale ontologies"	rdfs:subClassOf	"ontologies"
2	"large-scale"	rdfs:member	"large-scale ontologies"
2	"understand"	vn.role:Proposition	"large-scale ontologies"
2	"understand"	local:AM-LOC	"paper"
2	"understand"	vn.role:Agent	"we"
2	"propose"	vn.role:Agent	"we"
2	"novel ontology"	rdfs:member	"novel ontology visualization"
2	"ontology visualization"	rdfs:subClassOf	"visualization"
2	"novel ontology visualization approach"	rdfs:subClassOf	"approach"
2	"novel ontology"	rdfs:subClassOf	"ontology"
2	"novel ontology visualization"	rdfs:subClassOf	"visualization"
2	"novel ontology visualization"	rdfs:member	"novel ontology visualization approach"
2	"novel"	rdfs:member	"novel ontology"
2	"visualization approach"	rdfs:subClassOf	"approach"
2	"visualization"	rdfs:member	"visualization approach"
2	"ontology visualization approach"	rdfs:subClassOf	"approach"
2	"ontology visualization"	rdfs:member	"ontology visualization approach"
2	"ontology"	rdfs:member	"ontology visualization"
2	"ontology visualization approach"	rdfs:subClassOf	"visualization approach"
2	"novel ontology visualization approach"	rdfs:subClassOf	"ontology visualization approach"
2	"propose"	vn.role:Topic	"novel ontology visualization approach"
3	"novel ontology"	rdfs:member	"novel ontology visualization"
3	"ontology visualization"	rdfs:subClassOf	"visualization"
3	"novel ontology visualization approach"	rdfs:subClassOf	"approach"
3	"novel ontology"	rdfs:subClassOf	"ontology"
3	"novel ontology visualization"	rdfs:subClassOf	"visualization"
3	"novel ontology visualization"	rdfs:member	"novel ontology visualization approach"
3	"novel"	rdfs:member	"novel ontology"
3	"visualization approach"	rdfs:subClassOf	"approach"
3	"visualization"	rdfs:member	"visualization approach"
3	"ontology visualization approach"	rdfs:subClassOf	"approach"
3	"ontology visualization"	rdfs:member	"ontology visualization approach"
3	"ontology"	rdfs:member	"ontology visualization"
3	"ontology visualization approach"	rdfs:subClassOf	"visualization approach"
3	"novel ontology visualization approach"	rdfs:subClassOf	"ontology visualization approach"
3	"aims"	vn.role:Experiencer	"novel ontology visualization approach"
3	"hierarchy"	rdfs:member	"hierarchy graph"
3	"hierarchy graph"	rdfs:subClassOf	"graph"
3	"existing approaches"	rdfs:subClassOf	"approaches"
3	"complement existing approaches"	rdfs:subClassOf	"existing approaches"
3	"complement existing approaches like hierarchy graph"	local:like_hierarchygraph	"complement existing approaches"
3	"complement existing approaches like hierarchy graph"	local:complementexistingapproaches_like	"hierarchy graph"
3	"aims"	vn.role:Theme	"complement existing approaches like hierarchy graph"
3	"novel ontology"	rdfs:member	"novel ontology visualization"
3	"ontology visualization"	rdfs:subClassOf	"visualization"
3	"novel ontology visualization approach"	rdfs:subClassOf	"approach"
3	"novel ontology"	rdfs:subClassOf	"ontology"
3	"novel ontology visualization"	rdfs:subClassOf	"visualization"
3	"novel ontology visualization"	rdfs:member	"novel ontology visualization approach"
3	"novel"	rdfs:member	"novel ontology"
3	"visualization approach"	rdfs:subClassOf	"approach"
3	"visualization"	rdfs:member	"visualization approach"
3	"ontology visualization approach"	rdfs:subClassOf	"approach"
3	"ontology visualization"	rdfs:member	"ontology visualization approach"
3	"ontology"	rdfs:member	"ontology visualization"
3	"ontology visualization approach"	rdfs:subClassOf	"visualization approach"
3	"novel ontology visualization approach"	rdfs:subClassOf	"ontology visualization approach"
3	"complement"	vn.role:indirect_object	"novel ontology visualization approach"
3	"hierarchy"	rdfs:member	"hierarchy graph"
3	"hierarchy graph"	rdfs:subClassOf	"graph"
3	"existing approaches"	rdfs:subClassOf	"approaches"
3	"existing approaches like hierarchy graph"	local:like_hierarchygraph	"existing approaches"
3	"existing approaches like hierarchy graph"	local:existingapproaches_like	"hierarchy graph"
3	"complement"	vn.role:indirect_object	"existing approaches like hierarchy graph"
3	"existing"	vn.role:Location	"approaches"
4	"approach"	vn.role:indirect_object	"specifically"
4	"approach"	vn.role:object	"we"
4	"produces"	vn.role:Material	"specifically"
4	"produces"	vn.role:Agent	"we"
4	"holistic “"	rdfs:subClassOf	"“"
4	"holistic"	rdfs:member	"holistic “"
4	"holistic imaging"	rdfs:subClassOf	"imaging"
4	"holistic imaging of ontology"	local:of_ontology	"holistic imaging"
4	"holistic imaging of ontology"	local:holisticimaging_of	"ontology"
4	"produces"	vn.role:Product	"holistic imaging of ontology"
5	"contains"	vn.role:Theme1	"ontology"
5	"semantic layout"	rdfs:subClassOf	"layout"
5	"ontology classes"	rdfs:subClassOf	"classes"
5	"ontology"	rdfs:member	"ontology classes"
5	"semantic"	rdfs:member	"semantic layout"
5	"semantic layout of ontology classes"	local:of_ontologyclasses	"semantic layout"
5	"semantic layout of ontology classes"	local:semanticlayout_of	"ontology classes"
5	"contains"	vn.role:Theme2	"semantic layout of ontology classes"
6	"depicted"	local:AM-LOC	"addition"
6	"ontology instances"	rdfs:subClassOf	"instances"
6	"ontology"	rdfs:member	"ontology instances"
6	"distributions of ontology instances"	local:of_ontologyinstances	"distributions"
6	"distributions of ontology instances"	local:distributions_of	"ontology instances"
6	"depicted"	vn.role:Theme	"distributions of ontology instances"
6	"depicted"	local:AM-DIS	"also"
6	"depicted"	local:AM-LOC	"imaging"
7	"depicted"	local:AM-LOC	"addition"
7	"instance"	rdfs:member	"instance relations"
7	"instance relations"	rdfs:subClassOf	"relations"
7	"distributions of instance relations"	local:of_instancerelations	"distributions"
7	"distributions of instance relations"	local:distributions_of	"instance relations"
7	"depicted"	vn.role:Theme	"distributions of instance relations"
7	"depicted"	local:AM-DIS	"also"
7	"depicted"	local:AM-LOC	"imaging"
8	"key"	rdfs:member	"key techniques"
8	"key techniques"	rdfs:subClassOf	"techniques"
8	"used"	vn.role:Theme	"key techniques"
8	"used"	local:AM-LOC	"approach"
9	"introduce"	vn.role:Agent	"we"
9	"key"	rdfs:member	"key techniques"
9	"key techniques"	rdfs:subClassOf	"techniques"
9	"introduce"	local:AM-MNR	"length"
10	"examine"	local:AM-TMP	"then"
10	"examine"	vn.role:Agent	"we"
10	"user"	rdfs:member	"user interface"
10	"user interface"	rdfs:subClassOf	"interface"
10	"examine"	vn.role:Location	"resulting"
10	"user"	rdfs:member	"user interface"
10	"user interface"	rdfs:subClassOf	"interface"
10	"resulting"	vn.role:Location	"user interface"
10	"user"	rdfs:member	"user interface"
10	"user interface"	rdfs:subClassOf	"interface"
10	"resulting"	vn.role:Location	"user interface"
10	"find"	local:AM-TMP	"then"
10	"find"	vn.role:Agent	"we"
10	"user"	rdfs:member	"user interface"
10	"user interface"	rdfs:subClassOf	"interface"
10	"find"	vn.role:Theme	"resulting"
10	"facilitates"	local:AM-TMP	"then"
10	"user"	rdfs:member	"user interface"
10	"user interface"	rdfs:subClassOf	"interface"
10	"resulting user"	rdfs:subClassOf	"user"
10	"resulting user interface"	rdfs:subClassOf	"user interface"
10	"facilitates"	vn.role:Agent	"examine"
10	"ontology retrieval"	rdfs:subClassOf	"retrieval"
10	"ontology"	rdfs:member	"ontology retrieval"
10	"tasks like ontology retrieval"	local:like_ontologyretrieval	"tasks"
10	"tasks like ontology retrieval"	local:tasks_like	"ontology retrieval"
10	"facilitates"	vn.role:Beneficiary	"tasks like ontology retrieval"
11	"examine"	local:AM-TMP	"then"
11	"examine"	vn.role:Agent	"we"
11	"user"	rdfs:member	"user interface"
11	"user interface"	rdfs:subClassOf	"interface"
11	"examine"	vn.role:Location	"resulting"
11	"user"	rdfs:member	"user interface"
11	"user interface"	rdfs:subClassOf	"interface"
11	"resulting"	vn.role:Location	"user interface"
11	"user"	rdfs:member	"user interface"
11	"user interface"	rdfs:subClassOf	"interface"
11	"resulting"	vn.role:Location	"user interface"
11	"find"	local:AM-TMP	"then"
11	"find"	vn.role:Agent	"we"
