0	"built"	vn.role:Material	"languages"
0	"triple model"	rdfs:subClassOf	"model"
0	"triple"	rdfs:member	"triple model"
0	"semantic-web rdf"	rdfs:subClassOf	"rdf"
0	"semantic-web"	rdfs:member	"semantic-web rdf"
0	"rdf triple model"	rdfs:subClassOf	"triple model"
0	"semantic-web rdf triple model"	rdfs:subClassOf	"rdf triple model"
0	"top of semantic-web rdf triple model"	local:of_semantic-webrdftriplemodel	"top"
0	"top of semantic-web rdf triple model"	local:top_of	"semantic-web rdf triple model"
0	"built"	vn.role:Product	"top of semantic-web rdf triple model"
3	"explain"	local:AM-LOC	"article"
3	"explain"	vn.role:Recipient	"we"
3	"separate proprietary internal"	rdfs:member	"separate proprietary internal data"
3	"data"	rdfs:member	"data model"
3	"separate proprietary internal data"	rdfs:subClassOf	"data"
3	"separate proprietary internal data"	rdfs:member	"separate proprietary internal data model"
3	"data model"	rdfs:subClassOf	"model"
3	"separate"	rdfs:member	"separate proprietary"
3	"internal"	rdfs:member	"internal data"
3	"internal data"	rdfs:member	"internal data model"
3	"separate proprietary internal"	rdfs:subClassOf	"internal"
3	"internal data model"	rdfs:subClassOf	"model"
3	"proprietary internal data model"	rdfs:subClassOf	"model"
3	"proprietary internal"	rdfs:member	"proprietary internal data"
3	"proprietary internal data"	rdfs:member	"proprietary internal data model"
3	"proprietary internal"	rdfs:subClassOf	"internal"
3	"triple-centered"	rdfs:member	"triple-centered design"
3	"separate proprietary internal data model"	rdfs:subClassOf	"model"
3	"proprietary internal data"	rdfs:subClassOf	"data"
3	"triple-centered design"	rdfs:subClassOf	"design"
3	"separate proprietary"	rdfs:member	"separate proprietary internal"
3	"internal data"	rdfs:subClassOf	"data"
3	"proprietary"	rdfs:member	"proprietary internal"
3	"separate proprietary"	rdfs:subClassOf	"proprietary"
3	"internal data model"	rdfs:subClassOf	"data model"
3	"proprietary internal data model"	rdfs:subClassOf	"internal data model"
3	"separate proprietary internal data model"	rdfs:subClassOf	"proprietary internal data model"
3	"compares to use"	local:to_use	"compares"
3	"compares to use"	local:compares_to	"use"
