0	"ontology search"	rdfs:subClassOf	"search"
0	"ontology"	rdfs:member	"ontology search"
0	"becoming"	vn.role:Patient	"ontology search"
0	"increasingly important"	rdfs:subClassOf	"important"
0	"becoming"	vn.role:indirect_object	"increasingly important"
0	"such knowledge structures"	rdfs:subClassOf	"structures"
0	"such"	rdfs:member	"such knowledge"
0	"such knowledge"	rdfs:subClassOf	"knowledge"
0	"knowledge"	rdfs:member	"knowledge structures"
0	"such knowledge"	rdfs:member	"such knowledge structures"
0	"knowledge structures"	rdfs:subClassOf	"structures"
0	"such knowledge structures"	rdfs:subClassOf	"knowledge structures"
0	"quest for methods"	local:for_methods	"quest"
0	"quest for methods"	local:quest_for	"methods"
0	"becoming"	local:AM-TMP	"continues"
0	"reduce"	vn.role:Cause	"methods"
0	"such knowledge structures"	rdfs:subClassOf	"structures"
0	"such"	rdfs:member	"such knowledge"
0	"such knowledge"	rdfs:subClassOf	"knowledge"
0	"knowledge"	rdfs:member	"knowledge structures"
0	"such knowledge"	rdfs:member	"such knowledge structures"
0	"knowledge structures"	rdfs:subClassOf	"structures"
0	"such knowledge structures"	rdfs:subClassOf	"knowledge structures"
0	"reduce"	vn.role:Patient	"continues"
0	"knowledge"	rdfs:member	"knowledge structures"
0	"knowledge structures"	rdfs:subClassOf	"structures"
0	"constructing"	vn.role:Product	"continues"
1	"ontology"	rdfs:member	"ontology libraries"
1	"ontology libraries"	rdfs:subClassOf	"libraries"
1	"number of ontology libraries"	local:of_ontologylibraries	"number"
1	"number of ontology libraries"	local:number_of	"ontology libraries"
1	"coming"	vn.role:Location	"number of ontology libraries"
1	"coming"	vn.role:other	"existence"
1	"potentially relevant"	rdfs:subClassOf	"relevant"
1	"relevant ontologies"	rdfs:subClassOf	"ontologies"
1	"potentially"	rdfs:member	"potentially relevant"
1	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
1	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
1	"relevant"	rdfs:member	"relevant ontologies"
1	"coming"	local:AM-PNC	"facilitate"
1	"ontology"	rdfs:member	"ontology libraries"
1	"ontology libraries"	rdfs:subClassOf	"libraries"
1	"number of ontology libraries"	local:of_ontologylibraries	"number"
1	"number of ontology libraries"	local:number_of	"ontology libraries"
1	"facilitate"	vn.role:Agent	"number of ontology libraries"
1	"potentially relevant"	rdfs:subClassOf	"relevant"
