0	"ontology alignment"	rdfs:subClassOf	"alignment"
0	"ontology"	rdfs:member	"ontology alignment"
0	"describes"	vn.role:Agent	"ontology alignment"
0	"describes"	local:AM-MNR	"explicitly"
0	"describes"	vn.role:Theme	"relations"
1	"holding"	vn.role:Theme	"relations"
1	"two ontologies"	rdfs:subClassOf	"ontologies"
1	"holding"	local:AM-MNR	"two ontologies"
2	"composed"	vn.role:Product	"system"
2	"composed"	vn.role:Material	"ontologies"
2	"composed"	vn.role:Product	"interconnecting"
2	"system composed"	local:_composed	"system"
2	"system composed"	local:system_	"composed"
2	"composed of ontologies"	local:of_ontologies	"composed"
2	"composed of ontologies"	local:composed_of	"ontologies"
2	"interconnecting"	vn.role:Patient1	"system composed"
2	"interconnecting"	vn.role:Patient2	"them"
3	"called"	vn.role:Cause	"system"
3	"called"	local:AM-MNR	"herein"
3	"distributed system"	rdfs:subClassOf	"system"
3	"distributed"	rdfs:member	"distributed system"
3	"called"	vn.role:Theme	"distributed system"
3	"distributed"	vn.role:Theme	"system"
4	"composed"	vn.role:Product	"system"
4	"composed"	vn.role:Material	"ontologies"
4	"system composed"	local:_composed	"system"
4	"system composed"	local:system_	"composed"
4	"composed of ontologies"	local:of_ontologies	"composed"
4	"composed of ontologies"	local:composed_of	"ontologies"
4	"interconnecting"	vn.role:Patient1	"system composed"
4	"interconnecting"	vn.role:Patient2	"system"
5	"composed"	vn.role:Product	"system"
5	"alignments interconnecting"	local:_interconnecting	"alignments"
5	"alignments interconnecting"	local:alignments_	"interconnecting"
5	"composed"	vn.role:Material	"alignments interconnecting"
5	"system composed"	local:_composed	"system"
5	"system composed"	local:system_	"composed"
5	"composed of alignments"	local:of_alignments	"composed"
5	"composed of alignments"	local:composed_of	"alignments"
5	"interconnecting"	vn.role:Patient1	"system composed"
5	"interconnecting"	vn.role:Patient2	"system"
6	"composed"	vn.role:Product	"system"
6	"composed"	vn.role:Material	"alignments"
6	"composed"	vn.role:Product	"interconnecting"
6	"system composed"	local:_composed	"system"
6	"system composed"	local:system_	"composed"
6	"composed of alignments"	local:of_alignments	"composed"
6	"composed of alignments"	local:composed_of	"alignments"
6	"interconnecting"	vn.role:Patient1	"system composed"
6	"interconnecting"	vn.role:Patient2	"them"
7	"give"	vn.role:Asset	"we"
7	"distributed system"	rdfs:subClassOf	"system"
7	"different semantics"	rdfs:subClassOf	"semantics"
7	"distributed"	rdfs:member	"distributed system"
7	"different"	rdfs:member	"different semantics"
7	"three different semantics"	rdfs:subClassOf	"different semantics"
7	"three different semantics of distributed system"	local:of_distributedsystem	"three different semantics"
7	"three different semantics of distributed system"	local:threedifferentsemantics_of	"distributed system"
7	"give"	vn.role:object	"three different semantics of distributed system"
7	"distributed"	vn.role:Theme	"system"
8	"distributed"	vn.role:Theme	"system"
8	"distributed system"	rdfs:subClassOf	"system"
8	"interfere"	vn.role:Agent	"distributed system"
8	"interfere"	local:AM-NEG	"not"
8	"semantics of ontologies"	local:of_ontologies	"semantics"
8	"semantics of ontologies"	local:semantics_of	"ontologies"
8	"interfere"	vn.role:Theme	"semantics of ontologies"
9	"compared"	vn.role:Patient2	"system"
9	"consistent"	rdfs:member	"consistent merge"
9	"consistent merge"	rdfs:subClassOf	"merge"
9	"consistent merge of ontologies"	local:of_ontologies	"consistent merge"
9	"consistent merge of ontologies"	local:consistentmerge_of	"ontologies"
9	"compared"	vn.role:Agent	"respect"
9	"consistent"	rdfs:member	"consistent merge"
9	"consistent merge"	rdfs:subClassOf	"merge"
9	"consistent merge of ontologies"	local:of_ontologies	"consistent merge"
9	"consistent merge of ontologies"	local:consistentmerge_of	"ontologies"
9	"allowing"	vn.role:Theme	"consistent merge of ontologies"
10	"compared"	vn.role:Patient2	"system"
10	"composition"	rdfs:member	"composition operation"
10	"alignment"	rdfs:member	"alignment composition"
10	"alignment composition operation"	rdfs:subClassOf	"operation"
10	"composition operation"	rdfs:subClassOf	"operation"
10	"alignment composition"	rdfs:subClassOf	"composition"
10	"alignment composition"	rdfs:member	"alignment composition operation"
10	"alignment composition operation"	rdfs:subClassOf	"composition operation"
10	"complying with alignment composition operation"	local:with_alignmentcompositionoperation	"complying"
10	"complying with alignment composition operation"	local:complying_with	"alignment composition operation"
10	"compared"	vn.role:Agent	"respect"
10	"composition"	rdfs:member	"composition operation"
10	"alignment"	rdfs:member	"alignment composition"
10	"alignment composition operation"	rdfs:subClassOf	"operation"
10	"composition operation"	rdfs:subClassOf	"operation"
10	"alignment composition"	rdfs:subClassOf	"composition"
10	"alignment composition"	rdfs:member	"alignment composition operation"
10	"alignment composition operation"	rdfs:subClassOf	"composition operation"
10	"complying"	vn.role:Patient	"alignment composition operation"
11	"composed"	vn.role:Product	"system"
11	"alignments interconnecting"	local:_interconnecting	"alignments"
11	"alignments interconnecting"	local:alignments_	"interconnecting"
11	"composed"	vn.role:Material	"alignments interconnecting"
11	"system composed"	local:_composed	"system"
11	"system composed"	local:system_	"composed"
11	"composed of alignments"	local:of_alignments	"composed"
11	"composed of alignments"	local:composed_of	"alignments"
11	"interconnecting"	vn.role:Patient1	"system composed"
11	"interconnecting"	vn.role:Patient2	"advantages"
12	"composed"	vn.role:Product	"system"
12	"composed"	vn.role:Material	"ontologies"
12	"system composed"	local:_composed	"system"
12	"system composed"	local:system_	"composed"
12	"composed of ontologies"	local:of_ontologies	"composed"
12	"composed of ontologies"	local:composed_of	"ontologies"
12	"interconnecting"	vn.role:Patient1	"system composed"
12	"interconnecting"	vn.role:Patient2	"advantages"
13	"compared"	vn.role:Patient2	"system"
13	"compared"	vn.role:Agent	"respect"
13	"managing"	vn.role:Theme	"heterogeneity"
14	"two variants"	rdfs:subClassOf	"variants"
14	"first two variants"	rdfs:subClassOf	"two variants"
14	"differ"	vn.role:Actor1	"first two variants"
14	"proposed semantics"	rdfs:subClassOf	"semantics"
14	"differ"	vn.role:Actor2	"proposed semantics"
14	"proposed"	vn.role:Topic	"semantics"
15	"show"	vn.role:Agent	"we"
15	"sound"	rdfs:member	"sound composition"
15	"composition"	rdfs:member	"composition operation"
15	"sound composition"	rdfs:subClassOf	"composition"
