0	"show"	local:AM-LOC	"paper"
0	"show"	vn.role:Agent	"we"
0	"acquisition process"	rdfs:subClassOf	"process"
0	"knowledge acquisition"	rdfs:subClassOf	"acquisition"
0	"knowledge"	rdfs:member	"knowledge acquisition"
0	"acquisition"	rdfs:member	"acquisition process"
0	"use ontologies"	rdfs:subClassOf	"ontologies"
0	"knowledge acquisition"	rdfs:member	"knowledge acquisition process"
0	"knowledge acquisition process"	rdfs:subClassOf	"process"
0	"use"	rdfs:member	"use ontologies"
0	"knowledge acquisition process"	rdfs:subClassOf	"acquisition process"
0	"show"	vn.role:Theme	"use ontologies"
0	"use"	vn.role:Theme	"ontologies"
0	"acquisition process"	rdfs:subClassOf	"process"
0	"knowledge acquisition"	rdfs:subClassOf	"acquisition"
0	"knowledge"	rdfs:member	"knowledge acquisition"
0	"acquisition"	rdfs:member	"acquisition process"
0	"knowledge acquisition"	rdfs:member	"knowledge acquisition process"
0	"knowledge acquisition process"	rdfs:subClassOf	"process"
0	"knowledge acquisition process"	rdfs:subClassOf	"acquisition process"
0	"use"	vn.role:Recipient	"bootstrap"
0	"acquisition process"	rdfs:subClassOf	"process"
0	"knowledge acquisition"	rdfs:subClassOf	"acquisition"
0	"knowledge"	rdfs:member	"knowledge acquisition"
0	"acquisition"	rdfs:member	"acquisition process"
0	"knowledge acquisition"	rdfs:member	"knowledge acquisition process"
0	"knowledge acquisition process"	rdfs:subClassOf	"process"
0	"knowledge acquisition process"	rdfs:subClassOf	"acquisition process"
0	"bootstrap"	vn.role:Patient	"knowledge acquisition process"
1	"acquisition process"	rdfs:subClassOf	"process"
1	"knowledge acquisition"	rdfs:subClassOf	"acquisition"
1	"knowledge"	rdfs:member	"knowledge acquisition"
1	"acquisition"	rdfs:member	"acquisition process"
1	"knowledge acquisition"	rdfs:member	"knowledge acquisition process"
1	"knowledge acquisition process"	rdfs:subClassOf	"process"
1	"knowledge acquisition process"	rdfs:subClassOf	"acquisition process"
1	"extracts"	vn.role:Agent	"knowledge acquisition process"
1	"product information"	rdfs:subClassOf	"information"
1	"product"	rdfs:member	"product information"
1	"extracts"	vn.role:Theme	"product information"
1	"tabular data"	rdfs:subClassOf	"data"
1	"web pages"	rdfs:subClassOf	"pages"
1	"tabular"	rdfs:member	"tabular data"
1	"web"	rdfs:member	"web pages"
1	"tabular data on web pages"	local:on_webpages	"tabular data"
1	"tabular data on web pages"	local:tabulardata_on	"web pages"
1	"extracts"	vn.role:Source	"tabular data on web pages"
2	"use"	vn.role:Recipient	"furthermore"
2	"use"	vn.role:Agent	"we"
2	"logical rules"	rdfs:subClassOf	"rules"
2	"logical"	rdfs:member	"logical rules"
2	"use"	vn.role:Theme	"logical rules"
2	"specific"	rdfs:member	"specific properties"
2	"specific properties"	rdfs:subClassOf	"properties"
2	"product specific properties"	rdfs:subClassOf	"specific properties"
2	"reason about product specific properties"	local:about_productspecificproperties	"reason"
2	"reason about product specific properties"	local:reason_about	"product specific properties"
2	"use"	vn.role:Recipient	"reason about product specific properties"
2	"reason"	vn.role:Theme1	"furthermore"
2	"specific"	rdfs:member	"specific properties"
2	"specific properties"	rdfs:subClassOf	"properties"
2	"product specific properties"	rdfs:subClassOf	"specific properties"
2	"reason"	vn.role:Theme2	"product specific properties"
3	"use"	vn.role:Agent	"we"
3	"logical rules"	rdfs:subClassOf	"rules"
3	"logical"	rdfs:member	"logical rules"
3	"use"	vn.role:Theme	"logical rules"
3	"derive higher-order knowledge"	rdfs:subClassOf	"knowledge"
3	"higher-order"	rdfs:member	"higher-order knowledge"
3	"higher-order knowledge"	rdfs:subClassOf	"knowledge"
3	"derive"	rdfs:member	"derive higher-order"
3	"product"	rdfs:member	"product features"
3	"product features"	rdfs:subClassOf	"features"
