0	"recent years"	rdfs:subClassOf	"years"
0	"recent"	rdfs:member	"recent years"
0	"used"	local:AM-LOC	"recent years"
0	"used"	local:AM-MNR	"increasingly"
0	"scientific"	rdfs:member	"scientific applications"
0	"scientific applications"	rdfs:subClassOf	"applications"
0	"used"	local:AM-LOC	"scientific applications"
1	"presents"	vn.role:Agent	"paper"
1	"novel metadata"	rdfs:subClassOf	"metadata"
1	"large workflows"	rdfs:subClassOf	"workflows"
1	"large"	rdfs:member	"large workflows"
1	"novel"	rdfs:member	"novel metadata"
1	"have developed"	rdfs:subClassOf	"developed"
1	"reasoning capabilities"	rdfs:subClassOf	"capabilities"
1	"metadata reasoning capabilities"	rdfs:subClassOf	"reasoning capabilities"
1	"novel metadata reasoning capabilities"	rdfs:subClassOf	"metadata reasoning capabilities"
1	"creation of large workflows"	local:of_largeworkflows	"creation"
1	"creation of large workflows"	local:creation_of	"large workflows"
1	"presents"	vn.role:Theme	"novel metadata reasoning capabilities"
1	"novel metadata"	rdfs:subClassOf	"metadata"
1	"novel"	rdfs:member	"novel metadata"
1	"reasoning capabilities"	rdfs:subClassOf	"capabilities"
1	"metadata reasoning capabilities"	rdfs:subClassOf	"reasoning capabilities"
1	"novel metadata reasoning capabilities"	rdfs:subClassOf	"metadata reasoning capabilities"
1	"developed"	vn.role:Location	"novel metadata reasoning capabilities"
1	"developed"	vn.role:Theme	"we"
1	"large"	rdfs:member	"large workflows"
1	"large workflows"	rdfs:subClassOf	"workflows"
1	"creation of large workflows"	local:of_largeworkflows	"creation"
1	"creation of large workflows"	local:creation_of	"large workflows"
1	"developed"	local:AM-PNC	"support"
1	"support"	vn.role:Theme	"we"
1	"large"	rdfs:member	"large workflows"
1	"large workflows"	rdfs:subClassOf	"workflows"
1	"creation of large workflows"	local:of_largeworkflows	"creation"
1	"creation of large workflows"	local:creation_of	"large workflows"
1	"support"	vn.role:Experiencer	"creation of large workflows"
2	"include"	vn.role:Location	"paper"
2	"workflow"	rdfs:member	"workflow component"
2	"workflow component"	rdfs:subClassOf	"component"
2	"metadata constraints"	rdfs:subClassOf	"constraints"
2	"metadata"	rdfs:member	"metadata constraints"
2	"validation of metadata constraints"	local:of_metadataconstraints	"validation"
2	"validation of metadata constraints"	local:validation_of	"metadata constraints"
2	"validation of metadata constraints from inputs"	local:from_inputs	"validation of metadata constraints"
2	"validation of metadata constraints from inputs"	local:validationofmetadataconstraints_from	"inputs"
2	"inputs to outputs"	local:to_outputs	"inputs"
2	"inputs to outputs"	local:inputs_to	"outputs"
2	"validation of metadata constraints from inputs in workflow component"	local:in_workflowcomponent	"validation of metadata constraints from inputs"
2	"validation of metadata constraints from inputs in workflow component"	local:validationofmetadataconstraintsfrominputs_in	"workflow component"
2	"include"	vn.role:Theme	"2"
3	"include"	vn.role:Location	"paper"
3	"metadata constraints"	rdfs:subClassOf	"constraints"
3	"metadata"	rdfs:member	"metadata constraints"
3	"validation of metadata constraints"	local:of_metadataconstraints	"validation"
3	"validation of metadata constraints"	local:validation_of	"metadata constraints"
3	"validation of metadata constraints from inputs"	local:from_inputs	"validation of metadata constraints"
3	"validation of metadata constraints from inputs"	local:validationofmetadataconstraints_from	"inputs"
3	"validation of metadata constraints from inputs through links"	local:through_links	"validation of metadata constraints from inputs"
3	"validation of metadata constraints from inputs through links"	local:validationofmetadataconstraintsfrominputs_through	"links"
3	"links among components"	local:among_components	"links"
3	"links among components"	local:links_among	"components"
3	"links among components in workflow"	local:in_workflow	"links among components"
3	"links among components in workflow"	local:linksamongcomponents_in	"workflow"
3	"include"	vn.role:Theme	"2"
4	"include"	vn.role:Location	"paper"
4	"metadata constraints"	rdfs:subClassOf	"constraints"
4	"metadata"	rdfs:member	"metadata constraints"
4	"propagation of metadata constraints"	local:of_metadataconstraints	"propagation"
4	"propagation of metadata constraints"	local:propagation_of	"metadata constraints"
4	"propagation of metadata constraints from inputs"	local:from_inputs	"propagation of metadata constraints"
4	"propagation of metadata constraints from inputs"	local:propagationofmetadataconstraints_from	"inputs"
4	"propagation of metadata constraints from inputs through links"	local:through_links	"propagation of metadata constraints from inputs"
4	"propagation of metadata constraints from inputs through links"	local:propagationofmetadataconstraintsfrominputs_through	"links"
4	"links among components"	local:among_components	"links"
4	"links among components"	local:links_among	"components"
4	"links among components in workflow"	local:in_workflow	"links among components"
4	"links among components in workflow"	local:linksamongcomponents_in	"workflow"
4	"include"	vn.role:Theme	"2"
5	"include"	vn.role:Location	"paper"
5	"semantic web"	rdfs:subClassOf	"web"
5	"web"	rdfs:member	"web technologies"
5	"semantic web"	rdfs:member	"semantic web technologies"
5	"metadata"	rdfs:member	"metadata constraints"
5	"web technologies"	rdfs:subClassOf	"technologies"
5	"file collections"	rdfs:subClassOf	"collections"
5	"semantic"	rdfs:member	"semantic web"
