0	"use of blogs"	local:of_blogs	"use"
0	"use of blogs"	local:use_of	"blogs"
0	"publish"	vn.role:Agent	"recently"
0	"user"	rdfs:member	"user interests"
0	"user interests"	rdfs:subClassOf	"interests"
0	"publish"	vn.role:Product	"user interests"
1	"blog entries"	rdfs:subClassOf	"entries"
1	"suitable information"	rdfs:member	"suitable information resources"
1	"large"	rdfs:member	"large amount"
1	"suitable information"	rdfs:subClassOf	"information"
1	"information resources"	rdfs:subClassOf	"resources"
1	"blog"	rdfs:member	"blog entries"
1	"large amount"	rdfs:subClassOf	"amount"
1	"suitable information resources"	rdfs:subClassOf	"resources"
1	"information"	rdfs:member	"information resources"
1	"suitable"	rdfs:member	"suitable information"
1	"suitable information resources"	rdfs:subClassOf	"information resources"
1	"suitable information resources from large amount"	local:from_largeamount	"suitable information resources"
1	"suitable information resources from large amount"	local:suitableinformationresources_from	"large amount"
1	"large amount of blog entries"	local:of_blogentries	"large amount"
1	"large amount of blog entries"	local:largeamount_of	"blog entries"
1	"find"	vn.role:Theme	"suitable information resources from large amount"
1	"find"	vn.role:Agent	"we"
1	"suitable information"	rdfs:member	"suitable information resources"
1	"blog entries"	rdfs:subClassOf	"entries"
1	"large"	rdfs:member	"large amount"
1	"suitable information"	rdfs:subClassOf	"information"
1	"information resources"	rdfs:subClassOf	"resources"
1	"blog"	rdfs:member	"blog entries"
1	"large amount"	rdfs:subClassOf	"amount"
1	"suitable information resources"	rdfs:subClassOf	"resources"
1	"information"	rdfs:member	"information resources"
1	"suitable"	rdfs:member	"suitable information"
1	"suitable information resources"	rdfs:subClassOf	"information resources"
1	"find from large amount"	local:from_largeamount	"find"
1	"find from large amount"	local:find_from	"large amount"
1	"large amount of blog entries"	local:of_blogentries	"large amount"
1	"large amount of blog entries"	local:largeamount_of	"blog entries"
1	"need"	local:AM-PNC	"order"
1	"need"	vn.role:Agent	"we"
1	"user interests"	rdfs:subClassOf	"interests"
1	"user"	rdfs:member	"user profile"
1	"user"	rdfs:member	"user interests"
1	"user profile"	rdfs:subClassOf	"profile"
1	"automatically transcribe"	rdfs:subClassOf	"transcribe"
1	"filtering technique"	rdfs:subClassOf	"technique"
1	"information filtering technique"	rdfs:subClassOf	"filtering technique"
1	"automatically transcribe to user profile"	local:to_userprofile	"automatically transcribe"
1	"automatically transcribe to user profile"	local:automaticallytranscribe_to	"user profile"
1	"user profile in detail"	local:in_detail	"user profile"
1	"user profile in detail"	local:userprofile_in	"detail"
1	"need"	vn.role:Patient	"information filtering technique"
1	"transcribe"	vn.role:Agent	"we"
1	"information filtering technique"	rdfs:subClassOf	"technique"
1	"filtering"	rdfs:member	"filtering technique"
1	"information"	rdfs:member	"information filtering"
1	"information filtering"	rdfs:member	"information filtering technique"
1	"information filtering"	rdfs:subClassOf	"filtering"
1	"filtering technique"	rdfs:subClassOf	"technique"
1	"information filtering technique"	rdfs:subClassOf	"filtering technique"
1	"transcribe"	vn.role:Agent	"information filtering technique"
1	"transcribe"	local:AM-MNR	"automatically"
1	"user"	rdfs:member	"user interests"
1	"user interests"	rdfs:subClassOf	"interests"
1	"transcribe"	vn.role:Theme	"user interests"
1	"user"	rdfs:member	"user profile"
1	"user profile"	rdfs:subClassOf	"profile"
1	"user profile in detail"	local:in_detail	"user profile"
1	"user profile in detail"	local:userprofile_in	"detail"
1	"transcribe"	vn.role:Destination	"user profile in detail"
2	"blog entries"	rdfs:subClassOf	"entries"
2	"blog"	rdfs:member	"blog entries"
2	"published"	vn.role:Product	"blog entries"
2	"published"	local:AM-TMP	"day"
3	"classify"	local:AM-LOC	"paper"
3	"classify"	vn.role:Agent	"we"
3	"classify"	local:AM-TMP	"first"
3	"user blog"	rdfs:member	"user blog entries"
3	"blog entries"	rdfs:subClassOf	"entries"
3	"user blog entries"	rdfs:subClassOf	"entries"
3	"blog"	rdfs:member	"blog entries"
3	"user blog"	rdfs:subClassOf	"blog"
3	"user"	rdfs:member	"user blog"
3	"user blog entries"	rdfs:subClassOf	"blog entries"
3	"classify"	vn.role:Theme	"user blog entries"
3	"service domain"	rdfs:member	"service domain ontologies"
3	"service"	rdfs:member	"service domain"
3	"domain"	rdfs:member	"domain ontologies"
3	"service domain"	rdfs:subClassOf	"domain"
3	"service domain ontologies"	rdfs:subClassOf	"ontologies"
3	"domain ontologies"	rdfs:subClassOf	"ontologies"
3	"service domain ontologies"	rdfs:subClassOf	"domain ontologies"
3	"classify"	vn.role:Predicate	"service domain ontologies"
4	"service domain"	rdfs:member	"service domain ontologies"
4	"service"	rdfs:member	"service domain"
4	"domain"	rdfs:member	"domain ontologies"
4	"service domain"	rdfs:subClassOf	"domain"
4	"service domain ontologies"	rdfs:subClassOf	"ontologies"
4	"domain ontologies"	rdfs:subClassOf	"ontologies"
4	"service domain ontologies"	rdfs:subClassOf	"domain ontologies"
4	"express"	vn.role:Theme	"service domain ontologies"
4	"user"	rdfs:member	"user ’"
4	"’"	rdfs:member	"’ s"
4	"user ’ s"	rdfs:subClassOf	"s"
4	"’ s"	rdfs:subClassOf	"s"
4	"’ s interests"	rdfs:subClassOf	"interests"
4	"user ’"	rdfs:subClassOf	"’"
4	"user ’ s interests"	rdfs:subClassOf	"interests"
4	"s interests"	rdfs:subClassOf	"interests"
4	"’ s"	rdfs:member	"’ s interests"
4	"user ’"	rdfs:member	"user ’ s"
4	"user ’ s"	rdfs:member	"user ’ s interests"
4	"s"	rdfs:member	"s interests"
4	"user interests"	rdfs:subClassOf	"interests"
4	"express"	vn.role:Agent	"user interests"
4	"express"	local:AM-MNR	"semantically"
5	"classify"	local:AM-LOC	"paper"
5	"classify"	vn.role:Agent	"we"
5	"classify"	local:AM-TMP	"first"
5	"user blog"	rdfs:member	"user blog entries"
5	"blog entries"	rdfs:subClassOf	"entries"
5	"user blog entries"	rdfs:subClassOf	"entries"
5	"blog"	rdfs:member	"blog entries"
5	"user blog"	rdfs:subClassOf	"blog"
5	"user"	rdfs:member	"user blog"
5	"user blog entries"	rdfs:subClassOf	"blog entries"
5	"classify"	vn.role:Theme	"user blog entries"
5	"extract interest ontologies"	rdfs:subClassOf	"ontologies"
5	"interest"	rdfs:member	"interest ontologies"
5	"extract interest"	rdfs:subClassOf	"interest"
5	"interest ontologies"	rdfs:subClassOf	"ontologies"
5	"extract interest"	rdfs:member	"extract interest ontologies"
5	"extract"	rdfs:member	"extract interest"
5	"extract interest ontologies"	rdfs:subClassOf	"interest ontologies"
5	"classify"	vn.role:Predicate	"extract interest ontologies"
