1	"technical challenges"	rdfs:subClassOf	"challenges"
1	"technical"	rdfs:member	"technical challenges"
1	"associated"	vn.role:Patient2	"technical challenges"
1	"development of ontologies"	local:of_ontologies	"development"
1	"development of ontologies"	local:development_of	"ontologies"
1	"associated"	vn.role:Agent	"development of ontologies"
2	"economical aspects"	rdfs:subClassOf	"aspects"
2	"economical"	rdfs:member	"economical aspects"
2	"economical aspects of processes"	local:of_processes	"economical aspects"
2	"economical aspects of processes"	local:economicalaspects_of	"processes"
2	"are,"	vn.role:subject	"economical aspects of processes"
2	"ontology-driven"	rdfs:member	"ontology-driven technologies"
2	"ontology-driven technologies"	rdfs:subClassOf	"technologies"
2	"academic"	rdfs:member	"academic community"
2	"academic community"	rdfs:subClassOf	"community"
2	"poorly exploited"	rdfs:subClassOf	"exploited"
2	"still poorly exploited"	rdfs:subClassOf	"poorly exploited"
2	"however still poorly exploited"	rdfs:subClassOf	"still poorly exploited"
2	"dissemination of ontology-driven technologies"	local:of_ontology-driventechnologies	"dissemination"
2	"dissemination of ontology-driven technologies"	local:dissemination_of	"ontology-driven technologies"
2	"impeding beyond boundaries"	local:beyond_boundaries	"impeding"
2	"impeding beyond boundaries"	local:impeding_beyond	"boundaries"
2	"boundaries of academic community"	local:of_academiccommunity	"boundaries"
2	"boundaries of academic community"	local:boundaries_of	"academic community"
2	"are,"	vn.role:object	"however still poorly exploited"
2	"economical aspects"	rdfs:subClassOf	"aspects"
2	"economical"	rdfs:member	"economical aspects"
2	"poorly exploited"	rdfs:subClassOf	"exploited"
2	"still poorly exploited"	rdfs:subClassOf	"poorly exploited"
2	"however still poorly exploited"	rdfs:subClassOf	"still poorly exploited"
2	"economical aspects of processes"	local:of_processes	"economical aspects"
2	"economical aspects of processes"	local:economicalaspects_of	"processes"
2	"impeding"	vn.role:Agent	"however still poorly exploited"
2	"ontology-driven"	rdfs:member	"ontology-driven technologies"
2	"ontology-driven technologies"	rdfs:subClassOf	"technologies"
2	"academic"	rdfs:member	"academic community"
2	"academic community"	rdfs:subClassOf	"community"
2	"dissemination of ontology-driven technologies"	local:of_ontology-driventechnologies	"dissemination"
2	"dissemination of ontology-driven technologies"	local:dissemination_of	"ontology-driven technologies"
2	"dissemination of ontology-driven technologies beyond boundaries"	local:beyond_boundaries	"dissemination of ontology-driven technologies"
2	"dissemination of ontology-driven technologies beyond boundaries"	local:disseminationofontology-driventechnologies_beyond	"boundaries"
2	"boundaries of academic community"	local:of_academiccommunity	"boundaries"
2	"boundaries of academic community"	local:boundaries_of	"academic community"
2	"impeding"	vn.role:Theme	"dissemination of ontology-driven technologies beyond boundaries"
3	"arising"	vn.role:Location	"costs"
3	"ontology"	rdfs:member	"ontology engineering"
3	"ontology engineering"	rdfs:member	"ontology engineering processes"
3	"engineering"	rdfs:member	"engineering processes"
3	"ontology engineering processes"	rdfs:subClassOf	"processes"
3	"ontology engineering"	rdfs:subClassOf	"engineering"
3	"engineering processes"	rdfs:subClassOf	"processes"
3	"ontology engineering processes"	rdfs:subClassOf	"engineering processes"
3	"arising"	vn.role:indirect_object	"ontology engineering processes"
4	"aims"	vn.role:Experiencer	"paper"
4	"contributing to alleviation"	local:to_alleviation	"contributing"
4	"contributing to alleviation"	local:contributing_to	"alleviation"
4	"alleviation of situation"	local:of_situation	"alleviation"
4	"alleviation of situation"	local:alleviation_of	"situation"
4	"aims"	vn.role:indirect_object	"contributing to alleviation"
4	"contributing"	vn.role:Theme1	"paper"
4	"alleviation of situation"	local:of_situation	"alleviation"
4	"alleviation of situation"	local:alleviation_of	"situation"
4	"contributing"	vn.role:indirect_object	"alleviation of situation"
4	"proposing"	vn.role:Agent	"paper"
4	"proposing"	vn.role:Topic	"model"
4	"predict"	vn.role:Recipient	"model"
4	"predict"	vn.role:Cause	"costs"
5	"aims"	vn.role:Experiencer	"paper"
5	"contributing to alleviation"	local:to_alleviation	"contributing"
5	"contributing to alleviation"	local:contributing_to	"alleviation"
5	"alleviation of situation"	local:of_situation	"alleviation"
5	"alleviation of situation"	local:alleviation_of	"situation"
5	"aims"	vn.role:indirect_object	"contributing to alleviation"
5	"contributing"	vn.role:Theme1	"paper"
5	"alleviation of situation"	local:of_situation	"alleviation"
5	"alleviation of situation"	local:alleviation_of	"situation"
5	"contributing"	vn.role:indirect_object	"alleviation of situation"
5	"contributing"	local:AM-MNR	"proposing"
5	"proposing"	vn.role:Agent	"paper"
5	"proposing"	vn.role:Topic	"ontocom"
6	"aims"	vn.role:Experiencer	"paper"
6	"contributing to alleviation"	local:to_alleviation	"contributing"
6	"contributing to alleviation"	local:contributing_to	"alleviation"
6	"alleviation of situation"	local:of_situation	"alleviation"
6	"alleviation of situation"	local:alleviation_of	"situation"
6	"aims"	vn.role:indirect_object	"contributing to alleviation"
6	"ontology"	rdfs:member	"ontology cost"
6	"cost model"	rdfs:subClassOf	"model"
6	"cost"	rdfs:member	"cost model"
6	"ontology cost"	rdfs:member	"ontology cost model"
6	"ontology cost"	rdfs:subClassOf	"cost"
6	"ontology cost model"	rdfs:subClassOf	"model"
6	"ontology cost model"	rdfs:subClassOf	"cost model"
6	"aims"	local:AM-MNR	"proposing"
6	"contributing"	vn.role:Theme1	"paper"
