0	"empirical study"	rdfs:subClassOf	"study"
0	"empirical"	rdfs:member	"empirical study"
0	"shows"	vn.role:Agent	"empirical study"
0	"other kind"	rdfs:subClassOf	"kind"
0	"different"	rdfs:member	"different types"
0	"different types"	rdfs:subClassOf	"types"
0	"strong dependencies"	rdfs:subClassOf	"dependencies"
0	"other"	rdfs:member	"other kind"
0	"strong"	rdfs:member	"strong dependencies"
0	"can used"	rdfs:subClassOf	"used"
0	"one kind"	rdfs:subClassOf	"kind"
0	"means across different types"	local:across_differenttypes	"means"
0	"means across different types"	local:means_across	"different types"
0	"different types of information"	local:of_information	"different types"
0	"different types of information"	local:differenttypes_of	"information"
0	"identification of one kind"	local:of_onekind	"identification"
0	"identification of one kind"	local:identification_of	"one kind"
0	"one kind of information"	local:of_information	"one kind"
0	"one kind of information"	local:onekind_of	"information"
0	"other kind of information"	local:of_information	"other kind"
0	"other kind of information"	local:otherkind_of	"information"
0	"shows"	vn.role:Theme	"exist"
0	"strong"	rdfs:member	"strong dependencies"
0	"strong dependencies"	rdfs:subClassOf	"dependencies"
0	"exist"	vn.role:Location	"strong dependencies"
0	"different"	rdfs:member	"different types"
0	"different types"	rdfs:subClassOf	"types"
0	"different types of information"	local:of_information	"different types"
0	"different types of information"	local:differenttypes_of	"information"
0	"exist"	local:AM-MNR	"different types of information"
0	"means"	vn.role:Agent	"it"
0	"other kind"	rdfs:subClassOf	"kind"
0	"other"	rdfs:member	"other kind"
0	"can used"	rdfs:subClassOf	"used"
0	"one kind"	rdfs:subClassOf	"kind"
0	"identification of one kind"	local:of_onekind	"identification"
0	"identification of one kind"	local:identification_of	"one kind"
0	"one kind of information"	local:of_information	"one kind"
0	"one kind of information"	local:onekind_of	"information"
0	"other kind of information"	local:of_information	"other kind"
0	"other kind of information"	local:otherkind_of	"information"
0	"means"	vn.role:Theme	"can used"
0	"one kind"	rdfs:subClassOf	"kind"
0	"identification of one kind"	local:of_onekind	"identification"
0	"identification of one kind"	local:identification_of	"one kind"
0	"one kind of information"	local:of_information	"one kind"
0	"one kind of information"	local:onekind_of	"information"
0	"used"	vn.role:Theme	"identification of one kind"
0	"used"	local:AM-MOD	"can"
0	"other kind"	rdfs:subClassOf	"kind"
0	"other"	rdfs:member	"other kind"
0	"other kind of information"	local:of_information	"other kind"
0	"other kind of information"	local:otherkind_of	"information"
0	"used"	vn.role:Recipient	"identifying"
