00.0	"ontology search"	rdfs:subClassOf	"search"
00.0	"ontology"	rdfs:member	"ontology search"
00.0	"becoming"	vn.role:Patient	"ontology search"
00.0	"increasingly important"	rdfs:subClassOf	"important"
00.0	"becoming"	vn.role:indirect_object	"increasingly important"
00.0	"such knowledge structures"	rdfs:subClassOf	"structures"
00.0	"such"	rdfs:member	"such knowledge"
00.0	"such knowledge"	rdfs:subClassOf	"knowledge"
00.0	"knowledge"	rdfs:member	"knowledge structures"
00.0	"such knowledge"	rdfs:member	"such knowledge structures"
00.0	"knowledge structures"	rdfs:subClassOf	"structures"
00.0	"such knowledge structures"	rdfs:subClassOf	"knowledge structures"
00.0	"quest for methods"	local:for_methods	"quest"
00.0	"quest for methods"	local:quest_for	"methods"
00.0	"becoming"	local:AM-TMP	"continues"
00.0	"reduce"	vn.role:Cause	"methods"
00.0	"such knowledge structures"	rdfs:subClassOf	"structures"
00.0	"such"	rdfs:member	"such knowledge"
00.0	"such knowledge"	rdfs:subClassOf	"knowledge"
00.0	"knowledge"	rdfs:member	"knowledge structures"
00.0	"such knowledge"	rdfs:member	"such knowledge structures"
00.0	"knowledge structures"	rdfs:subClassOf	"structures"
00.0	"such knowledge structures"	rdfs:subClassOf	"knowledge structures"
00.0	"reduce"	vn.role:Patient	"continues"
00.0	"knowledge"	rdfs:member	"knowledge structures"
00.0	"knowledge structures"	rdfs:subClassOf	"structures"
00.0	"constructing"	vn.role:Product	"continues"
00.1	"ontology"	rdfs:member	"ontology libraries"
00.1	"ontology libraries"	rdfs:subClassOf	"libraries"
00.1	"number of ontology libraries"	local:of_ontologylibraries	"number"
00.1	"number of ontology libraries"	local:number_of	"ontology libraries"
00.1	"coming"	vn.role:Location	"number of ontology libraries"
00.1	"coming"	vn.role:other	"existence"
00.1	"potentially relevant"	rdfs:subClassOf	"relevant"
00.1	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.1	"potentially"	rdfs:member	"potentially relevant"
00.1	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.1	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.1	"relevant"	rdfs:member	"relevant ontologies"
00.1	"coming"	local:AM-PNC	"facilitate"
00.1	"ontology"	rdfs:member	"ontology libraries"
00.1	"ontology libraries"	rdfs:subClassOf	"libraries"
00.1	"number of ontology libraries"	local:of_ontologylibraries	"number"
00.1	"number of ontology libraries"	local:number_of	"ontology libraries"
00.1	"facilitate"	vn.role:Agent	"number of ontology libraries"
00.1	"potentially relevant"	rdfs:subClassOf	"relevant"
00.1	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.1	"potentially"	rdfs:member	"potentially relevant"
00.1	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.1	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.1	"relevant"	rdfs:member	"relevant ontologies"
00.1	"facilitate"	vn.role:Beneficiary	"locating"
00.1	"ontology"	rdfs:member	"ontology libraries"
00.1	"ontology libraries"	rdfs:subClassOf	"libraries"
00.1	"number of ontology libraries"	local:of_ontologylibraries	"number"
00.1	"number of ontology libraries"	local:number_of	"ontology libraries"
00.1	"locating"	vn.role:Agent	"number of ontology libraries"
00.1	"potentially relevant"	rdfs:subClassOf	"relevant"
00.1	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.1	"potentially"	rdfs:member	"potentially relevant"
00.1	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.1	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.1	"relevant"	rdfs:member	"relevant ontologies"
00.1	"locating"	vn.role:Theme	"relevant ontologies"
00.2	"search engines"	rdfs:subClassOf	"engines"
00.2	"search"	rdfs:member	"search engines"
00.2	"number of search engines"	local:of_searchengines	"number"
00.2	"number of search engines"	local:number_of	"search engines"
00.2	"coming"	vn.role:Location	"number of search engines"
00.2	"coming"	vn.role:other	"existence"
00.2	"potentially relevant"	rdfs:subClassOf	"relevant"
00.2	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.2	"potentially"	rdfs:member	"potentially relevant"
00.2	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.2	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.2	"relevant"	rdfs:member	"relevant ontologies"
00.2	"coming"	local:AM-PNC	"facilitate"
00.2	"search engines"	rdfs:subClassOf	"engines"
00.2	"search"	rdfs:member	"search engines"
00.2	"number of search engines"	local:of_searchengines	"number"
00.2	"number of search engines"	local:number_of	"search engines"
00.2	"facilitate"	vn.role:Agent	"number of search engines"
00.2	"potentially relevant"	rdfs:subClassOf	"relevant"
00.2	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.2	"potentially"	rdfs:member	"potentially relevant"
00.2	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.2	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.2	"relevant"	rdfs:member	"relevant ontologies"
00.2	"facilitate"	vn.role:Beneficiary	"retrieving"
00.2	"search engines"	rdfs:subClassOf	"engines"
00.2	"search"	rdfs:member	"search engines"
00.2	"number of search engines"	local:of_searchengines	"number"
00.2	"number of search engines"	local:number_of	"search engines"
00.2	"retrieving"	vn.role:Agent	"number of search engines"
00.2	"potentially relevant"	rdfs:subClassOf	"relevant"
00.2	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.2	"potentially"	rdfs:member	"potentially relevant"
00.2	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.2	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.2	"relevant"	rdfs:member	"relevant ontologies"
00.2	"retrieving"	vn.role:Theme	"relevant ontologies"
00.3	"search engines"	rdfs:subClassOf	"engines"
00.3	"search"	rdfs:member	"search engines"
