0	"given"	vn.role:object	"task"
1	"semantic web services"	rdfs:subClassOf	"services"
1	"semantic web"	rdfs:subClassOf	"web"
1	"semantic web"	rdfs:member	"semantic web services"
1	"web services"	rdfs:subClassOf	"services"
1	"web"	rdfs:member	"web services"
1	"semantic"	rdfs:member	"semantic web"
1	"semantic web services"	rdfs:subClassOf	"web services"
1	"research on semantic web services"	local:on_semanticwebservices	"research"
1	"research on semantic web services"	local:research_on	"semantic web services"
1	"aims"	vn.role:Experiencer	"research on semantic web services"
1	"aims"	vn.role:indirect_object	"automating"
1	"automating"	vn.role:Patient	"step"
2	"automated"	vn.role:Patient	"discovery"
2	"based"	vn.role:Cause	"discovery"
2	"semantic"	rdfs:member	"semantic matchmaking"
2	"semantic matchmaking"	rdfs:subClassOf	"matchmaking"
2	"based"	vn.role:indirect_object	"semantic matchmaking"
3	"semantic"	rdfs:member	"semantic matchmaking"
3	"semantic matchmaking"	rdfs:subClassOf	"matchmaking"
3	"become"	vn.role:Patient	"semantic matchmaking"
3	"become"	vn.role:indirect_object	"important"
4	"large"	rdfs:member	"large amount"
4	"available"	rdfs:member	"available web"
4	"available web"	rdfs:subClassOf	"web"
4	"web services"	rdfs:subClassOf	"services"
4	"available web services"	rdfs:subClassOf	"services"
4	"large amount"	rdfs:subClassOf	"amount"
4	"web"	rdfs:member	"web services"
4	"available web"	rdfs:member	"available web services"
4	"available web services"	rdfs:subClassOf	"web services"
4	"large amount of available web services"	local:of_availablewebservices	"large amount"
4	"large amount of available web services"	local:largeamount_of	"available web services"
4	"expected"	local:AM-ADV	"large amount of available web services"
4	"expected"	local:AM-MOD	"can"
4	"computational"	rdfs:member	"computational costs"
4	"automated"	rdfs:member	"automated discovery"
4	"automated discovery"	rdfs:subClassOf	"discovery"
4	"computational costs"	rdfs:subClassOf	"costs"
4	"computational costs of automated discovery"	local:of_automateddiscovery	"computational costs"
4	"computational costs of automated discovery"	local:computationalcosts_of	"automated discovery"
4	"expected"	local:AM-LOC	"computational costs of automated discovery"
5	"large"	rdfs:member	"large amount"
5	"available"	rdfs:member	"available web"
5	"available web"	rdfs:subClassOf	"web"
5	"web services"	rdfs:subClassOf	"services"
5	"available web services"	rdfs:subClassOf	"services"
5	"large amount"	rdfs:subClassOf	"amount"
5	"web"	rdfs:member	"web services"
5	"available web"	rdfs:member	"available web services"
5	"available web services"	rdfs:subClassOf	"web services"
5	"large amount of available web services"	local:of_availablewebservices	"large amount"
5	"large amount of available web services"	local:largeamount_of	"available web services"
5	"expected"	local:AM-ADV	"large amount of available web services"
5	"expected"	local:AM-MOD	"can"
5	"real-world settings"	rdfs:subClassOf	"settings"
5	"real-world"	rdfs:member	"real-world settings"
5	"expected"	local:AM-LOC	"real-world settings"
6	"discovery"	rdfs:member	"discovery engine"
6	"discovery engine"	rdfs:subClassOf	"engine"
6	"make"	vn.role:Material	"discovery engine"
6	"reliable software component"	rdfs:subClassOf	"component"
6	"software component"	rdfs:subClassOf	"component"
6	"reliable"	rdfs:member	"reliable software"
6	"software"	rdfs:member	"software component"
6	"reliable software"	rdfs:member	"reliable software component"
6	"reliable software"	rdfs:subClassOf	"software"
6	"reliable software component"	rdfs:subClassOf	"software component"
6	"make"	vn.role:Product	"reliable software component"
6	"make"	vn.role:Agent	"we"
6	"reliable software component"	rdfs:subClassOf	"component"
6	"software component"	rdfs:subClassOf	"component"
6	"reliable"	rdfs:member	"reliable software"
6	"software"	rdfs:member	"software component"
6	"reliable software"	rdfs:member	"reliable software component"
6	"discovery engine"	rdfs:subClassOf	"engine"
6	"reliable software"	rdfs:subClassOf	"software"
6	"discovery"	rdfs:member	"discovery engine"
6	"reliable software component"	rdfs:subClassOf	"software component"
6	"aim"	local:AM-PNC	"make"
6	"aim"	vn.role:Experiencer	"we"
6	"aim"	local:AM-MOD	"must"
6	"aim"	local:AM-DIS	"thus"
6	"discovery"	rdfs:member	"discovery task"
6	"discovery task"	rdfs:subClassOf	"task"
6	"mean of duration"	local:of_duration	"mean"
6	"mean of duration"	local:mean_of	"duration"
6	"duration of discovery task"	local:of_discoverytask	"duration"
6	"duration of discovery task"	local:duration_of	"discovery task"
6	"aim"	vn.role:indirect_object	"minimizing"
6	"minimizing"	vn.role:Patient	"we"
6	"discovery"	rdfs:member	"discovery task"
6	"discovery task"	rdfs:subClassOf	"task"
6	"mean of duration"	local:of_duration	"mean"
6	"mean of duration"	local:mean_of	"duration"
6	"duration of discovery task"	local:of_discoverytask	"duration"
6	"duration of discovery task"	local:duration_of	"discovery task"
6	"minimizing"	vn.role:Attribute	"mean of duration"
7	"reliable software component"	rdfs:subClassOf	"component"
7	"discovery"	rdfs:member	"discovery engine"
7	"software component"	rdfs:subClassOf	"component"
7	"reliable"	rdfs:member	"reliable software"
7	"software"	rdfs:member	"software component"
7	"reliable software"	rdfs:member	"reliable software component"
7	"discovery engine"	rdfs:subClassOf	"engine"
7	"discovery task"	rdfs:subClassOf	"task"
7	"reliable software"	rdfs:subClassOf	"software"
7	"discovery"	rdfs:member	"discovery task"
7	"thus aim"	rdfs:subClassOf	"aim"
7	"must thus aim"	rdfs:subClassOf	"thus aim"
7	"reliable software component"	rdfs:subClassOf	"software component"
7	"variance of duration"	local:of_duration	"variance"
7	"variance of duration"	local:variance_of	"duration"
7	"duration of discovery task"	local:of_discoverytask	"duration"
7	"duration of discovery task"	local:duration_of	"discovery task"
7	"make"	vn.role:Material	"must thus aim"
7	"reliable software component"	rdfs:subClassOf	"component"
7	"software component"	rdfs:subClassOf	"component"
7	"reliable"	rdfs:member	"reliable software"
7	"software"	rdfs:member	"software component"
7	"reliable software"	rdfs:member	"reliable software component"
7	"discovery engine"	rdfs:subClassOf	"engine"
7	"reliable software"	rdfs:subClassOf	"software"
7	"discovery"	rdfs:member	"discovery engine"
7	"reliable software component"	rdfs:subClassOf	"software component"
7	"aim"	local:AM-PNC	"make"
7	"aim"	vn.role:Experiencer	"we"
7	"aim"	local:AM-MOD	"must"
7	"aim"	local:AM-DIS	"thus"
7	"discovery"	rdfs:member	"discovery task"
7	"discovery task"	rdfs:subClassOf	"task"
7	"variance of duration"	local:of_duration	"variance"
7	"variance of duration"	local:variance_of	"duration"
7	"duration of discovery task"	local:of_discoverytask	"duration"
7	"duration of discovery task"	local:duration_of	"discovery task"
7	"aim"	vn.role:indirect_object	"minimizing"
7	"minimizing"	vn.role:Patient	"we"
7	"discovery"	rdfs:member	"discovery task"
7	"discovery task"	rdfs:subClassOf	"task"
7	"variance of duration"	local:of_duration	"variance"
7	"variance of duration"	local:variance_of	"duration"
7	"duration of discovery task"	local:of_discoverytask	"duration"
7	"duration of discovery task"	local:duration_of	"discovery task"
7	"minimizing"	vn.role:Attribute	"variance of duration"
8	"exploits"	vn.role:Agent	"environments"
8	"structural"	rdfs:member	"structural knowledge"
8	"discovery operations"	rdfs:subClassOf	"operations"
8	"search space"	rdfs:subClassOf	"space"
8	"knowledge results"	rdfs:subClassOf	"results"
8	"search"	rdfs:member	"search space"
8	"consequent discovery operations"	rdfs:subClassOf	"operations"
8	"structural knowledge"	rdfs:subClassOf	"knowledge"
8	"knowledge"	rdfs:member	"knowledge results"
8	"discovery"	rdfs:member	"discovery operations"
8	"structural knowledge results"	rdfs:subClassOf	"results"
8	"consequent discovery"	rdfs:member	"consequent discovery operations"
8	"consequent discovery"	rdfs:subClassOf	"discovery"
8	"consequent"	rdfs:member	"consequent discovery"
8	"structural knowledge"	rdfs:member	"structural knowledge results"
8	"consequent discovery operations"	rdfs:subClassOf	"discovery operations"
8	"search space of consequent discovery operations"	local:of_consequentdiscoveryoperations	"search space"
8	"search space of consequent discovery operations"	local:searchspace_of	"consequent discovery operations"
8	"exploits"	vn.role:Predicate	"results"
8	"discovery operations"	rdfs:subClassOf	"operations"
8	"search space"	rdfs:subClassOf	"space"
8	"search"	rdfs:member	"search space"
8	"consequent discovery operations"	rdfs:subClassOf	"operations"
8	"discovery"	rdfs:member	"discovery operations"
8	"consequent discovery"	rdfs:member	"consequent discovery operations"
8	"consequent discovery"	rdfs:subClassOf	"discovery"
8	"consequent"	rdfs:member	"consequent discovery"
8	"consequent discovery operations"	rdfs:subClassOf	"discovery operations"
8	"search space of consequent discovery operations"	local:of_consequentdiscoveryoperations	"search space"
8	"search space of consequent discovery operations"	local:searchspace_of	"consequent discovery operations"
8	"reducing"	vn.role:Patient	"search space of consequent discovery operations"
9	"exploits"	vn.role:Agent	"environments"
9	"discovery operations"	rdfs:subClassOf	"operations"
9	"search space"	rdfs:subClassOf	"space"
9	"discovery results"	rdfs:subClassOf	"results"
9	"previous discovery results"	rdfs:subClassOf	"results"
9	"previous discovery"	rdfs:subClassOf	"discovery"
9	"discovery"	rdfs:member	"discovery results"
9	"search"	rdfs:member	"search space"
9	"consequent discovery operations"	rdfs:subClassOf	"operations"
9	"previous"	rdfs:member	"previous discovery"
9	"discovery"	rdfs:member	"discovery operations"
9	"consequent discovery"	rdfs:member	"consequent discovery operations"
9	"consequent discovery"	rdfs:subClassOf	"discovery"
9	"consequent"	rdfs:member	"consequent discovery"
9	"previous discovery"	rdfs:member	"previous discovery results"
9	"consequent discovery operations"	rdfs:subClassOf	"discovery operations"
9	"search space of consequent discovery operations"	local:of_consequentdiscoveryoperations	"search space"
9	"search space of consequent discovery operations"	local:searchspace_of	"consequent discovery operations"
9	"exploits"	vn.role:Predicate	"results"
9	"discovery operations"	rdfs:subClassOf	"operations"
9	"search space"	rdfs:subClassOf	"space"
9	"search"	rdfs:member	"search space"
9	"consequent discovery operations"	rdfs:subClassOf	"operations"
9	"discovery"	rdfs:member	"discovery operations"
9	"consequent discovery"	rdfs:member	"consequent discovery operations"
9	"consequent discovery"	rdfs:subClassOf	"discovery"
9	"consequent"	rdfs:member	"consequent discovery"
9	"consequent discovery operations"	rdfs:subClassOf	"discovery operations"
9	"search space of consequent discovery operations"	local:of_consequentdiscoveryoperations	"search space"
9	"search space of consequent discovery operations"	local:searchspace_of	"consequent discovery operations"
9	"reducing"	vn.role:Patient	"search space of consequent discovery operations"
10	"present"	local:AM-ADV	"this"
10	"present"	vn.role:Agent	"we"
10	"semantic web services"	rdfs:member	"semantic web services environments"
10	"stanford research"	rdfs:subClassOf	"research"
10	"web services environments"	rdfs:subClassOf	"environments"
10	"semantic web services environments"	rdfs:subClassOf	"environments"
10	"semantic web services"	rdfs:subClassOf	"services"
10	"services"	rdfs:member	"services environments"
10	"discovery engines"	rdfs:subClassOf	"engines"
10	"semantic web"	rdfs:subClassOf	"web"
10	"semantic web"	rdfs:member	"semantic web services"
10	"web services"	rdfs:subClassOf	"services"
10	"services environments"	rdfs:subClassOf	"environments"
10	"web"	rdfs:member	"web services"
10	"web services"	rdfs:member	"web services environments"
10	"discovery"	rdfs:member	"discovery engines"
10	"semantic"	rdfs:member	"semantic web"
10	"stanford"	rdfs:member	"stanford research"
10	"web services environments"	rdfs:subClassOf	"services environments"
10	"semantic web services environments"	rdfs:subClassOf	"web services environments"
10	"extension for discovery engines"	local:for_discoveryengines	"extension"
10	"extension for discovery engines"	local:extension_for	"discovery engines"
10	"discovery engines in stanford research"	local:in_stanfordresearch	"discovery engines"
10	"discovery engines in stanford research"	local:discoveryengines_in	"stanford research"
10	"stanford research on semantic web services environments"	local:on_semanticwebservicesenvironments	"stanford research"
10	"stanford research on semantic web services environments"	local:stanfordresearch_on	"semantic web services environments"
10	"present"	vn.role:Theme	"extension for discovery engines"
11	"prototype"	rdfs:member	"prototype implementation"
11	"prototype implementation"	rdfs:subClassOf	"implementation"
11	"shows"	vn.role:Agent	"prototype implementation"
11	"significant improvements"	rdfs:subClassOf	"improvements"
11	"significant"	rdfs:member	"significant improvements"
11	"shows"	vn.role:Theme	"significant improvements"
11	"stanford research"	rdfs:subClassOf	"research"
11	"semantic web services"	rdfs:subClassOf	"services"
11	"semantic web"	rdfs:subClassOf	"web"
11	"semantic web"	rdfs:member	"semantic web services"
11	"web services"	rdfs:subClassOf	"services"
11	"web"	rdfs:member	"web services"
11	"semantic"	rdfs:member	"semantic web"
11	"stanford"	rdfs:member	"stanford research"
11	"challenge scenario"	rdfs:subClassOf	"scenario"
11	"services challenge scenario"	rdfs:subClassOf	"challenge scenario"
11	"web services challenge scenario"	rdfs:subClassOf	"services challenge scenario"
11	"semantic web services challenge scenario"	rdfs:subClassOf	"web services challenge scenario"
11	"applied to stanford research"	local:to_stanfordresearch	"applied"
11	"applied to stanford research"	local:applied_to	"stanford research"
11	"stanford research on semantic web services challenge scenario"	local:on_semanticwebserviceschallengescenario	"stanford research"
11	"stanford research on semantic web services challenge scenario"	local:stanfordresearch_on	"semantic web services challenge scenario"
11	"stanford research on semantic web services challenge scenario on dataset"	local:on_dataset	"stanford research on semantic web services challenge scenario"
11	"stanford research on semantic web services challenge scenario on dataset"	local:stanfordresearchonsemanticwebserviceschallengescenario_on	"dataset"
11	"shows"	local:AM-TMP	"applied to stanford research"
11	"prototype"	rdfs:member	"prototype implementation"
11	"prototype implementation"	rdfs:subClassOf	"implementation"
11	"applied"	vn.role:Theme	"prototype implementation"
11	"stanford research"	rdfs:subClassOf	"research"
11	"stanford"	rdfs:member	"stanford research"
11	"applied"	vn.role:Recipient	"stanford research"
11	"semantic web services"	rdfs:subClassOf	"services"
11	"semantic web"	rdfs:subClassOf	"web"
11	"semantic web"	rdfs:member	"semantic web services"
11	"web services"	rdfs:subClassOf	"services"
11	"web"	rdfs:member	"web services"
11	"semantic"	rdfs:member	"semantic web"
11	"challenge scenario"	rdfs:subClassOf	"scenario"
11	"services challenge scenario"	rdfs:subClassOf	"challenge scenario"
11	"web services challenge scenario"	rdfs:subClassOf	"services challenge scenario"
11	"semantic web services challenge scenario"	rdfs:subClassOf	"web services challenge scenario"
11	"applied"	vn.role:Theme	"semantic web services challenge scenario"
11	"prototype"	rdfs:member	"prototype implementation"
11	"stanford research"	rdfs:subClassOf	"research"
11	"semantic web services"	rdfs:subClassOf	"services"
11	"significant improvements"	rdfs:subClassOf	"improvements"
11	"semantic web"	rdfs:subClassOf	"web"
11	"semantic web"	rdfs:member	"semantic web services"
11	"web services"	rdfs:subClassOf	"services"
11	"significant"	rdfs:member	"significant improvements"
11	"web"	rdfs:member	"web services"
11	"prototype implementation"	rdfs:subClassOf	"implementation"
11	"semantic"	rdfs:member	"semantic web"
11	"stanford"	rdfs:member	"stanford research"
11	"semantic web services"	rdfs:subClassOf	"web services"
11	"when applied"	rdfs:subClassOf	"applied"
11	"when applied to stanford research"	local:to_stanfordresearch	"when applied"
11	"when applied to stanford research"	local:whenapplied_to	"stanford research"
11	"stanford research on semantic web services"	local:on_semanticwebservices	"stanford research"
11	"stanford research on semantic web services"	local:stanfordresearch_on	"semantic web services"
11	"challenge"	vn.role:Agent	"shows"
11	"challenge"	vn.role:Theme	"scenario"
