s2.2	"depend on the semantics of the other ontologies"
s2.2	"depend on the semantics of the other ontologies"	rdf:subject	"semantics of the other ontologies"
s2.2	"semantics of the other ontologies"	rdfs:member	"other ontologies"
s2.2	"semantics of the other ontologies"	rdfs:member	"semantics"
s2.2	"other ontologies"	rdfs:member	"other"
s2.2	"other ontologies"	rdfs:subClassOf	"ontologies"
s2.2	"semantics of other ontologies"	rdfs:member	"semantics"
s2.2	"semantics of other ontologies"	rdfs:member	"other ontologies"
s2.2	"depend on the semantics of the other ontologies"	rdf:predicate	"depend"
s2.1	"defining the semantics of the ontology to depend on the semantics of the other ontologies"
s2.1	"defining the semantics of the ontology to depend on the semantics of the other ontologies"	rdf:subject	"semantics of the ontology to depend on the semantics of the other ontologies"
s2.1	"semantics of the ontology to depend on the semantics of the other ontologies"	rdfs:member	"ontology"
s2.1	"semantics of the ontology to depend on the semantics of the other ontologies"	rdfs:member	"other ontologies"
s2.1	"semantics of the ontology to depend on the semantics of the other ontologies"	rdfs:member	"semantics"
s2.1	"other ontologies"	rdfs:member	"other"
s2.1	"other ontologies"	rdfs:subClassOf	"ontologies"
s2.1	"semantics of ontology"	rdfs:member	"semantics"
s2.1	"semantics of ontology"	rdfs:member	"ontology"
s2.1	"depend on semantics"	rdfs:member	"depend"
s2.1	"depend on semantics"	rdfs:member	"semantics"
s2.1	"semantics of other ontologies"	rdfs:member	"semantics"
s2.1	"semantics of other ontologies"	rdfs:member	"other ontologies"
s2.1	"defining the semantics of the ontology to depend on the semantics of the other ontologies"	rdf:predicate	"define"
s2	"general several proposals reduce the autonomy of each ontology by defining the semantics of the ontology to depend on the semantics of the other ontologies"
s2	"general several proposals reduce the autonomy of each ontology by defining the semantics of the ontology to depend on the semantics of the other ontologies"	rdf:subject	"general Several proposals"
s2	"general several proposals"	rdfs:subClassOf	"proposals"
s2	"general several"	rdfs:subClassOf	"several"
s2	"general several"	rdfs:member	"general"
s2	"several proposals"	rdfs:member	"several"
s2	"several proposals"	rdfs:subClassOf	"proposals"
s2	"general several proposals"	rdfs:member	"general several"
s2	"general several proposals"	rdfs:subClassOf	"several proposals"
s2	"general several proposals reduce the autonomy of each ontology by defining the semantics of the ontology to depend on the semantics of the other ontologies"	rdf:predicate	"reduce"
s2	"general several proposals reduce the autonomy of each ontology by defining the semantics of the ontology to depend on the semantics of the other ontologies"	rdf:object	"autonomy of each ontology"
s2	"autonomy of each ontology"	rdfs:member	"autonomy"
s2	"autonomy of each ontology"	rdfs:member	"ontology"
s2	"autonomy of ontology"	rdfs:member	"autonomy"
s2	"autonomy of ontology"	rdfs:member	"ontology"
s2	"general several proposals reduce the autonomy of each ontology by defining the semantics of the ontology to depend on the semantics of the other ontologies"	local:AM-MNR	"defining the semantics of the ontology to depend on the semantics of the other ontologies"
s1.4	"concepts in one ontology reused in another ontology"
s1.4	"concepts in one ontology reused in another ontology"	rdf:subject	"concepts"
s1.4	"concepts in one ontology reused in another ontology"	rdf:predicate	"reuse"
s1.4	"concepts in one ontology reused in another ontology"	local:AM-MNR	"one ontology"
s1.4	"one ontology"	rdfs:subClassOf	"ontology"
s1.4	"concepts in one ontology reused in another ontology"	local:AM-MNR	"another ontology"
s1.3	"allowing concepts in one ontology be reused in another ontology"
s1.3	"allowing concepts in one ontology be reused in another ontology"	rdf:subject	"concepts in one ontology be reused in another ontology"
s1.3	"concepts in one ontology be reused in another ontology"	rdfs:member	"ontology"
s1.3	"concepts in one ontology be reused in another ontology"	rdfs:member	"concepts"
s1.3	"one ontology"	rdfs:subClassOf	"ontology"
s1.3	"concepts in one ontology"	rdfs:member	"concepts"
s1.3	"concepts in one ontology"	rdfs:member	"one ontology"
s1.3	"reused in ontology"	rdfs:member	"reused"
s1.3	"reused in ontology"	rdfs:member	"ontology"
s1.3	"allowing concepts in one ontology be reused in another ontology"	rdf:predicate	"allow"
s1.2	"distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"
s1.2	"distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdf:subject	"agent cooperation"
s1.2	"agent cooperation"	rdfs:subClassOf	"cooperation"
s1.2	"agent cooperation"	rdfs:member	"agent"
s1.2	"distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdf:predicate	"distribute"
s1.2	"distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	local:AM-LOC	"Semantic Web"
s1.2	"semantic web"	rdfs:subClassOf	"web"
s1.2	"semantic web"	rdfs:member	"semantic"
s1.2	"distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	local:AM-MNR	"allowing concepts in one ontology be reused in another ontology"
s1.1	"several proposals support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"
s1.1	"several proposals support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdf:subject	"Several proposals"
s1.1	"several proposals"	rdfs:subClassOf	"proposals"
s1.1	"several proposals"	rdfs:member	"several"
s1.1	"several proposals support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdf:predicate	"support"
s1.1	"several proposals support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdf:object	"distributed agent cooperation in the Semantic Web"
s1.1	"distributed agent cooperation in the semantic web"	rdfs:member	"semantic web"
s1.1	"distributed agent cooperation in the semantic web"	rdfs:member	"agent cooperation"
s1.1	"agent cooperation"	rdfs:subClassOf	"cooperation"
s1.1	"semantic web"	rdfs:subClassOf	"web"
s1.1	"semantic web"	rdfs:member	"semantic"
s1.1	"agent cooperation"	rdfs:member	"agent"
s1.1	"distributed agent cooperation"	rdfs:subClassOf	"agent cooperation"
s1.1	"distributed agent cooperation in semantic web"	rdfs:member	"distributed agent cooperation"
s1.1	"distributed agent cooperation in semantic web"	rdfs:member	"semantic web"
s1.1	"several proposals support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	local:AM-MNR	"allowing concepts in one ontology be reused in another ontology"
s1	"several proposals put forward to support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"
s1	"several proposals put forward to support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdf:subject	"Several proposals"
s1	"several proposals"	rdfs:subClassOf	"proposals"
s1	"several proposals"	rdfs:member	"several"
s1	"several proposals put forward to support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdf:predicate	"put"
s1	"several proposals put forward to support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	local:AM-PNC	"support distributed agent cooperation in the Semantic Web by allowing concepts in one ontology be reused in another ontology"
s1	"support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdfs:member	"semantic web"
s1	"support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdfs:member	"agent cooperation"
s1	"support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdfs:member	"ontology"
s1	"support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdfs:member	"concepts"
s1	"support distributed agent cooperation in the semantic web by allowing concepts in one ontology be reused in another ontology"	rdfs:member	"support"
s1	"agent cooperation"	rdfs:subClassOf	"cooperation"
s1	"semantic web"	rdfs:subClassOf	"web"
s1	"semantic web"	rdfs:member	"semantic"
s1	"agent cooperation"	rdfs:member	"agent"
s1	"one ontology"	rdfs:subClassOf	"ontology"
s1	"agent cooperation in semantic web"	rdfs:member	"agent cooperation"
s1	"agent cooperation in semantic web"	rdfs:member	"semantic web"
s1	"allowing in one ontology"	rdfs:member	"allowing"
s1	"allowing in one ontology"	rdfs:member	"one ontology"
s1	"reused in ontology"	rdfs:member	"reused"
s1	"reused in ontology"	rdfs:member	"ontology"
s0.4	"roles in one ontology reused in another ontology"
s0.4	"roles in one ontology reused in another ontology"	rdf:subject	"roles"
s0.4	"roles in one ontology reused in another ontology"	rdf:predicate	"reuse"
s0.4	"roles in one ontology reused in another ontology"	local:AM-MNR	"one ontology"
s0.4	"one ontology"	rdfs:subClassOf	"ontology"
s0.4	"roles in one ontology reused in another ontology"	local:AM-MNR	"another ontology"
s0.3	"allowing roles in one ontology be reused in another ontology"
s0.3	"allowing roles in one ontology be reused in another ontology"	rdf:subject	"roles in one ontology be reused in another ontology"
s0.3	"roles in one ontology be reused in another ontology"	rdfs:member	"ontology"
s0.3	"roles in one ontology be reused in another ontology"	rdfs:member	"roles"
s0.3	"one ontology"	rdfs:subClassOf	"ontology"
s0.3	"roles in one ontology"	rdfs:member	"roles"
s0.3	"roles in one ontology"	rdfs:member	"one ontology"
s0.3	"reused in ontology"	rdfs:member	"reused"
s0.3	"reused in ontology"	rdfs:member	"ontology"
s0.3	"allowing roles in one ontology be reused in another ontology"	rdf:predicate	"allow"
s0.2	"distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"
s0.2	"distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdf:subject	"agent cooperation"
s0.2	"agent cooperation"	rdfs:subClassOf	"cooperation"
s0.2	"agent cooperation"	rdfs:member	"agent"
s0.2	"distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdf:predicate	"distribute"
s0.2	"distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	local:AM-LOC	"Semantic Web"
s0.2	"semantic web"	rdfs:subClassOf	"web"
s0.2	"semantic web"	rdfs:member	"semantic"
s0.2	"distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	local:AM-MNR	"allowing roles in one ontology be reused in another ontology"
s0.1	"several proposals support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"
s0.1	"several proposals support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdf:subject	"Several proposals"
s0.1	"several proposals"	rdfs:subClassOf	"proposals"
s0.1	"several proposals"	rdfs:member	"several"
s0.1	"several proposals support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdf:predicate	"support"
s0.1	"several proposals support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdf:object	"distributed agent cooperation in the Semantic Web"
s0.1	"distributed agent cooperation in the semantic web"	rdfs:member	"semantic web"
s0.1	"distributed agent cooperation in the semantic web"	rdfs:member	"agent cooperation"
s0.1	"agent cooperation"	rdfs:subClassOf	"cooperation"
s0.1	"semantic web"	rdfs:subClassOf	"web"
s0.1	"semantic web"	rdfs:member	"semantic"
s0.1	"agent cooperation"	rdfs:member	"agent"
s0.1	"distributed agent cooperation"	rdfs:subClassOf	"agent cooperation"
