0	"navigational features"	rdfs:subClassOf	"features"
0	"navigational"	rdfs:member	"navigational features"
0	"recognized"	vn.role:Theme	"navigational features"
0	"recognized"	local:AM-ADV	"largely"
0	"graph database query languages"	rdfs:subClassOf	"languages"
0	"query"	rdfs:member	"query languages"
0	"graph database query"	rdfs:subClassOf	"query"
0	"database query"	rdfs:member	"database query languages"
0	"database"	rdfs:member	"database query"
0	"graph database query"	rdfs:member	"graph database query languages"
0	"query languages"	rdfs:subClassOf	"languages"
0	"graph"	rdfs:member	"graph database"
0	"database query"	rdfs:subClassOf	"query"
0	"graph database"	rdfs:member	"graph database query"
0	"graph database"	rdfs:subClassOf	"database"
0	"database query languages"	rdfs:subClassOf	"languages"
0	"database query languages"	rdfs:subClassOf	"query languages"
0	"graph database query languages"	rdfs:subClassOf	"database query languages"
0	"fundamental for graph database query languages"	local:for_graphdatabasequerylanguages	"fundamental"
0	"fundamental for graph database query languages"	local:fundamental_for	"graph database query languages"
0	"recognized"	vn.role:Predicate	"fundamental for graph database query languages"
1	"motivated"	vn.role:Agent	"fact"
1	"several authors"	rdfs:subClassOf	"authors"
1	"several"	rdfs:member	"several authors"
1	"motivated"	vn.role:Patient	"several authors"
1	"propose rdf query"	rdfs:subClassOf	"query"
1	"propose"	rdfs:member	"propose rdf"
1	"navigational capabilities"	rdfs:subClassOf	"capabilities"
1	"propose rdf"	rdfs:subClassOf	"rdf"
1	"rdf query"	rdfs:subClassOf	"query"
1	"rdf"	rdfs:member	"rdf query"
1	"propose rdf"	rdfs:member	"propose rdf query"
1	"navigational"	rdfs:member	"navigational capabilities"
1	"query languages"	rdfs:subClassOf	"languages"
1	"rdf query languages"	rdfs:subClassOf	"query languages"
1	"rdf query languages with navigational capabilities"	local:with_navigationalcapabilities	"rdf query languages"
1	"rdf query languages with navigational capabilities"	local:rdfquerylanguages_with	"navigational capabilities"
1	"motivated"	vn.role:Proposition	"propose"
1	"several authors"	rdfs:subClassOf	"authors"
1	"several"	rdfs:member	"several authors"
1	"propose"	vn.role:Agent	"several authors"
1	"rdf query"	rdfs:subClassOf	"query"
1	"rdf"	rdfs:member	"rdf query"
1	"navigational capabilities"	rdfs:subClassOf	"capabilities"
1	"navigational"	rdfs:member	"navigational capabilities"
1	"query languages"	rdfs:subClassOf	"languages"
1	"rdf query languages"	rdfs:subClassOf	"query languages"
1	"rdf query languages with navigational capabilities"	local:with_navigationalcapabilities	"rdf query languages"
1	"rdf query languages with navigational capabilities"	local:rdfquerylanguages_with	"navigational capabilities"
1	"propose"	vn.role:Topic	"rdf query languages with navigational capabilities"
3	"uses"	vn.role:Agent	"rdf"
3	"regular"	rdfs:member	"regular expressions"
3	"regular expressions"	rdfs:subClassOf	"expressions"
3	"nested regular expressions"	rdfs:subClassOf	"regular expressions"
3	"uses"	vn.role:Theme	"nested regular expressions"
3	"building"	rdfs:member	"building blocks"
3	"building blocks"	rdfs:subClassOf	"blocks"
3	"uses"	vn.role:Recipient	"building blocks"
4	"proposed"	vn.role:Agent	"we"
4	"query language"	rdfs:subClassOf	"language"
4	"query"	rdfs:member	"query language"
4	"nsparql"	rdfs:member	"nsparql query"
4	"nsparql query"	rdfs:subClassOf	"query"
4	"nsparql query language"	rdfs:subClassOf	"language"
4	"nsparql query"	rdfs:member	"nsparql query language"
4	"nsparql query language"	rdfs:subClassOf	"query language"
4	"proposed"	vn.role:Topic	"nsparql query language"
