0	"proposed many"	rdfs:subClassOf	"many"
0	"perform"	vn.role:Agent	"proposed many"
0	"perform"	vn.role:Theme	"profile"
1	"based"	vn.role:Experiencer	"profile"
1	"signature"	rdfs:member	"signature matching"
1	"service signature matching"	rdfs:subClassOf	"matching"
1	"service signature"	rdfs:member	"service signature matching"
1	"service"	rdfs:member	"service signature"
1	"signature matching"	rdfs:subClassOf	"matching"
1	"service signature"	rdfs:subClassOf	"signature"
1	"service signature matching"	rdfs:subClassOf	"signature matching"
1	"based"	vn.role:Cause	"service signature matching"
2	"service service signature"	rdfs:member	"service service signature concepts"
2	"signature"	rdfs:member	"signature concepts"
2	"signature concepts"	rdfs:subClassOf	"concepts"
2	"service"	rdfs:member	"service signature"
2	"service service"	rdfs:member	"service service signature"
2	"service signature concepts"	rdfs:subClassOf	"concepts"
2	"service service"	rdfs:subClassOf	"service"
2	"service"	rdfs:member	"service service"
2	"service signature"	rdfs:member	"service signature concepts"
2	"service service signature concepts"	rdfs:subClassOf	"concepts"
2	"service signature"	rdfs:subClassOf	"signature"
2	"service service signature"	rdfs:subClassOf	"signature"
2	"service signature concepts"	rdfs:subClassOf	"signature concepts"
2	"service service signature concepts"	rdfs:subClassOf	"service signature concepts"
2	"however service service signature concepts"	rdfs:subClassOf	"service service signature concepts"
2	"discover"	vn.role:Agent	"however service service signature concepts"
2	"web"	rdfs:member	"web services"
2	"web services"	rdfs:subClassOf	"services"
2	"discover"	vn.role:Theme	"web services"
3	"presents"	vn.role:Agent	"paper"
3	"semantic"	rdfs:member	"semantic description"
3	"semantic web"	rdfs:member	"semantic web service"
3	"new"	rdfs:member	"new method"
3	"semantic web service"	rdfs:subClassOf	"service"
3	"new method"	rdfs:subClassOf	"method"
3	"semantic web"	rdfs:subClassOf	"web"
3	"semantic description"	rdfs:subClassOf	"description"
3	"web service"	rdfs:subClassOf	"service"
3	"semantic"	rdfs:member	"semantic web"
3	"web"	rdfs:member	"web service"
3	"semantic web service"	rdfs:subClassOf	"web service"
3	"semantic description of semantic web service"	local:of_semanticwebservice	"semantic description"
3	"semantic description of semantic web service"	local:semanticdescription_of	"semantic web service"
3	"presents"	vn.role:Theme	"new method"
3	"service service signature"	rdfs:member	"service service signature concepts"
3	"specific"	rdfs:member	"specific context"
3	"semantic"	rdfs:member	"semantic constraints"
3	"signature"	rdfs:member	"signature concepts"
3	"signature concepts"	rdfs:subClassOf	"concepts"
3	"specific context"	rdfs:subClassOf	"context"
3	"service"	rdfs:member	"service signature"
3	"service service"	rdfs:member	"service service signature"
3	"service signature concepts"	rdfs:subClassOf	"concepts"
3	"service"	rdfs:member	"service service"
3	"service service"	rdfs:subClassOf	"service"
3	"service signature"	rdfs:member	"service signature concepts"
3	"service service signature concepts"	rdfs:subClassOf	"concepts"
3	"service signature"	rdfs:subClassOf	"signature"
3	"service service signature"	rdfs:subClassOf	"signature"
3	"semantic constraints"	rdfs:subClassOf	"constraints"
3	"service signature concepts"	rdfs:subClassOf	"signature concepts"
3	"service service signature concepts"	rdfs:subClassOf	"service signature concepts"
3	"semantic constraints of service service signature concepts"	local:of_serviceservicesignatureconcepts	"semantic constraints"
3	"semantic constraints of service service signature concepts"	local:semanticconstraints_of	"service service signature concepts"
3	"using in specific context"	local:in_specificcontext	"using"
3	"using in specific context"	local:using_in	"specific context"
3	"presents"	local:AM-MNR	"using in specific context"
3	"new"	rdfs:member	"new method"
3	"new method"	rdfs:subClassOf	"method"
3	"enhance"	vn.role:Instrument	"new method"
3	"semantic"	rdfs:member	"semantic description"
3	"semantic web"	rdfs:member	"semantic web service"
3	"semantic web service"	rdfs:subClassOf	"service"
3	"semantic web"	rdfs:subClassOf	"web"
3	"semantic description"	rdfs:subClassOf	"description"
3	"web service"	rdfs:subClassOf	"service"
3	"semantic"	rdfs:member	"semantic web"
3	"web"	rdfs:member	"web service"
3	"semantic web service"	rdfs:subClassOf	"web service"
3	"semantic description of semantic web service"	local:of_semanticwebservice	"semantic description"
3	"semantic description of semantic web service"	local:semanticdescription_of	"semantic web service"
3	"enhance"	vn.role:Patient	"semantic description of semantic web service"
3	"service service signature"	rdfs:member	"service service signature concepts"
3	"specific"	rdfs:member	"specific context"
3	"semantic"	rdfs:member	"semantic constraints"
3	"signature"	rdfs:member	"signature concepts"
3	"signature concepts"	rdfs:subClassOf	"concepts"
3	"specific context"	rdfs:subClassOf	"context"
3	"service"	rdfs:member	"service signature"
3	"service service"	rdfs:member	"service service signature"
3	"service signature concepts"	rdfs:subClassOf	"concepts"
3	"service"	rdfs:member	"service service"
3	"service service"	rdfs:subClassOf	"service"
3	"service signature"	rdfs:member	"service signature concepts"
3	"service service signature concepts"	rdfs:subClassOf	"concepts"
3	"service signature"	rdfs:subClassOf	"signature"
3	"service service signature"	rdfs:subClassOf	"signature"
3	"semantic constraints"	rdfs:subClassOf	"constraints"
3	"service signature concepts"	rdfs:subClassOf	"signature concepts"
3	"service service signature concepts"	rdfs:subClassOf	"service signature concepts"
3	"semantic constraints of service service signature concepts"	local:of_serviceservicesignatureconcepts	"semantic constraints"
3	"semantic constraints of service service signature concepts"	local:semanticconstraints_of	"service service signature concepts"
3	"using in specific context"	local:in_specificcontext	"using"
3	"using in specific context"	local:using_in	"specific context"
3	"enhance"	local:AM-MNR	"using in specific context"
3	"using"	vn.role:Agent	"paper"
3	"service service signature"	rdfs:member	"service service signature concepts"
3	"specific"	rdfs:member	"specific context"
3	"semantic"	rdfs:member	"semantic constraints"
3	"signature"	rdfs:member	"signature concepts"
3	"signature concepts"	rdfs:subClassOf	"concepts"
3	"specific context"	rdfs:subClassOf	"context"
3	"service"	rdfs:member	"service signature"
3	"service service"	rdfs:member	"service service signature"
3	"service signature concepts"	rdfs:subClassOf	"concepts"
3	"service"	rdfs:member	"service service"
3	"service service"	rdfs:subClassOf	"service"
3	"service signature"	rdfs:member	"service signature concepts"
3	"service service signature concepts"	rdfs:subClassOf	"concepts"
3	"service signature"	rdfs:subClassOf	"signature"
3	"service service signature"	rdfs:subClassOf	"signature"
