0	"novel techniques"	rdfs:subClassOf	"techniques"
0	"novel"	rdfs:member	"novel techniques"
0	"allow"	vn.role:Agent	"novel techniques"
0	"efficient"	rdfs:member	"efficient querying"
0	"expressive knowledge bases"	rdfs:subClassOf	"bases"
0	"large expressive knowledge bases"	rdfs:subClassOf	"bases"
0	"large expressive"	rdfs:subClassOf	"expressive"
0	"expressive"	rdfs:member	"expressive knowledge"
0	"large expressive knowledge"	rdfs:member	"large expressive knowledge bases"
0	"efficient querying"	rdfs:subClassOf	"querying"
0	"large expressive"	rdfs:member	"large expressive knowledge"
0	"knowledge"	rdfs:member	"knowledge bases"
0	"large"	rdfs:member	"large expressive"
0	"expressive knowledge"	rdfs:member	"expressive knowledge bases"
0	"large expressive knowledge"	rdfs:subClassOf	"knowledge"
0	"secondary"	rdfs:member	"secondary storage"
0	"expressive knowledge"	rdfs:subClassOf	"knowledge"
0	"secondary storage"	rdfs:subClassOf	"storage"
0	"knowledge bases"	rdfs:subClassOf	"bases"
0	"expressive knowledge bases"	rdfs:subClassOf	"knowledge bases"
0	"large expressive knowledge bases"	rdfs:subClassOf	"expressive knowledge bases"
0	"efficient querying of large expressive knowledge bases"	local:of_largeexpressiveknowledgebases	"efficient querying"
0	"efficient querying of large expressive knowledge bases"	local:efficientquerying_of	"large expressive knowledge bases"
0	"large expressive knowledge bases in secondary storage"	local:in_secondarystorage	"large expressive knowledge bases"
0	"large expressive knowledge bases in secondary storage"	local:largeexpressiveknowledgebases_in	"secondary storage"
0	"allow"	vn.role:Theme	"efficient querying of large expressive knowledge bases"
3	"show"	local:AM-LOC	"particular"
3	"show"	vn.role:Agent	"we"
3	"full"	rdfs:member	"full completion"
3	"tableau"	rdfs:member	"tableau reasoners"
3	"large abox"	rdfs:subClassOf	"abox"
3	"tableau reasoners"	rdfs:subClassOf	"reasoners"
3	"art tableau"	rdfs:member	"art tableau reasoners"
3	"full completion"	rdfs:member	"full completion forest"
3	"full completion forest"	rdfs:subClassOf	"forest"
3	"completion"	rdfs:member	"completion forest"
3	"art tableau"	rdfs:subClassOf	"tableau"
3	"completion forest"	rdfs:subClassOf	"forest"
3	"large"	rdfs:member	"large abox"
3	"effectively answer"	rdfs:subClassOf	"answer"
3	"art"	rdfs:member	"art tableau"
3	"art tableau reasoners"	rdfs:subClassOf	"reasoners"
3	"full completion"	rdfs:subClassOf	"completion"
