0	"web usage"	rdfs:subClassOf	"usage"
0	"particular"	rdfs:member	"particular participation"
0	"continued"	rdfs:member	"continued increase"
0	"particular participation"	rdfs:subClassOf	"participation"
0	"web"	rdfs:member	"web usage"
0	"continued increase"	rdfs:subClassOf	"increase"
0	"continued increase in web usage"	local:in_webusage	"continued increase"
0	"continued increase in web usage"	local:continuedincrease_in	"web usage"
0	"continued increase in web usage in particular participation"	local:in_particularparticipation	"continued increase in web usage"
0	"continued increase in web usage in particular participation"	local:continuedincreaseinwebusage_in	"particular participation"
0	"particular participation in folksonomies"	local:in_folksonomies	"particular participation"
0	"particular participation in folksonomies"	local:particularparticipation_in	"folksonomies"
0	"reveals"	vn.role:Agent	"continued increase in web usage in particular participation"
0	"interactive"	rdfs:member	"interactive web"
0	"interactive web"	rdfs:subClassOf	"web"
0	"dynamic interactive web"	rdfs:subClassOf	"interactive web"
0	"more dynamic"	rdfs:subClassOf	"dynamic"
0	"trend towards dynamic interactive web"	local:towards_dynamicinteractiveweb	"trend"
0	"trend towards dynamic interactive web"	local:trend_towards	"dynamic interactive web"
0	"reveals"	vn.role:Theme	"trend towards dynamic interactive web"
1	"interactive"	rdfs:member	"interactive web"
1	"interactive web"	rdfs:subClassOf	"web"
1	"share"	local:AM-LOC	"dynamic"
1	"share"	vn.role:Agent	"individuals"
1	"share"	local:AM-MOD	"can"
1	"share"	vn.role:Patient	"resources"
2	"interactive"	rdfs:member	"interactive web"
2	"interactive web"	rdfs:subClassOf	"web"
2	"organise"	local:AM-LOC	"dynamic"
2	"organise"	vn.role:Agent	"individuals"
2	"organise"	local:AM-MOD	"can"
2	"organise"	vn.role:Product	"resources"
3	"emerged"	vn.role:Theme	"tagging"
3	"de-facto"	rdfs:member	"de-facto standard"
3	"reactive knowledge management"	rdfs:member	"reactive knowledge management mechanism"
3	"reactive knowledge management"	rdfs:subClassOf	"management"
3	"reactive knowledge"	rdfs:member	"reactive knowledge management"
3	"reactive knowledge management mechanism"	rdfs:subClassOf	"mechanism"
3	"reactive"	rdfs:member	"reactive knowledge"
3	"knowledge management mechanism"	rdfs:subClassOf	"mechanism"
3	"knowledge management"	rdfs:subClassOf	"management"
3	"such"	rdfs:member	"such resources"
3	"such resources"	rdfs:subClassOf	"resources"
3	"management mechanism"	rdfs:subClassOf	"mechanism"
3	"reactive knowledge"	rdfs:subClassOf	"knowledge"
3	"knowledge management"	rdfs:member	"knowledge management mechanism"
3	"knowledge"	rdfs:member	"knowledge management"
3	"management"	rdfs:member	"management mechanism"
3	"de-facto standard"	rdfs:subClassOf	"standard"
3	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
3	"reactive knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
3	"de-facto standard for organisation"	local:for_organisation	"de-facto standard"
3	"de-facto standard for organisation"	local:de-factostandard_for	"organisation"
3	"organisation of such resources"	local:of_suchresources	"organisation"
3	"organisation of such resources"	local:organisation_of	"such resources"
3	"de-facto standard for organisation providing"	local:_providing	"de-facto standard for organisation"
3	"de-facto standard for organisation providing"	local:de-factostandardfororganisation_	"providing"
3	"emerged"	vn.role:Location	"de-facto standard for organisation providing"
3	"such"	rdfs:member	"such resources"
3	"such resources"	rdfs:subClassOf	"resources"
3	"organisation of such resources"	local:of_suchresources	"organisation"
3	"organisation of such resources"	local:organisation_of	"such resources"
3	"providing"	vn.role:Recipient	"organisation of such resources"
3	"reactive knowledge management"	rdfs:member	"reactive knowledge management mechanism"
3	"reactive knowledge management"	rdfs:subClassOf	"management"
3	"reactive knowledge"	rdfs:member	"reactive knowledge management"
3	"reactive knowledge management mechanism"	rdfs:subClassOf	"mechanism"
3	"reactive"	rdfs:member	"reactive knowledge"
3	"knowledge management mechanism"	rdfs:subClassOf	"mechanism"
3	"knowledge management"	rdfs:subClassOf	"management"
3	"management mechanism"	rdfs:subClassOf	"mechanism"
3	"reactive knowledge"	rdfs:subClassOf	"knowledge"
3	"knowledge management"	rdfs:member	"knowledge management mechanism"
3	"knowledge"	rdfs:member	"knowledge management"
3	"management"	rdfs:member	"management mechanism"
3	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
3	"reactive knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
3	"providing"	vn.role:Agent	"reactive knowledge management mechanism"
3	"find"	vn.role:Agent	"users"
3	"find"	vn.role:Theme	"easy"
3	"use."	vn.role:subject	"users"
4	"emerged"	vn.role:Theme	"tagging"
4	"de-facto"	rdfs:member	"de-facto standard"
4	"versatile knowledge"	rdfs:subClassOf	"knowledge"
4	"versatile knowledge"	rdfs:member	"versatile knowledge management"
4	"knowledge management"	rdfs:subClassOf	"management"
4	"knowledge management mechanism"	rdfs:subClassOf	"mechanism"
4	"versatile"	rdfs:member	"versatile knowledge"
4	"such"	rdfs:member	"such resources"
4	"such resources"	rdfs:subClassOf	"resources"
4	"versatile knowledge management"	rdfs:subClassOf	"management"
4	"versatile knowledge management"	rdfs:member	"versatile knowledge management mechanism"
4	"management mechanism"	rdfs:subClassOf	"mechanism"
4	"knowledge management"	rdfs:member	"knowledge management mechanism"
4	"knowledge"	rdfs:member	"knowledge management"
4	"versatile knowledge management mechanism"	rdfs:subClassOf	"mechanism"
4	"management"	rdfs:member	"management mechanism"
4	"de-facto standard"	rdfs:subClassOf	"standard"
4	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
4	"versatile knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
4	"de-facto standard for organisation"	local:for_organisation	"de-facto standard"
4	"de-facto standard for organisation"	local:de-factostandard_for	"organisation"
4	"organisation of such resources"	local:of_suchresources	"organisation"
4	"organisation of such resources"	local:organisation_of	"such resources"
4	"de-facto standard for organisation providing"	local:_providing	"de-facto standard for organisation"
4	"de-facto standard for organisation providing"	local:de-factostandardfororganisation_	"providing"
4	"emerged"	vn.role:Location	"de-facto standard for organisation providing"
4	"providing"	vn.role:Recipient	"resources"
4	"versatile knowledge"	rdfs:subClassOf	"knowledge"
4	"versatile knowledge"	rdfs:member	"versatile knowledge management"
4	"knowledge management"	rdfs:subClassOf	"management"
4	"knowledge management mechanism"	rdfs:subClassOf	"mechanism"
4	"versatile"	rdfs:member	"versatile knowledge"
4	"versatile knowledge management"	rdfs:member	"versatile knowledge management mechanism"
4	"versatile knowledge management"	rdfs:subClassOf	"management"
4	"management mechanism"	rdfs:subClassOf	"mechanism"
4	"knowledge management"	rdfs:member	"knowledge management mechanism"
4	"knowledge"	rdfs:member	"knowledge management"
4	"versatile knowledge management mechanism"	rdfs:subClassOf	"mechanism"
4	"management"	rdfs:member	"management mechanism"
4	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
4	"versatile knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
4	"providing"	vn.role:Agent	"versatile knowledge management mechanism"
4	"find"	vn.role:Agent	"users"
