0	"semantic formalisms"	rdfs:subClassOf	"formalisms"
0	"semantic"	rdfs:member	"semantic formalisms"
0	"represent"	vn.role:Agent	"semantic formalisms"
0	"uniform"	rdfs:member	"uniform way"
0	"uniform way"	rdfs:subClassOf	"way"
0	"content in uniform way"	local:in_uniformway	"content"
0	"content in uniform way"	local:content_in	"uniform way"
0	"uniform way according_to ontologies"	local:according_to_ontologies	"uniform way"
0	"uniform way according_to ontologies"	local:uniformway_according_to	"ontologies"
0	"represent"	vn.role:Theme	"content in uniform way"
1	"enables"	vn.role:Agent	"this"
1	"enables"	vn.role:Patient	"manipulation"
1	"automated means"	rdfs:subClassOf	"means"
1	"enables"	local:AM-MNR	"automated means"
2	"enables"	vn.role:Agent	"this"
2	"enables"	vn.role:Patient	"manipulation"
2	"semantic web"	rdfs:member	"semantic web services"
2	"semantic"	rdfs:member	"semantic web"
2	"web services"	rdfs:subClassOf	"services"
2	"semantic web"	rdfs:subClassOf	"web"
2	"semantic web services"	rdfs:subClassOf	"services"
2	"web"	rdfs:member	"web services"
2	"semantic web services"	rdfs:subClassOf	"web services"
2	"e.g. semantic web services"	rdfs:subClassOf	"semantic web services"
2	"enables"	local:AM-MNR	"e.g. semantic web services"
3	"enables"	vn.role:Agent	"this"
3	"enables"	vn.role:Patient	"reasoning"
3	"semantic web"	rdfs:member	"semantic web services"
3	"semantic"	rdfs:member	"semantic web"
3	"web services"	rdfs:subClassOf	"services"
3	"semantic web"	rdfs:subClassOf	"web"
3	"semantic web services"	rdfs:subClassOf	"services"
3	"web"	rdfs:member	"web services"
3	"semantic web services"	rdfs:subClassOf	"web services"
3	"e.g. semantic web services"	rdfs:subClassOf	"semantic web services"
3	"enables"	local:AM-MNR	"e.g. semantic web services"
4	"limits"	vn.role:Cause	"this"
4	"user ’"	rdfs:subClassOf	"’"
4	"semantic data"	rdfs:subClassOf	"data"
4	"user"	rdfs:member	"user ’"
4	"semantic"	rdfs:member	"semantic data"
4	"user ability"	rdfs:subClassOf	"ability"
4	"explore from point"	local:from_point	"explore"
4	"explore from point"	local:explore_from	"point"
4	"point of view"	local:of_view	"point"
4	"point of view"	local:point_of	"view"
4	"limits"	vn.role:Patient	"user ability"
4	"semantic data"	rdfs:subClassOf	"data"
4	"semantic"	rdfs:member	"semantic data"
4	"explore"	vn.role:Location	"semantic data"
4	"point of view"	local:of_view	"point"
4	"point of view"	local:point_of	"view"
4	"explore"	vn.role:other	"point of view"
5	"originates"	vn.role:Patient	"view"
5	"representation motivations"	rdfs:subClassOf	"motivations"
5	"knowledge representation motivations"	rdfs:subClassOf	"motivations"
5	"representation"	rdfs:member	"representation motivations"
5	"knowledge"	rdfs:member	"knowledge representation"
5	"knowledge representation"	rdfs:subClassOf	"representation"
5	"knowledge representation"	rdfs:member	"knowledge representation motivations"
5	"knowledge representation motivations"	rdfs:subClassOf	"representation motivations"
5	"originates"	vn.role:indirect_object	"knowledge representation motivations"
6	"enables"	vn.role:Agent	"this"
6	"enables"	vn.role:Patient	"reasoning"
6	"automated means"	rdfs:subClassOf	"means"
6	"enables"	local:AM-MNR	"automated means"
7	"show"	vn.role:Agent	"we"
7	"semantic data"	rdfs:subClassOf	"data"
7	"effective"	rdfs:member	"effective sense-making"
7	"user consumption"	rdfs:subClassOf	"consumption"
7	"semantic"	rdfs:member	"semantic data"
7	"user"	rdfs:member	"user consumption"
7	"effective sense-making"	rdfs:subClassOf	"sense-making"
7	"e.g. time"	rdfs:subClassOf	"time"
7	"how provides"	rdfs:subClassOf	"provides"
7	"how provides for user consumption"	local:for_userconsumption	"how provides"
7	"how provides for user consumption"	local:howprovides_for	"user consumption"
7	"visualization of semantic data"	local:of_semanticdata	"visualization"
7	"visualization of semantic data"	local:visualization_of	"semantic data"
7	"visualization of semantic data according_to e.g. time"	local:according_to_e.g.time	"visualization of semantic data"
7	"visualization of semantic data according_to e.g. time"	local:visualizationofsemanticdata_according_to	"e.g. time"
7	"effective sense-making of data"	local:of_data	"effective sense-making"
7	"effective sense-making of data"	local:effectivesense-making_of	"data"
7	"show"	vn.role:Theme	"how provides for user consumption"
7	"semantic data"	rdfs:subClassOf	"data"
7	"user consumption"	rdfs:subClassOf	"consumption"
7	"user"	rdfs:member	"user consumption"
7	"semantic"	rdfs:member	"semantic data"
7	"e.g. time"	rdfs:subClassOf	"time"
7	"visualization of semantic data"	local:of_semanticdata	"visualization"
7	"visualization of semantic data"	local:visualization_of	"semantic data"
