0	"core services"	rdfs:subClassOf	"services"
0	"core"	rdfs:member	"core services"
0	"provided"	vn.role:Agent	"core services"
0	"owl reasoners"	rdfs:subClassOf	"reasoners"
0	"owl"	rdfs:member	"owl reasoners"
0	"provided"	vn.role:Recipient	"owl reasoners"
2	"subclass"	rdfs:member	"subclass relationships"
2	"class"	rdfs:member	"class names"
2	"class names"	rdfs:subClassOf	"names"
2	"subclass relationships"	rdfs:subClassOf	"relationships"
2	"subclass relationships between class names"	local:between_classnames	"subclass relationships"
2	"subclass relationships between class names"	local:subclassrelationships_between	"class names"
2	"occurring"	vn.role:Location	"subclass relationships between class names"
2	"occurring"	local:AM-LOC	"ontology"
3	"discovering"	vn.role:Theme	"relations"
4	"discovering"	vn.role:Theme	"relations"
5	"classification"	rdfs:member	"classification algorithm"
5	"classification algorithm"	rdfs:subClassOf	"algorithm"
5	"exploits"	vn.role:Agent	"classification algorithm"
5	"large"	rdfs:member	"large ontologies"
5	"partial information"	rdfs:subClassOf	"information"
5	"large ontologies"	rdfs:subClassOf	"ontologies"
5	"subclass"	rdfs:member	"subclass relationships"
5	"subclass relationships"	rdfs:subClassOf	"relationships"
5	"partial"	rdfs:member	"partial information"
5	"partial information about subclass relationships"	local:about_subclassrelationships	"partial information"
5	"partial information about subclass relationships"	local:partialinformation_about	"subclass relationships"
5	"working with large ontologies"	local:with_largeontologies	"working"
5	"working with large ontologies"	local:working_with	"large ontologies"
5	"exploits"	vn.role:Predicate	"partial information about subclass relationships"
5	"classification"	rdfs:member	"classification algorithm"
5	"classification algorithm"	rdfs:subClassOf	"algorithm"
5	"reduce"	vn.role:Cause	"classification algorithm"
5	"large"	rdfs:member	"large ontologies"
5	"large ontologies"	rdfs:subClassOf	"ontologies"
5	"working with large ontologies"	local:with_largeontologies	"working"
5	"working with large ontologies"	local:working_with	"large ontologies"
5	"reduce"	vn.role:Patient	"cost"
5	"large"	rdfs:member	"large ontologies"
5	"large ontologies"	rdfs:subClassOf	"ontologies"
5	"working"	local:AM-MNR	"large ontologies"
6	"present"	vn.role:Agent	"we"
6	"classification"	rdfs:member	"classification algorithm"
6	"classification algorithm"	rdfs:subClassOf	"algorithm"
6	"present"	vn.role:Theme	"classification algorithm"
7	"classification"	rdfs:member	"classification algorithm"
7	"classification algorithm"	rdfs:subClassOf	"algorithm"
7	"exploits"	vn.role:Agent	"classification algorithm"
7	"partial information"	rdfs:subClassOf	"information"
7	"individual"	rdfs:member	"individual tests"
7	"subclass"	rdfs:member	"subclass relationships"
7	"individual tests"	rdfs:subClassOf	"tests"
7	"subclass relationships"	rdfs:subClassOf	"relationships"
7	"partial"	rdfs:member	"partial information"
7	"partial information about subclass relationships"	local:about_subclassrelationships	"partial information"
7	"partial information about subclass relationships"	local:partialinformation_about	"subclass relationships"
7	"number of individual tests"	local:of_individualtests	"number"
7	"number of individual tests"	local:number_of	"individual tests"
7	"exploits"	vn.role:Predicate	"partial information about subclass relationships"
7	"classification"	rdfs:member	"classification algorithm"
7	"classification algorithm"	rdfs:subClassOf	"algorithm"
7	"reduce"	vn.role:Cause	"classification algorithm"
7	"individual"	rdfs:member	"individual tests"
7	"individual tests"	rdfs:subClassOf	"tests"
7	"number of individual tests"	local:of_individualtests	"number"
7	"number of individual tests"	local:number_of	"individual tests"
7	"reduce"	vn.role:Patient	"number of individual tests"
8	"describe"	vn.role:Agent	"we"
8	"describe"	local:AM-DIS	"also"
8	"partial information"	rdfs:subClassOf	"information"
8	"such partial"	rdfs:member	"such partial information"
8	"such"	rdfs:member	"such partial"
8	"such partial information"	rdfs:subClassOf	"information"
8	"such partial"	rdfs:subClassOf	"partial"
8	"partial"	rdfs:member	"partial information"
8	"existing reasoners"	rdfs:subClassOf	"reasoners"
8	"such partial information"	rdfs:subClassOf	"partial information"
8	"such partial information from existing reasoners"	local:from_existingreasoners	"such partial information"
8	"such partial information from existing reasoners"	local:suchpartialinformation_from	"existing reasoners"
8	"describe"	vn.role:Theme	"techniques"
8	"extracting"	vn.role:Agent	"techniques"
8	"partial information"	rdfs:subClassOf	"information"
8	"partial"	rdfs:member	"partial information"
8	"extracting"	vn.role:Theme	"partial information"
8	"existing reasoners"	rdfs:subClassOf	"reasoners"
8	"extracting"	vn.role:Source	"existing reasoners"
8	"existing"	vn.role:Location	"reasoners"
9	"empirical"	rdfs:member	"empirical results"
9	"empirical results"	rdfs:subClassOf	"results"
9	"prototypical implementation"	rdfs:subClassOf	"implementation"
9	"prototypical"	rdfs:member	"prototypical implementation"
9	"empirical results from prototypical implementation"	local:from_prototypicalimplementation	"empirical results"
9	"empirical results from prototypical implementation"	local:empiricalresults_from	"prototypical implementation"
9	"demonstrate"	vn.role:Recipient	"empirical results from prototypical implementation"
9	"substantial"	rdfs:member	"substantial performance"
9	"substantial performance"	rdfs:member	"substantial performance improvements"
9	"substantial performance"	rdfs:subClassOf	"performance"
9	"substantial performance improvements"	rdfs:subClassOf	"improvements"
9	"performance improvements"	rdfs:subClassOf	"improvements"
9	"performance"	rdfs:member	"performance improvements"
9	"substantial performance improvements"	rdfs:subClassOf	"performance improvements"
9	"demonstrate"	vn.role:Cause	"substantial performance improvements"
9	"substantial"	rdfs:member	"substantial performance"
9	"substantial performance"	rdfs:member	"substantial performance improvements"
9	"substantial performance"	rdfs:subClassOf	"performance"
9	"substantial performance improvements"	rdfs:subClassOf	"improvements"
9	"performance improvements"	rdfs:subClassOf	"improvements"
9	"performance"	rdfs:member	"performance improvements"
9	"substantial performance improvements"	rdfs:subClassOf	"performance improvements"
9	"compared"	vn.role:Patient2	"substantial performance improvements"
9	"compared"	vn.role:Agent	"implementations"
10	"empirical"	rdfs:member	"empirical results"
10	"empirical results"	rdfs:subClassOf	"results"
10	"prototypical implementation"	rdfs:subClassOf	"implementation"
10	"prototypical"	rdfs:member	"prototypical implementation"
10	"empirical results from prototypical implementation"	local:from_prototypicalimplementation	"empirical results"
10	"empirical results from prototypical implementation"	local:empiricalresults_from	"prototypical implementation"
10	"demonstrate"	vn.role:Recipient	"empirical results from prototypical implementation"
10	"substantial"	rdfs:member	"substantial performance"
10	"substantial performance"	rdfs:member	"substantial performance improvements"
10	"substantial performance"	rdfs:subClassOf	"performance"
10	"substantial performance improvements"	rdfs:subClassOf	"improvements"
10	"performance improvements"	rdfs:subClassOf	"improvements"
10	"performance"	rdfs:member	"performance improvements"
10	"existing algorithms"	rdfs:subClassOf	"algorithms"
10	"substantial performance improvements"	rdfs:subClassOf	"performance improvements"
10	"substantial performance improvements compared"	local:_compared	"substantial performance improvements"
10	"substantial performance improvements compared"	local:substantialperformanceimprovements_	"compared"
10	"compared to existing algorithms"	local:to_existingalgorithms	"compared"
10	"compared to existing algorithms"	local:compared_to	"existing algorithms"
10	"demonstrate"	vn.role:Cause	"substantial performance improvements compared"
10	"substantial"	rdfs:member	"substantial performance"
10	"substantial performance"	rdfs:member	"substantial performance improvements"
10	"substantial performance"	rdfs:subClassOf	"performance"
10	"substantial performance improvements"	rdfs:subClassOf	"improvements"
10	"performance improvements"	rdfs:subClassOf	"improvements"
10	"performance"	rdfs:member	"performance improvements"
10	"substantial performance improvements"	rdfs:subClassOf	"performance improvements"
10	"compared"	vn.role:Patient2	"substantial performance improvements"
10	"existing algorithms"	rdfs:subClassOf	"algorithms"
10	"compared"	vn.role:Agent	"existing algorithms"
10	"existing"	vn.role:Location	"algorithms"
