0	"sameas statements"	rdfs:subClassOf	"statements"
0	"sameas"	rdfs:member	"sameas statements"
0	"millions owl"	rdfs:subClassOf	"owl"
0	"published"	vn.role:Product	"millions owl"
0	"web of data"	local:of_data	"web"
0	"web of data"	local:web_of	"data"
0	"published"	local:AM-LOC	"web of data"
1	"unique"	rdfs:member	"unique role"
1	"unique role"	rdfs:subClassOf	"role"
1	"data unique role"	rdfs:subClassOf	"unique role"
1	"web of data unique role"	local:of_datauniquerole	"web"
1	"web of data unique role"	local:web_of	"data unique role"
1	"become"	local:AM-ADV	"web of data unique role"
1	"become"	vn.role:Patient	"sameas"
1	"increasing debate"	rdfs:subClassOf	"debate"
1	"topic of increasing debate"	local:of_increasingdebate	"topic"
1	"topic of increasing debate"	local:topic_of	"increasing debate"
1	"become"	vn.role:indirect_object	"topic of increasing debate"
1	"increasing"	vn.role:Attribute	"debate"
2	"role owl"	rdfs:subClassOf	"owl"
2	"role"	rdfs:member	"role owl"
2	"unique role owl"	rdfs:subClassOf	"owl"
2	"unique"	rdfs:member	"unique role"
2	"unique role"	rdfs:subClassOf	"role"
2	"unique role"	rdfs:member	"unique role owl"
2	"data unique role"	rdfs:subClassOf	"unique role"
2	"web of data unique role"	local:of_datauniquerole	"web"
2	"web of data unique role"	local:web_of	"data unique role"
2	"become"	vn.role:Patient	"web of data unique role"
2	"increasing debate"	rdfs:subClassOf	"debate"
2	"topic of increasing debate"	local:of_increasingdebate	"topic"
2	"topic of increasing debate"	local:topic_of	"increasing debate"
2	"become"	vn.role:indirect_object	"topic of increasing debate"
2	"increasing"	vn.role:Attribute	"debate"
3	"data integration"	rdfs:subClassOf	"integration"
3	"data integration"	rdfs:member	"data integration owl"
3	"integration owl"	rdfs:subClassOf	"owl"
3	"data"	rdfs:member	"data integration"
3	"data integration owl"	rdfs:subClassOf	"owl"
3	"heavy"	rdfs:member	"heavy usage"
3	"heavy usage"	rdfs:subClassOf	"usage"
3	"integration"	rdfs:member	"integration owl"
3	"data integration owl"	rdfs:subClassOf	"integration owl"
3	"linked data integration owl"	rdfs:subClassOf	"data integration owl"
3	"web of heavy usage"	local:of_heavyusage	"web"
3	"web of heavy usage"	local:web_of	"heavy usage"
3	"web of heavy usage in linked data integration owl"	local:in_linkeddataintegrationowl	"web of heavy usage"
3	"web of heavy usage in linked data integration owl"	local:webofheavyusage_in	"linked data integration owl"
3	"become"	vn.role:Patient	"web of heavy usage in linked data integration owl"
3	"increasing interest"	rdfs:subClassOf	"interest"
3	"topic of increasing interest"	local:of_increasinginterest	"topic"
3	"topic of increasing interest"	local:topic_of	"increasing interest"
3	"become"	vn.role:indirect_object	"topic of increasing interest"
3	"increasing"	vn.role:Attribute	"interest"
4	"unique"	rdfs:member	"unique role"
4	"unique role"	rdfs:subClassOf	"role"
4	"data unique role"	rdfs:subClassOf	"unique role"
4	"web of data unique role"	local:of_datauniquerole	"web"
4	"web of data unique role"	local:web_of	"data unique role"
4	"become"	local:AM-ADV	"web of data unique role"
4	"become"	vn.role:Patient	"sameas"
4	"increasing interest"	rdfs:subClassOf	"interest"
4	"topic of increasing interest"	local:of_increasinginterest	"topic"
4	"topic of increasing interest"	local:topic_of	"increasing interest"
4	"become"	vn.role:indirect_object	"topic of increasing interest"
4	"increasing"	vn.role:Attribute	"interest"
5	"data integration"	rdfs:subClassOf	"integration"
5	"data"	rdfs:member	"data integration"
5	"heavy"	rdfs:member	"heavy usage"
5	"data integration sameas"	rdfs:subClassOf	"sameas"
5	"heavy usage"	rdfs:subClassOf	"usage"
5	"integration sameas"	rdfs:subClassOf	"sameas"
5	"integration"	rdfs:member	"integration sameas"
5	"data integration"	rdfs:member	"data integration sameas"
5	"data integration sameas"	rdfs:subClassOf	"integration sameas"
5	"linked data integration sameas"	rdfs:subClassOf	"data integration sameas"
5	"web of heavy usage"	local:of_heavyusage	"web"
5	"web of heavy usage"	local:web_of	"heavy usage"
5	"web of heavy usage in linked data integration sameas"	local:in_linkeddataintegrationsameas	"web of heavy usage"
5	"web of heavy usage in linked data integration sameas"	local:webofheavyusage_in	"linked data integration sameas"
5	"become"	vn.role:Patient	"web of heavy usage in linked data integration sameas"
5	"increasing interest"	rdfs:subClassOf	"interest"
5	"topic of increasing interest"	local:of_increasinginterest	"topic"
5	"topic of increasing interest"	local:topic_of	"increasing interest"
5	"become"	vn.role:indirect_object	"topic of increasing interest"
5	"increasing"	vn.role:Attribute	"interest"
6	"data integration"	rdfs:subClassOf	"integration"
6	"data integration"	rdfs:member	"data integration owl"
6	"integration owl"	rdfs:subClassOf	"owl"
6	"data"	rdfs:member	"data integration"
6	"data integration owl"	rdfs:subClassOf	"owl"
6	"heavy"	rdfs:member	"heavy usage"
6	"heavy usage"	rdfs:subClassOf	"usage"
6	"integration"	rdfs:member	"integration owl"
6	"data integration owl"	rdfs:subClassOf	"integration owl"
6	"linked data integration owl"	rdfs:subClassOf	"data integration owl"
6	"web of heavy usage"	local:of_heavyusage	"web"
6	"web of heavy usage"	local:web_of	"heavy usage"
6	"web of heavy usage in linked data integration owl"	local:in_linkeddataintegrationowl	"web of heavy usage"
6	"web of heavy usage in linked data integration owl"	local:webofheavyusage_in	"linked data integration owl"
6	"become"	vn.role:Patient	"web of heavy usage in linked data integration owl"
6	"increasing debate"	rdfs:subClassOf	"debate"
6	"topic of increasing debate"	local:of_increasingdebate	"topic"
6	"topic of increasing debate"	local:topic_of	"increasing debate"
6	"become"	vn.role:indirect_object	"topic of increasing debate"
6	"increasing"	vn.role:Attribute	"debate"
7	"data integration"	rdfs:subClassOf	"integration"
7	"data"	rdfs:member	"data integration"
7	"heavy"	rdfs:member	"heavy usage"
7	"data integration sameas"	rdfs:subClassOf	"sameas"
7	"heavy usage"	rdfs:subClassOf	"usage"
7	"integration sameas"	rdfs:subClassOf	"sameas"
7	"integration"	rdfs:member	"integration sameas"
7	"data integration"	rdfs:member	"data integration sameas"
7	"data integration sameas"	rdfs:subClassOf	"integration sameas"
7	"linked data integration sameas"	rdfs:subClassOf	"data integration sameas"
7	"web of heavy usage"	local:of_heavyusage	"web"
7	"web of heavy usage"	local:web_of	"heavy usage"
7	"web of heavy usage in linked data integration sameas"	local:in_linkeddataintegrationsameas	"web of heavy usage"
7	"web of heavy usage in linked data integration sameas"	local:webofheavyusage_in	"linked data integration sameas"
7	"become"	vn.role:Patient	"web of heavy usage in linked data integration sameas"
7	"increasing debate"	rdfs:subClassOf	"debate"
7	"topic of increasing debate"	local:of_increasingdebate	"topic"
7	"topic of increasing debate"	local:topic_of	"increasing debate"
7	"become"	vn.role:indirect_object	"topic of increasing debate"
7	"increasing"	vn.role:Attribute	"debate"
8	"role owl"	rdfs:subClassOf	"owl"
8	"role"	rdfs:member	"role owl"
8	"unique role owl"	rdfs:subClassOf	"owl"
8	"unique"	rdfs:member	"unique role"
8	"unique role"	rdfs:subClassOf	"role"
8	"unique role"	rdfs:member	"unique role owl"
8	"data unique role"	rdfs:subClassOf	"unique role"
8	"web of data unique role"	local:of_datauniquerole	"web"
8	"web of data unique role"	local:web_of	"data unique role"
8	"become"	vn.role:Patient	"web of data unique role"
8	"increasing interest"	rdfs:subClassOf	"interest"
8	"topic of increasing interest"	local:of_increasinginterest	"topic"
8	"topic of increasing interest"	local:topic_of	"increasing interest"
8	"become"	vn.role:indirect_object	"topic of increasing interest"
8	"increasing"	vn.role:Attribute	"interest"
9	"web of data"	local:of_data	"web"
9	"web of data"	local:web_of	"data"
9	"provides"	vn.role:Recipient	"web of data"
9	"sameas deployment"	rdfs:member	"sameas deployment status"
9	"deployment"	rdfs:member	"deployment status"
9	"sameas deployment status"	rdfs:subClassOf	"status"
9	"sameas deployment"	rdfs:subClassOf	"deployment"
9	"deployment status"	rdfs:subClassOf	"status"
9	"sameas"	rdfs:member	"sameas deployment"
9	"sameas deployment status"	rdfs:subClassOf	"deployment status"
9	"provides"	vn.role:Agent	"sameas deployment status"
10	"web of data"	local:of_data	"web"
10	"web of data"	local:web_of	"data"
10	"uses"	vn.role:Agent	"web of data"
10	"uses"	vn.role:Theme	"statistics"
10	"focus discussion"	rdfs:subClassOf	"discussion"
10	"focus"	rdfs:member	"focus discussion"
10	"data"	rdfs:member	"data usage"
10	"data usage"	rdfs:subClassOf	"usage"
10	"linked data"	rdfs:subClassOf	"data"
10	"focus discussion around web"	local:around_web	"focus discussion"
10	"focus discussion around web"	local:focusdiscussion_around	"web"
10	"web of data usage"	local:of_datausage	"web"
10	"web of data usage"	local:web_of	"data usage"
10	"web of data usage in linked data"	local:in_linkeddata	"web of data usage"
10	"web of data usage in linked data"	local:webofdatausage_in	"linked data"
10	"uses"	local:AM-PNC	"focus discussion around web"
10	"web of data"	local:of_data	"web"
10	"web of data"	local:web_of	"data"
10	"focus"	vn.role:Experiencer	"web of data"
10	"focus"	vn.role:Theme	"discussion"
10	"data"	rdfs:member	"data usage"
10	"data usage"	rdfs:subClassOf	"usage"
10	"linked data"	rdfs:subClassOf	"data"
10	"web of data usage"	local:of_datausage	"web"
10	"web of data usage"	local:web_of	"data usage"
10	"web of data usage in linked data"	local:in_linkeddata	"web of data usage"
10	"web of data usage in linked data"	local:webofdatausage_in	"linked data"
10	"focus"	vn.role:indirect_object	"web of data usage in linked data"
11	"web of data"	local:of_data	"web"
11	"web of data"	local:web_of	"data"
11	"provides"	vn.role:Recipient	"web of data"
11	"quantitative analysis"	rdfs:subClassOf	"analysis"
11	"quantitative"	rdfs:member	"quantitative analysis"
11	"quantitative analysis of owl"	local:of_owl	"quantitative analysis"
11	"quantitative analysis of owl"	local:quantitativeanalysis_of	"owl"
11	"provides"	vn.role:Agent	"quantitative analysis of owl"
