0	"recent"	rdfs:member	"recent technology"
0	"technology developments"	rdfs:subClassOf	"developments"
0	"recent technology developments"	rdfs:subClassOf	"developments"
0	"recent technology"	rdfs:member	"recent technology developments"
0	"technology"	rdfs:member	"technology developments"
0	"recent technology"	rdfs:subClassOf	"technology"
0	"recent technology developments"	rdfs:subClassOf	"technology developments"
0	"recent technology developments in area"	local:in_area	"recent technology developments"
0	"recent technology developments in area"	local:recenttechnologydevelopments_in	"area"
0	"area of services"	local:of_services	"area"
0	"area of services"	local:area_of	"services"
0	"recent technology developments in area on web"	local:on_web	"recent technology developments in area"
0	"recent technology developments in area on web"	local:recenttechnologydevelopmentsinarea_on	"web"
0	"marked"	vn.role:Theme	"recent technology developments in area on web"
0	"web"	rdfs:member	"web applications"
0	"web applications"	rdfs:subClassOf	"applications"
0	"proliferation of web applications"	local:of_webapplications	"proliferation"
0	"proliferation of web applications"	local:proliferation_of	"web applications"
0	"proliferation of web applications of apis"	local:of_apis	"proliferation of web applications"
0	"proliferation of web applications of apis"	local:proliferationofwebapplications_of	"apis"
0	"marked"	vn.role:Agent	"proliferation of web applications of apis"
1	"based"	vn.role:Cause	"applications"
1	"web"	rdfs:member	"web apis"
1	"web apis"	rdfs:subClassOf	"apis"
1	"based"	local:AM-LOC	"web apis"
2	"implementation of applications"	local:of_applications	"implementation"
2	"implementation of applications"	local:implementation_of	"applications"
2	"hampered"	vn.role:Patient	"implementation of applications"
2	"lack of automation"	local:of_automation	"lack"
2	"lack of automation"	local:lack_of	"automation"
2	"hampered"	vn.role:Agent	"lack of automation"
3	"achieved"	vn.role:Theme	"automation"
3	"achieved"	local:AM-MOD	"can"
3	"current"	rdfs:member	"current technologies"
3	"current technologies"	rdfs:subClassOf	"technologies"
3	"achieved"	local:AM-MNR	"current technologies"
4	"semantic web services"	rdfs:subClassOf	"services"
4	"semantic web"	rdfs:subClassOf	"web"
4	"web"	rdfs:member	"web services"
4	"semantic"	rdfs:member	"semantic web"
4	"semantic web"	rdfs:member	"semantic web services"
4	"web services"	rdfs:subClassOf	"services"
4	"semantic web services"	rdfs:subClassOf	"web services"
4	"research on semantic web services"	local:on_semanticwebservices	"research"
4	"research on semantic web services"	local:research_on	"semantic web services"
4	"trying"	vn.role:Experiencer	"research on semantic web services"
4	"trying"	local:AM-DIS	"therefore"
4	"trying"	vn.role:Cause	"adapt"
4	"semantic web services"	rdfs:subClassOf	"services"
4	"semantic web"	rdfs:subClassOf	"web"
4	"web"	rdfs:member	"web services"
4	"semantic"	rdfs:member	"semantic web"
4	"semantic web"	rdfs:member	"semantic web services"
4	"web services"	rdfs:subClassOf	"services"
4	"semantic web services"	rdfs:subClassOf	"web services"
4	"research on semantic web services"	local:on_semanticwebservices	"research"
4	"research on semantic web services"	local:research_on	"semantic web services"
4	"adapt"	vn.role:Agent	"research on semantic web services"
4	"adapt"	vn.role:Patient	"principles"
5	"devised"	vn.role:Product	"principles"
5	"traditional web"	rdfs:member	"traditional web services"
5	"traditional web services"	rdfs:subClassOf	"services"
5	"web"	rdfs:member	"web services"
5	"traditional web"	rdfs:subClassOf	"web"
5	"traditional"	rdfs:member	"traditional web"
5	"web services"	rdfs:subClassOf	"services"
5	"traditional web services"	rdfs:subClassOf	"web services"
5	"devised"	vn.role:Material	"traditional web services"
5	"new"	rdfs:member	"new kind"
5	"new kind"	rdfs:subClassOf	"kind"
5	"deal with new kind"	local:with_newkind	"deal"
5	"deal with new kind"	local:deal_with	"new kind"
5	"new kind of services"	local:of_services	"new kind"
5	"new kind of services"	local:newkind_of	"services"
5	"devised"	local:AM-PNC	"deal with new kind"
5	"deal"	vn.role:Agent	"principles"
5	"traditional web"	rdfs:member	"traditional web services"
5	"traditional web services"	rdfs:subClassOf	"services"
5	"web"	rdfs:member	"web services"
5	"traditional web"	rdfs:subClassOf	"web"
5	"traditional"	rdfs:member	"traditional web"
5	"web services"	rdfs:subClassOf	"services"
5	"traditional web services"	rdfs:subClassOf	"web services"
5	"deal"	vn.role:Agent	"traditional web services"
5	"new"	rdfs:member	"new kind"
5	"new kind"	rdfs:subClassOf	"kind"
5	"new kind of services"	local:of_services	"new kind"
5	"new kind of services"	local:newkind_of	"services"
5	"deal"	vn.role:Theme	"new kind of services"
6	"show"	local:AM-LOC	"paper"
6	"show"	vn.role:Agent	"we"
6	"show"	local:AM-TMP	"currently"
6	"show"	local:AM-ADV	"80"
