1	"rdf databases"	rdfs:subClassOf	"databases"
1	"effective techniques"	rdfs:subClassOf	"techniques"
1	"effective"	rdfs:member	"effective techniques"
1	"rdf"	rdfs:member	"rdf databases"
1	"keyword"	rdfs:member	"keyword search"
1	"keyword search"	rdfs:subClassOf	"search"
1	"effective techniques for keyword search"	local:for_keywordsearch	"effective techniques"
1	"effective techniques for keyword search"	local:effectivetechniques_for	"keyword search"
1	"keyword search over rdf databases"	local:over_rdfdatabases	"keyword search"
1	"keyword search over rdf databases"	local:keywordsearch_over	"rdf databases"
1	"incorporate"	vn.role:Patient1	"effective techniques for keyword search"
1	"explicit"	rdfs:member	"explicit interpretation"
1	"explicit interpretation"	rdfs:subClassOf	"interpretation"
1	"interpretation"	rdfs:member	"interpretation phase"
1	"explicit interpretation"	rdfs:member	"explicit interpretation phase"
1	"interpretation phase"	rdfs:subClassOf	"phase"
1	"explicit interpretation phase"	rdfs:subClassOf	"phase"
1	"explicit interpretation phase"	rdfs:subClassOf	"interpretation phase"
1	"incorporate"	vn.role:Patient2	"explicit interpretation phase"
2	"unique interpretation"	rdfs:subClassOf	"interpretation"
2	"keyword query"	rdfs:subClassOf	"query"
2	"unique"	rdfs:member	"unique interpretation"
2	"keyword"	rdfs:member	"keyword query"
2	"unique interpretation for keyword query"	local:for_keywordquery	"unique interpretation"
2	"unique interpretation for keyword query"	local:uniqueinterpretation_for	"keyword query"
2	"generate"	vn.role:Theme2	"unique interpretation for keyword query"
3	"consequently heuristics"	rdfs:subClassOf	"heuristics"
3	"geared"	vn.role:Theme	"consequently heuristics"
3	"likeliest"	rdfs:member	"likeliest user-intended"
3	"user-intended"	rdfs:member	"user-intended interpretations"
3	"likeliest user-intended"	rdfs:member	"likeliest user-intended interpretations"
3	"user-intended interpretations"	rdfs:subClassOf	"interpretations"
3	"likeliest user-intended"	rdfs:subClassOf	"user-intended"
3	"top-k"	rdfs:member	"top-k likeliest"
3	"top-k likeliest"	rdfs:member	"top-k likeliest user-intended"
3	"top-k likeliest user-intended interpretations"	rdfs:subClassOf	"interpretations"
3	"top-k likeliest user-intended"	rdfs:subClassOf	"user-intended"
3	"top-k likeliest user-intended"	rdfs:member	"top-k likeliest user-intended interpretations"
3	"top-k likeliest"	rdfs:subClassOf	"likeliest"
3	"likeliest user-intended interpretations"	rdfs:subClassOf	"interpretations"
3	"likeliest user-intended interpretations"	rdfs:subClassOf	"user-intended interpretations"
3	"top-k likeliest user-intended interpretations"	rdfs:subClassOf	"likeliest user-intended interpretations"
3	"geared"	vn.role:Source	"generating"
3	"consequently heuristics"	rdfs:subClassOf	"heuristics"
3	"generating"	vn.role:Theme1	"consequently heuristics"
3	"likeliest"	rdfs:member	"likeliest user-intended"
3	"user-intended"	rdfs:member	"user-intended interpretations"
3	"likeliest user-intended"	rdfs:member	"likeliest user-intended interpretations"
3	"user-intended interpretations"	rdfs:subClassOf	"interpretations"
3	"likeliest user-intended"	rdfs:subClassOf	"user-intended"
3	"top-k"	rdfs:member	"top-k likeliest"
3	"top-k likeliest"	rdfs:member	"top-k likeliest user-intended"
3	"top-k likeliest user-intended interpretations"	rdfs:subClassOf	"interpretations"
3	"top-k likeliest user-intended"	rdfs:subClassOf	"user-intended"
3	"top-k likeliest user-intended"	rdfs:member	"top-k likeliest user-intended interpretations"
3	"top-k likeliest"	rdfs:subClassOf	"likeliest"
3	"likeliest user-intended interpretations"	rdfs:subClassOf	"interpretations"
3	"likeliest user-intended interpretations"	rdfs:subClassOf	"user-intended interpretations"
3	"top-k likeliest user-intended interpretations"	rdfs:subClassOf	"likeliest user-intended interpretations"
3	"generating"	vn.role:Theme2	"top-k likeliest user-intended interpretations"
4	"however heuristics"	rdfs:subClassOf	"heuristics"
4	"proposed"	vn.role:Topic	"however heuristics"
4	"proposed"	local:AM-TMP	"currently"
4	"user-dependent characteristics"	rdfs:subClassOf	"characteristics"
4	"user-dependent"	rdfs:member	"user-dependent characteristics"
4	"proposed"	local:AM-PNC	"capture"
4	"however heuristics"	rdfs:subClassOf	"heuristics"
4	"fail"	vn.role:Theme	"however heuristics"
4	"fail"	local:AM-TMP	"currently"
4	"user-dependent characteristics"	rdfs:subClassOf	"characteristics"
4	"user-dependent"	rdfs:member	"user-dependent characteristics"
4	"fail"	vn.role:indirect_object	"capture"
4	"however heuristics"	rdfs:subClassOf	"heuristics"
4	"capture"	vn.role:Agent	"however heuristics"
4	"user-dependent characteristics"	rdfs:subClassOf	"characteristics"
4	"user-dependent"	rdfs:member	"user-dependent characteristics"
4	"capture"	vn.role:Theme	"user-dependent characteristics"
5	"occurrence frequency"	rdfs:subClassOf	"frequency"
5	"subgraph"	rdfs:member	"subgraph pattern"
5	"subgraph pattern"	rdfs:subClassOf	"pattern"
5	"occurrence"	rdfs:member	"occurrence frequency"
5	"database-dependent"	rdfs:member	"database-dependent properties"
5	"database-dependent properties"	rdfs:subClassOf	"properties"
5	"database-dependent properties such_as occurrence frequency"	local:such_as_occurrencefrequency	"database-dependent properties"
5	"database-dependent properties such_as occurrence frequency"	local:database-dependentproperties_such_as	"occurrence frequency"
5	"occurrence frequency of subgraph pattern"	local:of_subgraphpattern	"occurrence frequency"
5	"occurrence frequency of subgraph pattern"	local:occurrencefrequency_of	"subgraph pattern"
5	"connecting"	vn.role:Agent	"database-dependent properties such_as occurrence frequency"
5	"connecting"	vn.role:Patient	"keywords"
6	"however heuristics"	rdfs:subClassOf	"heuristics"
6	"proposed"	vn.role:Topic	"however heuristics"
