0	"knowledge workers"	rdfs:subClassOf	"workers"
0	"knowledge"	rdfs:member	"knowledge workers"
0	"called"	vn.role:Cause	"knowledge workers"
2	"shared"	vn.role:Patient	"organisation"
2	"shared"	local:AM-ADV	"only"
2	"particular communication act"	rdfs:subClassOf	"act"
2	"communication"	rdfs:member	"communication act"
2	"communication act"	rdfs:subClassOf	"act"
2	"particular communication"	rdfs:member	"particular communication act"
2	"particular"	rdfs:member	"particular communication"
2	"particular communication"	rdfs:subClassOf	"communication"
2	"particular communication act"	rdfs:subClassOf	"communication act"
2	"immediately involved"	rdfs:subClassOf	"involved"
2	"immediately involved in particular communication act"	local:in_particularcommunicationact	"immediately involved"
2	"immediately involved in particular communication act"	local:immediatelyinvolved_in	"particular communication act"
2	"shared"	vn.role:Patient	"immediately involved in particular communication act"
2	"only shared"	rdfs:subClassOf	"shared"
2	"only shared with those"	local:with_those	"only shared"
2	"only shared with those"	local:onlyshared_with	"those"
2	"involved"	vn.role:Cause	"organisation"
2	"involved"	local:AM-TMP	"immediately"
2	"particular communication act"	rdfs:subClassOf	"act"
2	"communication"	rdfs:member	"communication act"
2	"communication act"	rdfs:subClassOf	"act"
2	"particular communication"	rdfs:member	"particular communication act"
2	"particular"	rdfs:member	"particular communication"
2	"particular communication"	rdfs:subClassOf	"communication"
2	"particular communication act"	rdfs:subClassOf	"communication act"
2	"involved"	vn.role:Topic	"particular communication act"
3	"discussed"	vn.role:Patient2	"contents"
3	"communication"	rdfs:member	"communication exchanges"
3	"informal"	rdfs:member	"informal communication"
3	"informal communication exchanges"	rdfs:subClassOf	"exchanges"
3	"communication exchanges exchanges"	rdfs:subClassOf	"exchanges"
3	"exchanges exchanges"	rdfs:subClassOf	"exchanges"
3	"potential source"	rdfs:subClassOf	"source"
3	"informal communication"	rdfs:member	"informal communication exchanges"
3	"messaging"	rdfs:member	"messaging exchanges"
3	"messaging exchanges"	rdfs:subClassOf	"exchanges"
3	"informal communication exchanges exchanges"	rdfs:subClassOf	"exchanges"
3	"instant messaging"	rdfs:subClassOf	"messaging"
3	"informal communication exchanges"	rdfs:member	"informal communication exchanges exchanges"
3	"informal communication"	rdfs:subClassOf	"communication"
3	"instant messaging exchanges"	rdfs:subClassOf	"exchanges"
3	"potential"	rdfs:member	"potential source"
3	"exchanges"	rdfs:member	"exchanges exchanges"
3	"instant messaging"	rdfs:member	"instant messaging exchanges"
3	"communication exchanges"	rdfs:member	"communication exchanges exchanges"
3	"instant"	rdfs:member	"instant messaging"
3	"communication exchanges"	rdfs:subClassOf	"exchanges"
3	"therefore constitute"	rdfs:subClassOf	"constitute"
3	"communication exchanges exchanges"	rdfs:subClassOf	"exchanges exchanges"
3	"informal communication exchanges exchanges"	rdfs:subClassOf	"communication exchanges exchanges"
3	"instant messaging exchanges"	rdfs:subClassOf	"messaging exchanges"
3	"potential source of knowledge"	local:of_knowledge	"potential source"
3	"potential source of knowledge"	local:potentialsource_of	"knowledge"
3	"potential source of knowledge within organisation"	local:within_organisation	"potential source of knowledge"
3	"potential source of knowledge within organisation"	local:potentialsourceofknowledge_within	"organisation"
3	"discussed"	local:AM-TMP	"therefore constitute"
3	"communication"	rdfs:member	"communication exchanges"
3	"informal"	rdfs:member	"informal communication"
3	"informal communication exchanges"	rdfs:subClassOf	"exchanges"
3	"communication exchanges exchanges"	rdfs:subClassOf	"exchanges"
3	"exchanges exchanges"	rdfs:subClassOf	"exchanges"
3	"informal communication"	rdfs:member	"informal communication exchanges"
3	"messaging"	rdfs:member	"messaging exchanges"
3	"messaging exchanges"	rdfs:subClassOf	"exchanges"
3	"informal communication exchanges exchanges"	rdfs:subClassOf	"exchanges"
3	"instant messaging"	rdfs:subClassOf	"messaging"
3	"informal communication exchanges"	rdfs:member	"informal communication exchanges exchanges"
3	"informal communication"	rdfs:subClassOf	"communication"
3	"instant messaging exchanges"	rdfs:subClassOf	"exchanges"
3	"exchanges"	rdfs:member	"exchanges exchanges"
3	"instant messaging"	rdfs:member	"instant messaging exchanges"
3	"communication exchanges"	rdfs:member	"communication exchanges exchanges"
3	"instant"	rdfs:member	"instant messaging"
3	"communication exchanges"	rdfs:subClassOf	"exchanges"
3	"communication exchanges exchanges"	rdfs:subClassOf	"exchanges exchanges"
3	"informal communication exchanges exchanges"	rdfs:subClassOf	"communication exchanges exchanges"
3	"instant messaging exchanges"	rdfs:subClassOf	"messaging exchanges"
3	"contents discussed"	local:_discussed	"contents"
3	"contents discussed"	local:contents_	"discussed"
3	"discussed during meetings"	local:during_meetings	"discussed"
3	"discussed during meetings"	local:discussed_during	"meetings"
3	"constitute"	vn.role:Agent	"contents discussed"
3	"constitute"	local:AM-DIS	"therefore"
3	"potential source"	rdfs:subClassOf	"source"
3	"potential"	rdfs:member	"potential source"
3	"potential source of knowledge"	local:of_knowledge	"potential source"
3	"potential source of knowledge"	local:potentialsource_of	"knowledge"
3	"constitute"	vn.role:Theme	"potential source of knowledge"
3	"constitute"	local:AM-LOC	"organisation"
4	"poses"	vn.role:Agent	"work"
4	"management"	rdfs:member	"management issue"
4	"management issue"	rdfs:subClassOf	"issue"
4	"knowledge management"	rdfs:member	"knowledge management issue"
4	"knowledge"	rdfs:member	"knowledge management"
4	"knowledge management"	rdfs:subClassOf	"management"
4	"knowledge management issue"	rdfs:subClassOf	"issue"
4	"knowledge management issue"	rdfs:subClassOf	"management issue"
4	"poses"	vn.role:Predicate	"knowledge management issue"
4	"“"	rdfs:member	"“ buried"
4	"“ buried knowledge"	rdfs:subClassOf	"knowledge"
4	"“ buried"	rdfs:member	"“ buried knowledge"
4	"buried knowledge"	rdfs:member	"buried knowledge ”"
4	"“ buried"	rdfs:subClassOf	"buried"
4	"“ buried knowledge ”"	rdfs:subClassOf	"”"
4	"knowledge"	rdfs:member	"knowledge ”"
4	"knowledge ”"	rdfs:subClassOf	"”"
4	"buried knowledge ”"	rdfs:subClassOf	"”"
4	"“ buried knowledge"	rdfs:member	"“ buried knowledge ”"
4	"buried"	rdfs:member	"buried knowledge"
4	"buried knowledge"	rdfs:subClassOf	"knowledge"
4	"kind of contents"	local:of_contents	"kind"
4	"kind of contents"	local:kind_of	"contents"
4	"poses"	local:AM-TMP	"become"
