0	"tagging systems"	rdfs:subClassOf	"systems"
0	"typical tagging systems"	rdfs:subClassOf	"tagging systems"
0	"capture"	vn.role:Agent	"typical tagging systems"
0	"capture"	local:AM-ADV	"merely"
0	"tagging interactions"	rdfs:subClassOf	"interactions"
0	"tagging"	rdfs:member	"tagging interactions"
0	"part of tagging interactions"	local:of_tagginginteractions	"part"
0	"part of tagging interactions"	local:part_of	"tagging interactions"
0	"capture"	vn.role:Theme	"part of tagging interactions"
1	"tagging"	vn.role:Theme	"interactions"
1	"enrich"	vn.role:Agent	"tagging"
1	"tag"	rdfs:member	"tag assignments"
1	"tag assignments"	rdfs:subClassOf	"assignments"
1	"semantics of tag assignments"	local:of_tagassignments	"semantics"
1	"semantics of tag assignments"	local:semantics_of	"tag assignments"
1	"enrich"	vn.role:Theme	"semantics of tag assignments"
2	"user"	rdfs:member	"user profiles"
2	"user profiles"	rdfs:subClassOf	"profiles"
2	"build"	vn.role:Material	"user profiles"
2	"tag"	rdfs:member	"tag assignment"
2	"additional"	rdfs:member	"additional evidence"
2	"tag assignment"	rdfs:subClassOf	"assignment"
2	"additional evidence"	rdfs:subClassOf	"evidence"
2	"basis of statistics"	local:of_statistics	"basis"
2	"basis of statistics"	local:basis_of	"statistics"
2	"statistics about tags"	local:about_tags	"statistics"
2	"statistics about tags"	local:statistics_about	"tags"
2	"pertain to tag assignment"	local:to_tagassignment	"pertain"
2	"pertain to tag assignment"	local:pertain_to	"tag assignment"
2	"build"	local:AM-MNR	"basis of statistics"
2	"disregarding"	vn.role:Agent	"tags"
2	"tag"	rdfs:member	"tag assignment"
2	"additional"	rdfs:member	"additional evidence"
2	"tag assignment"	rdfs:subClassOf	"assignment"
2	"additional evidence"	rdfs:subClassOf	"evidence"
2	"pertain to tag assignment"	local:to_tagassignment	"pertain"
2	"pertain to tag assignment"	local:pertain_to	"tag assignment"
2	"disregarding"	vn.role:Theme	"additional evidence"
2	"additional"	rdfs:member	"additional evidence"
2	"additional evidence"	rdfs:subClassOf	"evidence"
2	"pertain"	vn.role:Agent	"additional evidence"
2	"tag"	rdfs:member	"tag assignment"
2	"tag assignment"	rdfs:subClassOf	"assignment"
2	"pertain"	vn.role:Theme	"tag assignment"
2	"pertain"	vn.role:Recipient	"tag"
3	"common practice"	rdfs:subClassOf	"practice"
3	"common"	rdfs:member	"common practice"
3	"build"	vn.role:Agent	"common practice"
3	"tag-based resource"	rdfs:subClassOf	"resource"
3	"tag-based"	rdfs:member	"tag-based resource"
3	"build"	vn.role:Material	"tag-based resource"
3	"additional"	rdfs:member	"additional evidence"
3	"additional evidence"	rdfs:subClassOf	"evidence"
3	"basis of statistics"	local:of_statistics	"basis"
3	"basis of statistics"	local:basis_of	"statistics"
3	"statistics about tags"	local:about_tags	"statistics"
3	"statistics about tags"	local:statistics_about	"tags"
3	"pertain to user"	local:to_user	"pertain"
3	"pertain to user"	local:pertain_to	"user"
3	"build"	local:AM-MNR	"basis of statistics"
3	"disregarding"	vn.role:Agent	"tags"
3	"additional"	rdfs:member	"additional evidence"
3	"additional evidence"	rdfs:subClassOf	"evidence"
3	"pertain to user"	local:to_user	"pertain"
3	"pertain to user"	local:pertain_to	"user"
3	"disregarding"	vn.role:Theme	"additional evidence"
3	"additional"	rdfs:member	"additional evidence"
3	"additional evidence"	rdfs:subClassOf	"evidence"
3	"pertain"	vn.role:Agent	"additional evidence"
3	"pertain"	vn.role:Recipient	"user"
4	"additional"	rdfs:member	"additional evidence"
4	"user profiles"	rdfs:subClassOf	"profiles"
4	"user"	rdfs:member	"user profiles"
4	"additional evidence"	rdfs:subClassOf	"evidence"
4	"user profiles on basis"	local:on_basis	"user profiles"
4	"user profiles on basis"	local:userprofiles_on	"basis"
4	"basis of statistics"	local:of_statistics	"basis"
4	"basis of statistics"	local:basis_of	"statistics"
4	"statistics about tags"	local:about_tags	"statistics"
4	"statistics about tags"	local:statistics_about	"tags"
4	"user profiles on basis disregarding"	local:_disregarding	"user profiles on basis"
4	"user profiles on basis disregarding"	local:userprofilesonbasis_	"disregarding"
4	"pertain to user"	local:to_user	"pertain"
4	"pertain to user"	local:pertain_to	"user"
4	"build"	vn.role:Material	"user profiles on basis disregarding"
4	"disregarding"	vn.role:Agent	"tags"
4	"additional"	rdfs:member	"additional evidence"
4	"additional evidence"	rdfs:subClassOf	"evidence"
4	"pertain to user"	local:to_user	"pertain"
4	"pertain to user"	local:pertain_to	"user"
4	"disregarding"	vn.role:Theme	"additional evidence"
4	"additional"	rdfs:member	"additional evidence"
4	"additional evidence"	rdfs:subClassOf	"evidence"
4	"pertain"	vn.role:Agent	"additional evidence"
4	"pertain"	vn.role:Recipient	"user"
5	"additional"	rdfs:member	"additional evidence"
5	"user profiles"	rdfs:subClassOf	"profiles"
5	"user"	rdfs:member	"user profiles"
5	"additional evidence"	rdfs:subClassOf	"evidence"
5	"user profiles on basis"	local:on_basis	"user profiles"
5	"user profiles on basis"	local:userprofiles_on	"basis"
5	"basis of statistics"	local:of_statistics	"basis"
5	"basis of statistics"	local:basis_of	"statistics"
5	"statistics about tags"	local:about_tags	"statistics"
5	"statistics about tags"	local:statistics_about	"tags"
5	"user profiles on basis disregarding"	local:_disregarding	"user profiles on basis"
5	"user profiles on basis disregarding"	local:userprofilesonbasis_	"disregarding"
5	"pertain to resource"	local:to_resource	"pertain"
5	"pertain to resource"	local:pertain_to	"resource"
5	"build"	vn.role:Material	"user profiles on basis disregarding"
5	"disregarding"	vn.role:Agent	"tags"
5	"additional"	rdfs:member	"additional evidence"
5	"additional evidence"	rdfs:subClassOf	"evidence"
5	"pertain to resource"	local:to_resource	"pertain"
5	"pertain to resource"	local:pertain_to	"resource"
5	"disregarding"	vn.role:Theme	"additional evidence"
5	"additional"	rdfs:member	"additional evidence"
5	"additional evidence"	rdfs:subClassOf	"evidence"
5	"pertain"	vn.role:Agent	"additional evidence"
5	"pertain"	vn.role:Recipient	"resource"
6	"common practice"	rdfs:subClassOf	"practice"
6	"common"	rdfs:member	"common practice"
6	"build"	vn.role:Agent	"common practice"
6	"tag-based resource"	rdfs:subClassOf	"resource"
6	"tag-based"	rdfs:member	"tag-based resource"
6	"build"	vn.role:Material	"tag-based resource"
6	"additional"	rdfs:member	"additional evidence"
6	"additional evidence"	rdfs:subClassOf	"evidence"
6	"basis of statistics"	local:of_statistics	"basis"
6	"basis of statistics"	local:basis_of	"statistics"
6	"statistics about tags"	local:about_tags	"statistics"
6	"statistics about tags"	local:statistics_about	"tags"
6	"pertain to resource"	local:to_resource	"pertain"
6	"pertain to resource"	local:pertain_to	"resource"
6	"build"	local:AM-MNR	"basis of statistics"
6	"disregarding"	vn.role:Agent	"tags"
6	"additional"	rdfs:member	"additional evidence"
6	"additional evidence"	rdfs:subClassOf	"evidence"
6	"pertain to resource"	local:to_resource	"pertain"
6	"pertain to resource"	local:pertain_to	"resource"
