0	"increasing"	vn.role:Attribute	"availability"
0	"large"	rdfs:member	"large rdf"
0	"rdf datasets"	rdfs:subClassOf	"datasets"
0	"large rdf"	rdfs:member	"large rdf datasets"
0	"rdf"	rdfs:member	"rdf datasets"
0	"large rdf"	rdfs:subClassOf	"rdf"
0	"large rdf datasets"	rdfs:subClassOf	"datasets"
0	"large rdf datasets"	rdfs:subClassOf	"rdf datasets"
0	"increasing availability"	rdfs:subClassOf	"availability"
0	"increasing availability of large rdf datasets"	local:of_largerdfdatasets	"increasing availability"
0	"increasing availability of large rdf datasets"	local:increasingavailability_of	"large rdf datasets"
0	"offers"	vn.role:Agent	"increasing availability of large rdf datasets"
0	"such"	rdfs:member	"such data"
0	"predictive"	rdfs:member	"predictive models"
0	"predictive models"	rdfs:subClassOf	"models"
0	"such data"	rdfs:subClassOf	"data"
0	"learning algorithms"	rdfs:subClassOf	"algorithms"
0	"machine learning algorithms"	rdfs:subClassOf	"learning algorithms"
0	"exciting opportunity"	rdfs:subClassOf	"opportunity"
0	"offers"	vn.role:Theme	"exciting opportunity"
0	"large"	rdfs:member	"large rdf"
0	"rdf datasets"	rdfs:subClassOf	"datasets"
0	"large rdf"	rdfs:member	"large rdf datasets"
0	"rdf"	rdfs:member	"rdf datasets"
0	"large rdf"	rdfs:subClassOf	"rdf"
0	"large rdf datasets"	rdfs:subClassOf	"datasets"
0	"large rdf datasets"	rdfs:subClassOf	"rdf datasets"
0	"increasing availability"	rdfs:subClassOf	"availability"
0	"increasing availability of large rdf datasets"	local:of_largerdfdatasets	"increasing availability"
0	"increasing availability of large rdf datasets"	local:increasingavailability_of	"large rdf datasets"
0	"use"	vn.role:Agent	"increasing availability of large rdf datasets"
0	"use"	vn.role:Theme	"data"
0	"predictive models"	rdfs:subClassOf	"models"
0	"predictive"	rdfs:member	"predictive models"
0	"learning algorithms"	rdfs:subClassOf	"algorithms"
0	"machine learning algorithms"	rdfs:subClassOf	"learning algorithms"
0	"use"	vn.role:Recipient	"build"
0	"large"	rdfs:member	"large rdf"
0	"rdf datasets"	rdfs:subClassOf	"datasets"
0	"large rdf"	rdfs:member	"large rdf datasets"
