0	"organizing"	vn.role:Agent	"concepts"
0	"describing"	vn.role:Agent	"."
0	"describing"	vn.role:Agent	"things"
2	"use"	vn.role:Agent	"people"
2	"other"	rdfs:member	"other things"
2	"other things"	rdfs:subClassOf	"things"
2	"use"	vn.role:Recipient	"describing"
2	"describing"	vn.role:Agent	"people"
2	"describing"	vn.role:Theme	"things"
3	"knowledge"	rdfs:member	"knowledge engineering"
3	"knowledge engineering"	rdfs:member	"knowledge engineering researchers"
3	"engineering"	rdfs:member	"engineering researchers"
3	"engineering researchers"	rdfs:subClassOf	"researchers"
3	"knowledge engineering"	rdfs:subClassOf	"engineering"
3	"knowledge engineering researchers"	rdfs:subClassOf	"researchers"
3	"knowledge engineering researchers"	rdfs:subClassOf	"engineering researchers"
3	"linked"	vn.role:Patient	"offer"
3	"offer"	vn.role:Agent	"data"
3	"offer knowledge"	rdfs:subClassOf	"knowledge"
3	"knowledge"	rdfs:member	"knowledge engineering"
3	"offer knowledge engineering"	rdfs:subClassOf	"engineering"
3	"knowledge engineering"	rdfs:member	"knowledge engineering researchers"
3	"knowledge engineering"	rdfs:subClassOf	"engineering"
3	"data offer"	rdfs:member	"data offer knowledge"
3	"offer knowledge engineering researchers"	rdfs:subClassOf	"researchers"
3	"data offer"	rdfs:subClassOf	"offer"
3	"data offer knowledge engineering researchers"	rdfs:subClassOf	"researchers"
3	"engineering"	rdfs:member	"engineering researchers"
3	"engineering researchers"	rdfs:subClassOf	"researchers"
3	"data offer knowledge engineering"	rdfs:subClassOf	"engineering"
3	"data offer knowledge"	rdfs:subClassOf	"knowledge"
3	"offer knowledge"	rdfs:member	"offer knowledge engineering"
3	"data offer knowledge"	rdfs:member	"data offer knowledge engineering"
3	"offer knowledge engineering"	rdfs:member	"offer knowledge engineering researchers"
3	"offer"	rdfs:member	"offer knowledge"
3	"data"	rdfs:member	"data offer"
3	"data offer knowledge engineering"	rdfs:member	"data offer knowledge engineering researchers"
3	"knowledge engineering researchers"	rdfs:subClassOf	"researchers"
3	"knowledge engineering researchers"	rdfs:subClassOf	"engineering researchers"
3	"linked data"	rdfs:subClassOf	"data"
3	"identifying"	vn.role:Agent	"offer"
3	"identifying"	local:AM-MNR	"empirically"
3	"conceptual organization"	rdfs:subClassOf	"organization"
3	"conceptual"	rdfs:member	"conceptual organization"
3	"invariances in conceptual organization"	local:in_conceptualorganization	"invariances"
3	"invariances in conceptual organization"	local:invariances_in	"conceptual organization"
3	"conceptual organization of knowledge"	local:of_knowledge	"conceptual organization"
3	"conceptual organization of knowledge"	local:conceptualorganization_of	"knowledge"
3	"identifying"	vn.role:Theme	"invariances in conceptual organization"
3	"knowledge"	rdfs:member	"knowledge patterns"
3	"knowledge patterns"	rdfs:subClassOf	"patterns"
3	"identifying"	local:AM-MNR	"knowledge patterns"
4	"knowledge"	rdfs:member	"knowledge engineering"
4	"knowledge engineering"	rdfs:member	"knowledge engineering researchers"
4	"engineering"	rdfs:member	"engineering researchers"
4	"engineering researchers"	rdfs:subClassOf	"researchers"
4	"wikipedia"	rdfs:member	"wikipedia data"
4	"wikipedia data"	rdfs:subClassOf	"data"
4	"knowledge engineering"	rdfs:subClassOf	"engineering"
4	"knowledge engineering researchers"	rdfs:subClassOf	"researchers"
4	"knowledge engineering researchers"	rdfs:subClassOf	"engineering researchers"
