0	"established"	vn.role:Cause	"means"
0	"knowledge"	rdfs:member	"knowledge work"
0	"organizational knowledge work"	rdfs:subClassOf	"work"
0	"knowledge work"	rdfs:subClassOf	"work"
0	"organizational knowledge"	rdfs:member	"organizational knowledge work"
0	"organizational knowledge"	rdfs:subClassOf	"knowledge"
0	"organizational"	rdfs:member	"organizational knowledge"
0	"organizational knowledge work"	rdfs:subClassOf	"knowledge work"
0	"improving efficiency"	rdfs:subClassOf	"efficiency"
0	"improving efficiency of organizational knowledge work"	local:of_organizationalknowledgework	"improving efficiency"
0	"improving efficiency of organizational knowledge work"	local:improvingefficiency_of	"organizational knowledge work"
0	"established"	local:AM-PNC	"improving efficiency of organizational knowledge work"
0	"knowledge"	rdfs:member	"knowledge work"
0	"organizational knowledge work"	rdfs:subClassOf	"work"
0	"knowledge work"	rdfs:subClassOf	"work"
0	"organizational knowledge"	rdfs:member	"organizational knowledge work"
0	"organizational knowledge"	rdfs:subClassOf	"knowledge"
0	"organizational"	rdfs:member	"organizational knowledge"
0	"organizational knowledge work"	rdfs:subClassOf	"knowledge work"
0	"efficiency of organizational knowledge work"	local:of_organizationalknowledgework	"efficiency"
0	"efficiency of organizational knowledge work"	local:efficiency_of	"organizational knowledge work"
0	"improving"	vn.role:Patient	"efficiency of organizational knowledge work"
1	"implicit procedural"	rdfs:member	"implicit procedural knowledge"
1	"implicit"	rdfs:member	"implicit procedural"
1	"implicit procedural"	rdfs:subClassOf	"procedural"
1	"procedural knowledge"	rdfs:subClassOf	"knowledge"
1	"procedural"	rdfs:member	"procedural knowledge"
1	"implicit procedural knowledge"	rdfs:subClassOf	"knowledge"
1	"implicit procedural knowledge"	rdfs:subClassOf	"procedural knowledge"
1	"implicit procedural knowledge in organization"	local:in_organization	"implicit procedural knowledge"
1	"implicit procedural knowledge in organization"	local:implicitproceduralknowledge_in	"organization"
1	"made"	vn.role:Material	"implicit procedural knowledge in organization"
1	"made"	vn.role:Product	"explicit"
1	"made"	local:AM-MNR	"defining"
1	"defining"	vn.role:Theme	"processes"
4	"described"	local:AM-MNR	"explicitly"
4	"described"	vn.role:Theme	"processes"
5	"described"	local:AM-MNR	"explicitly"
5	"described"	vn.role:Theme	"processes"
6	"synchronized"	local:AM-LOC	"addition"
6	"knowledge"	rdfs:member	"knowledge work"
6	"individual knowledge"	rdfs:member	"individual knowledge work"
6	"individual"	rdfs:member	"individual knowledge"
6	"individual knowledge"	rdfs:subClassOf	"knowledge"
6	"knowledge work"	rdfs:subClassOf	"work"
6	"individual knowledge work"	rdfs:subClassOf	"work"
6	"individual knowledge work"	rdfs:subClassOf	"knowledge work"
6	"activities of individual knowledge work"	local:of_individualknowledgework	"activities"
6	"activities of individual knowledge work"	local:activities_of	"individual knowledge work"
6	"synchronized"	vn.role:Patient	"activities of individual knowledge work"
6	"synchronized"	local:AM-MOD	"can"
6	"synchronized"	local:AM-NEG	"not"
6	"synchronized"	local:AM-MNR	"activities"
6	"knowledge"	rdfs:member	"knowledge work"
6	"organizational knowledge work"	rdfs:subClassOf	"work"
6	"knowledge work"	rdfs:subClassOf	"work"
6	"organizational knowledge"	rdfs:member	"organizational knowledge work"
6	"organizational knowledge"	rdfs:subClassOf	"knowledge"
6	"organizational"	rdfs:member	"organizational knowledge"
6	"organizational knowledge work"	rdfs:subClassOf	"knowledge work"
6	"synchronized"	local:AM-LOC	"organizational knowledge work"
