0	"study"	local:AM-LOC	"paper"
0	"study"	vn.role:Agent	"we"
0	"study"	vn.role:Theme	"watermarking"
0	"ownership of ontology"	local:of_ontology	"ownership"
0	"ownership of ontology"	local:ownership_of	"ontology"
0	"study"	local:AM-PNC	"prove"
0	"ownership of ontology"	local:of_ontology	"ownership"
0	"ownership of ontology"	local:ownership_of	"ontology"
0	"prove"	vn.role:Theme	"ownership of ontology"
1	"existing"	vn.role:Location	"approaches"
1	"existing"	vn.role:Location	"statements"
1	"existing"	vn.role:Location	"statements"
1	"existing approaches"	rdfs:subClassOf	"approaches"
1	"different from existing approaches"	local:from_existingapproaches	"different"
1	"different from existing approaches"	local:different_from	"existing approaches"
1	"propose"	local:AM-ADV	"different from existing approaches"
1	"propose"	vn.role:Agent	"we"
1	"propose"	vn.role:Topic	"watermark"
1	"propose"	local:AM-NEG	"not"
1	"existing statements"	rdfs:subClassOf	"statements"
1	"existing existing statements"	rdfs:subClassOf	"existing statements"
1	"propose"	local:AM-MNR	"altering"
1	"altering"	vn.role:Agent	"we"
1	"existing statements"	rdfs:subClassOf	"statements"
1	"altering"	vn.role:Patient	"existing statements"
1	"removing"	vn.role:Agent	"we"
1	"existing statements"	rdfs:subClassOf	"statements"
1	"removing"	vn.role:Theme	"existing statements"
2	"thereby approach"	rdfs:subClassOf	"approach"
2	"introduce"	vn.role:Agent	"thereby approach"
2	"introduce"	local:AM-NEG	"not"
2	"false"	rdfs:member	"false statements"
2	"false statements"	rdfs:subClassOf	"statements"
2	"introduce"	vn.role:Patient	"false statements"
2	"introduce"	vn.role:Patient1	"ontology"
3	"show"	vn.role:Agent	"we"
3	"probability bounds"	rdfs:subClassOf	"bounds"
3	"tight probability"	rdfs:member	"tight probability bounds"
3	"provably tight probability bounds"	rdfs:subClassOf	"bounds"
3	"only parts"	rdfs:subClassOf	"parts"
3	"provably tight probability"	rdfs:member	"provably tight probability bounds"
3	"provably tight probability"	rdfs:subClassOf	"probability"
3	"tight probability bounds"	rdfs:subClassOf	"bounds"
3	"provably"	rdfs:member	"provably tight"
3	"tight"	rdfs:member	"tight probability"
3	"probability"	rdfs:member	"probability bounds"
3	"tight probability"	rdfs:subClassOf	"probability"
3	"provably tight"	rdfs:member	"provably tight probability"
3	"only"	rdfs:member	"only parts"
3	"provably tight"	rdfs:subClassOf	"tight"
3	"are re-used"	rdfs:subClassOf	"re-used"
3	"even are re-used"	rdfs:subClassOf	"are re-used"
3	"tight probability bounds"	rdfs:subClassOf	"probability bounds"
3	"can established"	rdfs:subClassOf	"established"
3	"ownership of ontologies"	local:of_ontologies	"ownership"
3	"ownership of ontologies"	local:ownership_of	"ontologies"
3	"can established with tight probability bounds"	local:with_tightprobabilitybounds	"can established"
3	"can established with tight probability bounds"	local:canestablished_with	"tight probability bounds"
3	"only parts of ontology"	local:of_ontology	"only parts"
3	"only parts of ontology"	local:onlyparts_of	"ontology"
3	"show"	vn.role:Theme	"can established with tight probability bounds"
3	"ownership of ontologies"	local:of_ontologies	"ownership"
3	"ownership of ontologies"	local:ownership_of	"ontologies"
3	"established"	vn.role:Cause	"ownership of ontologies"
3	"established"	local:AM-MOD	"can"
3	"probability bounds"	rdfs:subClassOf	"bounds"
3	"tight probability"	rdfs:member	"tight probability bounds"
3	"provably tight probability bounds"	rdfs:subClassOf	"bounds"
3	"provably tight probability"	rdfs:member	"provably tight probability bounds"
3	"tight probability bounds"	rdfs:subClassOf	"bounds"
3	"provably"	rdfs:member	"provably tight"
3	"tight"	rdfs:member	"tight probability"
3	"probability"	rdfs:member	"probability bounds"
3	"tight probability"	rdfs:subClassOf	"probability"
3	"provably tight"	rdfs:member	"provably tight probability"
3	"provably tight probability"	rdfs:subClassOf	"probability"
3	"provably tight"	rdfs:subClassOf	"tight"
3	"tight probability bounds"	rdfs:subClassOf	"probability bounds"
3	"established"	local:AM-MNR	"tight probability bounds"
3	"only parts"	rdfs:subClassOf	"parts"
3	"only"	rdfs:member	"only parts"
3	"are re-used"	rdfs:subClassOf	"re-used"
3	"even are re-used"	rdfs:subClassOf	"are re-used"
3	"only parts of ontology"	local:of_ontology	"only parts"
3	"only parts of ontology"	local:onlyparts_of	"ontology"
3	"established"	local:AM-ADV	"even are re-used"
4	"demonstrate"	vn.role:Recipient	"we"
4	"demonstrate"	local:AM-TMP	"finally"
4	"real-world ontologies"	rdfs:subClassOf	"ontologies"
4	"real-world"	rdfs:member	"real-world ontologies"
4	"approach on real-world ontologies"	local:on_real-worldontologies	"approach"
4	"approach on real-world ontologies"	local:approach_on	"real-world ontologies"
4	"demonstrate"	vn.role:Cause	"viability"
4	"viability of we"	local:of_we	"viability"
4	"viability of we"	local:viability_of	"we"
4	"approach"	vn.role:object	"viability of we"
4	"real-world ontologies"	rdfs:subClassOf	"ontologies"
4	"real-world"	rdfs:member	"real-world ontologies"
4	"approach"	vn.role:indirect_object	"real-world ontologies"
