1	"wide range"	rdfs:subClassOf	"range"
1	"wide"	rdfs:member	"wide range"
1	"optimised"	vn.role:Patient	"wide range"
1	"optimised"	vn.role:Patient	"reasoners"
1	"optimised"	local:AM-MNR	"highly"
1	"optimised"	vn.role:Patient	"classification"
2	"restricted"	rdfs:member	"restricted fragments"
2	"several reasoners"	rdfs:subClassOf	"reasoners"
2	"several"	rdfs:member	"several reasoners"
2	"restricted fragments"	rdfs:subClassOf	"fragments"
2	"complete for restricted fragments"	local:for_restrictedfragments	"complete"
2	"complete for restricted fragments"	local:complete_for	"restricted fragments"
2	"restricted fragments of owl"	local:of_owl	"restricted fragments"
2	"restricted fragments of owl"	local:restrictedfragments_of	"owl"
2	"2,"	vn.role:subject	"several reasoners"
2	"el"	rdfs:member	"el profile"
2	"el profile"	rdfs:subClassOf	"profile"
2	"2 el profile"	rdfs:subClassOf	"el profile"
2	"owl 2 el profile"	rdfs:subClassOf	"2 el profile"
2	"2,"	vn.role:object	"owl 2 el profile"
4	"restricted"	rdfs:member	"restricted fragments"
4	"several reasoners"	rdfs:subClassOf	"reasoners"
4	"several"	rdfs:member	"several reasoners"
4	"restricted fragments"	rdfs:subClassOf	"fragments"
4	"complete for restricted fragments"	local:for_restrictedfragments	"complete"
4	"complete for restricted fragments"	local:complete_for	"restricted fragments"
4	"restricted fragments of owl"	local:of_owl	"restricted fragments"
4	"restricted fragments of owl"	local:restrictedfragments_of	"owl"
4	"2,"	vn.role:subject	"several reasoners"
4	"el"	rdfs:member	"el profile"
4	"el profile"	rdfs:subClassOf	"profile"
4	"not are"	rdfs:subClassOf	"are"
4	"2 el profile"	rdfs:subClassOf	"el profile"
4	"owl 2 el profile"	rdfs:subClassOf	"2 el profile"
4	"2,"	vn.role:object	"not are"
6	"restricted"	rdfs:member	"restricted fragments"
6	"several reasoners"	rdfs:subClassOf	"reasoners"
6	"several"	rdfs:member	"several reasoners"
6	"restricted fragments"	rdfs:subClassOf	"fragments"
6	"complete for restricted fragments"	local:for_restrictedfragments	"complete"
6	"complete for restricted fragments"	local:complete_for	"restricted fragments"
6	"restricted fragments of owl"	local:of_owl	"restricted fragments"
6	"restricted fragments of owl"	local:restrictedfragments_of	"owl"
6	"2,"	vn.role:subject	"several reasoners"
7	"containing"	vn.role:Theme1	"ontologies"
7	"relevant fragment"	rdfs:subClassOf	"fragment"
7	"relevant"	rdfs:member	"relevant fragment"
7	"axioms outside relevant fragment"	local:outside_relevantfragment	"axioms"
7	"axioms outside relevant fragment"	local:axioms_outside	"relevant fragment"
7	"containing"	vn.role:Theme2	"axioms outside relevant fragment"
8	"restricted"	rdfs:member	"restricted fragments"
8	"several reasoners"	rdfs:subClassOf	"reasoners"
8	"several"	rdfs:member	"several reasoners"
8	"restricted fragments"	rdfs:subClassOf	"fragments"
8	"complete for restricted fragments"	local:for_restrictedfragments	"complete"
8	"complete for restricted fragments"	local:complete_for	"restricted fragments"
8	"restricted fragments of owl"	local:of_owl	"restricted fragments"
8	"restricted fragments of owl"	local:restrictedfragments_of	"owl"
8	"2,"	vn.role:subject	"several reasoners"
9	"novel classification"	rdfs:member	"novel classification technique"
9	"novel"	rdfs:member	"novel classification"
9	"novel classification technique"	rdfs:subClassOf	"technique"
9	"classification technique"	rdfs:subClassOf	"technique"
9	"novel classification"	rdfs:subClassOf	"classification"
9	"classification"	rdfs:member	"classification technique"
9	"novel classification technique"	rdfs:subClassOf	"classification technique"
9	"combines"	vn.role:Agent	"novel classification technique"
9	"given fragment"	rdfs:subClassOf	"fragment"
9	"2 reasoner"	rdfs:subClassOf	"reasoner"
9	"owl 2 reasoner"	rdfs:subClassOf	"2 reasoner"
9	"owl 2 reasoner for given fragment"	local:for_givenfragment	"owl 2 reasoner"
9	"owl 2 reasoner for given fragment"	local:owl2reasoner_for	"given fragment"
9	"given fragment in way"	local:in_way	"given fragment"
9	"given fragment in way"	local:givenfragment_in	"way"
9	"bulk of workload"	local:of_workload	"bulk"
9	"bulk of workload"	local:bulk_of	"workload"
9	"assigned to latter"	local:to_latter	"assigned"
9	"assigned to latter"	local:assigned_to	"latter"
9	"combines"	vn.role:Patient	"owl 2 reasoner for given fragment"
9	"given"	vn.role:object	"fragment"
9	"bulk of workload"	local:of_workload	"bulk"
9	"bulk of workload"	local:bulk_of	"workload"
9	"assigned"	vn.role:Theme	"bulk of workload"
9	"assigned"	vn.role:Recipient	"latter"
10	"novel classification"	rdfs:member	"novel classification technique"
10	"novel"	rdfs:member	"novel classification"
10	"novel classification technique"	rdfs:subClassOf	"technique"
10	"classification technique"	rdfs:subClassOf	"technique"
10	"novel classification"	rdfs:subClassOf	"classification"
10	"classification"	rdfs:member	"classification technique"
10	"novel classification technique"	rdfs:subClassOf	"classification technique"
10	"combines"	vn.role:Agent	"novel classification technique"
10	"efficient"	rdfs:member	"efficient reasoner"
10	"efficient reasoner"	rdfs:subClassOf	"reasoner"
10	"given fragment"	rdfs:subClassOf	"fragment"
10	"efficient reasoner for given fragment"	local:for_givenfragment	"efficient reasoner"
10	"efficient reasoner for given fragment"	local:efficientreasoner_for	"given fragment"
10	"given fragment in way"	local:in_way	"given fragment"
10	"given fragment in way"	local:givenfragment_in	"way"
10	"bulk of workload"	local:of_workload	"bulk"
10	"bulk of workload"	local:bulk_of	"workload"
10	"assigned to latter"	local:to_latter	"assigned"
10	"assigned to latter"	local:assigned_to	"latter"
10	"combines"	vn.role:Patient	"efficient reasoner for given fragment"
10	"given"	vn.role:object	"fragment"
10	"bulk of workload"	local:of_workload	"bulk"
10	"bulk of workload"	local:bulk_of	"workload"
10	"assigned"	vn.role:Theme	"bulk of workload"
10	"assigned"	vn.role:Recipient	"latter"
11	"propose"	local:AM-LOC	"paper"
11	"propose"	vn.role:Agent	"we"
11	"novel classification"	rdfs:member	"novel classification technique"
11	"novel"	rdfs:member	"novel classification"
11	"novel classification technique"	rdfs:subClassOf	"technique"
11	"classification technique"	rdfs:subClassOf	"technique"
11	"novel classification"	rdfs:subClassOf	"classification"
11	"classification"	rdfs:member	"classification technique"
11	"novel classification technique"	rdfs:subClassOf	"classification technique"
11	"propose"	vn.role:Topic	"novel classification technique"
13	"combined"	vn.role:Patient	"reasoners"
13	"black-box"	rdfs:member	"black-box modular"
13	"black-box modular"	rdfs:member	"black-box modular manner"
13	"modular manner"	rdfs:subClassOf	"manner"
13	"modular"	rdfs:member	"modular manner"
13	"black-box modular manner"	rdfs:subClassOf	"manner"
13	"black-box modular"	rdfs:subClassOf	"modular"
13	"black-box modular manner"	rdfs:subClassOf	"modular manner"
13	"combined"	local:AM-LOC	"black-box modular manner"
