0	"less understanding"	rdfs:subClassOf	"understanding"
0	"much less"	rdfs:subClassOf	"less"
0	"detecting less understanding"	rdfs:subClassOf	"less understanding"
0	"challenging"	vn.role:Agent	"detecting less understanding"
0	"non-local logic effects"	rdfs:subClassOf	"effects"
0	"ontology engineers"	rdfs:subClassOf	"engineers"
0	"logic effects"	rdfs:subClassOf	"effects"
0	"non-local logic"	rdfs:member	"non-local logic effects"
0	"logic"	rdfs:member	"logic effects"
0	"non-local logic"	rdfs:subClassOf	"logic"
0	"axiom"	rdfs:member	"axiom changes"
0	"axiom changes"	rdfs:subClassOf	"changes"
0	"ontology"	rdfs:member	"ontology engineers"
0	"non-local"	rdfs:member	"non-local logic"
0	"non-local logic effects"	rdfs:subClassOf	"logic effects"
0	"due engineers"	rdfs:subClassOf	"engineers"
0	"ontology due engineers"	rdfs:subClassOf	"due engineers"
0	"due in part"	local:in_part	"due"
0	"due in part"	local:due_in	"part"
0	"due in part to possibility"	local:to_possibility	"due in part"
0	"due in part to possibility"	local:dueinpart_to	"possibility"
0	"possibility of complex"	local:of_complex	"possibility"
0	"possibility of complex"	local:possibility_of	"complex"
0	"ontology due engineers non-local logic effects"	local:_non-locallogiceffects	"ontology due engineers"
0	"ontology due engineers non-local logic effects"	local:ontologydueengineers_	"non-local logic effects"
0	"non-local logic effects of axiom changes"	local:of_axiomchanges	"non-local logic effects"
0	"non-local logic effects of axiom changes"	local:non-locallogiceffects_of	"axiom changes"
0	"challenging"	local:AM-PNC	"ontology due engineers non-local logic effects"
0	"ontology engineers"	rdfs:subClassOf	"engineers"
0	"ontology"	rdfs:member	"ontology engineers"
0	"due,"	vn.role:subject	"ontology engineers"
0	"due,"	local:AM-LOC	"part"
0	"non-local logic effects"	rdfs:subClassOf	"effects"
0	"logic effects"	rdfs:subClassOf	"effects"
0	"non-local logic"	rdfs:member	"non-local logic effects"
0	"logic"	rdfs:member	"logic effects"
0	"non-local logic"	rdfs:subClassOf	"logic"
0	"axiom"	rdfs:member	"axiom changes"
0	"axiom changes"	rdfs:subClassOf	"changes"
0	"non-local"	rdfs:member	"non-local logic"
0	"non-local logic effects"	rdfs:subClassOf	"logic effects"
0	"possibility of complex"	local:of_complex	"possibility"
0	"possibility of complex"	local:possibility_of	"complex"
0	"non-local logic effects of axiom changes"	local:of_axiomchanges	"non-local logic effects"
0	"non-local logic effects of axiom changes"	local:non-locallogiceffects_of	"axiom changes"
0	"due,"	vn.role:indirect_object	"possibility of complex"
1	"description"	rdfs:member	"description logic"
1	"description logic"	rdfs:subClassOf	"logic"
1	"two description logic"	rdfs:subClassOf	"description logic"
1	"based"	vn.role:Experiencer	"two description logic"
1	"based"	vn.role:indirect_object	"ontologies"
2	"description"	rdfs:member	"description logic"
2	"description logic"	rdfs:subClassOf	"logic"
2	"two description logic"	rdfs:subClassOf	"description logic"
2	"difference between two description logic"	local:between_twodescriptionlogic	"difference"
2	"difference between two description logic"	local:difference_between	"two description logic"
2	"challenging"	vn.role:Agent	"detecting"
2	"non-local logic effects"	rdfs:subClassOf	"effects"
2	"ontology engineers"	rdfs:subClassOf	"engineers"
2	"logic effects"	rdfs:subClassOf	"effects"
2	"non-local logic"	rdfs:member	"non-local logic effects"
2	"logic"	rdfs:member	"logic effects"
2	"non-local logic"	rdfs:subClassOf	"logic"
2	"axiom"	rdfs:member	"axiom changes"
2	"axiom changes"	rdfs:subClassOf	"changes"
2	"ontology"	rdfs:member	"ontology engineers"
2	"non-local"	rdfs:member	"non-local logic"
2	"non-local logic effects"	rdfs:subClassOf	"logic effects"
2	"due engineers"	rdfs:subClassOf	"engineers"
2	"ontology due engineers"	rdfs:subClassOf	"due engineers"
2	"due in part"	local:in_part	"due"
2	"due in part"	local:due_in	"part"
2	"due in part to possibility"	local:to_possibility	"due in part"
2	"due in part to possibility"	local:dueinpart_to	"possibility"
2	"possibility of complex"	local:of_complex	"possibility"
2	"possibility of complex"	local:possibility_of	"complex"
2	"ontology due engineers non-local logic effects"	local:_non-locallogiceffects	"ontology due engineers"
2	"ontology due engineers non-local logic effects"	local:ontologydueengineers_	"non-local logic effects"
2	"non-local logic effects of axiom changes"	local:of_axiomchanges	"non-local logic effects"
2	"non-local logic effects of axiom changes"	local:non-locallogiceffects_of	"axiom changes"
2	"challenging"	local:AM-PNC	"ontology due engineers non-local logic effects"
2	"ontology engineers"	rdfs:subClassOf	"engineers"
2	"ontology"	rdfs:member	"ontology engineers"
2	"due,"	vn.role:subject	"ontology engineers"
2	"due,"	local:AM-LOC	"part"
2	"non-local logic effects"	rdfs:subClassOf	"effects"
2	"logic effects"	rdfs:subClassOf	"effects"
2	"non-local logic"	rdfs:member	"non-local logic effects"
2	"logic"	rdfs:member	"logic effects"
2	"non-local logic"	rdfs:subClassOf	"logic"
2	"axiom"	rdfs:member	"axiom changes"
2	"axiom changes"	rdfs:subClassOf	"changes"
2	"non-local"	rdfs:member	"non-local logic"
2	"non-local logic effects"	rdfs:subClassOf	"logic effects"
2	"possibility of complex"	local:of_complex	"possibility"
2	"possibility of complex"	local:possibility_of	"complex"
2	"non-local logic effects of axiom changes"	local:of_axiomchanges	"non-local logic effects"
2	"non-local logic effects of axiom changes"	local:non-locallogiceffects_of	"axiom changes"
2	"due,"	vn.role:indirect_object	"possibility of complex"
3	"altered"	vn.role:Patient	"concepts"
3	"altered"	vn.role:Agent	"change"
4	"determine"	vn.role:Agent	"first"
4	"determine"	local:AM-ADV	"even"
4	"have had"	rdfs:subClassOf	"had"
4	"determine"	vn.role:Theme	"have had"
5	"distinguishing"	vn.role:Agent	"second"
5	"yet tackled"	rdfs:subClassOf	"tackled"
5	"has yet tackled"	rdfs:subClassOf	"yet tackled"
5	"directly affected"	rdfs:subClassOf	"affected"
5	"directly affected agent change"	local:agent_change	"directly affected"
