2	"theoretical works"	rdfs:subClassOf	"works"
2	"theoretical"	rdfs:member	"theoretical works"
2	"established"	vn.role:Recipient	"theoretical works"
2	"complexity"	rdfs:member	"complexity results"
2	"complexity results"	rdfs:subClassOf	"results"
2	"worst-case"	rdfs:member	"worst-case complexity"
2	"worst-case complexity results"	rdfs:subClassOf	"results"
2	"worst-case complexity"	rdfs:member	"worst-case complexity results"
2	"worst-case complexity"	rdfs:subClassOf	"complexity"
2	"reasoning tasks"	rdfs:subClassOf	"tasks"
2	"results for reasoning tasks"	local:for_reasoningtasks	"results"
2	"results for reasoning tasks"	local:results_for	"reasoning tasks"
2	"established"	vn.role:Cause	"results for reasoning tasks"
2	"ontology"	rdfs:member	"ontology languages"
2	"expressive ontology"	rdfs:member	"expressive ontology languages"
2	"expressive ontology languages"	rdfs:subClassOf	"languages"
2	"expressive ontology"	rdfs:subClassOf	"ontology"
2	"expressive"	rdfs:member	"expressive ontology"
2	"ontology languages"	rdfs:subClassOf	"languages"
2	"owl dl"	rdfs:subClassOf	"dl"
2	"owl"	rdfs:member	"owl dl"
2	"2 dl"	rdfs:subClassOf	"dl"
2	"owl 2 dl"	rdfs:subClassOf	"2 dl"
2	"expressive ontology languages"	rdfs:subClassOf	"ontology languages"
2	"expressive ontology languages such_as owl dl"	local:such_as_owldl	"expressive ontology languages"
2	"expressive ontology languages such_as owl dl"	local:expressiveontologylanguages_such_as	"owl dl"
2	"expressive ontology languages such_as owl dl such_as owl 2 dl"	local:such_as_owl2dl	"expressive ontology languages such_as owl dl"
2	"expressive ontology languages such_as owl dl such_as owl 2 dl"	local:expressiveontologylanguagessuch_asowldl_such_as	"owl 2 dl"
2	"established"	vn.role:other	"expressive ontology languages such_as owl dl such_as owl 2 dl"
4	"conduct"	local:AM-LOC	"paper"
4	"conduct"	vn.role:Agent	"we"
4	"systematic"	rdfs:member	"systematic study"
4	"systematic study"	rdfs:subClassOf	"study"
4	"conduct"	vn.role:Theme	"systematic study"
4	"widely-used owl"	rdfs:subClassOf	"owl"
4	"widely-used"	rdfs:member	"widely-used owl"
4	"2 reasoners"	rdfs:subClassOf	"reasoners"
4	"owl 2 reasoners"	rdfs:subClassOf	"2 reasoners"
4	"widely-used owl 2 reasoners"	rdfs:subClassOf	"owl 2 reasoners"
4	"state-of-the-art widely-used owl 2 reasoners"	rdfs:subClassOf	"widely-used owl 2 reasoners"
4	"four state-of-the-art widely-used owl 2 reasoners"	rdfs:subClassOf	"state-of-the-art widely-used owl 2 reasoners"
4	"learning techniques"	rdfs:subClassOf	"techniques"
4	"machine learning techniques"	rdfs:subClassOf	"learning techniques"
4	"covering over four state-of-the-art widely-used owl 2 reasoners"	local:over_fourstate-of-the-artwidely-usedowl2reasoners	"covering"
4	"covering over four state-of-the-art widely-used owl 2 reasoners"	local:covering_over	"four state-of-the-art widely-used owl 2 reasoners"
4	"conduct"	local:AM-PNC	"tackle"
4	"tackle"	vn.role:Agent	"we"
4	"systematic"	rdfs:member	"systematic study"
4	"systematic study"	rdfs:subClassOf	"study"
4	"tackle"	vn.role:Agent	"systematic study"
4	"widely-used owl"	rdfs:subClassOf	"owl"
4	"widely-used"	rdfs:member	"widely-used owl"
4	"2 reasoners"	rdfs:subClassOf	"reasoners"
4	"owl 2 reasoners"	rdfs:subClassOf	"2 reasoners"
4	"widely-used owl 2 reasoners"	rdfs:subClassOf	"owl 2 reasoners"
4	"state-of-the-art widely-used owl 2 reasoners"	rdfs:subClassOf	"widely-used owl 2 reasoners"
4	"four state-of-the-art widely-used owl 2 reasoners"	rdfs:subClassOf	"state-of-the-art widely-used owl 2 reasoners"
4	"learning techniques"	rdfs:subClassOf	"techniques"
4	"machine learning techniques"	rdfs:subClassOf	"learning techniques"
4	"problem using"	local:_using	"problem"
4	"problem using"	local:problem_	"using"
4	"covering over four state-of-the-art widely-used owl 2 reasoners"	local:over_fourstate-of-the-artwidely-usedowl2reasoners	"covering"
4	"covering over four state-of-the-art widely-used owl 2 reasoners"	local:covering_over	"four state-of-the-art widely-used owl 2 reasoners"
4	"tackle"	vn.role:Theme	"problem using"
4	"using"	vn.role:Theme	"machine"
4	"learning"	vn.role:Agent	"machine"
4	"widely-used owl"	rdfs:subClassOf	"owl"
4	"widely-used"	rdfs:member	"widely-used owl"
4	"2 reasoners"	rdfs:subClassOf	"reasoners"
4	"owl 2 reasoners"	rdfs:subClassOf	"2 reasoners"
4	"widely-used owl 2 reasoners"	rdfs:subClassOf	"owl 2 reasoners"
4	"state-of-the-art widely-used owl 2 reasoners"	rdfs:subClassOf	"widely-used owl 2 reasoners"
4	"four state-of-the-art widely-used owl 2 reasoners"	rdfs:subClassOf	"state-of-the-art widely-used owl 2 reasoners"
4	"covering over four state-of-the-art widely-used owl 2 reasoners"	local:over_fourstate-of-the-artwidely-usedowl2reasoners	"covering"
4	"covering over four state-of-the-art widely-used owl 2 reasoners"	local:covering_over	"four state-of-the-art widely-used owl 2 reasoners"
4	"learning"	vn.role:Theme	"techniques"
4	"covering"	vn.role:Theme1	"techniques"
4	"widely-used owl"	rdfs:subClassOf	"owl"
4	"widely-used"	rdfs:member	"widely-used owl"
4	"2 reasoners"	rdfs:subClassOf	"reasoners"
4	"owl 2 reasoners"	rdfs:subClassOf	"2 reasoners"
4	"widely-used owl 2 reasoners"	rdfs:subClassOf	"owl 2 reasoners"
4	"state-of-the-art widely-used owl 2 reasoners"	rdfs:subClassOf	"widely-used owl 2 reasoners"
4	"four state-of-the-art widely-used owl 2 reasoners"	rdfs:subClassOf	"state-of-the-art widely-used owl 2 reasoners"
4	"covering"	vn.role:Theme2	"four state-of-the-art widely-used owl 2 reasoners"
5	"conduct"	local:AM-LOC	"paper"
5	"conduct"	vn.role:Agent	"we"
5	"systematic"	rdfs:member	"systematic study"
5	"systematic study"	rdfs:subClassOf	"study"
5	"conduct"	vn.role:Theme	"systematic study"
5	"real-world"	rdfs:member	"real-world ontologies"
