2	"how difficult"	rdfs:subClassOf	"difficult"
2	"keenly aware"	rdfs:subClassOf	"aware"
2	"perceive"	local:AM-ADV	"group"
2	"perceive"	vn.role:Agent	"users"
2	"perceive"	vn.role:Theme	"task"
2	"perceive"	vn.role:Agent	"be"
2	"be."	vn.role:subject	"users"
3	"developed"	vn.role:Theme	"group"
3	"ontology editor"	rdfs:subClassOf	"editor"
3	"ontology"	rdfs:member	"ontology editor"
3	"used ontology editor"	rdfs:subClassOf	"ontology editor"
3	"widely used"	rdfs:subClassOf	"used"
3	"developed"	vn.role:Location	"used ontology editor"
3	"used"	local:AM-EXT	"widely"
3	"ontology editor"	rdfs:subClassOf	"editor"
3	"ontology"	rdfs:member	"ontology editor"
3	"used"	vn.role:Theme	"ontology editor"
4	"developed"	vn.role:Location	"group"
4	"developed"	vn.role:Location	"protégé"
5	"use"	vn.role:Theme	"tool"
5	"core tool"	rdfs:member	"core tool design"
5	"tool design"	rdfs:subClassOf	"design"
5	"core tool design"	rdfs:subClassOf	"design"
5	"support collaboration"	rdfs:subClassOf	"collaboration"
5	"owl constructs"	rdfs:subClassOf	"constructs"
5	"owl"	rdfs:member	"owl constructs"
5	"support"	rdfs:member	"support collaboration"
5	"distributed ontology"	rdfs:subClassOf	"ontology"
5	"core"	rdfs:member	"core tool"
5	"distributed"	rdfs:member	"distributed ontology"
5	"core tool"	rdfs:subClassOf	"tool"
5	"tool"	rdfs:member	"tool design"
5	"core tool design"	rdfs:subClassOf	"tool design"
5	"ontology editing"	rdfs:subClassOf	"editing"
5	"distributed ontology editing"	rdfs:subClassOf	"ontology editing"
5	"used owl constructs"	rdfs:subClassOf	"owl constructs"
5	"commonly used"	rdfs:subClassOf	"used"
5	"still accounting"	rdfs:subClassOf	"accounting"
5	"still accounting for used owl constructs"	local:for_usedowlconstructs	"still accounting"
5	"still accounting for used owl constructs"	local:stillaccounting_for	"used owl constructs"
5	"support collaboration around distributed ontology editing"	local:around_distributedontologyediting	"support collaboration"
5	"support collaboration around distributed ontology editing"	local:supportcollaboration_around	"distributed ontology editing"
5	"support collaboration around distributed ontology editing as part"	local:as_part	"support collaboration around distributed ontology editing"
5	"support collaboration around distributed ontology editing as part"	local:supportcollaborationarounddistributedontologyediting_as	"part"
5	"part of core tool design"	local:of_coretooldesign	"part"
5	"part of core tool design"	local:part_of	"core tool design"
5	"use"	local:AM-TMP	"still accounting for used owl constructs"
5	"accounting"	vn.role:Agent	"tool"
5	"accounting"	local:AM-TMP	"still"
5	"owl constructs"	rdfs:subClassOf	"constructs"
5	"support"	rdfs:member	"support collaboration"
5	"support collaboration"	rdfs:subClassOf	"collaboration"
5	"owl"	rdfs:member	"owl constructs"
5	"used owl constructs"	rdfs:subClassOf	"owl constructs"
5	"commonly used"	rdfs:subClassOf	"used"
5	"accounting"	vn.role:Theme	"used owl constructs"
5	"used"	local:AM-MNR	"commonly"
5	"support collaboration"	rdfs:subClassOf	"collaboration"
5	"support"	rdfs:member	"support collaboration"
5	"used"	vn.role:Theme	"constructs"
5	"ontology editing"	rdfs:subClassOf	"editing"
5	"distributed"	vn.role:Theme	"ontology editing"
5	"core tool"	rdfs:member	"core tool design"
5	"tool design"	rdfs:subClassOf	"design"
5	"core tool design"	rdfs:subClassOf	"design"
5	"core"	rdfs:member	"core tool"
5	"core tool"	rdfs:subClassOf	"tool"
5	"tool"	rdfs:member	"tool design"
5	"core tool design"	rdfs:subClassOf	"tool design"
5	"part of core tool design"	local:of_coretooldesign	"part"
5	"part of core tool design"	local:part_of	"core tool design"
5	"distributed"	local:AM-PNC	"part of core tool design"
6	"present"	local:AM-LOC	"paper"
6	"present"	vn.role:Agent	"we"
6	"main"	rdfs:member	"main goals"
6	"new version"	rdfs:subClassOf	"version"
6	"new"	rdfs:member	"new version"
