0	"life"	rdfs:member	"life sciences"
0	"life sciences"	rdfs:subClassOf	"sciences"
0	"sciences domain"	rdfs:subClassOf	"domain"
0	"life sciences domain"	rdfs:subClassOf	"sciences domain"
0	"bring"	vn.role:object	"life sciences domain"
0	"web realization"	rdfs:subClassOf	"realization"
0	"semantic web"	rdfs:member	"semantic web realization"
0	"semantic web"	rdfs:subClassOf	"web"
0	"semantic web realization"	rdfs:subClassOf	"realization"
0	"web"	rdfs:member	"web realization"
0	"semantic"	rdfs:member	"semantic web"
0	"semantic web realization"	rdfs:subClassOf	"web realization"
0	"closer to semantic web realization"	local:to_semanticwebrealization	"closer"
0	"closer to semantic web realization"	local:closer_to	"semantic web realization"
0	"bring"	local:AM-MNR	"closer to semantic web realization"
0	"bring"	vn.role:Destination	"it"
0	"establish"	vn.role:Recipient	"it"
0	"biomedical"	rdfs:member	"biomedical ontologies"
0	"meaningful"	rdfs:member	"meaningful relations"
0	"meaningful relations"	rdfs:subClassOf	"relations"
0	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
0	"meaningful relations between biomedical ontologies"	local:between_biomedicalontologies	"meaningful relations"
0	"meaningful relations between biomedical ontologies"	local:meaningfulrelations_between	"biomedical ontologies"
0	"establish"	vn.role:Cause	"meaningful relations between biomedical ontologies"
1	"diverse biomedical"	rdfs:member	"diverse biomedical terminology"
1	"diverse biomedical terminology"	rdfs:subClassOf	"terminology"
1	"diverse"	rdfs:member	"diverse biomedical"
1	"biomedical terminology"	rdfs:subClassOf	"terminology"
1	"biomedical"	rdfs:member	"biomedical terminology"
1	"diverse biomedical"	rdfs:subClassOf	"biomedical"
1	"diverse biomedical terminology"	rdfs:subClassOf	"biomedical terminology"
1	"contained"	vn.role:Theme1	"diverse biomedical terminology"
1	"biomedical"	rdfs:member	"biomedical ontologies"
1	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
1	"contained"	vn.role:Theme1	"biomedical ontologies"
2	"successful application"	rdfs:subClassOf	"application"
2	"successful"	rdfs:member	"successful application"
2	"matching techniques"	rdfs:subClassOf	"techniques"
2	"ontology matching techniques"	rdfs:subClassOf	"matching techniques"
2	"successful application of ontology matching techniques"	local:of_ontologymatchingtechniques	"successful application"
2	"successful application of ontology matching techniques"	local:successfulapplication_of	"ontology matching techniques"
2	"tied"	vn.role:Patient	"successful application of ontology matching techniques"
2	"tied"	local:AM-MNR	"strongly"
2	"effective"	rdfs:member	"effective exploration"
2	"effective exploration"	rdfs:subClassOf	"exploration"
2	"effective exploration of complex"	local:of_complex	"effective exploration"
2	"effective exploration of complex"	local:effectiveexploration_of	"complex"
2	"tied"	vn.role:Patient	"effective exploration of complex"
3	"investigate"	local:AM-LOC	"paper"
3	"investigate"	vn.role:Agent	"we"
3	"lexical components"	rdfs:subClassOf	"components"
3	"lexical"	rdfs:member	"lexical components"
3	"several biomedical"	rdfs:subClassOf	"biomedical"
3	"biomedical"	rdfs:member	"biomedical ontologies"
3	"several biomedical ontologies"	rdfs:subClassOf	"ontologies"
3	"several biomedical"	rdfs:member	"several biomedical ontologies"
3	"different approaches"	rdfs:subClassOf	"approaches"
3	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
3	"different"	rdfs:member	"different approaches"
3	"several"	rdfs:member	"several biomedical"
3	"matching techniques"	rdfs:subClassOf	"techniques"
3	"ontology matching techniques"	rdfs:subClassOf	"matching techniques"
3	"can impact"	rdfs:subClassOf	"impact"
3	"several biomedical ontologies"	rdfs:subClassOf	"biomedical ontologies"
3	"different approaches for lexical components"	local:for_lexicalcomponents	"different approaches"
3	"different approaches for lexical components"	local:differentapproaches_for	"lexical components"
3	"lexical components of several biomedical ontologies"	local:of_severalbiomedicalontologies	"lexical components"
3	"lexical components of several biomedical ontologies"	local:lexicalcomponents_of	"several biomedical ontologies"
3	"performance of ontology matching techniques"	local:of_ontologymatchingtechniques	"performance"
3	"performance of ontology matching techniques"	local:performance_of	"ontology matching techniques"
3	"investigate"	vn.role:Location	"use"
3	"lexical components"	rdfs:subClassOf	"components"
3	"lexical"	rdfs:member	"lexical components"
3	"several biomedical"	rdfs:subClassOf	"biomedical"
3	"biomedical"	rdfs:member	"biomedical ontologies"
3	"several biomedical ontologies"	rdfs:subClassOf	"ontologies"
3	"several biomedical"	rdfs:member	"several biomedical ontologies"
3	"different approaches"	rdfs:subClassOf	"approaches"
3	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
3	"different"	rdfs:member	"different approaches"
3	"several"	rdfs:member	"several biomedical"
3	"several biomedical ontologies"	rdfs:subClassOf	"biomedical ontologies"
3	"different approaches for lexical components"	local:for_lexicalcomponents	"different approaches"
3	"different approaches for lexical components"	local:differentapproaches_for	"lexical components"
3	"lexical components of several biomedical ontologies"	local:of_severalbiomedicalontologies	"lexical components"
3	"lexical components of several biomedical ontologies"	local:lexicalcomponents_of	"several biomedical ontologies"
3	"use"	vn.role:Agent	"different approaches for lexical components"
3	"matching techniques"	rdfs:subClassOf	"techniques"
3	"ontology matching techniques"	rdfs:subClassOf	"matching techniques"
3	"performance of ontology matching techniques"	local:of_ontologymatchingtechniques	"performance"
3	"performance of ontology matching techniques"	local:performance_of	"ontology matching techniques"
3	"use"	vn.role:Recipient	"impact"
3	"lexical components"	rdfs:subClassOf	"components"
3	"lexical"	rdfs:member	"lexical components"
3	"several biomedical"	rdfs:subClassOf	"biomedical"
3	"biomedical"	rdfs:member	"biomedical ontologies"
3	"several biomedical ontologies"	rdfs:subClassOf	"ontologies"
3	"several biomedical"	rdfs:member	"several biomedical ontologies"
3	"different approaches"	rdfs:subClassOf	"approaches"
3	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
3	"different"	rdfs:member	"different approaches"
3	"several"	rdfs:member	"several biomedical"
3	"several biomedical ontologies"	rdfs:subClassOf	"biomedical ontologies"
3	"different approaches for lexical components"	local:for_lexicalcomponents	"different approaches"
3	"different approaches for lexical components"	local:differentapproaches_for	"lexical components"
3	"lexical components of several biomedical ontologies"	local:of_severalbiomedicalontologies	"lexical components"
3	"lexical components of several biomedical ontologies"	local:lexicalcomponents_of	"several biomedical ontologies"
3	"impact"	vn.role:Experiencer	"use"
3	"impact"	local:AM-MOD	"can"
3	"matching techniques"	rdfs:subClassOf	"techniques"
3	"ontology matching techniques"	rdfs:subClassOf	"matching techniques"
3	"performance of ontology matching techniques"	local:of_ontologymatchingtechniques	"performance"
3	"performance of ontology matching techniques"	local:performance_of	"ontology matching techniques"
3	"impact"	vn.role:Cause	"performance of ontology matching techniques"
3	"different"	rdfs:member	"different approaches"
3	"lexical components"	rdfs:subClassOf	"components"
3	"lexical"	rdfs:member	"lexical components"
3	"different approaches"	rdfs:subClassOf	"approaches"
3	"different approaches for lexical components"	local:for_lexicalcomponents	"different approaches"
3	"different approaches for lexical components"	local:differentapproaches_for	"lexical components"
3	"matching"	vn.role:Patient2	"different approaches for lexical components"
3	"matching"	vn.role:Patient2	"ontology"
3	"matching"	vn.role:Patient2	"techniques"
4	"present"	local:AM-LOC	"paper"
4	"present"	vn.role:Agent	"we"
4	"lexical components"	rdfs:subClassOf	"components"
4	"lexical"	rdfs:member	"lexical components"
4	"several biomedical"	rdfs:subClassOf	"biomedical"
4	"biomedical"	rdfs:member	"biomedical ontologies"
4	"several biomedical ontologies"	rdfs:subClassOf	"ontologies"
4	"several biomedical"	rdfs:member	"several biomedical ontologies"
4	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
4	"several"	rdfs:member	"several biomedical"
4	"several biomedical ontologies"	rdfs:subClassOf	"biomedical ontologies"
4	"overview of lexical components"	local:of_lexicalcomponents	"overview"
4	"overview of lexical components"	local:overview_of	"lexical components"
4	"lexical components of several biomedical ontologies"	local:of_severalbiomedicalontologies	"lexical components"
4	"lexical components of several biomedical ontologies"	local:lexicalcomponents_of	"several biomedical ontologies"
4	"present"	vn.role:Theme	"overview of lexical components"
5	"propose"	vn.role:Agent	"we"
5	"lexical components"	rdfs:subClassOf	"components"
5	"lexical"	rdfs:member	"lexical components"
5	"several biomedical"	rdfs:subClassOf	"biomedical"
5	"novel approaches"	rdfs:subClassOf	"approaches"
5	"biomedical"	rdfs:member	"biomedical ontologies"
5	"several biomedical ontologies"	rdfs:subClassOf	"ontologies"
5	"several biomedical"	rdfs:member	"several biomedical ontologies"
5	"novel"	rdfs:member	"novel approaches"
5	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
5	"several"	rdfs:member	"several biomedical"
5	"several biomedical ontologies"	rdfs:subClassOf	"biomedical ontologies"
5	"lexical components of several biomedical ontologies"	local:of_severalbiomedicalontologies	"lexical components"
5	"lexical components of several biomedical ontologies"	local:lexicalcomponents_of	"several biomedical ontologies"
5	"propose"	vn.role:Topic	"novel approaches"
5	"lexical components"	rdfs:subClassOf	"components"
5	"lexical"	rdfs:member	"lexical components"
5	"several biomedical"	rdfs:subClassOf	"biomedical"
5	"biomedical"	rdfs:member	"biomedical ontologies"
5	"several biomedical ontologies"	rdfs:subClassOf	"ontologies"
5	"several biomedical"	rdfs:member	"several biomedical ontologies"
5	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
5	"several"	rdfs:member	"several biomedical"
5	"several biomedical ontologies"	rdfs:subClassOf	"biomedical ontologies"
5	"lexical components of several biomedical ontologies"	local:of_severalbiomedicalontologies	"lexical components"
5	"lexical components of several biomedical ontologies"	local:lexicalcomponents_of	"several biomedical ontologies"
5	"extending"	vn.role:Theme	"lexical components of several biomedical ontologies"
6	"several biomedical"	rdfs:subClassOf	"biomedical"
6	"biomedical"	rdfs:member	"biomedical ontologies"
6	"several biomedical ontologies"	rdfs:subClassOf	"ontologies"
6	"several biomedical"	rdfs:member	"several biomedical ontologies"
6	"biomedical ontologies"	rdfs:subClassOf	"ontologies"
6	"several"	rdfs:member	"several biomedical"
6	"several biomedical ontologies"	rdfs:subClassOf	"biomedical ontologies"
6	"based"	vn.role:Cause	"several biomedical ontologies"
6	"based"	local:AM-ADV	"both"
6	"internal"	rdfs:member	"internal synonym"
