0	"last years"	rdfs:subClassOf	"years"
0	"last"	rdfs:member	"last years"
0	"developed"	local:AM-TMP	"last years"
0	"web of data"	local:of_data	"web"
0	"web of data"	local:web_of	"data"
0	"developed"	vn.role:Location	"web of data"
0	"interlinked data"	rdfs:member	"interlinked data sets"
0	"large compendium"	rdfs:subClassOf	"compendium"
0	"multiple domains"	rdfs:subClassOf	"domains"
0	"interlinked data sets"	rdfs:subClassOf	"sets"
0	"data sets"	rdfs:subClassOf	"sets"
0	"interlinked"	rdfs:member	"interlinked data"
0	"data"	rdfs:member	"data sets"
0	"multiple"	rdfs:member	"multiple domains"
0	"interlinked data"	rdfs:subClassOf	"data"
0	"large"	rdfs:member	"large compendium"
0	"interlinked data sets"	rdfs:subClassOf	"data sets"
0	"large compendium of interlinked data sets"	local:of_interlinkeddatasets	"large compendium"
0	"large compendium of interlinked data sets"	local:largecompendium_of	"interlinked data sets"
0	"interlinked data sets from multiple domains"	local:from_multipledomains	"interlinked data sets"
0	"interlinked data sets from multiple domains"	local:interlinkeddatasets_from	"multiple domains"
0	"developed"	vn.role:indirect_object	"large compendium of interlinked data sets"
1	"duplicated"	vn.role:Patient	"data"
2	"little"	rdfs:member	"little attention"
2	"only little"	rdfs:member	"only little attention"
2	"only little attention"	rdfs:subClassOf	"attention"
2	"little attention"	rdfs:subClassOf	"attention"
2	"only"	rdfs:member	"only little"
2	"only little"	rdfs:subClassOf	"little"
2	"far little attention"	rdfs:subClassOf	"little attention"
2	"so far"	rdfs:subClassOf	"far"
2	"yet far little attention"	rdfs:subClassOf	"far little attention"
2	"paid"	vn.role:Asset	"yet far little attention"
2	"federated"	rdfs:member	"federated querying"
2	"federated querying"	rdfs:subClassOf	"querying"
2	"duplicated data"	rdfs:subClassOf	"data"
2	"effect of duplicated data"	local:of_duplicateddata	"effect"
2	"effect of duplicated data"	local:effect_of	"duplicated data"
2	"effect of duplicated data on federated querying"	local:on_federatedquerying	"effect of duplicated data"
2	"effect of duplicated data on federated querying"	local:effectofduplicateddata_on	"federated querying"
2	"paid"	vn.role:Theme	"effect of duplicated data on federated querying"
3	"presents"	vn.role:Agent	"work"
3	"presents"	vn.role:Theme	"daw"
4	"presents"	vn.role:Agent	"work"
4	"duplicate-aware"	rdfs:member	"duplicate-aware approach"
4	"novel"	rdfs:member	"novel duplicate-aware"
4	"novel duplicate-aware approach"	rdfs:subClassOf	"approach"
4	"novel duplicate-aware"	rdfs:subClassOf	"duplicate-aware"
4	"novel duplicate-aware"	rdfs:member	"novel duplicate-aware approach"
4	"duplicate-aware approach"	rdfs:subClassOf	"approach"
4	"novel duplicate-aware approach"	rdfs:subClassOf	"duplicate-aware approach"
4	"presents"	vn.role:Theme	"novel duplicate-aware approach"
4	"querying over web"	local:over_web	"querying"
4	"querying over web"	local:querying_over	"web"
4	"web of data"	local:of_data	"web"
4	"web of data"	local:web_of	"data"
4	"presents"	vn.role:Recipient	"federated"
4	"querying"	vn.role:Agent	"federated"
4	"web of data"	local:of_data	"web"
4	"web of data"	local:web_of	"data"
4	"querying"	local:AM-LOC	"web of data"
5	"based"	vn.role:Cause	"daw"
5	"compact data"	rdfs:member	"compact data summaries"
5	"compact"	rdfs:member	"compact data"
5	"data summaries"	rdfs:subClassOf	"summaries"
5	"compact data"	rdfs:subClassOf	"data"
5	"compact data summaries"	rdfs:subClassOf	"summaries"
5	"data"	rdfs:member	"data summaries"
5	"compact data summaries"	rdfs:subClassOf	"data summaries"
5	"combination of compact data summaries"	local:of_compactdatasummaries	"combination"
5	"combination of compact data summaries"	local:combination_of	"compact data summaries"
5	"based"	vn.role:indirect_object	"combination of compact data summaries"
6	"based"	vn.role:Cause	"daw"
6	"independent permutations"	rdfs:subClassOf	"permutations"
6	"min-wise independent"	rdfs:member	"min-wise independent permutations"
6	"min-wise independent"	rdfs:subClassOf	"independent"
6	"min-wise"	rdfs:member	"min-wise independent"
6	"independent"	rdfs:member	"independent permutations"
6	"min-wise independent permutations"	rdfs:subClassOf	"permutations"
6	"min-wise independent permutations"	rdfs:subClassOf	"independent permutations"
6	"combination of min-wise independent permutations"	local:of_min-wiseindependentpermutations	"combination"
6	"combination of min-wise independent permutations"	local:combination_of	"min-wise independent permutations"
6	"based"	vn.role:indirect_object	"combination of min-wise independent permutations"
7	"querying"	vn.role:Agent	"federated"
7	"web of data"	local:of_data	"web"
7	"web of data"	local:web_of	"data"
7	"querying"	vn.role:Theme	"web of data"
7	"duplicate-aware"	rdfs:member	"duplicate-aware approach"
