0	"browsing activity"	rdfs:subClassOf	"activity"
0	"much of browsing activity"	local:of_browsingactivity	"much"
0	"much of browsing activity"	local:much_of	"browsing activity"
0	"centered"	vn.role:Theme	"much of browsing activity"
0	"centered"	local:AM-TMP	"today"
0	"centered"	vn.role:indirect_object	"entities"
1	"web"	rdfs:member	"web search"
1	"web search"	rdfs:subClassOf	"search"
1	"much of web search"	local:of_websearch	"much"
1	"much of web search"	local:much_of	"web search"
1	"centered"	vn.role:Theme	"much of web search"
1	"centered"	local:AM-TMP	"today"
1	"centered"	vn.role:indirect_object	"entities"
2	"engine"	rdfs:member	"engine result"
2	"search engine"	rdfs:member	"search engine result"
2	"search engine result pages"	rdfs:subClassOf	"pages"
2	"engine result"	rdfs:member	"engine result pages"
2	"search engine"	rdfs:subClassOf	"engine"
2	"search engine result"	rdfs:subClassOf	"result"
2	"engine result"	rdfs:subClassOf	"result"
2	"search"	rdfs:member	"search engine"
2	"search engine result"	rdfs:member	"search engine result pages"
2	"result pages"	rdfs:subClassOf	"pages"
2	"engine result pages"	rdfs:subClassOf	"pages"
2	"result"	rdfs:member	"result pages"
2	"reason result"	rdfs:subClassOf	"result"
2	"contain"	local:AM-PNC	"reason result"
2	"contain"	local:AM-MNR	"increasingly"
2	"searched"	rdfs:member	"searched entities"
2	"short"	rdfs:member	"short summaries"
2	"searched entities"	rdfs:subClassOf	"entities"
2	"short summaries"	rdfs:subClassOf	"summaries"
2	"information about searched entities"	local:about_searchedentities	"information"
2	"information about searched entities"	local:information_about	"searched entities"
2	"searched entities such_as short summaries"	local:such_as_shortsummaries	"searched entities"
2	"searched entities such_as short summaries"	local:searchedentities_such_as	"short summaries"
2	"contain"	vn.role:Theme2	"information about searched entities"
2	"searched"	vn.role:Location	"entities"
3	"engine"	rdfs:member	"engine result"
3	"search engine"	rdfs:member	"search engine result"
3	"search engine result pages"	rdfs:subClassOf	"pages"
3	"engine result"	rdfs:member	"engine result pages"
3	"search engine"	rdfs:subClassOf	"engine"
3	"search engine result"	rdfs:subClassOf	"result"
3	"engine result"	rdfs:subClassOf	"result"
3	"search"	rdfs:member	"search engine"
3	"search engine result"	rdfs:member	"search engine result pages"
3	"result pages"	rdfs:subClassOf	"pages"
3	"engine result pages"	rdfs:subClassOf	"pages"
3	"result"	rdfs:member	"result pages"
3	"reason result"	rdfs:subClassOf	"result"
3	"contain"	local:AM-PNC	"reason result"
3	"contain"	local:AM-MNR	"increasingly"
3	"searched"	rdfs:member	"searched entities"
3	"related"	rdfs:member	"related entities"
3	"searched entities"	rdfs:subClassOf	"entities"
3	"related entities"	rdfs:subClassOf	"entities"
3	"searched related entities"	rdfs:subClassOf	"related entities"
3	"information about searched related entities"	local:about_searchedrelatedentities	"information"
3	"information about searched related entities"	local:information_about	"searched related entities"
3	"searched related entities such_as related entities"	local:such_as_relatedentities	"searched related entities"
3	"searched related entities such_as related entities"	local:searchedrelatedentities_such_as	"related entities"
3	"contain"	vn.role:Theme2	"information about searched related entities"
3	"searched"	vn.role:Location	"entities"
4	"engine"	rdfs:member	"engine result"
4	"search engine"	rdfs:member	"search engine result"
4	"search engine result pages"	rdfs:subClassOf	"pages"
4	"engine result"	rdfs:member	"engine result pages"
4	"search engine"	rdfs:subClassOf	"engine"
4	"search engine result"	rdfs:subClassOf	"result"
4	"engine result"	rdfs:subClassOf	"result"
4	"search"	rdfs:member	"search engine"
4	"search engine result"	rdfs:member	"search engine result pages"
4	"result pages"	rdfs:subClassOf	"pages"
4	"engine result pages"	rdfs:subClassOf	"pages"
4	"result"	rdfs:member	"result pages"
4	"reason result"	rdfs:subClassOf	"result"
4	"contain"	local:AM-PNC	"reason result"
4	"contain"	local:AM-MNR	"increasingly"
4	"searched"	rdfs:member	"searched entities"
4	"factual information"	rdfs:subClassOf	"information"
4	"searched entities"	rdfs:subClassOf	"entities"
4	"factual"	rdfs:member	"factual information"
4	"information about searched entities"	local:about_searchedentities	"information"
4	"information about searched entities"	local:information_about	"searched entities"
4	"searched entities such_as factual information"	local:such_as_factualinformation	"searched entities"
