1	"volunteers efforts"	rdfs:subClassOf	"efforts"
1	"thousands volunteers"	rdfs:subClassOf	"volunteers"
1	"produced"	vn.role:Agent	"project"
1	"knowledge"	rdfs:member	"knowledge base"
1	"many interesting"	rdfs:subClassOf	"interesting"
1	"interesting"	rdfs:member	"interesting applications"
1	"many"	rdfs:member	"many interesting"
1	"open"	rdfs:member	"open knowledge"
1	"many interesting applications"	rdfs:subClassOf	"applications"
1	"many interesting"	rdfs:member	"many interesting applications"
1	"open knowledge base"	rdfs:subClassOf	"base"
1	"knowledge base"	rdfs:subClassOf	"base"
1	"open knowledge"	rdfs:member	"open knowledge base"
1	"open knowledge"	rdfs:subClassOf	"knowledge"
1	"interesting applications"	rdfs:subClassOf	"applications"
1	"many interesting applications"	rdfs:subClassOf	"interesting applications"
1	"open knowledge base"	rdfs:subClassOf	"knowledge base"
1	"large open knowledge base"	rdfs:subClassOf	"open knowledge base"
1	"large open knowledge base with many interesting applications"	local:with_manyinterestingapplications	"large open knowledge base"
1	"large open knowledge base with many interesting applications"	local:largeopenknowledgebase_with	"many interesting applications"
1	"produced"	vn.role:Product	"large open knowledge base with many interesting applications"
4	"interlinked"	vn.role:Patient2	"data"
4	"interlinked"	local:AM-MNR	"highly"
4	"connected"	vn.role:Patient	"data"
4	"many other"	rdfs:subClassOf	"other"
4	"other datasets"	rdfs:subClassOf	"datasets"
4	"many"	rdfs:member	"many other"
4	"other"	rdfs:member	"other datasets"
4	"many other"	rdfs:member	"many other datasets"
4	"many other datasets"	rdfs:subClassOf	"datasets"
4	"many other datasets"	rdfs:subClassOf	"other datasets"
4	"connected"	vn.role:Patient	"many other datasets"
6	"address"	vn.role:Theme	"issue"
6	"address"	vn.role:Agent	"we"
6	"introduce"	local:AM-PNC	"address"
6	"introduce"	vn.role:Agent	"we"
6	"rdf exports"	rdfs:subClassOf	"exports"
6	"new rdf"	rdfs:member	"new rdf exports"
6	"new"	rdfs:member	"new rdf"
6	"new rdf exports"	rdfs:subClassOf	"exports"
6	"new rdf"	rdfs:subClassOf	"rdf"
6	"rdf"	rdfs:member	"rdf exports"
6	"new rdf exports"	rdfs:subClassOf	"rdf exports"
6	"introduce"	vn.role:Patient	"new rdf exports"
7	"rdf exports"	rdfs:subClassOf	"exports"
7	"new rdf"	rdfs:member	"new rdf exports"
7	"new"	rdfs:member	"new rdf"
7	"new rdf exports"	rdfs:subClassOf	"exports"
7	"new rdf"	rdfs:subClassOf	"rdf"
7	"rdf"	rdfs:member	"rdf exports"
7	"new rdf exports"	rdfs:subClassOf	"rdf exports"
7	"connect"	vn.role:Agent	"new rdf exports"
7	"connect"	vn.role:Patient	"wikidata"
7	"data web"	rdfs:subClassOf	"web"
7	"data"	rdfs:member	"data web"
7	"linked data web"	rdfs:subClassOf	"data web"
7	"connect"	vn.role:other	"linked data web"
9	"explain"	vn.role:Recipient	"we"
9	"data"	rdfs:member	"data model"
9	"data model"	rdfs:subClassOf	"model"
9	"data model of wikidata"	local:of_wikidata	"data model"
9	"data model of wikidata"	local:datamodel_of	"wikidata"
9	"explain"	vn.role:Cause	"data model of wikidata"
10	"discuss"	vn.role:Patient1	"we"
10	"discuss"	vn.role:Patient2	"wikidata"
11	"several"	rdfs:member	"several partial"
11	"several partial"	rdfs:subClassOf	"partial"
11	"partial"	rdfs:member	"partial exports"
11	"several partial"	rdfs:member	"several partial exports"
11	"several partial exports"	rdfs:subClassOf	"exports"
11	"partial exports"	rdfs:subClassOf	"exports"
11	"several partial exports"	rdfs:subClassOf	"partial exports"
11	"provide"	vn.role:Recipient	"several partial exports"
11	"provide"	vn.role:Agent	"selective"
12	"introduce"	vn.role:Patient1	"moreover"
12	"introduce"	vn.role:Agent	"we"
12	"several"	rdfs:member	"several partial"
12	"several partial"	rdfs:subClassOf	"partial"
12	"partial"	rdfs:member	"partial exports"
12	"several partial"	rdfs:member	"several partial exports"
12	"several partial exports"	rdfs:subClassOf	"exports"
12	"partial exports"	rdfs:subClassOf	"exports"
12	"several partial exports"	rdfs:subClassOf	"partial exports"
12	"introduce"	vn.role:Patient	"several partial exports"
13	"introduce"	vn.role:Patient1	"moreover"
13	"introduce"	vn.role:Agent	"we"
13	"simplified views"	rdfs:subClassOf	"views"
13	"simplified views on data"	local:on_data	"simplified views"
13	"simplified views on data"	local:simplifiedviews_on	"data"
13	"introduce"	vn.role:Patient	"simplified views on data"
14	"includes"	vn.role:Location	"this"
14	"class"	rdfs:member	"class hierarchy"
14	"class hierarchy"	rdfs:subClassOf	"hierarchy"
14	"extract from site"	local:from_site	"extract"
14	"extract from site"	local:extract_from	"site"
14	"includes"	vn.role:Theme	"class hierarchy"
14	"class"	rdfs:member	"class hierarchy"
14	"class hierarchy"	rdfs:subClassOf	"hierarchy"
14	"extract"	vn.role:Theme	"class hierarchy"
14	"extract"	vn.role:Agent	"we"
14	"extract"	vn.role:Source	"site"
15	"includes"	vn.role:Location	"this"
15	"other"	rdfs:member	"other types"
15	"ontological"	rdfs:member	"ontological axioms"
15	"several other"	rdfs:member	"several other types"
15	"several other types"	rdfs:subClassOf	"types"
15	"several"	rdfs:member	"several other"
15	"other types"	rdfs:subClassOf	"types"
