0	"small fraction"	rdfs:subClassOf	"fraction"
0	"small"	rdfs:member	"small fraction"
0	"small fraction of information"	local:of_information	"small fraction"
0	"small fraction of information"	local:smallfraction_of	"information"
0	"information on web"	local:on_web	"information"
0	"information on web"	local:information_on	"web"
0	"represented"	vn.role:Theme	"small fraction of information"
0	"linked data"	rdfs:subClassOf	"data"
0	"represented"	vn.role:Predicate	"linked data"
1	"followed"	vn.role:Theme	"paradigms"
1	"followed"	local:AM-TMP	"far"
1	"followed"	local:AM-PNC	"linked"
1	"linked data"	rdfs:subClassOf	"data"
1	"extract"	vn.role:Theme	"linked data"
1	"linked"	vn.role:Patient	"data"
2	"structured data"	rdfs:subClassOf	"data"
2	"converting"	vn.role:Patient	"structured data"
2	"converting"	vn.role:Source	"rdf"
2	"structured data"	rdfs:subClassOf	"data"
2	"converting to rdf"	local:to_rdf	"converting"
2	"converting to rdf"	local:converting_to	"rdf"
2	"supported"	vn.role:Experiencer	"converting to rdf"
2	"supported"	local:AM-MNR	"well"
2	"extraction methods"	rdfs:subClassOf	"methods"
2	"most approaches"	rdfs:subClassOf	"approaches"
2	"semi-structured data"	rdfs:subClassOf	"data"
2	"semi-structured"	rdfs:member	"semi-structured data"
2	"most"	rdfs:member	"most approaches"
2	"extraction"	rdfs:member	"extraction methods"
2	"extract from semi-structured data"	local:from_semi-structureddata	"extract"
2	"extract from semi-structured data"	local:extract_from	"semi-structured data"
2	"rely on extraction methods"	local:on_extractionmethods	"rely"
2	"rely on extraction methods"	local:rely_on	"extraction methods"
2	"supported"	vn.role:Theme	"rely on extraction methods"
2	"extract"	vn.role:Theme	"rdf"
2	"extraction methods"	rdfs:subClassOf	"methods"
2	"extraction"	rdfs:member	"extraction methods"
2	"semi-structured"	rdfs:member	"semi-structured data"
2	"semi-structured data"	rdfs:subClassOf	"data"
2	"rely on extraction methods"	local:on_extractionmethods	"rely"
2	"rely on extraction methods"	local:rely_on	"extraction methods"
2	"extract"	vn.role:Source	"rely on extraction methods"
2	"most"	rdfs:member	"most approaches"
2	"most approaches"	rdfs:subClassOf	"approaches"
2	"well supported"	rdfs:subClassOf	"supported"
2	"structured data"	rdfs:subClassOf	"data"
2	"converting to rdf"	local:to_rdf	"converting"
2	"converting to rdf"	local:converting_to	"rdf"
2	"well supported agent tools"	local:agent_tools	"well supported"
2	"well supported agent tools"	local:wellsupported_agent	"tools"
2	"tools most approaches"	local:_mostapproaches	"tools"
2	"tools most approaches"	local:tools_	"most approaches"
2	"rely"	local:AM-ADV	"well supported agent tools"
2	"semi-structured"	rdfs:member	"semi-structured data"
2	"semi-structured data"	rdfs:subClassOf	"data"
2	"rely"	vn.role:Agent	"semi-structured data"
2	"extraction methods"	rdfs:subClassOf	"methods"
2	"extraction"	rdfs:member	"extraction methods"
2	"rely"	vn.role:Theme	"extraction methods"
3	"extraction methods"	rdfs:subClassOf	"methods"
3	"extraction"	rdfs:member	"extraction methods"
3	"based"	vn.role:Cause	"extraction methods"
3	"ad-hoc solutions"	rdfs:subClassOf	"solutions"
3	"ad-hoc"	rdfs:member	"ad-hoc solutions"
3	"based"	vn.role:indirect_object	"ad-hoc solutions"
4	"present"	local:AM-LOC	"paper"
4	"present"	vn.role:Agent	"we"
4	"open-source framework"	rdfs:subClassOf	"framework"
4	"open-source"	rdfs:member	"open-source framework"
4	"open-source framework for extraction"	local:for_extraction	"open-source framework"
4	"open-source framework for extraction"	local:open-sourceframework_for	"extraction"
4	"extraction of rdf"	local:of_rdf	"extraction"
4	"extraction of rdf"	local:extraction_of	"rdf"
4	"present"	vn.role:Theme	"open-source framework for extraction"
4	"templated websites"	rdfs:subClassOf	"websites"
4	"present"	vn.role:other	"templated websites"
5	"present"	local:AM-LOC	"paper"
5	"present"	vn.role:Agent	"we"
5	"holistic"	rdfs:member	"holistic framework"
5	"holistic framework"	rdfs:subClassOf	"framework"
5	"holistic framework for extraction"	local:for_extraction	"holistic framework"
5	"holistic framework for extraction"	local:holisticframework_for	"extraction"
5	"extraction of rdf"	local:of_rdf	"extraction"
5	"extraction of rdf"	local:extraction_of	"rdf"
5	"present"	vn.role:Theme	"holistic framework for extraction"
5	"templated websites"	rdfs:subClassOf	"websites"
5	"present"	vn.role:other	"templated websites"
