s5.4	""
s5.4	""	rdf:predicate	"apply"
s5.3	"varying the notion of equivalence"
s5.3	"varying the notion of equivalence"	rdf:subject	"notion of equivalence"
s5.3	"notion of equivalence"	rdfs:member	"notion"
s5.3	"notion of equivalence"	rdfs:member	"equivalence"
s5.3	"notion of equivalence"	rdfs:member	"notion"
s5.3	"notion of equivalence"	rdfs:member	"equivalence"
s5.3	"varying the notion of equivalence"	rdf:predicate	"vary"
s5.2	"data approaches provide a single global view over existing linked data with no way of varying the notion of equivalence to be applied"
s5.2	"data approaches provide a single global view over existing linked data with no way of varying the notion of equivalence to be applied"	rdf:subject	"data approach"
s5.2	"data approach"	rdfs:subClassOf	"approach"
s5.2	"data approach"	rdfs:member	"data"
s5.2	"data approaches provide a single global view over existing linked data with no way of varying the notion of equivalence to be applied"	rdf:predicate	"provide"
s5.2	"data approaches provide a single global view over existing linked data with no way of varying the notion of equivalence to be applied"	rdf:object	"single global view over exist link data with no way of vary the notion of equivalence to be apply"
s5.2	"single global view over exist link data with no way of vary the notion of equivalence to be apply"	rdfs:member	"notion"
s5.2	"single global view over exist link data with no way of vary the notion of equivalence to be apply"	rdfs:member	"equivalence"
s5.2	"single global view over exist link data with no way of vary the notion of equivalence to be apply"	rdfs:member	"exist link data"
s5.2	"single global view over exist link data with no way of vary the notion of equivalence to be apply"	rdfs:member	"single global view"
s5.2	"single global view over exist link data with no way of vary the notion of equivalence to be apply"	rdfs:member	"way"
s5.2	"exist link data"	rdfs:member	"exist link"
s5.2	"single global"	rdfs:member	"single"
s5.2	"exist link"	rdfs:member	"exist"
s5.2	"link data"	rdfs:subClassOf	"data"
s5.2	"exist link"	rdfs:subClassOf	"link"
s5.2	"global view"	rdfs:member	"global"
s5.2	"single global view"	rdfs:subClassOf	"view"
s5.2	"single global view"	rdfs:member	"single global"
s5.2	"single global"	rdfs:subClassOf	"global"
s5.2	"exist link data"	rdfs:subClassOf	"data"
s5.2	"global view"	rdfs:subClassOf	"view"
s5.2	"link data"	rdfs:member	"link"
s5.2	"no way"	rdfs:subClassOf	"way"
s5.2	"single global view"	rdfs:subClassOf	"global view"
s5.2	"exist with no way"	rdfs:member	"exist"
s5.2	"exist with no way"	rdfs:member	"no way"
s5.2	"notion of equivalence"	rdfs:member	"notion"
s5.2	"notion of equivalence"	rdfs:member	"equivalence"
s5.1	"linked data"
s5.1	"linked data"	rdf:subject	"data approach provide a single global view over exist link data"
s5.1	"data approach provide a single global view over exist link data"	rdfs:member	"data approach"
s5.1	"data approach provide a single global view over exist link data"	rdfs:member	"single global view"
s5.1	"data approach provide a single global view over exist link data"	rdfs:member	"exist link data"
s5.1	"exist link data"	rdfs:member	"exist link"
s5.1	"exist link"	rdfs:member	"exist"
s5.1	"exist link"	rdfs:subClassOf	"link"
s5.1	"link data"	rdfs:subClassOf	"data"
s5.1	"data approach"	rdfs:member	"data"
s5.1	"data approach"	rdfs:subClassOf	"approach"
s5.1	"global view"	rdfs:member	"global"
s5.1	"single global view"	rdfs:subClassOf	"view"
s5.1	"single global view"	rdfs:member	"single global"
s5.1	"single global"	rdfs:subClassOf	"global"
s5.1	"link data"	rdfs:member	"link"
s5.1	"exist link data"	rdfs:subClassOf	"data"
s5.1	"global view"	rdfs:subClassOf	"view"
s5.1	"single global"	rdfs:member	"single"
s5.1	"single global view"	rdfs:subClassOf	"global view"
s5.1	"linked data"	rdf:predicate	"link"
