0	"last decades"	rdfs:subClassOf	"decades"
0	"last"	rdfs:member	"last decades"
0	"made"	local:AM-TMP	"last decades"
0	"web"	rdfs:member	"web pages"
0	"web pages"	rdfs:subClassOf	"pages"
0	"billion web pages"	rdfs:subClassOf	"web pages"
0	"several billion"	rdfs:subClassOf	"billion"
0	"made"	vn.role:Material	"billion web pages"
0	"available on web"	local:on_web	"available"
0	"available on web"	local:available_on	"web"
0	"web of data"	local:of_data	"web"
0	"web of data"	local:web_of	"data"
0	"made"	vn.role:Product	"available on web"
1	"unstructured data"	rdfs:subClassOf	"data"
1	"current"	rdfs:member	"current web"
1	"unstructured"	rdfs:member	"unstructured data"
1	"current web"	rdfs:subClassOf	"web"
1	"ongoing transition"	rdfs:subClassOf	"transition"
1	"ongoing transition from current web"	local:from_currentweb	"ongoing transition"
1	"ongoing transition from current web"	local:ongoingtransition_from	"current web"
1	"current web of unstructured data"	local:of_unstructureddata	"current web"
1	"current web of unstructured data"	local:currentweb_of	"unstructured data"
1	"ongoing transition from current web to web"	local:to_web	"ongoing transition from current web"
1	"ongoing transition from current web to web"	local:ongoingtransitionfromcurrentweb_to	"web"
1	"web of data"	local:of_data	"web"
1	"web of data"	local:web_of	"data"
1	"requires"	vn.role:Agent	"ongoing transition from current web to web"
1	"requires"	local:AM-DIS	"yet"
1	"scalable"	rdfs:member	"scalable approaches"
1	"scalable approaches"	rdfs:subClassOf	"approaches"
1	"structured data"	rdfs:subClassOf	"data"
1	"scalable approaches for extraction"	local:for_extraction	"scalable approaches"
1	"scalable approaches for extraction"	local:scalableapproaches_for	"extraction"
1	"extraction of structured data"	local:of_structureddata	"extraction"
1	"extraction of structured data"	local:extraction_of	"structured data"
1	"structured data in rdf"	local:in_rdf	"structured data"
1	"structured data in rdf"	local:structureddata_in	"rdf"
1	"requires"	vn.role:Patient	"scalable approaches for extraction"
1	"requires"	vn.role:Proposition	"websites"
2	"unstructured data"	rdfs:subClassOf	"data"
2	"current"	rdfs:member	"current web"
2	"unstructured"	rdfs:member	"unstructured data"
2	"current web"	rdfs:subClassOf	"web"
2	"ongoing transition"	rdfs:subClassOf	"transition"
2	"ongoing transition from current web"	local:from_currentweb	"ongoing transition"
2	"ongoing transition from current web"	local:ongoingtransition_from	"current web"
2	"current web of unstructured data"	local:of_unstructureddata	"current web"
2	"current web of unstructured data"	local:currentweb_of	"unstructured data"
2	"ongoing transition from current web to web"	local:to_web	"ongoing transition from current web"
2	"ongoing transition from current web to web"	local:ongoingtransitionfromcurrentweb_to	"web"
2	"web of data"	local:of_data	"web"
2	"web of data"	local:web_of	"data"
2	"requires"	vn.role:Agent	"ongoing transition from current web to web"
2	"requires"	local:AM-DIS	"yet"
2	"accurate approaches"	rdfs:subClassOf	"approaches"
2	"accurate"	rdfs:member	"accurate approaches"
2	"structured data"	rdfs:subClassOf	"data"
