0	"linked"	vn.role:Patient	"data"
0	"linked data"	rdfs:subClassOf	"data"
0	"web of linked data"	local:of_linkeddata	"web"
0	"web of linked data"	local:web_of	"linked data"
0	"composed"	vn.role:Product	"web of linked data"
0	"rdf documents"	rdfs:subClassOf	"documents"
0	"rdf"	rdfs:member	"rdf documents"
0	"tons rdf documents"	rdfs:subClassOf	"rdf documents"
0	"composed"	vn.role:Material	"tons rdf documents"
1	"rdf documents"	rdfs:subClassOf	"documents"
1	"rdf"	rdfs:member	"rdf documents"
1	"interlinked"	vn.role:Patient2	"rdf documents"
1	"huge"	rdfs:member	"huge repository"
1	"semantic"	rdfs:member	"semantic data"
1	"semantic data"	rdfs:subClassOf	"data"
1	"huge repository"	rdfs:subClassOf	"repository"
1	"distributed semantic data"	rdfs:subClassOf	"semantic data"
1	"huge repository of distributed semantic data"	local:of_distributedsemanticdata	"huge repository"
1	"huge repository of distributed semantic data"	local:hugerepository_of	"distributed semantic data"
1	"interlinked"	vn.role:Agent	"forming"
1	"rdf documents"	rdfs:subClassOf	"documents"
1	"rdf"	rdfs:member	"rdf documents"
1	"rdf documents interlinked"	local:_interlinked	"rdf documents"
1	"rdf documents interlinked"	local:rdfdocuments_	"interlinked"
1	"interlinked to other"	local:to_other	"interlinked"
1	"interlinked to other"	local:interlinked_to	"other"
1	"forming"	vn.role:Theme	"rdf documents interlinked"
1	"huge"	rdfs:member	"huge repository"
1	"semantic"	rdfs:member	"semantic data"
1	"semantic data"	rdfs:subClassOf	"data"
1	"huge repository"	rdfs:subClassOf	"repository"
1	"distributed semantic data"	rdfs:subClassOf	"semantic data"
1	"huge repository of distributed semantic data"	local:of_distributedsemanticdata	"huge repository"
1	"huge repository of distributed semantic data"	local:hugerepository_of	"distributed semantic data"
1	"forming"	vn.role:Location	"huge repository of distributed semantic data"
1	"huge"	rdfs:member	"huge repository"
1	"rdf documents"	rdfs:subClassOf	"documents"
1	"rdf"	rdfs:member	"rdf documents"
1	"huge repository"	rdfs:subClassOf	"repository"
1	"rdf documents interlinked"	local:_interlinked	"rdf documents"
1	"rdf documents interlinked"	local:rdfdocuments_	"interlinked"
1	"interlinked to other"	local:to_other	"interlinked"
1	"interlinked to other"	local:interlinked_to	"other"
1	"rdf documents interlinked forming"	local:_forming	"rdf documents interlinked"
1	"rdf documents interlinked forming"	local:rdfdocumentsinterlinked_	"forming"
1	"huge repository of"	local:_of	"huge repository"
1	"huge repository of"	local:hugerepository_	"of"
1	"distributed"	vn.role:Recipient	"rdf documents interlinked forming"
1	"semantic data"	rdfs:subClassOf	"data"
1	"semantic"	rdfs:member	"semantic data"
1	"distributed"	vn.role:Theme	"semantic data"
2	"querying"	local:AM-MNR	"effectively"
2	"data source"	rdfs:subClassOf	"source"
2	"data"	rdfs:member	"data source"
2	"distributed data source"	rdfs:subClassOf	"data source"
2	"querying"	vn.role:Theme	"distributed data source"
2	"important open"	rdfs:member	"important open problem"
2	"open"	rdfs:member	"open problem"
2	"semantic"	rdfs:member	"semantic web"
2	"semantic web area"	rdfs:subClassOf	"area"
2	"semantic web"	rdfs:subClassOf	"web"
2	"important"	rdfs:member	"important open"
2	"open problem"	rdfs:subClassOf	"problem"
2	"web"	rdfs:member	"web area"
2	"semantic web"	rdfs:member	"semantic web area"
2	"important open"	rdfs:subClassOf	"open"
2	"important open problem"	rdfs:subClassOf	"problem"
2	"web area"	rdfs:subClassOf	"area"
2	"semantic web area"	rdfs:subClassOf	"web area"
2	"important open problem"	rdfs:subClassOf	"open problem"
2	"important open problem in semantic web area"	local:in_semanticwebarea	"important open problem"
2	"important open problem in semantic web area"	local:importantopenproblem_in	"semantic web area"
2	"querying"	vn.role:Theme	"important open problem in semantic web area"
2	"data source"	rdfs:subClassOf	"source"
2	"data"	rdfs:member	"data source"
2	"distributed"	vn.role:Theme	"data source"
3	"propose"	local:AM-LOC	"paper"
3	"propose"	vn.role:Agent	"we"
3	"propose"	vn.role:Topic	"ldql"
4	"propose"	local:AM-LOC	"paper"
4	"propose"	vn.role:Agent	"we"
4	"declarative"	rdfs:member	"declarative language"
4	"declarative language"	rdfs:subClassOf	"language"
4	"linked data"	rdfs:subClassOf	"data"
4	"linked data on web"	local:on_web	"linked data"
4	"linked data on web"	local:linkeddata_on	"web"
4	"propose"	vn.role:Topic	"declarative language"
4	"declarative"	rdfs:member	"declarative language"
4	"declarative language"	rdfs:subClassOf	"language"
4	"query"	vn.role:Agent	"declarative language"
4	"linked data"	rdfs:subClassOf	"data"
4	"query"	vn.role:Theme	"linked data"
4	"query"	vn.role:Predicate	"web"
5	"separately"	rdfs:member	"separately patterns"
5	"separately patterns"	rdfs:subClassOf	"patterns"
5	"describe"	local:AM-MNR	"separately patterns"
5	"query result"	rdfs:subClassOf	"result"
5	"query"	rdfs:member	"query result"
5	"expected query result"	rdfs:subClassOf	"query result"
5	"describe"	vn.role:Theme	"expected query result"
5	"query result"	rdfs:subClassOf	"result"
5	"query"	rdfs:member	"query result"
5	"expected"	vn.role:Theme	"query result"
6	"web navigation"	rdfs:member	"web navigation paths"
6	"web"	rdfs:member	"web navigation"
6	"navigation paths"	rdfs:subClassOf	"paths"
6	"web navigation"	rdfs:subClassOf	"navigation"
6	"navigation"	rdfs:member	"navigation paths"
6	"web navigation paths"	rdfs:subClassOf	"paths"
6	"web navigation paths"	rdfs:subClassOf	"navigation paths"
6	"select"	vn.role:Agent	"web navigation paths"
6	"data sources"	rdfs:subClassOf	"sources"
6	"data"	rdfs:member	"data sources"
6	"select"	vn.role:Theme	"data sources"
6	"web navigation"	rdfs:member	"web navigation paths"
6	"web"	rdfs:member	"web navigation"
6	"navigation paths"	rdfs:subClassOf	"paths"
6	"data"	rdfs:member	"data sources"
6	"web navigation"	rdfs:subClassOf	"navigation"
6	"data sources"	rdfs:subClassOf	"sources"
6	"navigation"	rdfs:member	"navigation paths"
6	"web navigation paths"	rdfs:subClassOf	"paths"
6	"web navigation paths"	rdfs:subClassOf	"navigation paths"
6	"used"	vn.role:Theme	"web navigation paths"
6	"used"	vn.role:Recipient	"computing"
7	"one novelties"	rdfs:subClassOf	"novelties"
7	"one novelties of ldql"	local:of_ldql	"one novelties"
7	"one novelties of ldql"	local:onenovelties_of	"ldql"
7	"expresses"	vn.role:Theme	"one novelties of ldql"
7	"separately"	rdfs:member	"separately patterns"
7	"separately patterns"	rdfs:subClassOf	"patterns"
7	"expresses"	local:AM-MNR	"separately patterns"
8	"separately"	rdfs:member	"separately patterns"
8	"separately patterns"	rdfs:subClassOf	"patterns"
8	"describe"	local:AM-MNR	"separately patterns"
8	"web navigation"	rdfs:member	"web navigation paths"
