0	"scholarly"	rdfs:member	"scholarly data"
0	"scholarly data"	rdfs:subClassOf	"data"
0	"available data"	rdfs:subClassOf	"data"
0	"scholarly available data"	rdfs:subClassOf	"available data"
0	"amount of scholarly available data"	local:of_scholarlyavailabledata	"amount"
0	"amount of scholarly available data"	local:amount_of	"scholarly available data"
0	"available on web"	local:on_web	"available"
0	"available on web"	local:available_on	"web"
0	"enabling"	vn.role:Agent	"amount of scholarly available data"
0	"different"	rdfs:member	"different types"
0	"different types"	rdfs:subClassOf	"types"
0	"different types of analytics"	local:of_analytics	"different types"
0	"different types of analytics"	local:differenttypes_of	"analytics"
0	"enabling"	vn.role:Patient	"different types of analytics"
1	"provide"	vn.role:Recipient	"analytics"
1	"provide"	local:AM-MOD	"can"
1	"important"	rdfs:member	"important insights"
1	"important insights"	rdfs:subClassOf	"insights"
1	"provide"	vn.role:Agent	"important insights"
1	"research"	rdfs:member	"research activity"
1	"research activity"	rdfs:subClassOf	"activity"
1	"provide"	vn.role:indirect_object	"research activity"
2	"large-scale body"	rdfs:subClassOf	"body"
2	"large-scale"	rdfs:member	"large-scale body"
2	"large-scale body of knowledge"	local:of_knowledge	"large-scale body"
2	"large-scale body of knowledge"	local:large-scalebody_of	"knowledge"
2	"explore"	vn.role:Location	"large-scale body of knowledge"
2	"explore"	vn.role:Agent	"we"
2	"large-scale body"	rdfs:subClassOf	"body"
2	"large-scale"	rdfs:member	"large-scale body"
2	"large-scale body of knowledge"	local:of_knowledge	"large-scale body"
2	"large-scale body of knowledge"	local:large-scalebody_of	"knowledge"
2	"need"	local:AM-PNC	"order"
2	"need"	vn.role:Agent	"we"
2	"comprehensive ontology"	rdfs:subClassOf	"ontology"
2	"comprehensive"	rdfs:member	"comprehensive ontology"
2	"research"	rdfs:member	"research topics"
2	"research topics"	rdfs:subClassOf	"topics"
2	"comprehensive ontology of research topics"	local:of_researchtopics	"comprehensive ontology"
2	"comprehensive ontology of research topics"	local:comprehensiveontology_of	"research topics"
2	"need"	vn.role:Patient	"comprehensive ontology of research topics"
3	"large-scale body"	rdfs:subClassOf	"body"
3	"large-scale"	rdfs:member	"large-scale body"
3	"large-scale body of knowledge"	local:of_knowledge	"large-scale body"
3	"large-scale body of knowledge"	local:large-scalebody_of	"knowledge"
3	"explore"	vn.role:Location	"large-scale body of knowledge"
3	"explore"	vn.role:Agent	"we"
3	"large-scale body"	rdfs:subClassOf	"body"
3	"large-scale"	rdfs:member	"large-scale body"
3	"large-scale body of knowledge"	local:of_knowledge	"large-scale body"
3	"large-scale body of knowledge"	local:large-scalebody_of	"knowledge"
3	"need"	local:AM-PNC	"order"
3	"need"	vn.role:Agent	"we"
3	"up-to-date ontology"	rdfs:subClassOf	"ontology"
3	"research topics"	rdfs:subClassOf	"topics"
3	"up-to-date"	rdfs:member	"up-to-date ontology"
3	"research"	rdfs:member	"research topics"
3	"up-to-date ontology of research topics"	local:of_researchtopics	"up-to-date ontology"
