0	"making"	vn.role:Material	"available"
0	"classical"	rdfs:member	"classical publishing"
0	"classical publishing"	rdfs:subClassOf	"publishing"
0	"publishing companies"	rdfs:subClassOf	"companies"
0	"classical publishing companies"	rdfs:subClassOf	"companies"
0	"publishing"	rdfs:member	"publishing companies"
0	"classical publishing"	rdfs:member	"classical publishing companies"
0	"classical publishing companies"	rdfs:subClassOf	"publishing companies"
0	"task of classical publishing companies"	local:of_classicalpublishingcompanies	"task"
0	"task of classical publishing companies"	local:task_of	"classical publishing companies"
0	"making"	vn.role:Agent	"task of classical publishing companies"
0	"digital"	rdfs:member	"digital age"
0	"classical forms"	rdfs:subClassOf	"forms"
0	"digital age"	rdfs:subClassOf	"age"
0	"classical"	rdfs:member	"classical forms"
0	"longer seem"	rdfs:subClassOf	"seem"
0	"no longer"	rdfs:subClassOf	"longer"
0	"narrative articles"	rdfs:subClassOf	"articles"
0	"printed narrative articles"	rdfs:subClassOf	"narrative articles"
0	"classical forms of publishing"	local:of_publishing	"classical forms"
0	"classical forms of publishing"	local:classicalforms_of	"publishing"
0	"classical forms of publishing centered"	local:_centered	"classical forms of publishing"
0	"classical forms of publishing centered"	local:classicalformsofpublishing_	"centered"
0	"centered around printed narrative articles"	local:around_printednarrativearticles	"centered"
0	"centered around printed narrative articles"	local:centered_around	"printed narrative articles"
0	"printed narrative articles longer seem"	local:_longerseem	"printed narrative articles"
0	"printed narrative articles longer seem"	local:printednarrativearticles_	"longer seem"
0	"well-suited in digital age"	local:in_digitalage	"well-suited"
0	"well-suited in digital age"	local:well-suited_in	"digital age"
0	"making"	vn.role:Agent	"classical forms of publishing centered"
0	"most"	rdfs:member	"most part"
0	"most part"	rdfs:subClassOf	"part"
0	"considered"	local:AM-ADV	"most part"
0	"considered"	local:AM-TMP	"still"
0	"classical"	rdfs:member	"classical publishing"
0	"classical publishing"	rdfs:subClassOf	"publishing"
0	"publishing companies"	rdfs:subClassOf	"companies"
0	"classical publishing companies"	rdfs:subClassOf	"companies"
0	"publishing"	rdfs:member	"publishing companies"
0	"classical publishing"	rdfs:member	"classical publishing companies"
0	"classical publishing companies"	rdfs:subClassOf	"publishing companies"
0	"task of classical publishing companies"	local:of_classicalpublishingcompanies	"task"
0	"task of classical publishing companies"	local:task_of	"classical publishing companies"
0	"considered"	vn.role:Predicate	"task of classical publishing companies"
0	"digital"	rdfs:member	"digital age"
0	"classical forms"	rdfs:subClassOf	"forms"
0	"digital age"	rdfs:subClassOf	"age"
0	"classical"	rdfs:member	"classical forms"
0	"longer seem"	rdfs:subClassOf	"seem"
0	"no longer"	rdfs:subClassOf	"longer"
0	"narrative articles"	rdfs:subClassOf	"articles"
0	"printed narrative articles"	rdfs:subClassOf	"narrative articles"
0	"classical forms of publishing"	local:of_publishing	"classical forms"
0	"classical forms of publishing"	local:classicalforms_of	"publishing"
0	"classical forms of publishing centered"	local:_centered	"classical forms of publishing"
0	"classical forms of publishing centered"	local:classicalformsofpublishing_	"centered"
0	"centered around printed narrative articles"	local:around_printednarrativearticles	"centered"
0	"centered around printed narrative articles"	local:centered_around	"printed narrative articles"
0	"printed narrative articles longer seem"	local:_longerseem	"printed narrative articles"
0	"printed narrative articles longer seem"	local:printednarrativearticles_	"longer seem"
0	"well-suited in digital age"	local:in_digitalage	"well-suited"
0	"well-suited in digital age"	local:well-suited_in	"digital age"
0	"considered"	local:AM-ADV	"fact"
0	"classical forms"	rdfs:subClassOf	"forms"
0	"classical"	rdfs:member	"classical forms"
0	"classical forms of publishing"	local:of_publishing	"classical forms"
0	"classical forms of publishing"	local:classicalforms_of	"publishing"
0	"centered"	vn.role:Theme	"classical forms of publishing"
0	"digital"	rdfs:member	"digital age"
0	"narrative articles"	rdfs:subClassOf	"articles"
0	"digital age"	rdfs:subClassOf	"age"
0	"narrative"	rdfs:member	"narrative articles"
0	"longer seem"	rdfs:subClassOf	"seem"
0	"no longer"	rdfs:subClassOf	"longer"
0	"printed narrative articles"	rdfs:subClassOf	"narrative articles"
0	"longer seem around printed narrative articles"	local:around_printednarrativearticles	"longer seem"
0	"longer seem around printed narrative articles"	local:longerseem_around	"printed narrative articles"
0	"longer seem around printed narrative articles in digital age"	local:in_digitalage	"longer seem around printed narrative articles"
0	"longer seem around printed narrative articles in digital age"	local:longerseemaroundprintednarrativearticles_in	"digital age"
0	"centered"	vn.role:indirect_object	"longer seem around printed narrative articles in digital age"
0	"narrative articles"	rdfs:subClassOf	"articles"
0	"narrative"	rdfs:member	"narrative articles"
0	"printed"	vn.role:Theme	"narrative articles"
0	"classical"	rdfs:member	"classical forms"
0	"narrative"	rdfs:member	"narrative articles"
0	"narrative articles"	rdfs:subClassOf	"articles"
0	"printed narrative articles"	rdfs:subClassOf	"articles"
0	"printed narrative"	rdfs:member	"printed narrative articles"
0	"printed narrative"	rdfs:subClassOf	"narrative"
0	"classical forms"	rdfs:subClassOf	"forms"
0	"printed"	rdfs:member	"printed narrative"
0	"printed narrative articles"	rdfs:subClassOf	"narrative articles"
0	"classical forms of publishing"	local:of_publishing	"classical forms"
0	"classical forms of publishing"	local:classicalforms_of	"publishing"
0	"classical forms of publishing centered"	local:_centered	"classical forms of publishing"
0	"classical forms of publishing centered"	local:classicalformsofpublishing_	"centered"
0	"centered around printed narrative articles"	local:around_printednarrativearticles	"centered"
0	"centered around printed narrative articles"	local:centered_around	"printed narrative articles"
0	"seem"	vn.role:Stimulus	"classical forms of publishing centered"
0	"seem"	local:AM-TMP	"longer"
0	"digital"	rdfs:member	"digital age"
0	"digital age"	rdfs:subClassOf	"age"
0	"seem"	local:AM-LOC	"digital age"
1	"scientific results"	rdfs:subClassOf	"results"
1	"scientific"	rdfs:member	"scientific results"
1	"archiving"	vn.role:Theme	"scientific results"
1	"classical"	rdfs:member	"classical publishing"
1	"classical publishing"	rdfs:subClassOf	"publishing"
1	"publishing companies"	rdfs:subClassOf	"companies"
1	"classical publishing companies"	rdfs:subClassOf	"companies"
1	"publishing"	rdfs:member	"publishing companies"
1	"classical publishing"	rdfs:member	"classical publishing companies"
