0	"recently rdf"	rdfs:subClassOf	"rdf"
0	"become"	vn.role:Patient	"recently rdf"
0	"representation languages"	rdfs:subClassOf	"languages"
0	"common"	rdfs:member	"common knowledge"
0	"common knowledge representation"	rdfs:member	"common knowledge representation languages"
0	"knowledge representation"	rdfs:subClassOf	"representation"
0	"knowledge representation languages"	rdfs:subClassOf	"languages"
0	"common knowledge"	rdfs:subClassOf	"knowledge"
0	"common knowledge"	rdfs:member	"common knowledge representation"
0	"common knowledge representation languages"	rdfs:subClassOf	"languages"
0	"knowledge representation"	rdfs:member	"knowledge representation languages"
0	"common knowledge representation"	rdfs:subClassOf	"representation"
0	"representation"	rdfs:member	"representation languages"
0	"knowledge"	rdfs:member	"knowledge representation"
0	"knowledge representation languages"	rdfs:subClassOf	"representation languages"
0	"common knowledge representation languages"	rdfs:subClassOf	"knowledge representation languages"
0	"common knowledge representation languages in use"	local:in_use	"common knowledge representation languages"
0	"common knowledge representation languages in use"	local:commonknowledgerepresentationlanguages_in	"use"
0	"use on web"	local:on_web	"use"
0	"use on web"	local:use_on	"web"
0	"become"	vn.role:indirect_object	"common knowledge representation languages in use"
1	"recently owl"	rdfs:subClassOf	"owl"
1	"become"	vn.role:Patient	"recently owl"
1	"representation languages"	rdfs:subClassOf	"languages"
1	"common"	rdfs:member	"common knowledge"
1	"common knowledge representation"	rdfs:member	"common knowledge representation languages"
1	"knowledge representation"	rdfs:subClassOf	"representation"
1	"knowledge representation languages"	rdfs:subClassOf	"languages"
1	"common knowledge"	rdfs:subClassOf	"knowledge"
1	"common knowledge"	rdfs:member	"common knowledge representation"
1	"common knowledge representation languages"	rdfs:subClassOf	"languages"
1	"knowledge representation"	rdfs:member	"knowledge representation languages"
1	"common knowledge representation"	rdfs:subClassOf	"representation"
1	"representation"	rdfs:member	"representation languages"
1	"knowledge"	rdfs:member	"knowledge representation"
1	"knowledge representation languages"	rdfs:subClassOf	"representation languages"
1	"common knowledge representation languages"	rdfs:subClassOf	"knowledge representation languages"
1	"common knowledge representation languages in use"	local:in_use	"common knowledge representation languages"
1	"common knowledge representation languages in use"	local:commonknowledgerepresentationlanguages_in	"use"
1	"use on web"	local:on_web	"use"
1	"use on web"	local:use_on	"web"
1	"become"	vn.role:indirect_object	"common knowledge representation languages in use"
2	"propelled"	vn.role:Patient	"web"
2	"recommendation of w3c"	local:of_w3c	"recommendation"
2	"recommendation of w3c"	local:recommendation_of	"w3c"
2	"propelled"	vn.role:Agent	"recommendation of w3c"
3	"examine"	local:AM-LOC	"paper"
3	"examine"	vn.role:Agent	"we"
3	"alternative way"	rdfs:subClassOf	"way"
3	"alternative"	rdfs:member	"alternative way"
3	"knowledge based"	local:_based	"knowledge"
3	"knowledge based"	local:knowledge_	"based"
3	"based on prototypes"	local:on_prototypes	"based"
3	"based on prototypes"	local:based_on	"prototypes"
3	"examine"	vn.role:Location	"alternative way"
3	"alternative way"	rdfs:subClassOf	"way"
3	"alternative"	rdfs:member	"alternative way"
3	"represent"	local:AM-MNR	"alternative way"
3	"represent"	vn.role:Theme	"knowledge"
3	"represent"	vn.role:Agent	"prototypes"
3	"based"	vn.role:Cause	"knowledge"
3	"based"	local:AM-LOC	"prototypes"
5	"prototype-based representation"	rdfs:subClassOf	"representation"
5	"prototype-based"	rdfs:member	"prototype-based representation"
5	"has"	vn.role:Experiencer	"prototype-based representation"
5	"different"	rdfs:member	"different properties"
5	"different properties"	rdfs:subClassOf	"properties"
5	"has"	vn.role:Stimulus	"different properties"
7	"argue"	vn.role:Actor	"we"
7	"suitable for data"	local:for_data	"suitable"
7	"suitable for data"	local:suitable_for	"data"
7	"argue"	vn.role:Actor1	"suitable for data"
8	"avoid"	vn.role:Agent	"prototypes"
8	"distinction between instances"	local:between_instances	"distinction"
8	"distinction between instances"	local:distinction_between	"instances"
8	"avoid"	vn.role:Location	"distinction between instances"
9	"avoid"	vn.role:Agent	"prototypes"
9	"distinction between classes"	local:between_classes	"distinction"
9	"distinction between classes"	local:distinction_between	"classes"
9	"avoid"	vn.role:Location	"distinction between classes"
10	"provide"	vn.role:Recipient	"prototypes"
10	"provide"	vn.role:Agent	"means"
10	"object-based data"	rdfs:member	"object-based data sharing"
10	"data"	rdfs:member	"data sharing"
10	"object-based"	rdfs:member	"object-based data"
10	"data sharing"	rdfs:subClassOf	"sharing"
10	"object-based data"	rdfs:subClassOf	"data"
10	"object-based data sharing"	rdfs:subClassOf	"sharing"
10	"object-based data sharing"	rdfs:subClassOf	"data sharing"
10	"provide"	vn.role:indirect_object	"object-based data sharing"
10	"object-based data"	rdfs:subClassOf	"data"
10	"object-based"	rdfs:member	"object-based data"
10	"sharing"	vn.role:Agent	"object-based data"
