1	"chosen"	vn.role:Theme	"arbitrarily"
2	"model-theoretic semantics"	rdfs:subClassOf	"semantics"
2	"model-theoretic"	rdfs:member	"model-theoretic semantics"
2	"its model-theoretic semantics"	rdfs:subClassOf	"model-theoretic semantics"
2	"carry"	local:AM-ADV	"its model-theoretic semantics"
2	"web"	rdfs:member	"web iris"
2	"semantic"	rdfs:member	"semantic web"
2	"web iris"	rdfs:subClassOf	"iris"
2	"semantic web iris"	rdfs:subClassOf	"iris"
2	"model-theoretic semantics"	rdfs:subClassOf	"semantics"
2	"semantic web"	rdfs:member	"semantic web iris"
2	"model-theoretic"	rdfs:member	"model-theoretic semantics"
2	"semantic web"	rdfs:subClassOf	"web"
2	"semantic web iris"	rdfs:subClassOf	"web iris"
2	"model-theoretic semantics semantic web iris"	local:_semanticwebiris	"model-theoretic semantics"
2	"model-theoretic semantics semantic web iris"	local:model-theoreticsemantics_	"semantic web iris"
2	"carry"	vn.role:Agent	"model-theoretic semantics semantic web iris"
2	"formal meaning"	rdfs:subClassOf	"meaning"
2	"formal"	rdfs:member	"formal meaning"
2	"carry"	vn.role:Theme	"formal meaning"
4	"semantic"	rdfs:member	"semantic web"
4	"semantic web"	rdfs:member	"semantic web pragmatics"
4	"well-known"	rdfs:member	"well-known aspect"
4	"web pragmatics"	rdfs:subClassOf	"pragmatics"
4	"well-known aspect"	rdfs:subClassOf	"aspect"
4	"web"	rdfs:member	"web pragmatics"
4	"semantic web"	rdfs:subClassOf	"web"
4	"semantic web pragmatics"	rdfs:subClassOf	"pragmatics"
4	"semantic web pragmatics"	rdfs:subClassOf	"web pragmatics"
4	"well-known aspect of semantic web pragmatics"	local:of_semanticwebpragmatics	"well-known aspect"
4	"well-known aspect of semantic web pragmatics"	local:well-knownaspect_of	"semantic web pragmatics"
4	"constructed"	vn.role:Product	"well-known aspect of semantic web pragmatics"
4	"constructed"	local:AM-TMP	"often"
4	"constructed"	vn.role:Product	"mnemonically"
6	"termed"	vn.role:Theme	"latter"
6	"termed"	local:AM-ADV	"traditionally"
6	"social meaning"	rdfs:subClassOf	"meaning"
6	"‘"	rdfs:member	"‘ social"
6	"‘ social"	rdfs:subClassOf	"social"
6	"‘ social meaning"	rdfs:member	"‘ social meaning ’"
6	"social meaning"	rdfs:member	"social meaning ’"
6	"‘ social"	rdfs:member	"‘ social meaning"
6	"social meaning ’"	rdfs:subClassOf	"’"
6	"social"	rdfs:member	"social meaning"
6	"‘ social meaning"	rdfs:subClassOf	"meaning"
6	"‘ social meaning ’"	rdfs:subClassOf	"’"
6	"meaning"	rdfs:member	"meaning ’"
6	"meaning ’"	rdfs:subClassOf	"’"
6	"termed"	vn.role:Theme	"social meaning"
7	"termed"	vn.role:Theme	"latter"
7	"termed"	local:AM-ADV	"traditionally"
7	"termed"	vn.role:Theme	"concept"
8	"has yet"	rdfs:subClassOf	"yet"
8	"studied"	vn.role:Theme	"concept"
8	"studied"	local:AM-MNR	"quantitatively"
8	"semantic"	rdfs:member	"semantic web"
8	"semantic web community"	rdfs:subClassOf	"community"
8	"web community"	rdfs:subClassOf	"community"
8	"semantic web"	rdfs:member	"semantic web community"
8	"semantic web"	rdfs:subClassOf	"web"
8	"web"	rdfs:member	"web community"
8	"semantic web community"	rdfs:subClassOf	"web community"
8	"studied"	vn.role:Agent	"semantic web community"
9	"use"	local:AM-LOC	"paper"
9	"use"	vn.role:Agent	"we"
9	"use"	vn.role:Theme	"methods"
9	"statistical model"	rdfs:subClassOf	"model"
9	"semantic web names"	rdfs:subClassOf	"names"
9	"semantic"	rdfs:member	"semantic web"
9	"web"	rdfs:member	"web names"
9	"statistical"	rdfs:member	"statistical model"
9	"web names"	rdfs:subClassOf	"names"
9	"semantic web"	rdfs:subClassOf	"web"
9	"semantic web"	rdfs:member	"semantic web names"
9	"semantic web names"	rdfs:subClassOf	"web names"
9	"statistical model learning"	local:_learning	"statistical model"
9	"statistical model learning"	local:statisticalmodel_	"learning"
9	"meaning in semantic web names"	local:in_semanticwebnames	"meaning"
9	"meaning in semantic web names"	local:meaning_in	"semantic web names"
9	"use"	vn.role:Recipient	"statistical model learning"
9	"learning"	vn.role:Agent	"we"
9	"statistical model"	rdfs:subClassOf	"model"
9	"statistical"	rdfs:member	"statistical model"
9	"learning"	vn.role:Agent	"statistical model"
9	"semantic web names"	rdfs:subClassOf	"names"
9	"semantic"	rdfs:member	"semantic web"
9	"web"	rdfs:member	"web names"
9	"web names"	rdfs:subClassOf	"names"
9	"semantic web"	rdfs:subClassOf	"web"
9	"semantic web"	rdfs:member	"semantic web names"
9	"semantic web names"	rdfs:subClassOf	"web names"
9	"meaning in semantic web names"	local:in_semanticwebnames	"meaning"
9	"meaning in semantic web names"	local:meaning_in	"semantic web names"
9	"learning"	vn.role:Theme	"quantify"
9	"quantify"	vn.role:Agent	"methods"
9	"semantic web names"	rdfs:subClassOf	"names"
9	"semantic"	rdfs:member	"semantic web"
9	"web"	rdfs:member	"web names"
9	"web names"	rdfs:subClassOf	"names"
9	"semantic web"	rdfs:subClassOf	"web"
