2	"attribute"	rdfs:member	"attribute names"
2	"attribute names"	rdfs:subClassOf	"names"
2	"data"	rdfs:member	"data formats"
2	"data formats"	rdfs:subClassOf	"formats"
2	"variations in data formats"	local:in_dataformats	"variations"
2	"variations in data formats"	local:variations_in	"data formats"
2	"make"	vn.role:Agent	"attribute"
2	"make"	vn.role:Material	"this"
2	"make"	vn.role:Product	"challenging"
3	"data"	rdfs:member	"data formats"
3	"data formats"	rdfs:subClassOf	"formats"
3	"variations in data formats"	local:in_dataformats	"variations"
3	"variations in data formats"	local:variations_in	"data formats"
3	"variations in data formats attribute"	local:_attribute	"variations in data formats"
3	"variations in data formats attribute"	local:variationsindataformats_	"attribute"
3	"ranges"	vn.role:Theme	"variations in data formats attribute"
3	"ranges"	local:AM-ADV	"even"
3	"very"	rdfs:member	"very challenging"
3	"challenging task"	rdfs:subClassOf	"task"
3	"challenging"	rdfs:member	"challenging task"
3	"very challenging"	rdfs:subClassOf	"challenging"
3	"very challenging"	rdfs:member	"very challenging task"
3	"very challenging task"	rdfs:subClassOf	"task"
3	"values of data"	local:of_data	"values"
3	"values of data"	local:values_of	"data"
3	"ranges"	vn.role:Theme	"make"
3	"data"	rdfs:member	"data formats"
3	"even"	rdfs:member	"even ranges"
3	"even ranges"	rdfs:subClassOf	"ranges"
3	"data formats"	rdfs:subClassOf	"formats"
3	"variations in data formats"	local:in_dataformats	"variations"
3	"variations in data formats"	local:variations_in	"data formats"
3	"even ranges of values"	local:of_values	"even ranges"
3	"even ranges of values"	local:evenranges_of	"values"
3	"values of data"	local:of_data	"values"
3	"values of data"	local:values_of	"data"
3	"make"	vn.role:Product	"attribute"
3	"make"	vn.role:Material	"this"
3	"make"	vn.role:Product	"challenging"
4	"semantic labeling"	rdfs:subClassOf	"labeling"
4	"automatic"	rdfs:member	"automatic semantic"
4	"semantic"	rdfs:member	"semantic labeling"
4	"automatic semantic labeling"	rdfs:subClassOf	"labeling"
4	"automatic semantic"	rdfs:member	"automatic semantic labeling"
4	"automatic semantic"	rdfs:subClassOf	"semantic"
4	"automatic semantic labeling"	rdfs:subClassOf	"semantic labeling"
4	"uses"	vn.role:Agent	"automatic semantic labeling"
4	"machine"	rdfs:member	"machine learning"
4	"machine learning"	rdfs:subClassOf	"learning"
4	"uses"	vn.role:Theme	"machine learning"
4	"uses"	vn.role:Recipient	"techniques"
4	"learning"	vn.role:Agent	"machine"
4	"learning"	vn.role:Agent	"techniques"
5	"present"	local:AM-LOC	"paper"
5	"present"	vn.role:Agent	"we"
5	"novel domain-independent approach"	rdfs:subClassOf	"approach"
5	"novel domain-independent"	rdfs:member	"novel domain-independent approach"
5	"semantic labeling"	rdfs:subClassOf	"labeling"
5	"automatic"	rdfs:member	"automatic semantic"
5	"novel"	rdfs:member	"novel domain-independent"
5	"semantic"	rdfs:member	"semantic labeling"
5	"novel domain-independent"	rdfs:subClassOf	"domain-independent"
5	"domain-independent"	rdfs:member	"domain-independent approach"
5	"domain-independent approach"	rdfs:subClassOf	"approach"
5	"automatic semantic labeling"	rdfs:subClassOf	"labeling"
5	"automatic semantic"	rdfs:member	"automatic semantic labeling"
5	"automatic semantic"	rdfs:subClassOf	"semantic"
5	"automatic semantic labeling"	rdfs:subClassOf	"semantic labeling"
5	"novel domain-independent approach"	rdfs:subClassOf	"domain-independent approach"
5	"novel domain-independent approach to automatic semantic labeling"	local:to_automaticsemanticlabeling	"novel domain-independent approach"
5	"novel domain-independent approach to automatic semantic labeling"	local:noveldomain-independentapproach_to	"automatic semantic labeling"
5	"present"	vn.role:Theme	"novel domain-independent approach to automatic semantic labeling"
6	"learning"	vn.role:Agent	"machine"
6	"learning"	local:AM-PNC	"learn"
6	"learn"	vn.role:Agent	"machine"
6	"learn"	vn.role:Theme	"model"
7	"extracts"	vn.role:Agent	"model"
7	"related features"	rdfs:subClassOf	"features"
7	"related to data"	local:to_data	"related"
7	"related to data"	local:related_to	"data"
7	"data of domain"	local:of_domain	"data"
7	"data of domain"	local:data_of	"domain"
7	"extracts"	vn.role:Theme	"related features"
7	"related"	vn.role:Topic	"features"
7	"data of domain"	local:of_domain	"data"
7	"data of domain"	local:data_of	"domain"
7	"related"	vn.role:Recipient	"data of domain"
8	"previous"	rdfs:member	"previous approaches"
8	"previous approaches"	rdfs:subClassOf	"approaches"
8	"use"	vn.role:Theme	"previous approaches"
8	"use"	vn.role:Theme	"machine"
9	"requires"	vn.role:Agent	"domain"
9	"new domain"	rdfs:subClassOf	"domain"
9	"new"	rdfs:member	"new domain"
9	"re-trained for new domain"	local:for_newdomain	"re-trained"
9	"re-trained for new domain"	local:re-trained_for	"new domain"
9	"requires"	vn.role:Patient	"model"
9	"re-trained"	vn.role:object	"model"
9	"new domain"	rdfs:subClassOf	"domain"
9	"new"	rdfs:member	"new domain"
9	"re-trained"	vn.role:indirect_object	"new domain"
10	"uses"	vn.role:Agent	"solution"
10	"similarity metrics"	rdfs:subClassOf	"metrics"
10	"similarity"	rdfs:member	"similarity metrics"
10	"uses"	vn.role:Theme	"similarity metrics"
10	"labeled"	rdfs:member	"labeled domain"
10	"labeled domain data"	rdfs:subClassOf	"data"
10	"domain"	rdfs:member	"domain data"
10	"labeled domain"	rdfs:member	"labeled domain data"
10	"domain data"	rdfs:subClassOf	"data"
10	"labeled domain"	rdfs:subClassOf	"domain"
10	"labeled domain data"	rdfs:subClassOf	"domain data"
10	"compare against labeled domain data"	local:against_labeleddomaindata	"compare"
10	"compare against labeled domain data"	local:compare_against	"labeled domain data"
10	"uses"	vn.role:Recipient	"features"
10	"similarity metrics"	rdfs:subClassOf	"metrics"
10	"similarity"	rdfs:member	"similarity metrics"
10	"compare"	vn.role:Patient2	"similarity metrics"
10	"compare"	vn.role:Patient2	"features"
10	"domain"	rdfs:member	"domain data"
10	"domain data"	rdfs:subClassOf	"data"
10	"labeled domain data"	rdfs:subClassOf	"domain data"
10	"compare"	vn.role:Agent	"labeled domain data"
10	"domain"	rdfs:member	"domain data"
10	"domain data"	rdfs:subClassOf	"data"
10	"labeled"	vn.role:Theme	"domain data"
11	"learns"	vn.role:Agent	"solution"
11	"correct"	rdfs:member	"correct semantic"
11	"correct semantic"	rdfs:member	"correct semantic labels"
11	"semantic"	rdfs:member	"semantic labels"
11	"semantic labels"	rdfs:subClassOf	"labels"
11	"correct semantic"	rdfs:subClassOf	"semantic"
11	"correct semantic labels"	rdfs:subClassOf	"labels"
11	"correct semantic labels"	rdfs:subClassOf	"semantic labels"
11	"matching function"	rdfs:subClassOf	"function"
11	"correct semantic labels for data"	local:for_data	"correct semantic labels"
11	"correct semantic labels for data"	local:correctsemanticlabels_for	"data"
11	"learns"	vn.role:Theme	"matching function"
11	"infer"	vn.role:Agent	"matching"
11	"correct"	rdfs:member	"correct semantic"
11	"correct semantic"	rdfs:member	"correct semantic labels"
11	"semantic"	rdfs:member	"semantic labels"
11	"semantic labels"	rdfs:subClassOf	"labels"
11	"correct semantic"	rdfs:subClassOf	"semantic"
11	"correct semantic labels"	rdfs:subClassOf	"labels"
11	"correct semantic labels"	rdfs:subClassOf	"semantic labels"
11	"correct semantic labels for data"	local:for_data	"correct semantic labels"
11	"correct semantic labels for data"	local:correctsemanticlabels_for	"data"
11	"infer"	vn.role:Theme	"correct semantic labels for data"
12	"learned"	vn.role:Agent	"the"
12	"learned"	vn.role:Theme	"data"
13	"depends"	vn.role:Theme	"approach"
13	"depends"	vn.role:Location	"data"
13	"needs"	vn.role:Agent	"data"
13	"needs"	vn.role:Patient	"trained"
13	"needs"	local:AM-TMP	"once"
13	"multiple domains"	rdfs:subClassOf	"domains"
13	"multiple"	rdfs:member	"multiple domains"
13	"effectively multiple domains"	rdfs:subClassOf	"multiple domains"
13	"work across effectively multiple domains"	local:across_effectivelymultipledomains	"work"
13	"work across effectively multiple domains"	local:work_across	"effectively multiple domains"
13	"needs"	local:AM-PNC	"work across effectively multiple domains"
13	"trained"	vn.role:Theme	"data"
13	"trained"	local:AM-TMP	"once"
13	"multiple domains"	rdfs:subClassOf	"domains"
13	"multiple"	rdfs:member	"multiple domains"
13	"effectively multiple domains"	rdfs:subClassOf	"multiple domains"
13	"work across effectively multiple domains"	local:across_effectivelymultipledomains	"work"
13	"work across effectively multiple domains"	local:work_across	"effectively multiple domains"
13	"trained"	local:AM-PNC	"work across effectively multiple domains"
13	"work"	vn.role:Actor1	"data"
13	"work"	local:AM-MNR	"effectively"
13	"multiple domains"	rdfs:subClassOf	"domains"
13	"multiple"	rdfs:member	"multiple domains"
13	"work"	vn.role:Theme	"multiple domains"
14	"learned"	vn.role:Theme	"similarity"
15	"depends"	vn.role:Theme	"approach"
15	"depends"	vn.role:Location	"data"
16	"learned"	vn.role:Theme	"models"
16	"learned models"	rdfs:subClassOf	"models"
16	"trained"	vn.role:Theme	"learned models"
16	"test domain"	rdfs:subClassOf	"domain"
16	"test"	rdfs:member	"test domain"
16	"other domains"	rdfs:subClassOf	"domains"
16	"other than test domain"	local:than_testdomain	"other"
16	"other than test domain"	local:other_than	"test domain"
16	"trained"	vn.role:Predicate	"other domains"
17	"achieves"	local:AM-LOC	"evaluation"
17	"achieves"	vn.role:Agent	"our"
17	"other approaches"	rdfs:subClassOf	"approaches"
17	"higher"	rdfs:member	"higher accuracy"
17	"higher accuracy"	rdfs:subClassOf	"accuracy"
17	"other"	rdfs:member	"other approaches"
17	"higher accuracy than other approaches"	local:than_otherapproaches	"higher accuracy"
17	"higher accuracy than other approaches"	local:higheraccuracy_than	"other approaches"
17	"achieves"	vn.role:Theme	"higher accuracy than other approaches"
