0	"assessment of risk"	local:of_risk	"assessment"
0	"assessment of risk"	local:assessment_of	"risk"
0	"assessment of risk in medicine"	local:in_medicine	"assessment of risk"
0	"assessment of risk in medicine"	local:assessmentofrisk_in	"medicine"
0	"depends"	vn.role:Theme	"assessment of risk in medicine"
0	"scientific"	rdfs:member	"scientific knowledge"
0	"scientific knowledge"	rdfs:subClassOf	"knowledge"
0	"depends"	vn.role:Location	"scientific knowledge"
2	"scientific"	rdfs:member	"scientific knowledge"
2	"scientific knowledge"	rdfs:subClassOf	"knowledge"
2	"derived"	vn.role:Location	"scientific knowledge"
2	"systematic"	rdfs:member	"systematic clinical"
2	"systematic clinical"	rdfs:member	"systematic clinical studies"
2	"clinical studies"	rdfs:subClassOf	"studies"
2	"systematic clinical studies"	rdfs:subClassOf	"studies"
2	"clinical"	rdfs:member	"clinical studies"
2	"systematic clinical"	rdfs:subClassOf	"clinical"
2	"systematic clinical studies"	rdfs:subClassOf	"clinical studies"
2	"systematic clinical studies on factors"	local:on_factors	"systematic clinical studies"
2	"systematic clinical studies on factors"	local:systematicclinicalstudies_on	"factors"
2	"derived"	vn.role:Theme	"systematic clinical studies on factors"
3	"affecting"	vn.role:Experiencer	"factors"
3	"affecting"	vn.role:Cause	"health"
4	"scientific"	rdfs:member	"scientific knowledge"
4	"scientific knowledge"	rdfs:subClassOf	"knowledge"
4	"derived"	vn.role:Location	"scientific knowledge"
4	"particular"	rdfs:member	"particular patient"
4	"current"	rdfs:member	"current status"
4	"systematic"	rdfs:member	"systematic clinical"
4	"particular"	rdfs:member	"particular knowledge"
4	"clinical studies"	rdfs:subClassOf	"studies"
4	"systematic clinical studies"	rdfs:subClassOf	"studies"
4	"systematic clinical"	rdfs:member	"systematic clinical studies"
4	"current status"	rdfs:subClassOf	"status"
4	"particular patient"	rdfs:subClassOf	"patient"
4	"particular knowledge"	rdfs:subClassOf	"knowledge"
4	"clinical"	rdfs:member	"clinical studies"
4	"systematic clinical"	rdfs:subClassOf	"clinical"
4	"systematic clinical studies"	rdfs:subClassOf	"clinical studies"
4	"systematic clinical studies on particular knowledge"	local:on_particularknowledge	"systematic clinical studies"
4	"systematic clinical studies on particular knowledge"	local:systematicclinicalstudies_on	"particular knowledge"
4	"particular knowledge about current status"	local:about_currentstatus	"particular knowledge"
4	"particular knowledge about current status"	local:particularknowledge_about	"current status"
4	"current status of particular patient"	local:of_particularpatient	"current status"
4	"current status of particular patient"	local:currentstatus_of	"particular patient"
4	"derived"	vn.role:Theme	"systematic clinical studies on particular knowledge"
5	"prediction"	rdfs:member	"prediction tools"
5	"non-semantic"	rdfs:member	"non-semantic risk"
5	"non-semantic risk"	rdfs:subClassOf	"risk"
5	"risk prediction"	rdfs:member	"risk prediction tools"
5	"non-semantic risk prediction tools"	rdfs:subClassOf	"tools"
5	"risk prediction"	rdfs:subClassOf	"prediction"
5	"non-semantic risk"	rdfs:member	"non-semantic risk prediction"
5	"risk prediction tools"	rdfs:subClassOf	"tools"
5	"non-semantic risk prediction"	rdfs:member	"non-semantic risk prediction tools"
5	"prediction tools"	rdfs:subClassOf	"tools"
5	"non-semantic risk prediction"	rdfs:subClassOf	"prediction"
5	"risk"	rdfs:member	"risk prediction"
5	"risk prediction tools"	rdfs:subClassOf	"prediction tools"
5	"non-semantic risk prediction tools"	rdfs:subClassOf	"risk prediction tools"
5	"existing"	vn.role:Location	"non-semantic risk prediction tools"
5	"prediction"	rdfs:member	"prediction tools"
5	"non-semantic"	rdfs:member	"non-semantic risk"
5	"non-semantic risk"	rdfs:subClassOf	"risk"
5	"risk prediction"	rdfs:member	"risk prediction tools"
5	"non-semantic risk prediction tools"	rdfs:subClassOf	"tools"
5	"risk prediction"	rdfs:subClassOf	"prediction"
5	"non-semantic risk"	rdfs:member	"non-semantic risk prediction"
5	"risk prediction tools"	rdfs:subClassOf	"tools"
5	"non-semantic risk prediction"	rdfs:member	"non-semantic risk prediction tools"
5	"prediction tools"	rdfs:subClassOf	"tools"
5	"non-semantic risk prediction"	rdfs:subClassOf	"prediction"
5	"risk"	rdfs:member	"risk prediction"
5	"risk prediction tools"	rdfs:subClassOf	"prediction tools"
5	"non-semantic risk prediction tools"	rdfs:subClassOf	"risk prediction tools"
5	"existing non-semantic risk prediction tools"	rdfs:subClassOf	"non-semantic risk prediction tools"
5	"based"	vn.role:Cause	"existing non-semantic risk prediction tools"
5	"based"	local:AM-TMP	"typically"
5	"scientific"	rdfs:member	"scientific knowledge"
5	"scientific knowledge"	rdfs:subClassOf	"knowledge"
5	"hardcoded scientific knowledge"	rdfs:subClassOf	"scientific knowledge"
5	"based"	vn.role:indirect_object	"hardcoded scientific knowledge"
5	"prediction"	rdfs:member	"prediction tools"
5	"non-semantic"	rdfs:member	"non-semantic risk"
5	"non-semantic risk"	rdfs:subClassOf	"risk"
5	"risk prediction"	rdfs:member	"risk prediction tools"
5	"non-semantic risk prediction tools"	rdfs:subClassOf	"tools"
5	"risk prediction"	rdfs:subClassOf	"prediction"
5	"non-semantic risk"	rdfs:member	"non-semantic risk prediction"
5	"risk prediction tools"	rdfs:subClassOf	"tools"
5	"non-semantic risk prediction"	rdfs:member	"non-semantic risk prediction tools"
5	"prediction tools"	rdfs:subClassOf	"tools"
5	"non-semantic risk prediction"	rdfs:subClassOf	"prediction"
5	"risk"	rdfs:member	"risk prediction"
5	"risk prediction tools"	rdfs:subClassOf	"prediction tools"
5	"non-semantic risk prediction tools"	rdfs:subClassOf	"risk prediction tools"
5	"existing non-semantic risk prediction tools"	rdfs:subClassOf	"non-semantic risk prediction tools"
5	"cover"	vn.role:indirect_object	"existing non-semantic risk prediction tools"
5	"cover"	local:AM-ADV	"only"
5	"patient"	rdfs:member	"patient states"
5	"limited"	rdfs:member	"limited range"
5	"limited range"	rdfs:subClassOf	"range"
5	"patient states"	rdfs:subClassOf	"states"
5	"limited range of patient states"	local:of_patientstates	"limited range"
5	"limited range of patient states"	local:limitedrange_of	"patient states"
5	"cover"	vn.role:Theme2	"limited range of patient states"
6	"makes"	vn.role:Agent	"this"
6	"patient"	rdfs:member	"patient states"
6	"patient states"	rdfs:subClassOf	"states"
6	"makes"	vn.role:Material	"patient states"
6	"makes"	local:AM-MNR	"rapidly"
6	"makes"	vn.role:Product	"date"
7	"limited"	vn.role:Patient	"this"
7	"limited"	local:AM-MNR	"application"
7	"multiple co-occurring"	rdfs:member	"multiple co-occurring conditions"
7	"multiple co-occurring conditions"	rdfs:subClassOf	"conditions"
7	"multiple co-occurring"	rdfs:subClassOf	"co-occurring"
7	"co-occurring"	rdfs:member	"co-occurring conditions"
7	"multiple"	rdfs:member	"multiple co-occurring"
7	"co-occurring conditions"	rdfs:subClassOf	"conditions"
7	"multiple co-occurring conditions"	rdfs:subClassOf	"co-occurring conditions"
7	"particularly patients"	rdfs:subClassOf	"patients"
7	"particularly patients with multiple co-occurring conditions"	local:with_multipleco-occurringconditions	"particularly patients"
7	"particularly patients with multiple co-occurring conditions"	local:particularlypatients_with	"multiple co-occurring conditions"
7	"limited"	local:AM-EXT	"particularly patients with multiple co-occurring conditions"
8	"based"	vn.role:Cause	"patients"
8	"biometric data"	rdfs:subClassOf	"data"
8	"biometric"	rdfs:member	"biometric data"
8	"self-gathered biometric data"	rdfs:subClassOf	"data"
8	"self-gathered biometric"	rdfs:subClassOf	"biometric"
8	"self-gathered biometric"	rdfs:member	"self-gathered biometric data"
8	"self-gathered"	rdfs:member	"self-gathered biometric"
8	"self-gathered biometric data"	rdfs:subClassOf	"biometric data"
8	"based"	vn.role:indirect_object	"self-gathered biometric data"
9	"propose"	local:AM-LOC	"work"
9	"propose"	vn.role:Agent	"we"
9	"semantic web"	rdfs:subClassOf	"web"
9	"semantic"	rdfs:member	"semantic web"
9	"integration of semantic web"	local:of_semanticweb	"integration"
9	"integration of semantic web"	local:integration_of	"semantic web"
9	"propose"	vn.role:Topic	"integration of semantic web"
10	"quantified"	vn.role:Agent	"we"
10	"self"	rdfs:member	"self technologies"
10	"self technologies"	rdfs:subClassOf	"technologies"
10	"quantified"	vn.role:Theme	"self technologies"
10	"risk"	rdfs:member	"risk predictions"
10	"implemented framework"	rdfs:subClassOf	"framework"
10	"clinical risk"	rdfs:subClassOf	"risk"
10	"clinical risk"	rdfs:member	"clinical risk predictions"
10	"clinical"	rdfs:member	"clinical risk"
10	"clinical risk predictions"	rdfs:subClassOf	"predictions"
10	"implemented"	rdfs:member	"implemented framework"
10	"risk predictions"	rdfs:subClassOf	"predictions"
10	"clinical risk predictions"	rdfs:subClassOf	"risk predictions"
10	"clinical risk predictions for patients"	local:for_patients	"clinical risk predictions"
10	"clinical risk predictions for patients"	local:clinicalriskpredictions_for	"patients"
10	"quantified"	local:AM-PNC	"create"
10	"implemented framework"	rdfs:subClassOf	"framework"
10	"create"	vn.role:Product	"implemented framework"
10	"risk"	rdfs:member	"risk predictions"
10	"clinical risk"	rdfs:subClassOf	"risk"
10	"clinical risk"	rdfs:member	"clinical risk predictions"
10	"clinical"	rdfs:member	"clinical risk"
10	"clinical risk predictions"	rdfs:subClassOf	"predictions"
10	"risk predictions"	rdfs:subClassOf	"predictions"
10	"clinical risk predictions"	rdfs:subClassOf	"risk predictions"
10	"clinical risk predictions for patients"	local:for_patients	"clinical risk predictions"
10	"clinical risk predictions for patients"	local:clinicalriskpredictions_for	"patients"
10	"create"	local:AM-PNC	"calculating"
10	"implemented"	vn.role:Theme	"framework"
10	"calculating"	vn.role:Agent	"we"
10	"risk"	rdfs:member	"risk predictions"
10	"clinical risk"	rdfs:subClassOf	"risk"
10	"clinical risk"	rdfs:member	"clinical risk predictions"
10	"clinical"	rdfs:member	"clinical risk"
10	"clinical risk predictions"	rdfs:subClassOf	"predictions"
10	"risk predictions"	rdfs:subClassOf	"predictions"
10	"clinical risk predictions"	rdfs:subClassOf	"risk predictions"
10	"calculating"	vn.role:Predicate	"clinical risk predictions"
10	"calculating"	vn.role:Agent	"patients"
11	"implemented"	vn.role:Theme	"framework"
11	"implemented framework"	rdfs:subClassOf	"framework"
11	"relies"	vn.role:Agent	"implemented framework"
11	"reusable ontologies"	rdfs:subClassOf	"ontologies"
11	"reusable"	rdfs:member	"reusable ontologies"
11	"generic reusable ontologies"	rdfs:subClassOf	"reusable ontologies"
11	"relies"	vn.role:Theme	"generic reusable ontologies"
11	"clinical risk"	rdfs:subClassOf	"risk"
11	"clinical"	rdfs:member	"clinical risk"
11	"relies"	vn.role:indirect_object	"representing"
11	"reusable ontologies"	rdfs:subClassOf	"ontologies"
11	"reusable"	rdfs:member	"reusable ontologies"
11	"generic reusable ontologies"	rdfs:subClassOf	"reusable ontologies"
11	"representing"	vn.role:Agent	"generic reusable ontologies"
11	"clinical risk"	rdfs:subClassOf	"risk"
11	"clinical"	rdfs:member	"clinical risk"
11	"representing"	vn.role:Theme	"clinical risk"
12	"represented"	vn.role:Theme	"data"
12	"reusable ontologies"	rdfs:subClassOf	"ontologies"
12	"sensor readings"	rdfs:subClassOf	"readings"
12	"reusable"	rdfs:member	"reusable ontologies"
12	"sensor"	rdfs:member	"sensor readings"
12	"generic reusable ontologies"	rdfs:subClassOf	"reusable ontologies"
12	"represented"	vn.role:Theme	"generic reusable ontologies"
12	"reusable ontologies"	rdfs:subClassOf	"ontologies"
12	"reusable"	rdfs:member	"reusable ontologies"
12	"generic reusable ontologies"	rdfs:subClassOf	"reusable ontologies"
12	"representing"	vn.role:Agent	"generic reusable ontologies"
12	"sensor readings"	rdfs:subClassOf	"readings"
12	"sensor"	rdfs:member	"sensor readings"
12	"representing"	vn.role:Theme	"sensor readings"
13	"implemented"	vn.role:Theme	"framework"
13	"implemented framework"	rdfs:subClassOf	"framework"
13	"relies"	vn.role:Agent	"implemented framework"
13	"reusable ontologies"	rdfs:subClassOf	"ontologies"
13	"reusable"	rdfs:member	"reusable ontologies"
13	"generic reusable ontologies"	rdfs:subClassOf	"reusable ontologies"
13	"relies"	vn.role:Theme	"generic reusable ontologies"
13	"sensor readings"	rdfs:subClassOf	"readings"
13	"sensor"	rdfs:member	"sensor readings"
13	"relies"	vn.role:indirect_object	"representing"
13	"reusable ontologies"	rdfs:subClassOf	"ontologies"
13	"reusable"	rdfs:member	"reusable ontologies"
13	"generic reusable ontologies"	rdfs:subClassOf	"reusable ontologies"
13	"representing"	vn.role:Agent	"generic reusable ontologies"
13	"sensor readings"	rdfs:subClassOf	"readings"
13	"sensor"	rdfs:member	"sensor readings"
13	"representing"	vn.role:Theme	"sensor readings"
14	"represented"	vn.role:Theme	"data"
14	"reusable ontologies"	rdfs:subClassOf	"ontologies"
14	"reusable"	rdfs:member	"reusable ontologies"
14	"clinical risk"	rdfs:subClassOf	"risk"
14	"clinical"	rdfs:member	"clinical risk"
14	"generic reusable ontologies"	rdfs:subClassOf	"reusable ontologies"
14	"represented"	vn.role:Theme	"generic reusable ontologies"
14	"reusable ontologies"	rdfs:subClassOf	"ontologies"
14	"reusable"	rdfs:member	"reusable ontologies"
14	"generic reusable ontologies"	rdfs:subClassOf	"reusable ontologies"
14	"representing"	vn.role:Agent	"generic reusable ontologies"
14	"clinical risk"	rdfs:subClassOf	"risk"
14	"clinical"	rdfs:member	"clinical risk"
14	"representing"	vn.role:Theme	"clinical risk"
15	"implemented"	vn.role:Theme	"framework"
15	"implemented framework"	rdfs:subClassOf	"framework"
15	"relies"	vn.role:Agent	"implemented framework"
15	"relies"	vn.role:Theme	"reasoning"
15	"integration of data"	local:of_data	"integration"
15	"integration of data"	local:integration_of	"data"
15	"relies"	vn.role:indirect_object	"support"
15	"integration of data"	local:of_data	"integration"
15	"integration of data"	local:integration_of	"data"
15	"support"	vn.role:Experiencer	"integration of data"
16	"implemented"	vn.role:Theme	"framework"
16	"implemented framework"	rdfs:subClassOf	"framework"
16	"shows"	vn.role:Agent	"implemented framework"
16	"risk"	rdfs:member	"risk calculation"
16	"wide"	rdfs:member	"wide range"
16	"risk calculation"	rdfs:subClassOf	"calculation"
16	"wide range"	rdfs:subClassOf	"range"
16	"existing risk calculation"	rdfs:subClassOf	"risk calculation"
16	"wide range of advantages"	local:of_advantages	"wide range"
16	"wide range of advantages"	local:widerange_of	"advantages"
16	"wide range of advantages over existing risk calculation"	local:over_existingriskcalculation	"wide range of advantages"
16	"wide range of advantages over existing risk calculation"	local:widerangeofadvantages_over	"existing risk calculation"
16	"shows"	vn.role:Theme	"wide range of advantages over existing risk calculation"
