0	"increasing"	vn.role:Attribute	"number"
0	"use cases"	rdfs:subClassOf	"cases"
0	"increasing number"	rdfs:subClassOf	"number"
0	"increasing number of use cases"	local:of_usecases	"increasing number"
0	"increasing number of use cases"	local:increasingnumber_of	"use cases"
0	"require"	vn.role:Agent	"increasing number of use cases"
0	"non-trivial knowledge"	rdfs:subClassOf	"knowledge"
0	"timely extraction"	rdfs:subClassOf	"extraction"
0	"data streams"	rdfs:subClassOf	"streams"
0	"especially web"	rdfs:subClassOf	"web"
0	"annotated data streams"	rdfs:subClassOf	"data streams"
0	"semantically annotated"	rdfs:subClassOf	"annotated"
0	"timely extraction of non-trivial knowledge"	local:of_non-trivialknowledge	"timely extraction"
0	"timely extraction of non-trivial knowledge"	local:timelyextraction_of	"non-trivial knowledge"
0	"timely extraction of non-trivial knowledge from annotated data streams"	local:from_annotateddatastreams	"timely extraction of non-trivial knowledge"
0	"timely extraction of non-trivial knowledge from annotated data streams"	local:timelyextractionofnon-trivialknowledge_from	"annotated data streams"
0	"timely extraction of non-trivial knowledge from annotated data streams on especially web"	local:on_especiallyweb	"timely extraction of non-trivial knowledge from annotated data streams"
0	"timely extraction of non-trivial knowledge from annotated data streams on especially web"	local:timelyextractionofnon-trivialknowledgefromannotateddatastreams_on	"especially web"
0	"timely extraction of non-trivial knowledge from annotated data streams on especially web for internet"	local:for_internet	"timely extraction of non-trivial knowledge from annotated data streams on especially web"
0	"timely extraction of non-trivial knowledge from annotated data streams on especially web for internet"	local:timelyextractionofnon-trivialknowledgefromannotateddatastreamsonespeciallyweb_for	"internet"
0	"internet of things"	local:of_things	"internet"
0	"internet of things"	local:internet_of	"things"
0	"require"	vn.role:Patient	"timely extraction of non-trivial knowledge from annotated data streams on especially web for internet"
1	"non-trivial knowledge"	rdfs:subClassOf	"knowledge"
1	"timely extraction"	rdfs:subClassOf	"extraction"
1	"timely extraction of non-trivial knowledge"	local:of_non-trivialknowledge	"timely extraction"
1	"timely extraction of non-trivial knowledge"	local:timelyextraction_of	"non-trivial knowledge"
1	"requires"	vn.role:Agent	"often"
1	"expressive reasoning"	rdfs:subClassOf	"reasoning"
1	"large streams"	rdfs:subClassOf	"streams"
1	"is challenging"	rdfs:subClassOf	"challenging"
1	"compute on large streams"	local:on_largestreams	"compute"
1	"compute on large streams"	local:compute_on	"large streams"
1	"requires"	vn.role:Patient	"expressive reasoning"
1	"expressive reasoning"	rdfs:subClassOf	"reasoning"
1	"compute"	vn.role:Product	"expressive reasoning"
1	"large streams"	rdfs:subClassOf	"streams"
1	"compute"	vn.role:Product	"large streams"
2	"propose"	vn.role:Agent	"we"
2	"new reasoner"	rdfs:subClassOf	"reasoner"
2	"answer set programming"	rdfs:subClassOf	"programming"
2	"non-trivial fragment"	rdfs:subClassOf	"fragment"
2	"set programming"	rdfs:subClassOf	"programming"
2	"answer set"	rdfs:subClassOf	"set"
2	"answer set programming"	rdfs:subClassOf	"set programming"
2	"logic lars"	rdfs:subClassOf	"lars"
2	"pragmatic non-trivial fragment"	rdfs:subClassOf	"non-trivial fragment"
2	"laser new reasoner"	local:_newreasoner	"laser"
2	"laser new reasoner"	local:laser_	"new reasoner"
2	"pragmatic non-trivial fragment of logic lars"	local:of_logiclars	"pragmatic non-trivial fragment"
2	"pragmatic non-trivial fragment of logic lars"	local:pragmaticnon-trivialfragment_of	"logic lars"
2	"answer set programming for streams"	local:for_streams	"answer set programming"
2	"answer set programming for streams"	local:answersetprogramming_for	"streams"
2	"propose"	vn.role:Topic	"laser new reasoner"
2	"new reasoner"	rdfs:subClassOf	"reasoner"
2	"supports"	vn.role:Theme	"new reasoner"
2	"non-trivial fragment"	rdfs:subClassOf	"fragment"
2	"set programming"	rdfs:subClassOf	"programming"
2	"answer set programming"	rdfs:subClassOf	"programming"
2	"answer set"	rdfs:subClassOf	"set"
2	"answer set programming"	rdfs:subClassOf	"set programming"
2	"logic lars"	rdfs:subClassOf	"lars"
2	"pragmatic non-trivial fragment"	rdfs:subClassOf	"non-trivial fragment"
2	"pragmatic non-trivial fragment of logic lars"	local:of_logiclars	"pragmatic non-trivial fragment"
2	"pragmatic non-trivial fragment of logic lars"	local:pragmaticnon-trivialfragment_of	"logic lars"
2	"answer set programming for streams"	local:for_streams	"answer set programming"
2	"answer set programming for streams"	local:answersetprogramming_for	"streams"
2	"supports"	vn.role:Experiencer	"pragmatic non-trivial fragment of logic lars"
2	"answer set"	rdfs:subClassOf	"set"
2	"set programming"	rdfs:subClassOf	"programming"
2	"answer set programming"	rdfs:subClassOf	"programming"
2	"extends"	vn.role:Theme	"set"
2	"extends"	vn.role:Recipient	"streams"
3	"new reasoner"	rdfs:subClassOf	"reasoner"
3	"supports"	vn.role:Theme	"new reasoner"
3	"non-trivial fragment"	rdfs:subClassOf	"fragment"
3	"pragmatic non-trivial fragment"	rdfs:subClassOf	"non-trivial fragment"
3	"pragmatic non-trivial fragment of logic"	local:of_logic	"pragmatic non-trivial fragment"
3	"pragmatic non-trivial fragment of logic"	local:pragmaticnon-trivialfragment_of	"logic"
3	"supports"	vn.role:Experiencer	"pragmatic non-trivial fragment of logic"
3	"answer set"	rdfs:subClassOf	"set"
3	"set programming"	rdfs:subClassOf	"programming"
3	"answer set programming"	rdfs:subClassOf	"programming"
3	"extends"	vn.role:Theme	"set"
3	"streams core"	rdfs:subClassOf	"core"
3	"streams core laser"	local:_laser	"streams core"
3	"streams core laser"	local:streamscore_	"laser"
3	"extends"	vn.role:Recipient	"streams core laser"
3	"non-trivial fragment"	rdfs:subClassOf	"fragment"
3	"set programming"	rdfs:subClassOf	"programming"
3	"answer set programming"	rdfs:subClassOf	"programming"
3	"answer set"	rdfs:subClassOf	"set"
3	"streams core"	rdfs:subClassOf	"core"
3	"answer set programming"	rdfs:subClassOf	"set programming"
3	"logic lars"	rdfs:subClassOf	"lars"
3	"pragmatic non-trivial fragment"	rdfs:subClassOf	"non-trivial fragment"
3	"pragmatic non-trivial fragment of logic lars"	local:of_logiclars	"pragmatic non-trivial fragment"
3	"pragmatic non-trivial fragment of logic lars"	local:pragmaticnon-trivialfragment_of	"logic lars"
3	"answer set programming for streams core"	local:for_streamscore	"answer set programming"
3	"answer set programming for streams core"	local:answersetprogramming_for	"streams core"
3	"pragmatic non-trivial fragment of logic lars laser"	local:_laser	"pragmatic non-trivial fragment of logic lars"
3	"pragmatic non-trivial fragment of logic lars laser"	local:pragmaticnon-trivialfragmentoflogiclars_	"laser"
3	"implements"	vn.role:Agent	"pragmatic non-trivial fragment of logic lars laser"
3	"novel evaluation"	rdfs:subClassOf	"evaluation"
3	"novel evaluation procedure"	rdfs:subClassOf	"procedure"
3	"evaluation procedure"	rdfs:subClassOf	"procedure"
3	"multiple time"	rdfs:subClassOf	"time"
3	"multiple time points"	rdfs:subClassOf	"points"
3	"time points"	rdfs:subClassOf	"points"
3	"multiple time points"	rdfs:subClassOf	"time points"
3	"novel evaluation procedure"	rdfs:subClassOf	"evaluation procedure"
