1	"wikipedia infoboxes"	rdfs:subClassOf	"infoboxes"
1	"wikipedia"	rdfs:member	"wikipedia infoboxes"
1	"contain"	vn.role:Theme1	"wikipedia infoboxes"
1	"article entities"	rdfs:subClassOf	"entities"
1	"attribute-value"	rdfs:member	"attribute-value pairs"
1	"article"	rdfs:member	"article entities"
1	"attribute-value pairs"	rdfs:subClassOf	"pairs"
1	"information about article entities"	local:about_articleentities	"information"
1	"information about article entities"	local:information_about	"article entities"
1	"article entities in form"	local:in_form	"article entities"
1	"article entities in form"	local:articleentities_in	"form"
1	"form of attribute-value pairs"	local:of_attribute-valuepairs	"form"
1	"form of attribute-value pairs"	local:form_of	"attribute-value pairs"
1	"contain"	vn.role:Theme2	"information about article entities"
2	"language"	rdfs:member	"language versions"
2	"language versions"	rdfs:subClassOf	"versions"
2	"different language"	rdfs:subClassOf	"language"
2	"different language"	rdfs:member	"different language versions"
2	"different language versions"	rdfs:subClassOf	"versions"
2	"different"	rdfs:member	"different language"
2	"different language versions"	rdfs:subClassOf	"language versions"
2	"different language versions of wikipedia"	local:of_wikipedia	"different language versions"
2	"different language versions of wikipedia"	local:differentlanguageversions_of	"wikipedia"
2	"evolve"	vn.role:Location	"different language versions of wikipedia"
2	"language editions"	rdfs:subClassOf	"editions"
2	"different language editions"	rdfs:subClassOf	"editions"
2	"infobox attributes"	rdfs:subClassOf	"attributes"
2	"language"	rdfs:member	"language editions"
2	"different language"	rdfs:member	"different language editions"
2	"different language"	rdfs:subClassOf	"language"
2	"infobox"	rdfs:member	"infobox attributes"
2	"different"	rdfs:member	"different language"
2	"different language editions"	rdfs:subClassOf	"language editions"
2	"challenging problem"	rdfs:subClassOf	"problem"
2	"independently challenging problem"	rdfs:subClassOf	"challenging problem"
2	"correspondences between infobox attributes"	local:between_infoboxattributes	"correspondences"
2	"correspondences between infobox attributes"	local:correspondences_between	"infobox attributes"
2	"find in different language editions"	local:in_differentlanguageeditions	"find"
2	"find in different language editions"	local:find_in	"different language editions"
2	"evolve"	vn.role:Location	"independently challenging problem"
2	"language editions"	rdfs:subClassOf	"editions"
2	"different language editions"	rdfs:subClassOf	"editions"
2	"infobox attributes"	rdfs:subClassOf	"attributes"
2	"language"	rdfs:member	"language editions"
2	"different language"	rdfs:member	"different language editions"
2	"different language"	rdfs:subClassOf	"language"
2	"infobox"	rdfs:member	"infobox attributes"
2	"different"	rdfs:member	"different language"
2	"different language editions"	rdfs:subClassOf	"language editions"
2	"correspondences between infobox attributes"	local:between_infoboxattributes	"correspondences"
2	"correspondences between infobox attributes"	local:correspondences_between	"infobox attributes"
2	"infobox attributes in different language editions"	local:in_differentlanguageeditions	"infobox attributes"
2	"infobox attributes in different language editions"	local:infoboxattributes_in	"different language editions"
2	"find"	vn.role:Theme	"correspondences between infobox attributes"
3	"language"	rdfs:member	"language versions"
3	"language versions"	rdfs:subClassOf	"versions"
3	"different language"	rdfs:subClassOf	"language"
3	"different language"	rdfs:member	"different language versions"
3	"different language versions"	rdfs:subClassOf	"versions"
3	"different"	rdfs:member	"different language"
3	"different language versions"	rdfs:subClassOf	"language versions"
3	"different language versions of wikipedia"	local:of_wikipedia	"different language versions"
3	"different language versions of wikipedia"	local:differentlanguageversions_of	"wikipedia"
3	"evolve"	vn.role:Location	"different language versions of wikipedia"
3	"language editions"	rdfs:subClassOf	"editions"
3	"different language editions"	rdfs:subClassOf	"editions"
3	"infobox attributes"	rdfs:subClassOf	"attributes"
3	"language"	rdfs:member	"language editions"
3	"promising problem"	rdfs:subClassOf	"problem"
3	"promising"	rdfs:member	"promising problem"
3	"different language"	rdfs:member	"different language editions"
3	"different language"	rdfs:subClassOf	"language"
3	"infobox"	rdfs:member	"infobox attributes"
3	"different"	rdfs:member	"different language"
3	"different language editions"	rdfs:subClassOf	"language editions"
3	"independently promising problem"	rdfs:subClassOf	"promising problem"
3	"correspondences between infobox attributes"	local:between_infoboxattributes	"correspondences"
3	"correspondences between infobox attributes"	local:correspondences_between	"infobox attributes"
3	"find in different language editions"	local:in_differentlanguageeditions	"find"
3	"find in different language editions"	local:find_in	"different language editions"
3	"evolve"	vn.role:Location	"independently promising problem"
3	"language editions"	rdfs:subClassOf	"editions"
3	"different language editions"	rdfs:subClassOf	"editions"
3	"infobox attributes"	rdfs:subClassOf	"attributes"
3	"language"	rdfs:member	"language editions"
3	"different language"	rdfs:member	"different language editions"
3	"different language"	rdfs:subClassOf	"language"
3	"infobox"	rdfs:member	"infobox attributes"
3	"different"	rdfs:member	"different language"
3	"different language editions"	rdfs:subClassOf	"language editions"
3	"correspondences between infobox attributes"	local:between_infoboxattributes	"correspondences"
3	"correspondences between infobox attributes"	local:correspondences_between	"infobox attributes"
3	"infobox attributes in different language editions"	local:in_differentlanguageeditions	"infobox attributes"
3	"infobox attributes in different language editions"	local:infoboxattributes_in	"different language editions"
3	"find"	vn.role:Theme	"correspondences between infobox attributes"
4	"propose"	local:AM-LOC	"paper"
4	"propose"	vn.role:Agent	"we"
4	"attribute labels"	rdfs:subClassOf	"labels"
4	"attribute"	rdfs:member	"attribute labels"
4	"propose"	vn.role:Topic	"attribute"
4	"containing"	local:AM-LOC	"paper"
4	"containing"	vn.role:Theme1	"we"
4	"attribute labels"	rdfs:subClassOf	"labels"
4	"attribute"	rdfs:member	"attribute labels"
4	"containing"	vn.role:Theme2	"attribute"
5	"propose"	local:AM-LOC	"paper"
5	"propose"	vn.role:Agent	"we"
5	"attribute"	rdfs:member	"attribute values"
5	"attribute values"	rdfs:subClassOf	"values"
5	"propose"	vn.role:Topic	"containing"
5	"containing"	local:AM-LOC	"paper"
5	"containing"	vn.role:Theme1	"we"
